timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 1.07613525  1.80097843  0.02214532 -0.80311362  0.20348596  0.89201236
  0.22417133 -0.33961056  1.04304339 -0.88600487  0.        ]","[[ 0.01473992 -0.04857958  0.02539732  0.10359763]
 [ 0.00362149  0.00480563  0.          0.        ]]",[ 0.45695149  1.97266935],-0.212730184962,[ 0.38068274  1.18620741],[-0.16823168 -0.15218374],-0.212730184962
1,"[ 1.07552176  1.80239181  0.04982484 -0.69628315  0.203485    0.89200512
  0.3779758   0.21718315  1.04294694 -0.82195922  0.        ]","[[ 0.03293283 -0.00876364  0.02539732  0.10359763]
 [ 1.80966027  3.96359774  0.          0.        ]]",[-1.31687944  1.31781507],-0.20876262177,[ 0.28298566  1.14095879],[-0.16823168 -0.15218374],-0.20876262177
2,"[ 1.07567813  1.79481295  0.04393531 -0.37951112  0.20348404  0.89199787
  0.03790658  0.76326745  1.03589791 -0.72702075  0.        ]","[[ 0.02906129  0.10946441  0.02539732  0.10359763]
 [-2.18351166  7.84626108  0.          0.        ]]",[ 1.22145118  2.09267702],-0.202447843961,[ 0.31342065  1.13041592],[-0.16823168 -0.15218374],-0.202447843961
3,"[ 1.07580268  1.74399575  0.03851866  0.13214481  0.20348309  0.89199062
  0.37836433  1.29809782  1.00192281 -0.56997213  0.        ]","[[  0.025501     0.30454341   0.02539732   0.10359763]
 [  1.8142295   11.64897575   0.           0.        ]]",[ 0.66978926  1.76180845],-0.190231133999,[ 0.16848788  1.05193424],[-0.16823168 -0.15218374],-0.190231133999
4,"[ 1.07086321  1.59839066  0.1334699   0.78688211  0.20348213  0.89198338
  0.60088975  1.82239564  0.87841459 -0.2707801   0.        ]","[[  0.08800078   0.57492692   0.02539732   0.10359763]
 [  4.42719765  15.37695763   0.           0.        ]]",[ 1.0231055  0.5801525],-0.163187435033,[-0.00906079  0.92968345],[-0.16823168 -0.15218374],-0.163187435033
5,"[ 1.04410815  1.31985845  0.32495498  1.43397103  0.20348117  0.89197613
  0.93042193  2.10241724  0.596196    0.07141408  0.        ]","[[  0.21536582   0.90244565   0.02539732   0.10359763]
 [  8.29669176  17.36828316   0.           0.        ]]",[-0.61421098  0.07444817],-0.121585912492,[-0.2071493  0.7791391],[-0.16823168 -0.15218374],-0.121585912492
6,"[ 0.98937352  0.93453055  0.52913243  1.87395934  0.20348021  0.89196889
  0.70964134  2.09553806  0.2071884   0.26247575  0.        ]","[[  0.35529013   1.24932435   0.02539732   0.10359763]
 [  5.70432081  17.31973472   0.           0.        ]]",[ 0.09466771  1.40979396],-0.0766111294425,[-0.25766778  0.67337281],[-0.16823168 -0.15218374],-0.0766111294425
7,"[ 0.92415347  0.4560845   0.69170689  2.00639811  0.20347925  0.89196164
  0.73208234  2.60407828 -0.18935553  0.22710624  0.        ]","[[  0.47201879   1.63200451   0.02539732   0.10359763]
 [  5.96788435  20.93622877   0.           0.        ]]",[-0.39244486  1.51931125],-0.037413062711,[-0.34285989  0.57051164],[-0.16823168 -0.15218374],-0.037413062711
8,"[ 0.85286135 -0.09171531  0.82691369  1.66256807  0.20347829  0.89195439
  0.58996221  3.10251664 -0.51525926 -0.04626921  0.        ]","[[  0.5746333    2.08629906   0.02539732   0.10359763]
 [  4.29914522  24.48139757   0.           0.        ]]",[ 0.79119625 -0.92907071],-0.0390275030291,[-0.35645813  0.53946471],[-0.16823168 -0.15218374],-0.0390275030291
9,"[ 0.75701237 -0.50800364  0.96988852  0.85924086  0.20347733  0.89194715
  0.84966958  2.51689306 -0.64750018 -0.4422406   0.        ]","[[  0.69121543   2.53415198   0.02539732   0.10359763]
 [  7.34871036  20.31779671   0.           0.        ]]",[-0.61855829  0.50740732],-0.0759359789726,[-0.39164048  0.51855457],[-0.16823168 -0.15218374],-0.0759359789726
10,"[ 0.64221113 -0.71330562  1.10428107 -0.17916153  0.20347638  0.8919399
  0.6288149   2.74274225 -0.56178661 -0.8057616   0.        ]","[[  0.8121732    2.95662879   0.02539732   0.10359763]
 [  4.75548157  21.92453371   0.           0.        ]]",[-0.70815228 -0.39906481],-0.105927004956,[-0.39837185  0.50974417],[-0.16823168 -0.15218374],-0.105927004956
11,"[ 0.5735319  -0.73484091  1.17093845 -0.70635938  0.20347542  0.89193266
  0.38193886 -0.24099906 -0.45148359 -0.94083331  0.        ]","[[ 0.87819778  3.1540903   0.02539732  0.10359763]
 [ 1.85669459  0.70689222  0.          0.        ]]",[ 0.59268188  1.40052075],-0.11674254311,[-0.27537757  0.55371404],[-0.16823168 -0.15218374],-0.11674254311
12,"[ 0.50741073 -0.73462445  1.22736782 -0.6134338   0.20347446  0.89192541
  0.57864049 -0.7269928  -0.47381829 -0.92126767  0.        ]","[[ 0.93850496  3.11947043  0.02539732  0.10359763]
 [ 4.16639069 -2.74907079  0.          0.        ]]",[ 1.04319521  1.91116086],-0.115202741121,[-0.28694594  0.55152988],[-0.16823168 -0.15218374],-0.115202741121
13,"[ 0.36450405 -0.731561    1.32785596 -0.47732335  0.2034735   0.89191817
  0.90880538 -0.63852408 -0.50199524 -0.90423738  0.        ]","[[ 1.06073036  3.06870126  0.02539732  0.10359763]
 [ 8.04323733 -2.1199953   0.          0.        ]]",[ 0.20486568  0.60270459],-0.114364053748,[-0.3330977   0.53256679],[-0.16823168 -0.15218374],-0.114364053748
14,"[ 0.15278596 -0.72780299  1.43308144 -0.38878684  0.20347254  0.89191092
  0.96431849 -0.51166199 -0.51886358 -0.90690215  0.        ]","[[ 1.22813611  3.03558428  0.02539732  0.10359763]
 [ 8.69516436 -1.21789735  0.          0.        ]]",[ 0.70684259  0.83009704],-0.115492998323,[-0.34668779  0.5271768 ],[-0.16823168 -0.15218374],-0.115492998323
15,"[-0.11710273 -0.72525858  1.50613253 -0.34216784  0.20347158  0.89190368
  1.18799076 -0.42378863 -0.52308236 -0.92422885  0.        ]","[[  1.42839179   3.01810213   0.02539732   0.10359763]
 [ 11.32164789  -0.59304645   0.           0.        ]]",[-0.70584825 -1.62771729],-0.117784738125,[-0.36180097  0.52300024],[-0.16823168 -0.15218374],-0.117784738125
16,"[-0.38916861 -0.7155461   1.5193184  -0.20555078  0.20347062  0.89189644
  0.93087097 -0.97898354 -0.55061378 -0.94136265  0.        ]","[[ 1.62453436  2.96662923  0.02539732  0.10359763]
 [ 8.30266656 -4.54108176  0.          0.        ]]",[-0.10051568  0.1609616 ],-0.121228747642,[-0.32421818  0.537233  ],[-0.16823168 -0.15218374],-0.121228747642
17,"[-0.61001194 -0.69276178  1.48672943  0.0133465   0.20346967  0.89188919
  0.88297144 -0.87671718 -0.60259254 -0.9635365   0.        ]","[[ 1.78494548  2.88310348  0.02539732  0.10359763]
 [ 7.74031922 -3.81391886  0.          0.        ]]",[-0.44118859 -1.19225236],-0.126721756523,[-0.31477803  0.54048032],[-0.16823168 -0.15218374],-0.126721756523
18,"[-0.79118389 -0.64732842  1.42926185  0.30721718  0.20346871  0.89188195
  0.72113681 -1.42292583 -0.67769355 -0.9936275   0.        ]","[[ 1.9206866   2.76785354  0.02539732  0.10359763]
 [ 5.84013524 -7.69812517  0.          0.        ]]",[-0.4297705   1.07931159],-0.134875265767,[-0.27126315  0.56154639],[-0.16823168 -0.15218374],-0.134875265767
19,"[-0.91743081 -0.58773706  1.37096243  0.58205279  0.20346775  0.8918747
  0.5663816  -0.84467309 -0.75184094 -1.02316753  0.        ]","[[ 2.01925801  2.65514705  0.02539732  0.10359763]
 [ 4.02306236 -3.58622056  0.          0.        ]]",[-0.89644469  1.4322298 ],-0.143348213782,[-0.26208857  0.56346875],[-0.16823168 -0.15218374],-0.143348213782
20,"[-0.97202624 -0.56863306  1.34055506  0.6556595   0.20346679  0.89186746
  0.25734115 -0.27787119 -0.76942042 -1.03911225  0.        ]","[[ 2.06331146  2.62386198  0.02539732  0.10359763]
 [ 0.39438134  0.44428892  0.          0.        ]]",[-0.90488392  1.56627566],-0.146393599963,[-0.24481136  0.56873924],[-0.16823168 -0.15218374],-0.146393599963
21,"[-0.93728629 -0.59778754  1.36025023  0.54095233  0.20346583  0.89186022
 -0.04842683  0.27770935 -0.73636878 -1.02924376  0.        ]","[[ 2.03517692  2.67238666  0.02539732  0.10359763]
 [-3.19587697  4.3950062   0.          0.        ]]",[ 0.05445872 -0.2096428 ],-0.142909987878,[-0.2376312   0.56971931],[-0.16823168 -0.15218374],-0.142909987878
22,"[-0.86016596 -0.63938147  1.39932445  0.34896714  0.20346487  0.89185297
 -0.02467924  0.14873518 -0.68421259 -1.00909601  0.        ]","[[ 1.97405703  2.751085    0.02539732  0.10359763]
 [-2.91704097  3.47788551  0.          0.        ]]",[-0.06172857  0.93357943],-0.137068574482,[-0.24344012  0.56700289],[-0.16823168 -0.15218374],-0.137068574482
23,"[-0.78219716 -0.68387181  1.43270599  0.08072028  0.20346391  0.89184573
 -0.04056577  0.65889399 -0.61008453 -0.99053749  0.        ]","[[ 1.91384456  2.85704076  0.02539732  0.10359763]
 [-3.1035773   7.10560055  0.          0.        ]]",[-0.03027633  0.02212192],-0.13032442601,[-0.25694248  0.55787128],[-0.16823168 -0.15218374],-0.13032442601
24,"[-0.69926707 -0.72193929  1.46192606 -0.2903655   0.20346296  0.89183849
 -0.04554183  0.65142322 -0.50827978 -0.96888063  0.        ]","[[ 1.85118678  2.99862006  0.02539732  0.10359763]
 [-3.1620067   7.05250666  0.          0.        ]]",[-2.09498435  1.44971282],-0.122509008123,[-0.26214758  0.55419922],[-0.16823168 -0.15218374],-0.122509008123
25,"[-0.56072144 -0.73098043  1.4972775  -0.46256921  0.203462    0.89183125
 -0.3774393  -0.33075814 -0.46489268 -0.95424197  0.        ]","[[ 1.74884636  3.06317817  0.02539732  0.10359763]
 [-7.05902129  0.06834449  0.          0.        ]]",[ 0.30290868  1.63934263],-0.118918546627,[-0.20077918  0.58358562],[-0.16823168 -0.15218374],-0.118918546627
26,"[-0.38433846 -0.72931966  1.51938878 -0.42193716  0.20346104  0.891824
 -0.26339793 -0.49284438 -0.48802026 -0.94666302  0.        ]","[[ 1.62110034  3.04798613  0.02539732  0.10359763]
 [-5.72001868 -1.08424253  0.          0.        ]]",[-0.09071775  0.66898722],-0.118921778026,[-0.21971193  0.57651299],[-0.16823168 -0.15218374],-0.118921778026
27,"[-0.22190528 -0.72669592  1.51792099 -0.36863753  0.20346008  0.89181676
 -0.28434159 -0.45735357 -0.5113093  -0.93428739  0.        ]","[[ 1.50423249  3.02802398  0.02539732  0.10359763]
 [-5.96594405 -0.83189209  0.          0.        ]]",[ 0.3582191  -0.98278231],-0.118452097427,[-0.22556099  0.57311487],[-0.16823168 -0.15218374],-0.118452097427
28,"[-0.07847984 -0.71677132  1.49921058 -0.22111527  0.20345912  0.89180952
 -0.15350036 -1.00227663 -0.55753544 -0.90868587  0.        ]","[[ 1.40032725  2.97250808  0.02539732  0.10359763]
 [-4.429692   -4.7067835   0.          0.        ]]",[-0.12284261 -0.06722656],-0.117734520082,[-0.2294021   0.57488787],[-0.16823168 -0.15218374],-0.117734520082
29,"[ 0.04723372 -0.69058663  1.46889432  0.03010947  0.20345816  0.89180228
 -0.18744945 -1.02660213 -0.62547527 -0.85624215  0.        ]","[[ 1.30773387  2.87663625  0.02539732  0.10359763]
 [-4.82831073 -4.87982452  0.          0.        ]]",[ 0.85342448  2.68242494],-0.115845266795,[-0.23061228  0.573861  ],[-0.16823168 -0.15218374],-0.115845266795
30,"[ 0.12935345 -0.66970754  1.44167514  0.1762996   0.2034572   0.89179503
  0.10848526 -0.4561546  -0.659984   -0.81372924  0.        ]","[[ 1.24603031  2.81973802  0.02539732  0.10359763]
 [-1.35364494 -0.8235156   0.          0.        ]]",[ 0.69213935  0.96771482],-0.11360735997,[-0.27845994  0.55187738],[-0.16823168 -0.15218374],-0.11360735997
31,"[ 0.12844074 -0.67829252  1.44199071  0.11971583  0.20345625  0.89178779
  0.34417112  0.08501831 -0.64634294 -0.82519676  0.        ]","[[ 1.24672225  2.84187746  0.02539732  0.10359763]
 [ 1.413623    3.02463465  0.          0.        ]]",[-1.39814651 -1.5139779 ],-0.113853153739,[-0.30978698  0.53823638],[-0.16823168 -0.15218374],-0.113853153739
32,"[ 0.14387882 -0.68559366  1.43618544  0.06784577  0.20345529  0.89178055
  0.00456673 -0.48026868 -0.63331731 -0.83239166  0.        ]","[[ 1.23498823  2.86204002  0.02539732  0.10359763]
 [-2.57374214 -0.99498306  0.          0.        ]]",[ 0.40282919  0.75609787],-0.113717707059,[-0.26823777  0.55585974],[-0.16823168 -0.15218374],-0.113717707059
33,"[ 0.18949403 -0.68914242  1.41775975  0.04113549  0.20345433  0.89177331
  0.14475323 -0.05645751 -0.62574769 -0.82938677  0.        ]","[[ 1.20002784  2.8723767   0.02539732  0.10359763]
 [-0.92778303  2.01860814  0.          0.        ]]",[-1.60476064 -0.29269595],-0.112852342311,[-0.28876576  0.54647756],[-0.16823168 -0.15218374],-0.112852342311
34,"[ 0.26390791 -0.69820906  1.38333262 -0.0324821   0.20345337  0.89176607
 -0.19089891 -0.22508787 -0.60652733 -0.83148659  0.        ]","[[ 1.14193152  2.90071813  0.02539732  0.10359763]
 [-4.86871941  0.81952642  0.          0.        ]]",[-1.53702604 -0.00583312],-0.111776972397,[-0.24802974  0.56174982],[-0.16823168 -0.15218374],-0.111776972397
35,"[ 0.43020551 -0.70288722  1.28463234 -0.0742579   0.20345241  0.89175883
 -0.51990299 -0.23064493 -0.59178763 -0.81334167  0.        ]","[[ 1.00579953  2.9167122   0.02539732  0.10359763]
 [-8.73160804  0.78000442  0.          0.        ]]",[ 0.34570517 -0.37169543],-0.108741056479,[-0.20184557  0.57802248],[-0.16823168 -0.15218374],-0.108741056479
36,"[ 0.60696178 -0.70307413  1.13923614 -0.07603317  0.20345145  0.89175159
 -0.38860638 -0.4397952  -0.58154564 -0.78405028  0.        ]","[[ 0.84663402  2.91739067  0.02539732  0.10359763]
 [-7.19007677 -0.70719733  0.          0.        ]]",[ 1.4223038  -0.47417711],-0.104738657261,[-0.19569905  0.58217788],[-0.16823168 -0.15218374],-0.104738657261
37,"[ 0.70885586 -0.69314082  1.02991769  0.00958232  0.2034505   0.89174435
 -0.03927039 -0.70185226 -0.5851434  -0.74124763  0.        ]","[[ 0.74398456  2.88455046  0.02539732  0.10359763]
 [-3.08853663 -2.57060831  0.          0.        ]]",[-0.72170239  0.80795182],-0.100169047569,[-0.21817139  0.57597488],[-0.16823168 -0.15218374],-0.100169047569
38,"[ 0.7892143  -0.68685446  0.92531416  0.05828109  0.20344954  0.89173711
 -0.27742103 -0.2447959  -0.57977462 -0.71020944  0.        ]","[[ 0.65415948  2.86574584  0.02539732  0.10359763]
 [-5.88465859  0.67931098  0.          0.        ]]",[-1.66330628 -0.13347059],-0.0963378479875,[-0.19315308  0.5828588 ],[-0.16823168 -0.15218374],-0.0963378479875
39,"[ 0.90745471 -0.68962445  0.72610561  0.03721368  0.20344858  0.89172987
 -0.60471657 -0.32104089 -0.55448682 -0.69116136  0.        ]","[[ 0.49791048  2.87389257  0.02539732  0.10359763]
 [-9.72743496  0.13715715  0.          0.        ]]",[ 1.4129217  -0.25757719],-0.0924318489627,[-0.12585583  0.60961831],[-0.16823168 -0.15218374],-0.0924318489627
40,"[ 0.99435145 -0.68706287  0.51400074  0.05665226  0.20344762  0.89172263
 -0.25109661 -0.46484356 -0.52927696 -0.66387826  0.        ]","[[ 0.3450179   2.86637624  0.02539732  0.10359763]
 [-5.5756571  -0.88537036  0.          0.        ]]",[ 0.89893125  1.45939883],-0.0876416705265,[-0.13198532  0.611996  ],[-0.16823168 -0.15218374],-0.0876416705265
41,"[  1.02579478e+00  -6.94410170e-01   4.05691951e-01  -8.70095301e-04
   2.03446664e-01   8.91715388e-01   6.14555578e-02   9.45046255e-02
  -5.15260113e-01  -6.74394301e-01   0.00000000e+00]","[[ 0.27032315  2.88857369  0.02539732  0.10359763]
 [-1.90604719  3.09186565  0.          0.        ]]",[-0.22385769  1.35353642],-0.0879234817886,[-0.17167784  0.59450489],[-0.16823168 -0.15218374],-0.0879234817886
42,"[ 1.04164118 -0.72015913  0.33688394 -0.26622331  0.20344571  0.89170815
 -0.01080732  0.64275522 -0.50546064 -0.75636369  0.        ]","[[ 0.22368971  2.98952429  0.02539732  0.10359763]
 [-2.75446662  6.99020115  0.          0.        ]]",[ 0.78755772  0.58277714],-0.0968814834631,[-0.15779698  0.60040742],[-0.16823168 -0.15218374],-0.0968814834631
43,"[ 1.04843977 -0.72995331  0.30227926 -0.43856634  0.20344475  0.89170091
  0.25939788 -0.31089176 -0.49882145 -0.81243632  0.        ]","[[ 0.20042984  3.05419716  0.02539732  0.10359763]
 [ 0.41793965  0.20935275  0.          0.        ]]",[ 0.12011178  1.04414549],-0.10319044578,[-0.15509135  0.61073029],[-0.16823168 -0.15218374],-0.10319044578
44,"[ 1.04470154 -0.72855645  0.3217081  -0.40708566  0.20344379  0.89169367
  0.29919279 -0.46964534 -0.50080388 -0.80133855  0.        ]","[[ 0.21347633  3.04242017  0.02539732  0.10359763]
 [ 0.88517405 -0.91946679  0.          0.        ]]",[ 0.80356174  0.59819408],-0.101967701642,[-0.15758054  0.61015213],[-0.16823168 -0.15218374],-0.101967701642
45,"[ 1.02846637 -0.72618151  0.39482604 -0.3607681   0.20344283  0.89168643
  0.56868395 -0.44367699 -0.50578575 -0.79060906  0.        ]","[[ 0.26292545  3.02506665  0.02539732  0.10359763]
 [ 4.04919583 -0.73483922  0.          0.        ]]",[ 0.44604989  1.83503816],-0.100954368717,[-0.21769047  0.58515704],[-0.16823168 -0.15218374],-0.100954368717
46,"[ 0.98669567 -0.72448217  0.53656383 -0.33152901  0.20344187  0.89167919
  0.71227512 -0.39477474 -0.51416309 -0.79102667  0.        ]","[[ 0.36082451  3.01409421  0.02539732  0.10359763]
 [ 5.73509086 -0.38714192  0.          0.        ]]",[-0.36728868  0.45421389],-0.101458864193,[-0.26880914  0.56289846],[-0.16823168 -0.15218374],-0.101458864193
47,"[ 0.93180303 -0.72347082  0.67461951 -0.31530863  0.20344091  0.89167195
  0.57873984 -0.37204766 -0.52200786 -0.79686112  0.        ]","[[ 0.45979676  3.00800094  0.02539732  0.10359763]
 [ 4.16735894 -0.22555871  0.          0.        ]]",[ 0.11951013 -0.21743993],-0.102583078322,[-0.26055095  0.56126189],[-0.16823168 -0.15218374],-0.102583078322
48,"[ 0.87326249 -0.72114336  0.79090471 -0.28047128  0.20343996  0.89166471
  0.61200861 -0.49250425 -0.53114028 -0.7967174   0.        ]","[[ 0.54706332  2.99489621  0.02539732  0.10359763]
 [ 4.55799487 -1.08206002  0.          0.        ]]",[ 0.34566892  1.51253573],-0.103084659077,[-0.26910609  0.55714941],[-0.16823168 -0.15218374],-0.103084659077
49,"[ 0.7917451  -0.72324483  0.92153291 -0.31192053  0.203439    0.89165748
  0.7208992  -0.14310947 -0.53026911 -0.8236788   0.        ]","[[ 0.65105099  3.00672848  0.02539732  0.10359763]
 [ 5.83647719  1.40222583  0.          0.        ]]",[-0.43683135  0.48092489],-0.106207259162,[-0.31364691  0.54061574],[-0.16823168 -0.15218374],-0.106207259162
