timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 1.07150071  1.29885228  0.09937735 -1.16779382 -0.34428335 -1.25230845
  0.16616868 -0.31501811  2.21198755  2.15751882  0.        ]","[[ 0.03954987  0.06193929 -0.03834889 -0.14449241]
 [-0.00480995  0.00340144  0.          0.        ]]",[-2.24411852  0.05377629],-0.294664042245,[-2.70801353 -0.47029483],[-0.97747082 -0.84550118],-0.294664042245
1,"[ 1.07262846  1.29866789  0.04030175 -1.16207493 -0.34428317 -1.25230693
 -0.43371177 -0.27643641  2.21639968  2.04345479  0.        ]","[[ -2.36741653e-04   6.41584788e-02  -3.83488917e-02  -1.44492405e-01]
 [ -3.96067925e+00   2.17797167e-01   0.00000000e+00   0.00000000e+00]]",[-2.94820032 -0.93045069],-0.290718833501,[-3.00318694 -0.56483448],[-0.97747082 -0.84550118],-0.290718833501
2,"[ 1.0625309   1.30070594 -0.13469544 -1.24622787 -0.34428299 -1.25230541
 -1.02149645 -0.939933    2.20703498  1.64392605  0.        ]","[[-0.11834044  0.03152141 -0.03834889 -0.14449241]
 [-7.83678731 -3.46922136  0.          0.        ]]",[-3.81381659  0.19487048],-0.276210291268,[-3.06827736 -0.13417375],[-0.97747082 -0.84550118],-0.276210291268
3,"[ 1.00239309  1.30078806 -0.41696303 -1.40351841 -0.34428281 -1.25230389
 -1.59791976 -0.78845237  2.10016736  0.98956392  0.        ]","[[ -0.31321471  -0.02941729  -0.03834889  -0.14449241]
 [-11.63798495  -2.62745527   0.           0.        ]]",[-2.24647869  0.76823012],-0.249196795519,[-2.60301065  0.58182251],[-0.97747082 -0.84550118],-0.249196795519
4,"[ 0.83387463  1.2996586  -0.77744823 -1.45895386 -0.34428262 -1.25230237
 -2.16307145 -0.2314241   1.81918644  0.24955953  0.        ]","[[ -0.58336747  -0.05090951  -0.03834889  -0.14449241]
 [-15.36487609   0.46791866   0.           0.        ]]",[-1.51194012  1.15874907],-0.211806083689,[-1.31054056  1.28447354],[-0.97747082 -0.84550118],-0.211806083689
5,"[ 0.49516049  1.30134784 -1.14752601 -1.3324919  -0.34428244 -1.25230085
 -2.71708687  0.47971871  1.33213441 -0.42501543  0.        ]","[[ -9.27321623e-01  -1.90150561e-03  -3.83488917e-02  -1.44492405e-01]
 [ -1.90183689e+01   4.41969877e+00   0.00000000e+00   0.00000000e+00]]",[ 0.02348988  0.93751732],-0.165870689931,[ 0.38577658  1.71531367],[-0.97747082 -0.84550118],-0.165870689931
6,"[ 0.01102635  1.29149762 -1.39160099 -1.01121515 -0.34428226 -1.25229933
 -2.64616237  1.13195014  0.72663976 -0.84815235  0.        ]","[[ -1.30299685   0.12285774  -0.03834889  -0.14449241]
 [-18.55072609   8.04411576   0.           0.        ]]",[ 1.50572622  0.43347379],-0.119427581131,[ 1.57547724  1.48862934],[-0.97747082 -0.84550118],-0.119427581131
7,"[-0.45730894  1.24322837 -1.44187873 -0.56629705 -0.34428208 -1.25229781
 -1.99075142  1.41182027  0.21850911 -0.96842279  0.        ]","[[ -1.63064681   0.29934422  -0.03834889  -0.14449241]
 [-14.2286629    9.59934824   0.           0.        ]]",[ 1.97062732  0.95176695],-0.0853501962712,[ 1.63223064  0.87067544],[-0.97747082 -0.84550118],-0.0853501962712
8,"[-0.80022268  1.12387945 -1.37735489 -0.02872114 -0.3442819  -1.25229629
 -1.34840897  2.05546871 -0.04772672 -0.91225659  0.        ]","[[ -1.87272044   0.52721758  -0.03834889  -0.14449241]
 [ -9.99275481  13.17609364   0.           0.        ]]",[ 0.54727179 -0.09714867],-0.0669982368487,[ 0.68854547 -0.29080933],[-0.97747082 -0.84550118],-0.0669982368487
9,"[-1.03510873  0.91961504 -1.27801951  0.49576187 -0.34428171 -1.25229477
 -0.99009845  1.93911642 -0.12867285 -0.78505402  0.        ]","[[ -2.04886854   0.78425228  -0.03834889  -0.14449241]
 [ -7.62988538  12.52955396   0.           0.        ]]",[ 0.45573448 -1.80163481],-0.055396091433,[ 0.19078368 -0.93775481],[-0.97747082 -0.84550118],-0.055396091433
10,"[-1.1991874   0.70865383 -1.17577923  0.83436896 -0.34428153 -1.25229325
 -0.6936004   1.18179521 -0.1661618  -0.64862273  0.        ]","[[-2.18184859  0.99261892 -0.03834889 -0.14449241]
 [-5.67463487  8.32115925  0.          0.        ]]",[-0.49009625 -0.45957247],-0.0451832295855,[ 0.12633225 -1.02961969],[-0.97747082 -0.84550118],-0.0451832295855
11,"[-1.34740668  0.54121306 -1.05322739  1.01717306 -0.34428135 -1.25229173
 -0.97058007  0.8247426  -0.25853758 -0.52368898  0.        ]","[[-2.31366708  1.13913503 -0.03834889 -0.14449241]
 [-7.50118026  6.3370362   0.          0.        ]]",[ 0.85514922 -0.0528806 ],-0.0333463922429,[ 1.12297034 -0.74138969],[-0.97747082 -0.84550118],-0.0333463922429
12,"[-1.46256668  0.39098244 -0.93119371  1.13226198 -0.34428117 -1.25229021
 -0.4349562   0.76430208 -0.3332423  -0.40255962  0.        ]","[[-2.42825196  1.26250549 -0.03834889 -0.14449241]
 [-3.96901602  6.00117394  0.          0.        ]]",[ 0.21148991 -1.16724571],-0.0228645263745,[ 0.2641415  -0.93539292],[-0.97747082 -0.84550118],-0.0228645263745
13,"[-1.52612271  0.2913402  -0.85004004  1.18646609 -0.34428099 -1.25228869
 -0.29600578  0.03032875 -0.37010874 -0.32003609  0.        ]","[[-2.49843864  1.34160638 -0.03834889 -0.14449241]
 [-3.05271032  1.92251575  0.          0.        ]]",[-0.00691318 -0.46904915],-0.0163912619891,[ 0.49818948 -0.01904559],[-0.97747082 -0.84550118],-0.0163912619891
14,"[-1.57652635  0.26655141 -0.77628024  1.19738713 -0.3442808  -1.25228717
 -0.29093519 -0.31074806 -0.451073   -0.27457562  0.        ]","[[-2.55915739  1.36104004 -0.03834889 -0.14449241]
 [-3.01927335  0.02716656  0.          0.        ]]",[ 0.29655043 -0.10041022],-0.0139333657176,[ 0.90451443  0.52319324],[-0.97747082 -0.84550118],-0.0139333657176
15,"[-1.61324319  0.27096498 -0.71581212  1.19551398 -0.34428062 -1.25228565
 -0.10390777 -0.38244415 -0.53395397 -0.24431942  0.        ]","[[-2.6071683   1.35758591 -0.03834889 -0.14449241]
 [-1.78592492 -0.3712463   0.          0.        ]]",[ 0.76490565  0.70937428],-0.0168946700204,[ 0.78052759  0.65632963],[-0.97747082 -0.84550118],-0.0168946700204
16,"[-1.6169014   0.24430768 -0.70941149  1.20633992 -0.34428044 -1.25228413
  0.36036753  0.12422133 -0.5193014  -0.23031747  0.        ]","[[-2.61216844  1.37840991 -0.03834889 -0.14449241]
 [ 1.27572956  2.44426867  0.          0.        ]]",[-1.12877784 -0.87117163],-0.0151906392366,[-0.5496614  -0.31303108],[-0.97747082 -0.84550118],-0.0151906392366
17,"[-1.62729295  0.22658347 -0.69082877  1.21290798 -0.34428026 -1.25228261
 -0.243438   -0.50508859 -0.52750606 -0.2130163   0.        ]","[[-2.62660417  1.39220839 -0.03834889 -0.14449241]
 [-2.70605182 -1.05277501  0.          0.        ]]",[ 1.09828843  1.00434993],-0.0150601508487,[ 1.12470913  0.81347477],[-0.97747082 -0.84550118],-0.0150601508487
18,"[-1.63704262  0.20227032 -0.67280791  1.22110847 -0.34428008 -1.2522811
  0.36464962  0.21105727 -0.52926179 -0.19333711  0.        ]","[[-2.64049163  1.41108126 -0.03834889 -0.14449241]
 [ 1.30396643  2.92680891  0.          0.        ]]",[ 0.2920439   0.19722982],-0.0144536723146,[-0.55828726 -0.48007494],[-0.97747082 -0.84550118],-0.0144536723146
19,"[-1.61021272  0.11699624 -0.72103416  1.2425841  -0.34427989 -1.25227958
  0.53598706  0.34112208 -0.39923546 -0.1778595   0.        ]","[[-2.60307604  1.47686916 -0.03834889 -0.14449241]
 [ 2.43384806  3.64957262  0.          0.        ]]",[-1.35116306 -1.37148998],-0.00610341686319,[-1.35986507 -1.00043225],[-0.97747082 -0.84550118],-0.00610341686319
