timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 1.06956089  1.92272537  0.04563025 -0.87118583  0.06527744 -0.46215101
  0.22895109 -0.35481534  1.18928803  0.33959545  0.        ]","[[ 0.0067404  -0.04974427  0.00887147 -0.05398877]
 [-0.00437625  0.00098292  0.          0.        ]]",[-0.76257915  0.9849227 ],-0.207133436739,[-0.35873166  0.99653065],[-0.19879726 -0.13496234],-0.207133436739
1,"[  1.06919602e+00   1.92423334e+00  -6.50123969e-04  -7.57534898e-01
   6.52772257e-02  -4.62149182e-01  -3.80446127e-02   1.95913273e-01
   1.18936186e+00   3.22615652e-01   0.00000000e+00]","[[-0.02362862 -0.01058418  0.00887147 -0.05398877]
 [-3.02247134  3.90202132  0.          0.        ]]",[ 0.71880978  1.44291893],-0.206655675644,[-0.32477161  0.98901635],[-0.19879726 -0.13496234],-0.206655675644
2,"[ 1.06747289  1.91691534 -0.048367   -0.41844512  0.06527701 -0.46214735
  0.2186643   0.74384132  1.187901    0.37415128  0.        ]","[[-0.05496342  0.10639766  0.00887147 -0.05398877]
 [-0.12065953  7.78323193  0.          0.        ]]",[-0.94891362  0.99540549],-0.208003252283,[-0.45373338  0.94815528],[-0.19879726 -0.13496234],-0.208003252283
3,"[ 1.0632816   1.86607657 -0.10925468  0.13149027  0.0652768  -0.46214553
 -0.1133325   1.2787078   1.17040542  0.47877552  0.        ]","[[ -9.50300124e-02   3.00076064e-01   8.87147430e-03  -5.39887713e-02]
 [ -3.87349973e+00   1.15719681e+01   0.00000000e+00   0.00000000e+00]]",[ 0.17422268  1.83757821],-0.209349901477,[-0.43253523  0.91597635],[-0.19879726 -0.13496234],-0.209349901477
4,"[ 1.05067246  1.71915506 -0.21471351  0.83749951  0.06527658 -0.4621437
 -0.04568718  1.80529292  1.11735017  0.59307043  0.        ]","[[ -1.64828783e-01   5.68941545e-01   8.87147430e-03  -5.39887713e-02]
 [ -3.10885261e+00   1.53021517e+01   0.00000000e+00   0.00000000e+00]]",[-1.01052797  2.17561725],-0.207320013263,[-0.44871742  0.87309778],[-0.19879726 -0.13496234],-0.207320013263
5,"[ 1.02050351  1.41965162 -0.36541151  1.56860921  0.06527637 -0.46214187
 -0.39032319  2.32163856  1.00752816  0.70011122  0.        ]","[[ -2.66092242e-01   9.11685550e-01   8.87147430e-03  -5.39887713e-02]
 [ -7.00455144e+00   1.89599969e+01   0.00000000e+00   0.00000000e+00]]",[-0.84930229  0.2153773 ],-0.199005612711,[-0.36385143  0.82186186],[-0.19879726 -0.13496234],-0.199005612711
6,"[ 0.93767961  0.97604788 -0.61173895  2.06758326  0.06527616 -0.46214004
 -0.67535449  2.38906786  0.85249007  0.70677991  0.        ]","[[ -4.38508677e-01   1.29568238e+00   8.87147430e-03  -5.39887713e-02]
 [ -1.02265038e+01   1.94380049e+01   0.00000000e+00   0.00000000e+00]]",[-0.32813814  0.44893373],-0.18050200338,[-0.289442    0.76675689],[-0.19879726 -0.13496234],-0.18050200338
7,"[ 0.78191499  0.45672218 -0.89187208  2.15312346  0.06527594 -0.46213822
 -0.77236495  2.58557784  0.65401638  0.65398202  0.        ]","[[ -6.54041269e-01   1.69841391e+00   8.87147430e-03  -5.39887713e-02]
 [ -1.13231271e+01   2.08304713e+01   0.00000000e+00   0.00000000e+00]]",[-0.88689125  1.97115693],-0.153639145075,[-0.29580635  0.6849311 ],[-0.19879726 -0.13496234],-0.153639145075
8,"[ 0.52735435 -0.09081172 -1.17113107  1.7021678   0.06527573 -0.46213639
 -1.0631496   3.0861694   0.38729993  0.57606286  0.        ]","[[ -9.13482648e-01   2.15061075e+00   8.87147430e-03  -5.39887713e-02]
 [ -1.46101508e+01   2.43773014e+01   0.00000000e+00   0.00000000e+00]]",[-1.57656751 -1.68001895],-0.118287709401,[-0.22456008  0.64153743],[-0.19879726 -0.13496234],-0.118287709401
9,"[ 0.12515094 -0.48876235 -1.40728671  0.7858852   0.06527552 -0.46213456
 -1.38782891  2.45893103  0.09636919  0.47700838  0.        ]","[[ -1.24250838e+00   2.59357966e+00   8.87147430e-03  -5.39887713e-02]
 [ -1.82803770e+01   1.99343592e+01   0.00000000e+00   0.00000000e+00]]",[-1.44925541  1.56975971],-0.0817831690495,[-0.04464149  0.64756727],[-0.19879726 -0.13496234],-0.0817831690495
