timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 1.05099752  1.35100606 -0.07930227 -1.11593343  1.24118792  0.94767771
  0.17690019 -0.3185072   0.25939158 -1.65338571  0.        ]","[[-0.07488298  0.04473308  0.14296496  0.10888765]
 [-0.00056234  0.00110302  0.          0.        ]]",[ 2.86592078  2.909092  ],-0.137018301279,[ 2.55107665  2.18881392],[-0.82011724 -0.66070491],-0.137018301279
1,"[ 1.05418688  1.34774181 -0.02054502 -1.01359862  1.24118605  0.94767664
  0.72923486  0.35751639  0.26074312 -1.49070679  0.        ]","[[-0.03521901  0.08446732  0.14296496  0.10888765]
 [ 3.95380225  3.95913476  0.          0.        ]]",[ 0.35520222  1.24032097],-0.126159970883,[ 0.57461035  0.96417916],[-0.82011724 -0.66070491],-0.126159970883
2,"[ 1.05270472  1.32626523  0.11645658 -0.71204291  1.24118417  0.94767557
  0.91437653  1.02032782  0.22411746 -1.07943106  0.        ]","[[ 0.05715592  0.20258616  0.14296496  0.10888765]
 [ 5.27930389  7.8398149   0.          0.        ]]",[-1.99669168 -0.2324204 ],-0.0980103658654,[-0.783104    0.05997348],[-0.82011724 -0.66070491],-0.0980103658654
3,"[ 1.04422211  1.27577334  0.21227713 -0.34970665  1.24118229  0.9476745
  0.34730752  0.83689438  0.13548412 -0.71920837  0.        ]","[[ 0.12200857  0.348607    0.14296496  0.10888765]
 [ 1.2194589   6.76584138  0.          0.        ]]",[ 0.30415017 -0.11399845],-0.0717324455483,[ 0.1927973   0.30550086],[-0.82011724 -0.66070491],-0.0717324455483
4,"[ 1.03682468  1.20969713  0.26549176 -0.04396938  1.24118042  0.94767343
  0.51204761  0.73684388  0.03461923 -0.47470766  0.        ]","[[ 0.15823127  0.4780465   0.14296496  0.10888765]
 [ 2.39889333  6.18006309  0.          0.        ]]",[-0.53507684  0.044418  ],-0.052250179188,[-0.55513108 -0.04496235],[-0.82011724 -0.66070491],-0.052250179188
5,"[ 1.03027537  1.12855622  0.30388845  0.23066297  1.24117854  0.94767236
  0.20976011  0.74611623 -0.07796576 -0.28095321  0.        ]","[[ 0.18449543  0.60219255  0.14296496  0.10888765]
 [ 0.23471372  6.23435547  0.          0.        ]]",[-0.34881703 -0.46846648],-0.0353619582954,[-0.12218148 -0.28382021],[-0.82011724 -0.66070491],-0.0353619582954
6,"[ 1.03267846  1.04740963  0.29047204  0.44522603  1.24117666  0.94767129
  0.01645913  0.40829621 -0.15437029 -0.20197713  0.        ]","[[ 0.17530481  0.70703492  0.14296496  0.10888765]
 [-1.14919385  4.25646719  0.          0.        ]]",[ 0.33505922 -0.23386531],-0.0262080640582,[ 0.38685238 -0.0867703 ],[-0.82011724 -0.66070491],-0.0262080640582
7,"[ 1.03502308  0.9827992   0.27665131  0.5875271   1.24117478  0.94767022
  0.20484279  0.23566584 -0.20996233 -0.15759664  0.        ]","[[ 0.16585284  0.78202327  0.14296496  0.10888765]
 [ 0.19950917  3.24574133  0.          0.        ]]",[-0.74026274  0.63991476],-0.0200695563104,[-0.10291749 -0.21229696],[-0.82011724 -0.66070491],-0.0200695563104
8,"[ 1.04069571  0.89888316  0.23934432  0.74425554  1.24117291  0.94766914
 -0.20490234  0.65761686 -0.26486176 -0.13933358  0.        ]","[[ 0.14041042  0.87172524  0.14296496  0.10888765]
 [-2.73399345  5.71620748  0.          0.        ]]",[ 0.90616963 -2.13995076],-0.0144467336322,[ 0.63480067 -0.75174534],[-0.82011724 -0.66070491],-0.0144467336322
9,"[ 1.04416997  0.82523879  0.2126435   0.86081063  1.24117103  0.94766807
  0.30361479 -0.03819317 -0.31499849 -0.12295012  0.        ]","[[ 0.12225816  0.94517479  0.14296496  0.10888765]
 [ 0.90664917  1.64234059  0.          0.        ]]",[-0.59225236  0.37928705],-0.0093559066707,[-0.33941272 -0.20344263],[-0.82011724 -0.66070491],-0.0093559066707
