timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 1.05014768  1.32735505  0.07919138 -1.47508415  1.69456918 -0.5150922
  0.17812198 -0.3177244  -0.27897747  0.63077521  0.        ]","[[ 0.02589788 -0.08176562  0.19711274 -0.05880776]
 [-0.00263718 -0.00021079  0.          0.        ]]",[-1.2696067   0.75640078],-0.0566917251505,[-1.86389077  0.54700416],[-0.86756068 -0.69907087],-0.0566917251505
1,"[ 1.05049568  1.32991857  0.02001407 -1.39747133  1.69456548 -0.51509184
 -0.39368675  0.20271207 -0.27939038  0.56436781  0.        ]","[[-0.01385655 -0.0517042   0.19711274 -0.05880776]
 [-3.95962549  2.99636225  0.          0.        ]]",[ 0.05693848  0.40964834],-0.0517844143201,[-0.55527866  0.19769439],[-0.86756068 -0.69907087],-0.0517844143201
2,"[ 1.04472735  1.3312613  -0.09317422 -1.20189985  1.69456179 -0.51509147
 -0.34990746  0.47410002 -0.28344176  0.46330095  0.        ]","[[-0.09000942  0.02390113  0.19711274 -0.05880776]
 [-3.65666909  4.55896246  0.          0.        ]]",[-0.5908519  -0.31409583],-0.0442774028802,[-0.66551483 -0.14152214],[-0.86756068 -0.69907087],-0.0442774028802
3,"[ 1.02550093  1.32501108 -0.23446193 -1.00102154  1.69455809 -0.5150911
 -0.67714192  0.24257431 -0.29831809  0.31213018  0.        ]","[[-0.18586319  0.10170523  0.19711274 -0.05880776]
 [-5.92117335  3.22588444  0.          0.        ]]",[-0.24690064 -0.54212728],-0.0328992619734,[ 0.65933824  0.1376954 ],[-0.86756068 -0.69907087],-0.0328992619734
4,"[ 0.97977727  1.3183673  -0.4176115  -0.89229002  1.69455439 -0.51509073
 -0.80123649 -0.14128018 -0.34203438  0.02812605  0.        ]","[[-0.31290276  0.14404772  0.19711274 -0.05880776]
 [-6.77992704  1.01572755  0.          0.        ]]",[ 1.79974279  1.41270081],-0.0115268388197,[ 1.85380149  0.69905573],[-0.86756068 -0.69907087],-0.0115268388197
5,"[ 0.93115161  1.30511474 -0.54932466 -0.7398473   1.6945507  -0.51509037
 -0.21042499  0.54264252 -0.38304496 -0.13812688  0.        ]","[[-0.40748046  0.20387229  0.19711274 -0.05880776]
 [-2.6914459   4.95361607  0.          0.        ]]",[-0.56092378  0.1026022 ],-0.00391245073008,[ 0.27072042 -0.16493067],[-0.86756068 -0.69907087],-0.00391245073008
6,"[ 0.8836738   1.27214712 -0.65081818 -0.48412397  1.694547   -0.51509
 -0.5234072   0.59630831 -0.41041889 -0.19001968  0.        ]","[[-0.48304015  0.30604499  0.19711274 -0.05880776]
 [-4.8573194   5.26261517  0.          0.        ]]",[ 1.31040233 -0.41039018],-0.00701120936733,[ 1.21538317 -0.28734216],[-0.86756068 -0.69907087],-0.00701120936733
7,"[ 0.84334822  1.23358854 -0.72414296 -0.27056266  1.69454331 -0.51508963
  0.06223412  0.29572485 -0.43284581 -0.21006138  0.        ]","[[-0.53952471  0.39393252  0.19711274 -0.05880776]
 [-0.80461924  3.53191977  0.          0.        ]]",[ 0.45384012 -0.33661499],-0.00888017469938,[-0.00273874 -0.22921988],[-0.86756068 -0.69907087],-0.00888017469938
8,"[ 0.8449088   1.20392897 -0.72147578 -0.13708526  1.69453961 -0.51508926
  0.32405844  0.05197674 -0.42416126 -0.12322242  0.        ]","[[-0.53743826  0.45048961  0.19711274 -0.05880776]
 [ 1.00723317  2.12847026  0.          0.        ]]",[-0.36053446 -0.31079268],-0.00253084659987,[-0.74813902 -0.19196692],[-0.86756068 -0.69907087],-0.00253084659987
9,"[ 0.84910066  1.18680911 -0.71425166 -0.0681675   1.69453591 -0.5150889
  0.11513796 -0.1689803  -0.41850142 -0.06551816  0.        ]","[[-0.53179917  0.4802944   0.19711274 -0.05880776]
 [-0.43851667  0.85624682  0.          0.        ]]",[ 0.35872014 -0.09365046],-0.00266193978018,[-0.19030997  0.0200384 ],[-0.86756068 -0.69907087],-0.00266193978018
