timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 1.00160916  1.98320047  0.17255589 -0.66720429  0.97088464  1.08594861
  0.2961988  -0.37012906  0.45160421 -1.02595468  0.        ]","[[ 0.05800286  0.04711258  0.11283536  0.12624955]
 [ 0.00020561 -0.00160633  0.          0.        ]]",[ 1.10920612  0.80852507],-0.145439087365,[ 1.00480807  0.72966391],[-0.26201025 -0.13268109],-0.145439087365
1,"[ 0.99717907  1.98050836  0.23352152 -0.56863471  0.97088117  1.08594426
  0.68649001  0.08619063  0.44083228 -0.922936    0.        ]","[[ 0.09768499  0.07918629  0.11283536  0.12624955]
 [ 3.95484712  3.19831726  0.          0.        ]]",[ 0.15075005 -0.94711213],-0.135857657092,[ 0.33868778  0.40926722],[-0.26201025 -0.13268109],-0.135857657092
2,"[ 0.98032281  1.97736954  0.36214764 -0.48982202  0.97087771  1.08593992
  0.73776898 -0.45765604  0.41076011 -0.74671427  0.        ]","[[ 0.18199536  0.10488851  0.11283536  0.12624955]
 [ 4.47445154 -0.61538462  0.          0.        ]]",[-0.44666021  0.20699405],-0.119233527553,[ 0.18890053  0.46689641],[-0.26201025 -0.13268109],-0.119233527553
3,"[ 0.9583932   1.9778885   0.46877226 -0.50193527  0.97087425  1.08593558
  0.55461774 -0.33893675  0.38152188 -0.62496396  0.        ]","[[ 0.25286497  0.10093364  0.11283536  0.12624955]
 [ 2.61868985  0.21712178  0.          0.        ]]",[ 0.38892826 -0.25129762],-0.107623833225,[ 0.20228113  0.44501507],[-0.26201025 -0.13268109],-0.107623833225
4,"[ 0.93111361  1.97860688  0.56823481 -0.51937204  0.97087079  1.08593123
  0.70138622 -0.48152738  0.3477445  -0.51346833  0.        ]","[[ 0.32015975  0.0952436   0.11283536  0.12624955]
 [ 4.10583523 -0.78279177  0.          0.        ]]",[-0.53378763 -1.54714738],-0.0968650150301,[-0.07442555  0.38585162],[-0.26201025 -0.13268109],-0.0968650150301
5,"[ 0.90151909  1.98351892  0.65526448 -0.68900685  0.97086732  1.08592689
  0.48512067 -1.04384682  0.33038107 -0.45965552  0.        ]","[[ 0.38029064  0.04002392  0.11283536  0.12624955]
 [ 1.91454612 -4.7260362   0.          0.        ]]",[-0.21549107 -1.50026393],-0.0918077209647,[ 0.21696177  0.61583394],[-0.26201025 -0.13268109],-0.0918077209647
6,"[ 0.88530342  1.97881498  0.69704371 -1.09906542  0.97086386  1.08592254
  0.39739828 -1.59509833  0.35307533 -0.5292787   0.        ]","[[ 0.40966373 -0.09328239  0.11283536  0.12624955]
 [ 1.02571304 -8.59171315  0.          0.        ]]",[ 1.09656361  0.8345012 ],-0.0984103924682,[ 0.48893353  0.87125939],[-0.26201025 -0.13268109],-0.0984103924682
7,"[ 0.84867953  1.9496677   0.78068635 -1.5150781   0.9708604   1.0859182
  0.78568199 -1.09984876  0.35134477 -0.55312216  0.        ]","[[ 0.46965154 -0.2302723   0.11283536  0.12624955]
 [ 4.95999107 -5.11883928  0.          0.        ]]",[ 1.01560031 -0.45782767],-0.0996912667541,[-0.10079321  0.62953889],[-0.26201025 -0.13268109],-0.0996912667541
8,"[ 0.74727829  1.90449941  0.96299152 -1.86766139  0.97085694  1.08591386
  1.16648946 -1.34410296  0.29382758 -0.4323787   0.        ]","[[ 0.60756515 -0.34983508  0.11283536  0.12624955]
 [ 8.81854157 -6.83170505  0.          0.        ]]",[-0.8851106   0.09697912],-0.0860950782414,[-0.64085501  0.5176186 ],[-0.26201025 -0.13268109],-0.0860950782414
9,"[ 0.62197791  1.83444843  1.13036968 -2.23760099  0.97085348  1.08590951
  0.80368523 -1.2698442   0.2256544  -0.32971256  0.        ]","[[ 0.7470532  -0.48124467  0.11283536  0.12624955]
 [ 5.14248076 -6.31101211  0.          0.        ]]",[ 0.18248688  0.89072232],-0.0728654334746,[-0.43786454  0.59226072],[-0.26201025 -0.13268109],-0.0728654334746
