timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 1.20203545  2.5525416  -0.21078486 -1.17417244  1.06881006 -0.23360898
 -0.24384631 -0.36823858  0.46498965 -0.00903957  0.        ]",-0.667596,[-0.80634932  4.24427266],-0.0857051001241,[-1.15306687  5.26815891],[-0.34739667 -0.11407191],"[[-0.05008453 -0.09182592  0.12321321 -0.02562361]
 [-0.00119513  0.00224535  0.          0.        ]]"
1,"[ 1.19907926  2.55687907 -0.25796484 -1.0142673   1.0688088  -0.23360885
 -0.3224474   0.13770444  0.46427661 -0.02880112  0.        ]",-0.610321,[-0.82628049  6.07175261],-0.0855040520498,[-0.91206014  5.04401016],[-0.34739667 -0.11407191],"[[-0.08212806 -0.05204118  0.12321321 -0.02562361]
 [-3.19252642  3.96302481  0.          0.        ]]"
2,"[ 1.18168897  2.55559911 -0.39841664 -0.53816498  1.06880755 -0.23360871
 -0.40143498  0.63363138  0.4571364  -0.08840062  0.        ]",-0.679775,[-0.86979013  4.96660981],-0.0846291262228,[-0.54127842  4.74143267],[-0.34739667 -0.11407191],"[[-0.17815565  0.06617247  0.12321321 -0.02562361]
 [-6.39955099  7.84539445  0.          0.        ]]"
3,"[ 1.12414602  2.50731193 -0.6282067   0.23628878  1.0688063  -0.23360858
 -0.4831      1.11973738  0.42869082 -0.18807734  0.        ]",-0.760726,[-0.20498653  3.3712645 ],-0.0823667057385,[-0.16151094  4.35434628],[-0.34739667 -0.11407191],"[[ -0.33941428   0.26126234   0.12321321  -0.02562361]
 [ -9.71528492  11.65088658   0.           0.        ]]"
4,"[ 1.00519893  2.34897578 -0.89552634  1.23850555  1.06880504 -0.23360844
 -0.49837707  1.59606899  0.36687888 -0.2757389   0.        ]",-0.77763,[-0.10351465  4.26688034],-0.0773114871939,[-0.14517021  3.94487643],[-0.34739667 -0.11407191],"[[ -0.53994349   0.53169447   0.12321321  -0.02562361]
 [-10.33557014  15.37987389   0.           0.        ]]"
5,"[ 0.83045939  2.01184606 -1.1413989   2.29097395  1.06880379 -0.23360831
 -0.5034622   2.06292905  0.2657138  -0.29082894  0.        ]",-0.749144,[-0.90723473  3.70041518],-0.0656569456167,[-0.22398292  3.42033625],[-0.34739667 -0.11407191],"[[ -0.74872692   0.87596265   0.12321321  -0.02562361]
 [-10.54204752  19.03473839   0.           0.        ]]"
6,"[ 0.56970973  1.45581249 -1.37342532  3.07031914  1.06880254 -0.23360817
 -0.5867703   2.52061496  0.09458026 -0.26787026  0.        ]",-0.682495,[ 0.04757005  3.46341384],-0.0446564051544,[-0.59097415  3.02586555],[-0.34739667 -0.11407191],"[[ -0.99350397   1.2926089    0.12321321  -0.02562361]
 [-13.92449326  22.6178223    0.           0.        ]]"
7,"[ 0.22499993  0.72210879 -1.54514442  3.1372051   1.06880129 -0.23360804
 -0.57536994  2.96907494 -0.16175604 -0.18455405  0.        ]",-0.640854,[-0.69956532  3.41075204],-0.0160362101644,[-0.86510289  2.95952845],[-0.34739667 -0.11407191],"[[ -1.26735138e+00   1.78019134e+00   1.23213207e-01  -2.56236077e-02]
 [ -1.34616394e+01   2.61287366e+01   0.00000000e+00   0.00000000e+00]]"
8,"[-0.17940346 -0.01656689 -1.61249909  2.09823681  1.06880003 -0.2336079
 -0.6370206   3.40867864 -0.51105747 -0.02933163  0.        ]",-0.719149,[-1.29909551  2.49197594],-0.0438416681356,[-0.9857015   2.99472141],[-0.34739667 -0.11407191],"[[ -1.56169830e+00   2.33729785e+00   1.23213207e-01  -2.56236077e-02]
 [ -1.59647625e+01   2.95703932e+01   0.00000000e+00   0.00000000e+00]]"
9,"[-0.66648479 -0.45816785 -1.5247289  -0.08698327  1.06879878 -0.23360777
 -0.72675193  3.83956113 -0.95052502  0.1728671   0.        ]",-0.880691,[ 0.58832024  2.0695717 ],-0.105428928112,[-1.31500065  3.34264398],[-0.34739667 -0.11407191],"[[ -1.91754702e+00   2.96255246e+00   1.23213207e-01  -2.56236077e-02]
 [ -1.96080034e+01   3.29438693e+01   0.00000000e+00   0.00000000e+00]]"
