timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 1.06563293  1.73416857  0.11293199 -0.50666301 -0.06819473  0.81319647
  0.38530947 -0.31421519  1.22236719 -0.62974525  0.        ]",-1.14441,[ 0.80612478  0.08529554],-0.234131807614,[-0.07029374  1.32155585],[-0.03612764 -0.08091873],"[[ 0.04374437  0.05130705 -0.01038169  0.09549929]
 [ 0.00034362 -0.00300103  0.          0.        ]]"
1,"[ 1.0629836   1.73391777  0.16203227 -0.49830716 -0.06819444  0.8131906
  0.66940524 -0.26786289  1.21805761 -0.57628613  0.        ]",-1.07566,[ 0.71232444  2.1108324 ],-0.231201207935,[-0.06947844  1.31915057],[-0.03612764 -0.08091873],"[[ 0.07574537  0.05462379 -0.01038169  0.09549929]
 [ 3.18913981  0.33355692  0.          0.        ]]"
2,"[ 1.04768125  1.72936584  0.30145582 -0.38184357 -0.06819414  0.81318473
  0.91469642  0.2763985   1.18996416 -0.39504188  0.        ]",-1.09393,[ 1.83008286  1.61974802],-0.220733576349,[-0.06102282  1.30480742],[-0.03612764 -0.08091873],"[[ 0.16715247  0.10094572 -0.01038169  0.09549929]
 [ 5.94241352  4.28546715  0.          0.        ]]"
3,"[ 0.99483035  1.70391994  0.53580749 -0.07204752 -0.06819384  0.81317886
  1.25653163  0.8098203   1.07963234 -0.06448767  0.        ]",-1.04878,[-0.81965017  1.82332834],-0.199036252452,[-0.04947934  1.27309513],[-0.03612764 -0.08091873],"[[ 0.32449779  0.22551641 -0.01038169  0.09549929]
 [ 9.77938782  8.15868815  0.          0.        ]]"
4,"[ 0.90721746  1.62300044  0.76316198  0.40804554 -0.06819354  0.81317299
  0.95030932  1.33304802  0.85498386  0.27140224  0.        ]",-1.04923,[ 1.81661702  0.89883001],-0.170454977879,[-0.03262143  1.21448183],[-0.03612764 -0.08091873],"[[  4.85600494e-01   4.26809584e-01  -1.03816895e-02   9.54992943e-02]
 [  6.34237633e+00   1.19579586e+01   0.00000000e+00   0.00000000e+00]]"
5,"[ 0.7844808   1.44082364  0.97704649  0.98736285 -0.06819324  0.81316712
  1.29156399  1.79035201  0.49829896  0.5309497   0.        ]",-1.05789,[-0.97561852 -0.2436828 ],-0.135070280339,[-0.0072476   1.11616004],[-0.03612764 -0.08091873],"[[  6.50878053e-01   6.99286851e-01  -1.03816895e-02   9.54992943e-02]
 [  1.01728526e+01   1.52786893e+01   0.00000000e+00   0.00000000e+00]]"
6,"[ 0.63435423  1.16640789  1.16285648  1.47544857 -0.06819295  0.81316125
  0.92989344  1.61593008  0.08379014  0.61990814  0.        ]",-1.00299,[-1.89672492  1.09859977],-0.0996987672121,[ 0.0112406  1.0017029],[-0.03612764 -0.08091873],"[[  8.13607131e-01   9.92155450e-01  -1.03816895e-02   9.54992943e-02]
 [  6.11346541e+00   1.40123803e+01   0.00000000e+00   0.00000000e+00]]"
7,"[ 0.54961688  0.80405346  1.24495788  1.8002865  -0.06819265  0.81315538
  0.56663058  2.12312252 -0.22862446  0.5214933   0.        ]",-0.959699,[ 0.1356869  -0.24660511],-0.0716021336119,[ 0.03542199  0.87777776],[-0.03612764 -0.08091873],"[[  8.94967558e-01   1.30935771e+00  -1.03816895e-02   9.54992943e-02]
 [  2.03616009e+00   1.76955444e+01   0.00000000e+00   0.00000000e+00]]"
8,"[ 0.4994458   0.37997724  1.28764231  1.87805253 -0.06819235  0.81314951
  0.61104121  1.94034423 -0.44926553  0.30699955  0.        ]",-0.846618,[-0.34417227  2.85230826],-0.0493463771634,[ 0.04064202  0.8079375 ],[-0.03612764 -0.08091873],"[[  9.40692720e-01   1.64995526e+00  -1.03816895e-02   9.54992943e-02]
 [  2.53467420e+00   1.63686372e+01   0.00000000e+00   0.00000000e+00]]"
9,"[ 0.45813081 -0.05922163  1.31988126  1.6424643  -0.06819205  0.81314364
  0.48531222  2.44095948 -0.57263053  0.01145155  0.        ]",-0.8693,[ 1.30668489  1.59115102],-0.0426203628779,[ 0.04630468  0.76354402],[-0.03612764 -0.08091873],"[[  9.77226960e-01   2.01380604e+00  -1.03816895e-02   9.54992943e-02]
 [  1.12350177e+00   2.00043095e+01   0.00000000e+00   0.00000000e+00]]"
10,"[ 0.38571102 -0.48806689  1.3706738   0.97305573 -0.06819176  0.81313777
  0.83618475  2.9315558  -0.57207882 -0.37236372  0.        ]",-0.929909,[ 0.78480629  1.13523714],-0.0630746329212,[ 0.04849995  0.74173766],[-0.03612764 -0.08091873],"[[  1.03920903e+00   2.44964410e+00  -1.03816895e-02   9.54992943e-02]
 [  5.06180570e+00   2.35676593e+01   0.00000000e+00   0.00000000e+00]]"
11,"[ 0.22361595 -0.75545313  1.46133796 -0.1707923  -0.06819146  0.8131319
  1.10423627  3.41238138 -0.36062121 -0.738765    0.        ]",-0.972765,[ 0.52027309  0.61036289],-0.0957529047136,[ 0.0481876   0.73482549],[-0.03612764 -0.08091873],"[[  1.17063433e+00   2.95604333e+00  -1.03816895e-02   9.54992943e-02]
 [  8.07056306e+00   2.70606482e+01   0.00000000e+00   0.00000000e+00]]"
