timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[ 2.68711853  1.83416843],[ 3.11216778  2.75230231],-0.12961303569,-0.12961303569,"[ 0.97293967  1.57434919 -0.01732615 -0.86586319  1.33529548  1.04779254
  0.24968213 -0.34750752  0.04410713 -1.47983489  0.        ]","[[-0.02400789  0.08832029  0.15376505  0.12157026]
 [-0.00118829  0.00468769  0.          0.        ]]",[-0.2984533  -0.35180515]
1,[ 0.96256042  0.59125626],[-0.12337427 -0.20921942],-0.11791098978,-0.11791098978,"[ 0.97320248  1.56891022  0.04149069 -0.76056638  1.33529297  1.04779105
  0.66307044  0.28825575  0.03555266 -1.3406523   0.        ]","[[ 0.01564379  0.12812553  0.15376505  0.12157026]
 [ 3.95320062  3.96265044  0.          0.        ]]",[-0.2984533  -0.35180515]
2,[ 0.6358552  0.6486879],[ 1.38732299  1.42322691],-0.0963228803748,-0.0963228803748,"[  9.67088294e-01   1.55449815e+00   1.50182261e-01  -5.76397280e-01
   1.33529046e+00   1.04778957e+00   6.03913857e-01   1.42618651e-01
  -5.61420977e-04  -1.09041736e+00   0.00000000e+00]","[[ 0.08903025  0.19828167  0.15376505  0.12157026]
 [ 3.3873271   3.05598388  0.          0.        ]]",[-0.2984533  -0.35180515]
3,[-1.60426772 -0.89787114],[-1.47879033 -1.03935174],-0.0647139102327,-0.0647139102327,"[ 0.94296898  1.52335587  0.30686431 -0.31798884  1.33528796  1.04778809
  1.01031269  0.76868126 -0.09826987 -0.74308468  0.        ]","[[ 0.19578113  0.29850695  0.15376505  0.12157026]
 [ 7.27486004  6.95355371  0.          0.        ]]",[-0.2984533  -0.35180515]
4,[-0.84056866 -0.03747906],[-0.72065037 -0.70211781],-0.0337864533211,-0.0337864533211,"[ 0.90218526  1.4811865   0.4569006  -0.07295113  1.33528545  1.0477866
  0.58188533  0.11078231 -0.2426735  -0.42930584  0.        ]","[[ 0.30015998  0.39648393  0.15376505  0.12157026]
 [ 3.17662528  2.85779285  0.          0.        ]]",[-0.2984533  -0.35180515]
5,[-0.04920691  0.64897239],[ 0.75929169  1.21354538],-0.0242241637987,-0.0242241637987,"[ 0.88513588  1.46668999  0.50525249 -0.00292417  1.33528294  1.04778512
  0.27739508 -0.34469884 -0.29726531 -0.33654815  0.        ]","[[ 0.33446883  0.42518925  0.15376505  0.12157026]
 [ 0.26394325  0.02218734  0.          0.        ]]",[-0.2984533  -0.35180515]
6,[-1.33507323 -0.5615499 ],[-1.06509696 -1.35160409],-0.0138462870566,-0.0138462870566,"[ 0.86571744  1.44482268  0.55447132  0.0935067   1.33528043  1.04778364
  0.5907142   0.2910786  -0.36601926 -0.23629537  0.        ]","[[ 0.36981867  0.46534529  0.15376505  0.12157026]
 [ 3.2610855   3.98022719  0.          0.        ]]",[-0.2984533  -0.35180515]
7,[-0.13688183  0.45538229],[ 1.52284449 -0.23927718],-0.00760650356266,-0.00760650356266,"[ 0.8509255   1.42177938  0.58873785  0.18555451  1.33527792  1.04778215
  0.17055928 -0.3573725  -0.42656885 -0.16069969  0.        ]","[[ 0.39471582  0.50444595  0.15376505  0.12157026]
 [-0.7580148  -0.05671055  0.          0.        ]]",[-0.2984533  -0.35180515]
8,[-1.41611874  0.30200979],[-1.78329444 -0.7141713 ],-0.00785098250934,-0.00785098250934,"[ 0.83535917  1.42821726  0.62236494  0.16068743  1.33527542  1.04778067
  0.58572944 -0.50960987 -0.44759035 -0.12534623  0.        ]","[[ 0.41940201  0.49380258  0.15376505  0.12157026]
 [ 3.21340602 -1.00446726  0.          0.        ]]",[-0.2984533  -0.35180515]
9,[-0.13747689  1.24891889],[ 0.42036288  0.03699753],-0.00894672758008,-0.00894672758008,"[ 0.81941108  1.4558192   0.65463503  0.04621245  1.33527291  1.04777919
  0.16562591 -0.96041273 -0.43712426 -0.11960347  0.        ]","[[ 0.44335014  0.44555488  0.15376505  0.12157026]
 [-0.80519826 -3.81094771  0.          0.        ]]",[-0.2984533  -0.35180515]
10,[-0.55663615  1.22416568],[-0.75887823  0.10639235],-0.012022567794,-0.012022567794,"[ 0.81890397  1.49297486  0.6556263  -0.1344518   1.3352704   1.0477777
  0.34113025 -0.92486064 -0.37911806 -0.17726866  0.        ]","[[ 0.44409048  0.37155653  0.15376505  0.12157026]
 [ 0.87363381 -3.58962543  0.          0.        ]]",[-0.2984533  -0.35180515]
