timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-2.70366287  0.95201886],[-2.47718269  1.97056276],-0.109233506348,-0.109233506348,"[ 0.97507316  1.55325229 -0.11289577 -0.94090634  1.10989382 -0.72012173
  0.24364373 -0.34844266  0.29634768  0.6153373   0.        ]","[[-0.08690747  0.0699609   0.12790506 -0.08304754]
 [-0.00371542 -0.00395075  0.          0.        ]]",[-0.31819907 -0.36816069]
1,[-2.00332975  0.53600204],[-1.92896696  0.33914577],-0.106317855082,-0.106317855082,"[ 0.96828779  1.54874606 -0.1712317  -0.8363192   1.10989224 -0.72012103
 -0.17755677  0.29572434  0.29222285  0.57084079  0.        ]","[[-0.12668702  0.10962592  0.12790506 -0.08304754]
 [-3.96105994  3.95724447  0.          0.        ]]",[-0.31819907 -0.36816069]
2,[-0.93217921  0.32557184],[-0.16227069  1.33739919],-0.0957265636331,-0.0957265636331,"[ 0.93339868  1.53073427 -0.34237572 -0.59616647  1.10989066 -0.72012034
 -0.59031868  0.5016003   0.27016476  0.40825118  0.        ]","[[-0.24481788  0.20147315  0.12790506 -0.08304754]
 [-7.8391218   5.22324492  0.          0.        ]]",[-0.31819907 -0.36816069]
3,[-0.29378462 -0.42823595],[-0.52520631  0.68563276],-0.0823660624803,-0.0823660624803,"[ 0.85072133  1.4818972  -0.56807455 -0.23150186  1.10988908 -0.72011964
 -0.64230268  1.12870665  0.21885282  0.21369526  0.        ]","[[-0.40650073  0.34462955  0.12790506 -0.08304754]
 [-8.32753673  9.07953335  0.          0.        ]]",[-0.31819907 -0.36816069]
4,[ 0.54653394 -1.10431004],[ 0.62911163 -0.88598405],-0.0688442517159,-0.0688442517159,"[ 0.70859433  1.36852622 -0.80825543  0.26162176  1.1098875  -0.72011894
 -0.84603061  1.54104224  0.1336142   0.05724415  0.        ]","[[ -0.59225606   0.55166108   0.12790506  -0.08304754]
 [-10.24164629  11.6151382    0.           0.        ]]",[-0.31819907 -0.36816069]
5,[ 0.64804173 -0.5890488 ],[ 0.37997366 -1.03818305],-0.0549275936939,-0.0549275936939,"[ 0.52967084  1.21970252 -1.01173418  0.67181613  1.10988591 -0.72011824
 -0.55944443  0.9329719   0.02540522 -0.07660992  0.        ]","[[-0.77007366  0.74644679  0.12790506 -0.08304754]
 [-7.5490658   7.87592128  0.          0.        ]]",[-0.31819907 -0.36816069]
6,[ 0.96253145  0.1323418 ],[ 0.81585287 -0.47013311],-0.0438095604985,-0.0438095604985,"[ 0.37006572  1.113744   -1.14434007  0.8850637   1.10988433 -0.72011754
 -0.38341617  0.26359998 -0.07226316 -0.19987601  0.        ]","[[-0.90446147  0.86266602  0.12790506 -0.08304754]
 [-5.89521743  3.75973549  0.          0.        ]]",[-0.31819907 -0.36816069]
7,[ 0.53032535  0.38536227],[ 1.38480089  0.40904536],-0.0376987948179,-0.0376987948179,"[ 0.26059163  1.05886914 -1.21702036  0.97790631  1.10988275 -0.72011685
 -0.02737919 -0.05140333 -0.14054158 -0.29040361  0.        ]","[[-0.98880363  0.91842535  0.12790506 -0.08304754]
 [-2.55011957  1.82267806  0.          0.        ]]",[-0.31819907 -0.36816069]
8,[-0.71424341 -0.20701711],[-0.5188726  -0.35240979],-0.0363607911913,-0.0363607911913,"[ 0.24610016  1.0051931  -1.22570564  1.0590948   1.10988117 -0.72011615
  0.39906278  0.20591988 -0.14715079 -0.245852    0.        ]","[[-0.99960713  0.97075516  0.12790506 -0.08304754]
 [ 1.45645938  3.40504154  0.          0.        ]]",[-0.31819907 -0.36816069]
9,[-0.35228366  0.05339983],[-1.01502243  0.27912041],-0.0369122283409,-0.0369122283409,"[ 0.25717065  0.94837039 -1.21908563  1.13581627  1.10987959 -0.72011545
  0.17753179 -0.03186461 -0.14053017 -0.16465011  0.        ]","[[-0.99136064  1.02418518  0.12790506 -0.08304754]
 [-0.62490204  1.94282948  0.          0.        ]]",[-0.31819907 -0.36816069]
10,[ 0.82830226 -0.08997391],[ 1.66396672  0.22042301],-0.0323711156972,-0.0323711156972,"[ 0.18629093  0.89396911 -1.25944966  1.20122707  1.10987801 -0.72011475
 -0.24232444  0.14178231 -0.1835313  -0.19844475  0.        ]","[[-1.04343681  1.07375568  0.12790506 -0.08304754]
 [-4.5695998   3.0106391   0.          0.        ]]",[-0.31819907 -0.36816069]
11,[-0.17888045 -0.51735121],[ 0.12722317 -0.56136705],-0.0278463576698,-0.0278463576698,"[ 0.11506052  0.816543   -1.29548698  1.28202258  1.10987643 -0.72011405
  0.18841992  0.27383998 -0.22759935 -0.20424566  0.        ]","[[-1.09422449  1.14211592  0.12790506 -0.08304754]
 [-0.52260699  3.82270356  0.          0.        ]]",[-0.31819907 -0.36816069]
12,[-0.36525697 -0.1333326 ],[-0.17839795  0.50384176],-0.0273623229315,-0.0273623229315,"[ 0.10752727  0.75434209 -1.29904662  1.33731942  1.10987485 -0.72011336
  0.24316629 -0.09995754 -0.23586754 -0.14770994  0.        ]","[[-1.09951578  1.19550741  0.12790506 -0.08304754]
 [-0.00824479  1.52410844  0.          0.        ]]",[-0.31819907 -0.36816069]
13,[-0.3588821  -0.64295787],[-0.54337946 -0.08078369],-0.027268810115,-0.027268810115,"[ 0.09717143  0.69465244 -1.30386546  1.38290773  1.10987327 -0.72011266
  0.16799886  0.21959157 -0.24754281 -0.09875656  0.        ]","[[-1.10676648  1.24570514  0.12790506 -0.08304754]
 [-0.7144668   3.48911283  0.          0.        ]]",[-0.31819907 -0.36816069]
14,[ 0.21035862 -0.62363529],[ 1.13350335 -0.2296561 ],-0.0244722918868,-0.0244722918868,"[ 0.04561521  0.61478785 -1.32659684  1.433135    1.10987168 -0.72011196
 -0.05934634  0.15641943 -0.2838364  -0.07924158  0.        ]","[[-1.14248657  1.31158993  0.12790506 -0.08304754]
 [-2.85044961  3.10064925  0.          0.        ]]",[-0.31819907 -0.36816069]
15,[-0.80863184 -0.58937347],[-0.59555092 -0.47989273],-0.0241084535467,-0.0241084535467,"[ 0.02116174  0.55041514 -1.33665952  1.46508849  1.1098701  -0.72011126
  0.36786814 -0.00158654 -0.30578367 -0.04385765  0.        ]","[[-1.15922392  1.36385413  0.12790506 -0.08304754]
 [ 1.16337003  2.12902425  0.          0.        ]]",[-0.31819907 -0.36816069]
16,[-0.21757236 -0.16905989],[-0.18620086  0.63579696],-0.0251016175524,-0.0251016175524,"[ 0.02027413  0.52172928 -1.337014    1.47695814  1.10986852 -0.72011056
  0.11461969 -0.31736651 -0.31146179 -0.01696609  0.        ]","[[-1.15982912  1.3869517   0.12790506 -0.08304754]
 [-1.21597846  0.18720055  0.          0.        ]]",[-0.31819907 -0.36816069]
