timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 1.53736787  0.89508009],-0.260340388576,-0.328525,[ 1.26976085  0.77153707],"[ 1.12619533  1.55683387 -0.25852473 -0.63534107 -0.15080619 -1.30876055
 -0.70372876 -0.28657982  1.32286125  0.84885792  0.        ]","[[-0.09032847 -0.01553033 -0.01713673 -0.14967778]
 [ 0.00415275  0.00425185  0.          0.        ]]",[-0.15671822 -0.02724258]
1,[-0.61613639  0.60075753],-0.267331265076,-0.481165,[ 1.28057837  0.77361953],"[ 1.13004056  1.55671668 -0.1983565  -0.55421586 -0.15080568 -1.30874895
 -0.51540235  0.20853202  1.32854162  0.93789831  0.        ]","[[-0.05056957  0.02009802 -0.01713673 -0.14967778]
 [ 3.95857638  3.54678167  0.          0.        ]]",[-0.15671822 -0.02724258]
2,[ 0.99596348  0.89029189],-0.278905169729,-0.306522,[ 1.29048276  0.77592027],"[ 1.13178476  1.54895843 -0.11657917 -0.34048855 -0.15080518 -1.30873735
 -0.63524674  0.53131296  1.32461474  1.095492    0.        ]","[[  3.35269308e-03   1.14205724e-01  -1.71367348e-02  -1.49677783e-01]
 [  1.44203476e+00   5.85628769e+00   0.00000000e+00   0.00000000e+00]]",[-0.15671822 -0.02724258]
3,[ 2.34926286  0.77259722],-0.293299275804,-0.290582,[ 1.29138684  0.77603555],"[ 1.12827307  1.51395537 -0.01339283 -0.00244649 -0.15080468 -1.30872576
 -0.44902567  1.00758194  1.28631475  1.3157683   0.        ]","[[ 0.07142518  0.26552234 -0.01713673 -0.14967778]
 [ 5.35224126  9.26402065  0.          0.        ]]",[-0.15671822 -0.02724258]
4,[ 0.65943324  1.26321207],-0.313258626523,-0.406064,[ 1.25639892  0.7649287 ],"[ 1.09945412  1.41854091  0.20512131  0.45079523 -0.15080417 -1.30871416
 -0.26569623  1.40928017  1.14107805  1.66972657  0.        ]","[[  0.21709192   0.47964095  -0.01713673  -0.14967778]
 [  9.20173706  12.1382539    0.           0.        ]]",[-0.15671822 -0.02724258]
5,[ 0.3922151 -0.3643925],-0.32886843853,-0.585913,[ 1.10265708  0.72859466],"[ 1.00899732  1.21971515  0.5045535   0.9682573  -0.15080367 -1.30870256
 -0.15012252  1.92890996  0.80697425  2.04147904  0.        ]","[[  0.42547282   0.75971172  -0.01713673  -0.14967778]
 [ 11.62851323  15.85640922   0.           0.        ]]",[-0.15671822 -0.02724258]
6,[ 2.64461777 -2.69212785],-0.329820929164,-0.628153,[ 0.8398267   0.67736471],"[ 0.83293963  0.93095353  0.82206224  1.3855262  -0.15080316 -1.30869096
 -0.08705221  1.68323169  0.32387902  2.24239687  0.        ]","[[  0.6713299    1.0592047   -0.01713673  -0.14967778]
 [ 12.95283695  14.09872047   0.           0.        ]]",[-0.15671822 -0.02724258]
7,[ 1.07537989  0.12460112],-0.316503480736,-0.610768,[ 0.60412484  0.63081986],"[ 0.53594389  0.66024424  1.12772234  1.59323336 -0.15080266 -1.30867936
  0.08933592  1.0905639  -0.17867643  2.21327682  0.        ]","[[  0.96754771   1.29863298  -0.01713673  -0.14967778]
 [ 16.65657113   9.85818508   0.           0.        ]]",[-0.15671822 -0.02724258]
8,[ 1.45132613  0.81983448],-0.287423807188,-0.552783,[ 0.35215181  0.58339715],"[ 0.07361165  0.418846    1.3542561   1.67112292 -0.15080216 -1.30866777
  0.26219647  1.13192162 -0.6370906   1.94816155  0.        ]","[[  1.33709538e+00   1.49876709e+00  -1.71367348e-02  -1.49677783e-01]
 [  2.02862359e+01   1.01541638e+01   0.00000000e+00   0.00000000e+00]]",[-0.15671822 -0.02724258]
9,[ 1.07105838  1.16467694],-0.233327903944,-0.407516,[ 0.17482981  0.55013502],"[-0.52927895  0.13330479  1.36287109  1.6473469  -0.15080165 -1.30865617
  0.43167053  1.55712345 -0.91664739  1.42225114  0.        ]","[[  1.77852133e+00   1.73237742e+00  -1.71367348e-02  -1.49677783e-01]
 [  2.38447978e+01   1.31966504e+01   0.00000000e+00   0.00000000e+00]]",[-0.15671822 -0.02724258]
