timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 3.79669462  3.90687369],-0.398770279927,-5.02417,[ 3.71911287  4.61937428],"[ 1.35054471  2.52081966 -0.34239208 -0.59975477 -1.46469248  1.14650973
 -0.35496909 -0.38554704  2.78195843 -1.09922307  0.        ]","[[ 0.00103904  0.05684832 -0.16833737  0.13303017]
 [ 0.00299871  0.0015358   0.          0.        ]]",[-0.94906282 -0.23681544]
1,[ 4.00276207  3.69734841],-0.394038503823,-4.86825,[ 3.57822466  4.41092396],"[ 1.34935006  2.51622613 -0.28370142 -0.44053126 -1.46469143  1.14650913
 -0.27984592  0.14268658  2.77480405 -0.99856202  0.        ]","[[ 0.04077355  0.09659114 -0.16833737  0.13303017]
 [ 3.95729568  3.95955938  0.          0.        ]]",[-0.94906282 -0.23681544]
2,[ 3.37233104  4.04716522],-0.377450605671,-5.0551,[ 3.33769798  3.94055343],"[ 1.33245721  2.48864841 -0.11027192  0.028104   -1.46469039  1.14650852
 -0.20620631  0.66046414  2.71571464 -0.70598048  0.        ]","[[ 0.15881022  0.21470841 -0.16833737  0.13303017]
 [ 7.83350258  7.8392368   0.          0.        ]]",[-0.94906282 -0.23681544]
3,[ 2.54648366  2.35083896],-0.342369642653,-5.16904,[ 2.973248    3.24373317],"[ 1.26161884  2.39857517  0.16770106  0.772414   -1.46468935  1.14650792
 -0.13401499  1.1679843   2.50258004 -0.27111661  0.        ]","[[  0.35360534   0.40964826  -0.16833737   0.13303017]
 [ 11.63347455  11.64205866   0.           0.        ]]",[-0.94906282 -0.23681544]
4,[ 2.8211145   2.92531313],-0.280336813854,-4.6166,[ 2.49677491  2.6218102 ],"[ 1.07997265  2.18820443  0.51893567  1.69833485 -1.4646883   1.14650732
 -0.06323039  1.66543178  2.0200271   0.15668997  0.        ]","[[  0.62365549   0.67988766  -0.16833737   0.13303017]
 [ 15.35940075  15.36941294   0.           0.        ]]",[-0.94906282 -0.23681544]
5,[ 1.70465802  2.28761588],-0.186896720382,-4.40132,[ 1.89911902  2.00528717],"[ 0.72871101  1.80002006  0.87274379  2.60429601 -1.46468726  1.14650672
  0.00619492  2.15297954  1.26715134  0.30185463  0.        ]","[[  0.96750437   1.02393034  -0.16833737   0.13303017]
 [ 19.01377695  19.02260061   0.           0.        ]]",[-0.94906282 -0.23681544]
6,[ 0.09430734  1.0776247 ],-0.0824363608197,-4.19022,[ 1.21560836  1.62077618],"[ 0.18053866  1.21255239  1.10778915  3.15617741 -1.46468622  1.14650612
  0.07430706  2.63080247  0.51949316 -0.0967534   0.        ]","[[  1.38374595   1.44030597  -0.16833737   0.13303017]
 [ 22.5990312   22.60293841   0.           0.        ]]",[-0.94906282 -0.23681544]
7,[ 1.50484577  1.64748486],-0.113511955629,-3.41444,[ 1.0413481  1.8427856],"[-0.46214228  0.49024571  1.0822736   2.93727393 -1.46468517  1.14650552
  0.07302918  3.09922603  0.29243621 -0.89214726  0.        ]","[[  1.83504942   1.92758084  -0.16833737   0.13303017]
 [ 22.53176762  26.11287233   0.           0.        ]]",[-0.94906282 -0.23681544]
8,[ 0.94838521  3.46669388],-0.202181343686,-2.12526,[ 1.04922056  3.16145396],"[-1.06666218 -0.17636741  0.73692833  1.62689654 -1.46468413  1.14650492
  0.13989708  3.55836824  0.73319895 -1.43967229  0.        ]","[[  2.32099983   2.48435617  -0.16833737   0.13303017]
 [ 26.05152776  29.55329492   0.           0.        ]]",[-0.94906282 -0.23681544]
9,[ 1.1221296   2.94217453],-0.225098999366,-1.51559,[ 0.94825655  4.68321514],"[-1.47308934 -0.48945907  0.04591058 -0.69819647 -1.46468308  1.14650432
  0.20150242  3.18013947  1.24289387 -1.19874179  0.        ]","[[  2.87457812   3.10926648  -0.16833737   0.13303017]
 [ 29.29427969  26.71928951   0.           0.        ]]",[-0.94906282 -0.23681544]
10,[ 1.70399515  4.2098466 ],-0.205893409486,-0.321016,[ 1.98136806  5.57044506],"[-1.43551766 -0.4764163  -0.8543855  -1.3712716  -1.46468204  1.14650372
  0.26567708 -0.63773154  1.19681917 -1.00516641  0.        ]","[[  3.49435234   3.27718545  -0.16833737   0.13303017]
 [ 32.67227446  -1.88805012   0.           0.        ]]",[-0.94906282 -0.23681544]
11,[ 2.60049883  5.5384595 ],-0.207718115609,0.19255,[ 2.69954062  5.64624119],"[-0.81501459 -0.48841442 -1.61770209 -1.02614676 -1.464681    1.14650311
  0.32860702 -1.05418231  1.17704808 -1.06002974  0.        ]","[[  4.18103221   3.19090444  -0.16833737   0.13303017]
 [ 35.98475058  -5.00852242   0.           0.        ]]",[-0.94906282 -0.23681544]
12,[ 3.28617004  5.32867442],-0.209588403869,-0.319309,[ 3.32306576  5.78358746],"[ 0.22820492 -0.48921682 -1.78550865 -0.67958433 -1.46467995  1.14650251
  0.39029325 -0.84382911  1.19009684 -1.06664431  0.        ]","[[  4.93330564   3.10463234  -0.16833737   0.13303017]
 [ 39.23176126  -3.43234683   0.           0.        ]]",[-0.94906282 -0.23681544]
13,[ 3.82739389  4.30074137],-0.203932196748,-1.86915,[ 3.60470724  5.83377838],"[ 1.15094599 -0.48430858 -1.09506412 -0.4716951  -1.46467891  1.14650191
  0.45075705 -0.63254129  1.15167496 -1.04512502  0.        ]","[[  5.74987367   3.05278986  -0.16833737   0.13303017]
 [ 42.41442648  -1.84916725   0.           0.        ]]",[-0.94906282 -0.23681544]
14,[ 4.0557874   3.44264545],-0.19890811198,-2.83267,[ 3.55575275  5.66510582],"[ 1.26523016 -0.48024228  0.15753038 -0.36579836 -1.46467787  1.14650131
  0.51002332 -0.50544525  1.0771065  -1.08091098  0.        ]","[[  6.62946249   3.02629838  -0.16833737   0.13303017]
 [ 45.53405825  -0.89683702   0.           0.        ]]",[-0.94906282 -0.23681544]
