timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 3.0087864   3.31844925],-0.317215938511,-2.69637,[ 2.8223207  2.7614665],"[ 1.22195218  2.21488057 -0.20166423 -0.50713575 -0.62549824 -1.21967865
 -0.46366021 -0.39053077  1.98026537  1.01957181  0.        ]","[[-0.02213382  0.07992406 -0.07244227 -0.14066948]
 [-0.00363662  0.00291918  0.          0.        ]]",[-0.58621675 -0.04588717]
1,[ 2.65681957  0.50515854],-0.322449805337,-2.80256,[ 2.78029752  2.73237014],"[ 1.22207896  2.20934701 -0.14304571 -0.37083615 -0.62549771 -1.21967682
 -0.38111256  0.16951817  1.9739511   1.11877047  0.        ]","[[ 0.01746935  0.11969428 -0.07244227 -0.14066948]
 [ 3.95079802  3.96091642  0.          0.        ]]",[-0.58621675 -0.04588717]
2,[ 3.18130361  3.37221361],-0.335310664966,-2.60582,[ 2.64734793  2.64362192],"[ 1.20954637  2.18625802  0.03088814 -0.03656441 -0.62549719 -1.21967499
 -0.30017964  0.44123425  1.92383745  1.39181735  0.        ]","[[ 0.13538498  0.21817944 -0.07244227 -0.14066948]
 [ 7.82787985  5.88119852  0.          0.        ]]",[-0.58621675 -0.04588717]
3,[ 2.19637148  1.95250383],-0.350173532269,-2.70845,[ 2.39812922  2.43303251],"[ 1.14711483  2.12273751  0.31085488  0.47740487 -0.62549666 -1.21967316
 -0.22085698  0.98481132  1.74460319  1.80032691  0.        ]","[[  0.33006766   0.37434749  -0.07244227  -0.14066948]
 [ 11.6278232    9.72278863   0.           0.        ]]",[-0.58621675 -0.04588717]
4,[ 1.73724814  2.04842862],-0.357279887618,-2.84234,[ 2.05473161  2.14711523],"[ 0.97904329  1.97053186  0.66690948  1.18146122 -0.62549614 -1.21967133
 -0.14308533  1.51760133  1.31863202  2.23664094  0.        ]","[[  0.60000249   0.60658286  -0.07244227  -0.14066948]
 [ 15.35346512  13.48815724   0.           0.        ]]",[-0.58621675 -0.04588717]
5,[ 1.99593743  1.20857054],-0.342125741617,-2.94487,[ 1.70711541  1.86453533],"[ 0.64681891  1.67696188  1.02972589  1.94444626 -0.62549561 -1.2196695
 -0.06681527  2.0397885   0.61169529  2.45046195  0.        ]","[[  0.94372667   0.91337441  -0.07244227  -0.14066948]
 [ 19.00717433  17.17861953   0.           0.        ]]",[-0.58621675 -0.04588717]
6,[ 0.17960039 -0.29992197],-0.290105120512,-2.44498,[ 1.32148004  1.53770185],"[ 0.1212899   1.20693052  1.27852087  2.53054643 -0.62549509 -1.21966767
  0.00800493  2.551553   -0.1681231   2.15945063  0.        ]","[[  1.35982653   1.29323684  -0.07244227  -0.14066948]
 [ 22.59142747  20.79546607   0.           0.        ]]",[-0.58621675 -0.04588717]
7,[ 1.62201802  1.52791713],-0.205688605289,-1.93035,[ 1.21253681  1.46016753],"[-0.50618755  0.65474266  1.26764808  2.63664569 -0.62549456 -1.21966584
  0.01363377  2.32492996 -0.54860167  1.43978731  0.        ]","[[  1.81436134   1.69307752  -0.07244227  -0.14066948]
 [ 22.86107699  19.19392374   0.           0.        ]]",[-0.58621675 -0.04588717]
8,[ 0.80851008  0.46912009],-0.112613136031,-1.3499,[ 1.37448204  1.67642772],"[-1.10525812  0.1054451   0.92817645  2.16860346 -0.62549404 -1.21966402
  0.08693175  2.83101566 -0.33857663  0.74221449  0.        ]","[[  2.30680985   2.11284288  -0.07244227  -0.14066948]
 [ 26.37240671  22.77068529   0.           0.        ]]",[-0.58621675 -0.04588717]
9,[ 2.54537567  2.48113832],-0.0997735187036,-0.43678,[ 1.86595631  2.40332794],"[-1.50856791 -0.35718764  0.24073322  1.0453272  -0.62549351 -1.21966219
  0.14296618  3.02970213  0.23410957  0.56167993  0.        ]","[[  2.86119286   2.5823451   -0.07244227  -0.14066948]
 [ 29.05672886  24.17499684   0.           0.        ]]",[-0.58621675 -0.04588717]
10,[ 2.21165055  2.42147647],-0.162621703127,-0.619173,[ 2.15870738  2.96674657],"[-1.48566522 -0.56846483 -0.65518322 -0.64153039 -0.62549299 -1.21966036
  0.21366238  2.77190498  0.48562003  0.97930338  0.        ]","[[  3.476316     3.1007569   -0.07244227  -0.14066948]
 [ 32.4434209   22.35315626   0.           0.        ]]",[-0.58621675 -0.04588717]
