timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 3.7361154   4.33106096],-0.265908956473,-4.0624,[ 3.31713009  3.37227631],"[ 1.31182467  2.46305803 -0.30547335 -0.71823078 -0.45082476 -0.40385402
 -0.364891   -0.38815828  1.87911386  0.2746097   0.        ]","[[-0.0090492   0.02573981 -0.05172152 -0.04618144]
 [-0.00395876 -0.00242477  0.          0.        ]]",[-0.85265881 -0.15061867]
1,[ 2.67873989  1.07494838],-0.267921112749,-4.10806,[ 3.14888787  3.26737881],"[ 1.31121851  2.46037189 -0.24710502 -0.56383691 -0.4508246  -0.40385388
 -0.2893961   0.14717599  1.87504494  0.37510155  0.        ]","[[ 0.03054749  0.06540419 -0.05172152 -0.04618144]
 [ 3.95046929  3.95567644  0.          0.        ]]",[-0.85265881 -0.15061867]
2,[ 2.84183488  2.83047606],-0.272402802325,-4.01489,[ 2.88910127  3.07254124],"[ 1.2962429   2.4386419  -0.07408482 -0.10767768 -0.45082444 -0.40385375
 -0.21539245  0.6719139   1.82505913  0.66919381  0.        ]","[[ 0.14844878  0.18344458 -0.05172152 -0.04618144]
 [ 7.82678611  7.83543208  0.          0.        ]]",[-0.85265881 -0.15061867]
3,[ 2.82892672  2.18057569],-0.274690664387,-3.96424,[ 2.52242661  2.76921654],"[ 1.22900424  2.35861082  0.20383161  0.62076047 -0.45082429 -0.40385361
 -0.14284492  1.18625693  1.62564233  1.11113143  0.        ]","[[  0.34311038   0.37830915  -0.05172152  -0.04618144]
 [ 11.62683119  11.63833447   0.           0.        ]]",[-0.85265881 -0.15061867]
4,[ 2.26730093  1.99484743],-0.267130136855,-4.02919,[ 1.99382055  2.360816  ],"[ 1.05297373  2.16231316  0.55607281  1.53503459 -0.45082413 -0.40385348
 -0.07171186  1.69039215  1.156334    1.55596859  0.        ]","[[  0.61302801   0.64847488  -0.05172152  -0.04618144]
 [ 15.35278595  15.36577164   0.           0.        ]]",[-0.85265881 -0.15061867]
5,[ 0.93052086  0.83760412],-0.240169851824,-3.91455,[ 0.99330384  1.97157693],"[  7.09275043e-01   1.79080470e+00   9.12802176e-01   2.44451916e+00
  -4.50823975e-01  -4.03853340e-01  -1.94544015e-03   2.18449407e+00
   4.06171098e-01   1.72777204e+00   0.00000000e+00]","[[  0.95674458   0.99244556  -0.05172152  -0.04618144]
 [ 19.00715631  19.01904062   0.           0.        ]]",[-0.85265881 -0.15061867]
6,[ 0.43322557  1.64323238],-0.186454873856,-3.56837,[ 0.28712389  1.75366485],"[ 0.17348095  1.22849926  1.15252519  3.02307841 -0.45082382 -0.4038532
  0.06125309  2.58178269 -0.35424635  1.36046549  0.        ]","[[  1.37009613   1.40229996  -0.05172152  -0.04618144]
 [ 22.31750011  21.9565194    0.           0.        ]]",[-0.85265881 -0.15061867]
7,[ 1.31666469  2.47082533],-0.107321212787,-2.99788,[ 0.49723396  1.61770129],"[-0.47341973  0.53267477  1.13314018  2.89726441 -0.45082366 -0.40385307
  0.08567976  3.05818228 -0.62784267  0.56761521  0.        ]","[[  1.82927999   1.87677215  -0.05172152  -0.04618144]
 [ 23.59697128  25.47895272   0.           0.        ]]",[-0.85265881 -0.15061867]
8,[ 0.67358294  1.98782375],-0.0151672179899,-2.36452,[ 0.94481391  1.85886025],"[-1.0951991  -0.13534436  0.77082493  1.75271042 -0.45082351 -0.40385293
  0.15247711  3.52514023 -0.21460728 -0.03280838  0.        ]","[[  2.33632401   2.42099203  -0.05172152  -0.04618144]
 [ 27.09582114  28.93161887   0.           0.        ]]",[-0.85265881 -0.15061867]
9,[ 0.89980753  4.32196316],-0.0664196919337,-2.1175,[ 0.97255301  3.13787794],"[-1.49041833 -0.49557523  0.06104998 -0.3984762  -0.45082335 -0.4038528
  0.19323242  3.19971841  0.32420195  0.1579946   0.        ]","[[  2.89967041   3.03358915  -0.05172152  -0.04618144]
 [ 29.23058768  26.52560346   0.           0.        ]]",[-0.85265881 -0.15061867]
