timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[-0.02683526  3.98554628],-0.0969406917377,-4.5596,[ 0.72112471  4.16926146],"[ 1.39996348  2.58438756 -0.37132797 -1.23845027  1.36789362  0.67981003
 -0.3608883  -0.38296379  0.28949323 -0.74463734  0.        ]","[[ 0.03219769 -0.09591801  0.15876943  0.0786831 ]
 [ 0.00449385  0.00142634  0.          0.        ]]",[-1.09510529 -0.28619897]
1,[ 0.70641155  3.55487785],-0.0935331923943,-4.18903,[ 0.49235219  3.93796873],"[ 1.40000876  2.58901476 -0.37280355 -1.07339651  1.36789299  0.67980987
 -0.36295073  0.13733455  0.29096161 -0.71155854  0.        ]","[[ 0.03120615 -0.05616151  0.15876943  0.0786831 ]
 [-0.10328508  3.96102716  0.          0.        ]]",[-1.09510529 -0.28619897]
2,[-0.08516522  3.81690634],-0.0782056166828,-4.24546,[ 0.22688729  3.55187154],"[ 1.39833033  2.58848399 -0.33416218 -0.58171551  1.36789235  0.67980971
 -0.30946392  0.64718409  0.2843854  -0.56508594  0.        ]","[[ 0.05718363  0.06198914  0.15876943  0.0786831 ]
 [ 2.69173648  7.84111036  0.          0.        ]]",[-1.09510529 -0.28619897]
3,[-0.08124786  2.23497735],-0.0521414176561,-4.61895,[-0.16756451  3.08872223],"[ 1.39234455  2.54107525 -0.26011055  0.21864885  1.36789172  0.67980955
 -0.31695593  1.14710114  0.23210272 -0.31798293  0.        ]","[[  0.10708986   0.25698312   0.15876943   0.0786831 ]
 [  2.30022847  11.64560662   0.           0.        ]]",[-1.09510529 -0.28619897]
4,[-0.20131254  2.82239383],-0.0263725250701,-4.69041,[-0.5701986   2.66733408],"[ 1.38443343  2.38314973 -0.19762981  1.25566135  1.36789109  0.67980939
 -0.32399613  1.63711802  0.09778033 -0.04824591  0.        ]","[[  0.14940231   0.52731114   0.15876943   0.0786831 ]
 [  1.93233079  15.37476441   0.           0.        ]]",[-1.09510529 -0.28619897]
5,[-1.30663366  1.98822071],-0.0351412881334,-4.55989,[-1.04422426  2.30146503],"[ 1.37718536  2.04510812 -0.15317126  2.34690773  1.36789045  0.67980923
 -0.3399737   2.11745167 -0.14404049  0.1870306   0.        ]","[[  0.17967044   0.87148306   0.15876943   0.0786831 ]
 [  1.09739878  19.03023829   0.           0.        ]]",[-1.09510529 -0.28619897]
6,[-1.66115356  2.52376169],-0.0660482526089,-4.20075,[-1.47737312  2.11485147],"[ 1.38164547  1.48593379 -0.17953063  3.15889637  1.36788982  0.67980907
 -0.41609803  2.58837988 -0.45775151  0.28205583  0.        ]","[[  0.16170626   1.28804697   0.15876943   0.0786831 ]
 [ -2.88058072  22.6141466    0.           0.        ]]",[-1.09510529 -0.28619897]
7,[-1.46978365  0.82433254],-0.0945544337992,-3.71337,[-1.74961233  2.19189787],"[ 1.3976323   0.74637244 -0.32259049  3.23723209  1.36788919  0.67980891
 -0.49072285  3.04991906 -0.7750184   0.18039968  0.        ]","[[  0.0649696    1.77557268   0.15876943   0.0786831 ]
 [ -6.78020163  26.12661942   0.           0.        ]]",[-1.09510529 -0.28619897]
8,[-1.48770697  1.86795979],-0.125583531296,-3.34139,[-1.82818747  2.5955317 ],"[ 1.39204129  0.00757806 -0.58122956  2.1931531   1.36788855  0.67980875
 -0.56388739  3.41083969 -1.05999162 -0.10235452  0.        ]","[[ -0.1089929    2.32566514   0.15876943   0.0786831 ]
 [-10.60351428  28.87337662   0.           0.        ]]",[-1.09510529 -0.28619897]
9,[-1.81216309  5.37848185],-0.167457777938,-3.52454,[-1.81353259  3.72850919],"[ 1.30768547 -0.44316313 -0.94194548  0.00580799  1.36788792  0.67980859
 -0.63562473  3.85596267 -1.30901238 -0.52665121  0.        ]","[[ -0.35867397   2.93712158   0.15876943   0.0786831 ]
 [-14.35224803  32.26096467   0.           0.        ]]",[-1.09510529 -0.28619897]
10,[-0.52884836  5.75933893],-0.191764005778,-4.7549,[-1.04021621  5.1241169 ],"[ 1.07314967 -0.46869666 -1.35854418 -1.21991232  1.36788729  0.67980842
 -0.70598093 -0.23530581 -1.42578814 -0.73965998  0.        ]","[[ -0.68260884   3.23303947   0.15876943   0.0786831 ]
 [-18.02880959   1.12517363   0.           0.        ]]",[-1.09510529 -0.28619897]
11,[-0.51292285  4.45275578],-0.182617693898,-5.00278,[-1.1557579   4.67511272],"[ 0.65271824 -0.47393974 -1.71863598 -1.0018393   1.36788665  0.67980826
 -0.7392252  -0.93438576 -1.38192542 -0.66397194  0.        ]","[[ -1.06061614   3.18054965   0.15876943   0.0786831 ]
 [-19.76604047  -4.19503757   0.           0.        ]]",[-1.09510529 -0.28619897]
12,[-0.80927073  5.1735126 ],-0.169954369452,-4.61663,[-1.21846414  4.12770081],"[ 0.08246061 -0.47396045 -1.90104339 -0.67895147  1.36788602  0.6798081
 -0.77059877 -0.8090735  -1.28941105 -0.63273816  0.        ]","[[ -1.47238658   3.1029856    0.15876943   0.0786831 ]
 [-21.40551605  -3.24137519   0.           0.        ]]",[-1.09510529 -0.28619897]
13,[-1.26284555  5.07695577],-0.163555831862,-4.38454,[-1.38759589  3.73118019],"[-0.57286553 -0.46908701 -1.81405432 -0.4711739   1.36788539  0.67980794
 -0.82380357 -0.62213264 -1.21841825 -0.67035972  0.        ]","[[ -1.9283925    3.0529795    0.15876943   0.0786831 ]
 [-24.18581155  -1.81870006   0.           0.        ]]",[-1.09510529 -0.28619897]
14,[-1.45289662  4.54699652],-0.16555419846,-4.23987,[-1.6286788   3.56477737],"[-1.18438611 -0.4649873  -1.37228485 -0.36215691  1.36788475  0.67980778
 -0.89040646 -0.50144864 -1.19752033 -0.74449094  0.        ]","[[ -2.44702898   3.0266611    0.15876943   0.0786831 ]
 [-27.66624283  -0.90025945   0.           0.        ]]",[-1.09510529 -0.28619897]
15,[-1.85959845  3.63949908],-0.174256929011,-3.70602,[-1.64269733  3.72793961],"[-1.51469396 -0.46264934 -0.57828977 -0.31004476  1.36788412  0.67980762
 -0.95569134 -0.43789827 -1.23312938 -0.81750959  0.        ]","[[ -3.03458308   3.01405326   0.15876943   0.0786831 ]
 [-31.07780137  -0.41662273   0.           0.        ]]",[-1.09510529 -0.28619897]
16,[-1.45403894  4.21549583],-0.185393344097,-2.97381,[-1.4466691   4.36078882],"[-1.30891401 -0.46150889  0.35660171 -0.28643012  1.36788349  0.67980746
 -1.01968412 -0.40744582 -1.31312388 -0.85117878  0.        ]","[[ -3.68969092   3.00833342   0.15876943   0.0786831 ]
 [-34.42184158  -0.18487107   0.           0.        ]]",[-1.09510529 -0.28619897]
17,[-0.77462545  5.27341572],-0.193430684096,-2.80571,[-0.84378761  5.16608047],"[-0.49510416 -0.46099382  1.00262073 -0.27609569  1.36788285  0.6798073
 -1.08241021 -0.39362804 -1.40207574 -0.8179485   0.        ]","[[ -4.41101548   3.0058289    0.15876943   0.0786831 ]
 [-37.69969174  -0.07971426   0.           0.        ]]",[-1.09510529 -0.28619897]
18,[-0.94421003  5.78723051],-0.193437746224,-3.279,[-0.46469015  5.67428827],"[ 0.6085821  -0.46077087  0.9042716  -0.27168292  1.36788222  0.67980714
 -1.12681869 -0.38757697 -1.44715729 -0.72327887  0.        ]","[[ -5.18829306e+00   3.00475922e+00   1.58769426e-01   7.86831042e-02]
 [ -4.00203339e+01  -3.36643654e-02   0.00000000e+00   0.00000000e+00]]",[-1.09510529 -0.28619897]
19,[-0.21929134  5.62026397],-0.183814989859,-3.8618,[-0.34772342  5.61681223],"[ 1.34971334 -0.46067682 -0.02938506 -0.26983267  1.36788159  0.67980698
 -1.18319691 -0.38499262 -1.41004585 -0.61764072  0.        ]","[[ -6.01825931e+00   3.00431067e+00   1.58769426e-01   7.86831042e-02]
 [ -4.29664726e+01  -1.39971925e-02   0.00000000e+00   0.00000000e+00]]",[-1.09510529 -0.28619897]
20,[-1.32479264  4.4210009 ],-0.169196464548,-4.64957,[-1.26604056  4.71698952],"[ 1.14983165 -0.46063779 -1.25333182 -0.26906771  1.36788095  0.67980682
 -1.18353428 -0.38390843 -1.3059728  -0.57527827  0.        ]","[[ -6.87776588e+00   3.00412522e+00   1.58769426e-01   7.86831042e-02]
 [ -4.29841261e+01  -5.74674582e-03   0.00000000e+00   0.00000000e+00]]",[-1.09510529 -0.28619897]
21,[-1.13822417  3.9803553 ],-0.159906209837,-4.49217,[-1.3966825   4.00879097],"[ 0.06344432 -0.46062176 -1.90282541 -0.26875479  1.36788032  0.67980666
 -1.24301671 -0.38346081 -1.2047302  -0.63328555  0.        ]","[[ -7.76863555e+00   3.00404936e+00   1.58769426e-01   7.86831042e-02]
 [ -4.60924824e+01  -2.34082110e-03   0.00000000e+00   0.00000000e+00]]",[-1.09510529 -0.28619897]
22,[-2.26276613  3.84614746],-0.165333456353,-4.24486,[-1.69836926  3.65950441],"[-1.17576825 -0.46061519 -1.38272212 -0.26862762  1.36787969  0.6798065
 -1.30132153 -0.38327783 -1.18691795 -0.75989226  0.        ]","[[ -8.72105495e+00   3.00401854e+00   1.58769426e-01   7.86831042e-02]
 [ -4.91393044e+01  -9.48823767e-04   0.00000000e+00   0.00000000e+00]]",[-1.09510529 -0.28619897]
23,[-1.98349145  4.20194019],-0.182053859462,-3.06974,[-1.58946729  4.22760391],"[-1.45380548 -0.46061247  0.03359262 -0.26857605  1.36787905  0.67980634
 -1.35847205 -0.3832037  -1.2835868  -0.85051635  0.        ]","[[ -9.73380562e+00   3.00400605e+00   1.58769426e-01   7.86831042e-02]
 [ -5.21258102e+01  -3.85200692e-04   0.00000000e+00   0.00000000e+00]]",[-1.09510529 -0.28619897]
