timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 2.23673302  5.05194515],-0.130496369384,-3.37533,[ 1.7283206   3.57388926],"[ 1.31429269  2.46502774 -0.35886559 -1.11902426  1.24439728 -1.13063127
 -0.36455478 -0.38731992  0.38153238  0.79826169  0.        ]","[[-0.04214424 -0.07672907  0.14370093 -0.13016416]
 [-0.00282495  0.00211171  0.          0.        ]]",[-0.8486864  -0.13697641]
1,[ 1.54565364  3.06547174],-0.14195096172,-3.46398,[ 1.50331163  3.43412709],"[ 1.31555073  2.46837953 -0.30046754 -0.96390494  1.24439639 -1.13063054
 -0.28910598  0.14726444  0.38748013  0.89876501  0.        ]","[[ -2.52508309e-03  -3.69748314e-02   1.43700930e-01  -1.30164157e-01]
 [  3.95157694e+00   3.96012652e+00   0.00000000e+00   0.00000000e+00]]",[-0.8486864  -0.13697641]
2,[ 1.46285662  2.6531351 ],-0.175082636888,-3.74453,[ 1.16369534  3.26345158],"[ 1.30608958  2.46449935 -0.12697404 -0.50257834  1.24439549 -1.13062982
 -0.21514868  0.67126822  0.36689105  1.1972741   0.        ]","[[ 0.11539764  0.08115376  0.14370093 -0.13016416]
 [ 7.82780689  7.83980429  0.          0.        ]]",[-0.8486864  -0.13697641]
3,[-0.31856857  3.74867905],-0.225690432098,-3.80512,[ 0.53716445  3.02352929],"[ 1.24768722  2.41309885  0.15315788  0.2460808   1.2443946  -1.13062909
 -0.14264878  1.18489335  0.21148981  1.66075827  0.        ]","[[  0.31007788   0.2761051    0.14370093  -0.13016416]
 [ 11.62765222  11.64264286   0.           0.        ]]",[-0.8486864  -0.13697641]
4,[-0.58131017  3.75877509],-0.277264576035,-4.0816,[-0.46974522  2.76971436],"[ 1.12199007  2.25302437  0.44567408  1.21142358  1.24439371 -1.13062836
 -0.17109298  1.6886038  -0.15546419  2.10303717  0.        ]","[[  0.52767181   0.54637684   0.14370093  -0.13016416]
 [ 10.13683932  15.37208204   0.           0.        ]]",[-0.8486864  -0.13697641]
5,[-1.21521742  4.10364309],-0.31295976922,-4.11891,[-1.51965618  2.51409984],"[ 0.97601058  1.91807197  0.65911224  2.21899974  1.24439281 -1.13062764
 -0.21878981  2.18237548 -0.6551954   2.32328381  0.        ]","[[  0.70532502   0.89049918   0.14370093  -0.13016416]
 [  7.63696276  19.02795012   0.           0.        ]]",[-0.8486864  -0.13697641]
6,[-3.1252152   0.24146891],-0.325129050073,-3.40627,[-2.16196418  2.43012381],"[ 0.86659083  1.37075192  0.77813134  2.95389177  1.24439192 -1.13062691
 -0.29713721  2.66641865 -1.13421322  2.25742593  0.        ]","[[  0.81686381   1.30701659   0.14370093  -0.13016416]
 [  3.53063586  22.61181186   0.           0.        ]]",[-0.8486864  -0.13697641]
7,[-2.74941657  3.08844211],-0.312559226592,-2.8565,[-2.19060826  2.59879541],"[ 0.83478745  0.69741486  0.80814709  3.01608005  1.24439102 -1.13062619
 -0.37393191  2.73518026 -1.43475049  1.97200434  0.        ]","[[  0.8470953    1.76436194   0.14370093  -0.13016416]
 [ -0.4943115   23.12096662   0.           0.        ]]",[-0.8486864  -0.13697641]
8,[-2.15042625  1.75919259],-0.279436003152,-1.95972,[-1.99607515  2.76743221],"[ 0.88638196  0.03603546  0.75850065  2.19218776  1.24439013 -1.13062546
 -0.44923717  3.20817871 -1.51953758  1.57520304  0.        ]","[[  0.79761045   2.26192006   0.14370093  -0.13016416]
 [ -4.44119539  26.62309704   0.           0.        ]]",[-0.8486864  -0.13697641]
9,[-1.18824138  0.95765687],-0.228044813776,-1.1699,[-1.65557837  3.02410984],"[ 1.00795025 -0.43071944  0.61881912  0.38320897  1.24438924 -1.13062473
 -0.5230751   3.67175212 -1.4040959   1.12297773  0.        ]","[[  0.66996005   2.82882082   0.14370093  -0.13016416]
 [ -8.31117481  30.05548933   0.           0.        ]]",[-0.8486864  -0.13697641]
10,[-0.05318211  4.22815757],-0.180874887131,-1.09962,[-0.40771121  4.16659546],"[ 1.1640308  -0.48868215  0.3652965  -1.35723439  1.24438834 -1.13062401
 -0.59549576  0.39119372 -1.21263421  0.77803926  0.        ]","[[  0.465658     3.2796317    0.14370093  -0.13016416]
 [-12.10687446   5.76626514   0.           0.        ]]",[-0.8486864  -0.13697641]
11,[ 0.09816167  4.78037967],-0.189600847557,-1.83223,[-0.24121928  4.40093231],"[ 1.28005707 -0.49428575  0.03049562 -1.23764756  1.24438745 -1.13062328
 -0.59494955 -1.06855109 -1.26377143  0.82255421  0.        ]","[[  0.22380621   3.24880254   0.14370093  -0.13016416]
 [-12.07825886  -5.04167466   0.           0.        ]]",[-0.8486864  -0.13697641]
12,[-1.02563271  3.51007075],-0.20102971123,-2.37839,[-0.49631029  4.24735165],"[ 1.31545413 -0.50279678 -0.31364573 -0.84029743  1.24438655 -1.13062256
 -0.58297206 -0.99448272 -1.2920692   0.9305421   0.        ]","[[ -0.01146097   3.14693407   0.14370093  -0.13016416]
 [-11.45051012  -4.49327736   0.           0.        ]]",[-0.8486864  -0.13697641]
13,[-0.55536432  4.95666081],-0.2058405496,-2.47433,[-0.75268525  4.03289223],"[ 1.26094084 -0.49963161 -0.70127283 -0.56361912  1.24438566 -1.13062183
 -0.65418737 -0.74226824 -1.27228314  1.01153281  0.        ]","[[ -0.27792085   3.07609824   0.14370093  -0.13016416]
 [-15.18303542  -2.62588633   0.           0.        ]]",[-0.8486864  -0.13697641]
14,[-1.02632609  3.13161483],-0.204995600924,-2.92859,[-1.02387977  3.74181747],"[ 1.06648389 -0.49480971 -1.13004651 -0.41421603  1.24438477 -1.1306211
 -0.69040425 -0.56658019 -1.2256225   1.0523151   0.        ]","[[ -0.60062677   3.03773321   0.14370093  -0.13016416]
 [-17.08123602  -1.32509559   0.           0.        ]]",[-0.8486864  -0.13697641]
