timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 0.48778822  4.55222833],-0.118840661813,-1.56928,[ 1.5492661   2.61037588],"[ 1.25437675  2.34002533 -0.31230092 -0.50171804  0.84120194  0.29142001
 -0.39889111 -0.39198902  0.72274126 -0.41740637  0.        ]","[[-0.06461337  0.08021965  0.0972552   0.03349245]
 [ 0.00401626  0.00091326  0.          0.        ]]",[-0.67551869 -0.09348302]
1,[ 2.34610053  1.98164459],-0.116220033774,-1.41306,[ 1.33160973  2.41558123],"[ 1.25587015  2.3343042  -0.28367884 -0.35687652  0.84120133  0.29141987
 -0.36108683  0.15814041  0.72132223 -0.35080918  0.        ]","[[-0.04518864  0.11995805  0.0972552   0.03349245]
 [ 1.93204571  3.95973602  0.          0.        ]]",[-0.67551869 -0.09348302]
2,[ 1.68061659  3.39932539],-0.10868571539,-1.32202,[ 1.00436819  2.18411827],"[ 1.2565486   2.30404252 -0.16870132  0.06868943  0.84120073  0.29141974
 -0.28429792  0.69727086  0.69363932 -0.1218781   0.        ]","[[ 0.03274498  0.23807878  0.0972552   0.03349245]
 [ 5.84831307  7.83940933  0.          0.        ]]",[-0.67551869 -0.09348302]
3,[ 0.32384774  2.70355611],-0.102965022519,-1.45327,[ 0.52190614  1.92455006],"[ 1.23252891  2.2117898   0.05912382  0.74195747  0.84120012  0.29141961
 -0.20901954  1.22572492  0.5552895   0.27311638  0.        ]","[[  0.18823022   0.43302229   0.0972552    0.03349245]
 [  9.68754287  11.64225896   0.           0.        ]]",[-0.67551869 -0.09348302]
4,[ 0.74110941  1.37343684],-0.11222686491,-1.72653,[-0.21129137  1.62336481],"[ 1.15043644  2.00312239  0.34800693  1.57393987  0.84119952  0.29141947
 -0.18766039  1.74384057  0.21401831  0.69461462  0.        ]","[[  0.39290865   0.70327658   0.0972552    0.03349245]
 [ 10.77686511  15.37072462   0.           0.        ]]",[-0.67551869 -0.09348302]
5,[-0.93035343  2.57386978],-0.138290587803,-1.59177,[-1.09200895  1.35061157],"[ 0.98332374  1.62478113  0.65922641  2.37762963  0.84119891  0.29141934
 -0.13432254  2.25159684 -0.35066034  0.95160901  0.        ]","[[  0.63573529   1.04735257   0.0972552    0.03349245]
 [ 13.49711685  19.02466575   0.           0.        ]]",[-0.67551869 -0.09348302]
6,[-0.9649972   1.49243239],-0.163424355129,-1.27235,[-1.60520911  1.23667836],"[ 0.76339739  1.0590284   0.90719543  2.84719216  0.8411983   0.29141921
 -0.21168718  2.74953711 -0.94989538  0.85134014  0.        ]","[[  0.86608913   1.46379882   0.0972552    0.03349245]
 [  9.55148216  22.6080054    0.           0.        ]]",[-0.67551869 -0.09348302]
7,[-2.37868856  1.05110866],-0.168487424045,-0.632827,[-1.6294167   1.21377242],"[ 0.59253351  0.37091233  1.03809302  2.60625387  0.8411977   0.29141907
 -0.29021022  3.23760126 -1.28959785  0.44127085  0.        ]","[[  1.01693925   1.95119945   0.0972552    0.03349245]
 [  5.54676811  26.12032585   0.           0.        ]]",[-0.67551869 -0.09348302]
8,[-0.79591131  0.87891892],-0.149780125191,-0.292997,[-1.44384766  1.24377811],"[ 0.50711787 -0.25475157  1.08941063  1.37318364  0.84119709  0.29141894
 -0.36992037  3.71596422 -1.26394676 -0.06168991  0.        ]","[[  1.08708976   2.50814692   0.0972552    0.03349245]
 [  1.48151038  29.56290262   0.           0.        ]]",[-0.67551869 -0.09348302]
9,[-1.08794017  2.87313081],-0.111288676901,0.513065,[-0.93791378  1.83023632],"[ 0.50992455 -0.53386332  1.08785364 -0.74713847  0.84119648  0.29141881
 -0.43226038  3.26059019 -0.91212371 -0.44438969  0.        ]","[[  1.08482745   3.1284494    0.0972552    0.03349245]
 [ -1.69786404  26.2860241    0.           0.        ]]",[-0.67551869 -0.09348302]
10,[-0.22049702  2.62206897],-0.100387514794,-0.261618,[ 0.33650401  3.36587381],"[ 0.5990496  -0.5185668   1.03382308 -1.3301054   0.84119588  0.29141867
 -0.50925855 -0.70342619 -0.78949607 -0.51070979  0.        ]","[[ 1.01146604  3.28810577  0.0972552   0.03349245]
 [-5.62481195 -2.24022075  0.          0.        ]]",[-0.67551869 -0.09348302]
11,[ 0.81515794  4.441283  ],-0.108335084181,-0.368318,[ 0.40541828  3.43517327],"[ 0.7361489  -0.53183001  0.9309561  -0.995774    0.84119527  0.29141854
 -0.52419588 -1.11599088 -0.87647135 -0.47169907  0.        ]","[[ 0.89132542  3.19634758  0.0972552   0.03349245]
 [-6.38663544 -5.20916597  0.          0.        ]]",[-0.67551869 -0.09348302]
12,[-0.59882057  3.5700472 ],-0.11342688748,-0.822395,[ 0.3807452   3.34226561],"[ 0.83473438 -0.53313371  0.83876365 -0.66917283  0.84119467  0.29141841
 -0.45843205 -0.88298438 -0.93999097 -0.41543779  0.        ]","[[ 0.797244    3.10716148  0.0972552   0.03349245]
 [-3.03267092 -3.53238682  0.          0.        ]]",[-0.67551869 -0.09348302]
13,[ 1.00438755  2.00487937],-0.115466616703,-1.16193,[ 0.35736263  3.2740581 ],"[ 0.91530896 -0.5284578   0.74871336 -0.47449549  0.84119406  0.29141827
 -0.5037412  -0.65554324 -0.96977509 -0.37188642  0.        ]","[[ 0.71340567  3.05391516  0.0972552   0.03349245]
 [-5.34346476 -1.89565591  0.          0.        ]]",[-0.67551869 -0.09348302]
14,[ 0.6633761   1.69580359],-0.115951852648,-1.28477,[ 0.34057236  3.2333312 ],"[ 0.97359543 -0.52451096  0.67292028 -0.37561731  0.84119345  0.29141814
 -0.42403307 -0.51961923 -0.98078599 -0.34469011  0.        ]","[[ 0.64732318  3.02678477  0.0972552   0.03349245]
 [-1.27833805 -0.91750869  0.          0.        ]]",[-0.67551869 -0.09348302]
15,[ 0.13321105  2.85275555],-0.116346443187,-1.0682,[ 0.32560122  3.20311379],"[ 0.97271455 -0.52228919  0.67414358 -0.32919009  0.84119285  0.29141801
 -0.37203652 -0.45033227 -0.98615149 -0.33527213  0.        ]","[[ 0.64836312  3.0140179   0.0972552   0.03349245]
 [ 1.37349103 -0.41890111  0.          0.        ]]",[-0.67551869 -0.09348302]
16,[ 0.41414057  1.48109496],-0.116830107671,-1.31552,[ 0.31341249  3.18127513],"[ 0.94461495 -0.52121677  0.71188171 -0.30838794  0.84119224  0.29141787
 -0.36222776 -0.41771951 -0.98996143 -0.33511815  0.        ]","[[ 0.68085203  3.00829094  0.0972552   0.03349245]
 [ 1.87373183 -0.18421171  0.          0.        ]]",[-0.67551869 -0.09348302]
17,[ 0.21765781  3.53488144],-0.117408146593,-0.864771,[ 0.29642633  3.15829968],"[ 0.89580069 -0.5207361   0.77193051 -0.29935495  0.84119163  0.29141774
 -0.33080395 -0.40308742 -0.99325    -0.34026765  0.        ]","[[ 0.73440622  3.00580277  0.0972552   0.03349245]
 [ 3.47634551 -0.07891643  0.          0.        ]]",[-0.67551869 -0.09348302]
18,[ 0.13500061  2.4015794 ],-0.118106585297,-1.06991,[ 0.26963493  3.1290729 ],"[ 0.81993203 -0.52052915  0.85374715 -0.29551983  0.84119103  0.29141761
 -0.31525577 -0.3967296  -0.99636714 -0.34985353  0.        ]","[[ 0.81188908  3.00474613  0.0972552   0.03349245]
 [ 4.26929833 -0.03316514  0.          0.        ]]",[-0.67551869 -0.09348302]
19,[-0.05092846  2.31901579],-0.118791924462,-1.04152,[ 0.23082745  3.09270072],"[ 0.72467952 -0.52044212  0.94059304 -0.29391885  0.84119042  0.29141747
 -0.30643232 -0.39402934 -0.99869296 -0.36179496  0.        ]","[[ 0.90178995  3.00430502  0.0972552   0.03349245]
 [ 4.71928864 -0.01373473  0.          0.        ]]",[-0.67551869 -0.09348302]
20,[ 0.04270482  3.59667203],-0.119364079716,-0.724837,[ 0.18207052  3.05177069],"[ 0.62061214 -0.52040602  1.01931876 -0.2932592   0.84118981  0.29141734
 -0.31221776 -0.39290194 -0.99984986 -0.3742876   0.        ]","[[ 0.99321524  3.00412328  0.0972552   0.03349245]
 [ 4.42422327 -0.00562298  0.          0.        ]]",[-0.67551869 -0.09348302]
21,[ 0.2422881   2.69276881],-0.119803042285,-0.859714,[ 0.12180895  3.00499535],"[ 0.51278013 -0.52039112  1.0862506  -0.29299021  0.84118921  0.29141721
 -0.31061964 -0.39243724 -0.99985727 -0.38660888  0.        ]","[[  1.08251739e+00   3.00404919e+00   9.72551968e-02   3.34924451e-02]
 [  4.50572023e+00  -2.28023720e-03   0.00000000e+00   0.00000000e+00]]",[-0.67551869 -0.09348302]
22,[-0.27770761  1.84619876],-0.120150386651,-0.970972,[ 0.04016542  2.9436667 ],"[ 0.38735002 -0.52038493  1.14820411 -0.29288145  0.8411886   0.29141707
 -0.29355893 -0.39224761 -0.99860223 -0.40021409  0.        ]","[[  1.18136170e+00   3.00401926e+00   9.72551968e-02   3.34924451e-02]
 [  5.37581176e+00  -9.17036232e-04   0.00000000e+00   0.00000000e+00]]",[-0.67551869 -0.09348302]
23,[-0.14815481  3.64126903],-0.120347419564,-0.553144,[-0.04505813  2.8824811 ],"[ 0.26132525 -0.52038228  1.19537214 -0.29283767  0.841188    0.29141694
 -0.31720474 -0.39217114 -0.9961617  -0.41317341  0.        ]","[[  1.27677828e+00   3.00400723e+00   9.72551968e-02   3.34924451e-02]
 [  4.16986496e+00  -3.68075752e-04   0.00000000e+00   0.00000000e+00]]",[-0.67551869 -0.09348302]
24,[-0.04402739  1.9278275 ],-0.120406858546,-0.823674,[-0.12129498  2.83097649],"[ 0.15730737 -0.52038105  1.22398308 -0.29282009  0.84118739  0.29141681
 -0.33032488 -0.39214013 -0.99334452 -0.42337658  0.        ]","[[  1.35346192e+00   3.00400242e+00   9.72551968e-02   3.34924451e-02]
 [  3.50072866e+00  -1.46332676e-04   0.00000000e+00   0.00000000e+00]]",[-0.67551869 -0.09348302]
25,[-0.19957823  2.21402347],-0.120386037616,-0.714716,[-0.19203049  2.78410363],"[ 0.06415801 -0.5203804   1.24217839 -0.29281305  0.84118678  0.29141667
 -0.33510157 -0.3921276  -0.99024457 -0.43215881  0.        ]","[[  1.42103218e+00   3.00400052e+00   9.72551968e-02   3.34924451e-02]
 [  3.25710947e+00  -5.75335959e-05   0.00000000e+00   0.00000000e+00]]",[-0.67551869 -0.09348302]
26,[-0.91245423  1.02892031],-0.120315959458,-0.858966,[-0.25266933  2.74477148],"[-0.01457507 -0.52037997  1.25229168 -0.29281019  0.84118618  0.29141654
 -0.35185956 -0.39212261 -0.98721542 -0.43933026  0.        ]","[[  1.47759922e+00   3.00399976e+00   9.72551968e-02   3.34924451e-02]
 [  2.40244227e+00  -2.29906290e-05   0.00000000e+00   0.00000000e+00]]",[-0.67551869 -0.09348302]
27,[-0.2988766   3.34637714],-0.120296180304,-0.425496,[-0.25725979  2.74240971],"[-0.03039546 -0.52037963  1.25375133 -0.29280885  0.84118557  0.2914164
 -0.42362851 -0.3921208  -0.98656131 -0.44074508  0.        ]","[[  1.48892378e+00   3.00399943e+00   9.72551968e-02   3.34924451e-02]
 [ -1.25778808e+00  -1.13059543e-05   0.00000000e+00   0.00000000e+00]]",[-0.67551869 -0.09348302]
28,[-0.25475877  1.73262553],-0.120353484507,-0.744952,[-0.21337187  2.77097654],"[ 0.02092028 -0.52037932  1.24831763 -0.29280824  0.84118496  0.29141627
 -0.44634277 -0.39211949 -0.98862516 -0.43612495  0.        ]","[[  1.45214502e+00   3.00399930e+00   9.72551968e-02   3.34924451e-02]
 [ -2.41622737e+00  -3.24466389e-06   0.00000000e+00   0.00000000e+00]]",[-0.67551869 -0.09348302]
