timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 3.30945038  3.42668883],-0.381707520902,-5.54129,[ 3.4069829   3.79215527],"[ 1.3291123   2.48751694 -0.36111632 -0.50418382 -1.09906081 -1.54252077
 -0.36049012 -0.38632845  2.45463158  1.3361903   0.        ]","[[-0.03038964  0.08068349 -0.12644924 -0.17813843]
 [ 0.00150944  0.0029961   0.          0.        ]]",[-0.90802044 -0.17545785]
1,[ 3.58358825  3.81488849],-0.387219130702,-5.47924,[ 3.2573781   3.71064138],"[ 1.32970903  2.48154362 -0.302539   -0.34768769 -1.09906018 -1.54251943
 -0.28520518  0.1453782   2.44894284  1.43671536  0.        ]","[[ 0.00931544  0.12045524 -0.12644924 -0.17813843]
 [ 3.95584254  3.96099189  0.          0.        ]]",[-0.90802044 -0.17545785]
2,[ 3.15762712  4.09332158],-0.401007675894,-5.61889,[ 3.03262854  3.50928974],"[ 1.31820527  2.45002076 -0.12892648  0.11181257 -1.09905955 -1.54251809
 -0.21140671  0.66655982  2.39418411  1.72942828  0.        ]","[[ 0.12732351  0.23860087 -0.12644924 -0.17813843]
 [ 7.83209889  7.84064047  0.          0.        ]]",[-0.90802044 -0.17545785]
3,[ 2.96758143  4.37458791],-0.414941604478,-5.80443,[ 2.7190485   3.19502735],"[ 1.25629956  2.35405055  0.1507835   0.8386347  -1.09905893 -1.54251674
 -0.13905918  1.17741616  2.18784638  2.16608552  0.        ]","[[  0.32209125   0.4335685   -0.12644924  -0.17813843]
 [ 11.63214532  11.64343129   0.           0.        ]]",[-0.90802044 -0.17545785]
4,[ 3.23161084  2.00517686],-0.415612502122,-5.80424,[ 2.55066586  2.87311935],"[ 1.08655075  2.1371332   0.50721255  1.73657654 -1.0990583  -1.5425154
 -0.06812079  1.67813313  1.71318111  2.5992659   0.        ]","[[  0.59211581   0.70383501  -0.12644924  -0.17813843]
 [ 15.35817628  15.37075246   0.           0.        ]]",[-0.90802044 -0.17545785]
5,[ 2.46484226  2.47807648],-0.386294032915,-5.68437,[ 2.5020473   2.63945627],"[  7.48378024e-01   1.74401536e+00   8.71716713e-01   2.60365692e+00
  -1.09905768e+00  -1.54251405e+00   1.45579346e-03   2.16888514e+00
   9.66411035e-01   2.75465133e+00   0.00000000e+00]","[[  0.93594146   1.04790416  -0.12644924  -0.17813843]
 [ 19.01267897  19.0239082    0.           0.        ]]",[-0.90802044 -0.17545785]
6,[ 1.50468765  3.11119317],-0.313982314503,-5.02339,[ 2.44488096  2.47832775],"[ 0.21095561  1.15638683  1.12407903  3.1097291  -1.09905705 -1.54251271
  0.06971621  2.64984923  0.21946766  2.36977722  0.        ]","[[  1.3521623    1.46430569  -0.12644924  -0.17813843]
 [ 22.59804992  22.60422365   0.           0.        ]]",[-0.90802044 -0.17545785]
7,[ 2.14995093  2.6758934 ],-0.208399076915,-4.20578,[ 2.50690889  2.48569441],"[-0.4780934   0.44191139  1.10629047  2.84881273 -1.09905643 -1.54251137
  0.13668811  3.12123463 -0.02214468  1.55362381  0.        ]","[[  1.83941274   1.95159782  -0.12644924  -0.17813843]
 [ 26.11574176  26.11326476   0.           0.        ]]",[-0.90802044 -0.17545785]
8,[ 2.64317727  1.77621609],-0.15656462131,-2.77843,[ 2.38607264  2.93818665],"[-1.14888757 -0.20755057  0.68433064  1.51743286 -1.0990558  -1.54251002
  0.20235983  3.5833191   0.44941164  0.99779349  0.        ]","[[  2.39633733   2.50837482  -0.12644924  -0.17813843]
 [ 29.56514171  29.55310863   0.           0.        ]]",[-0.90802044 -0.17545785]
9,[ 2.44144861  4.62653273],-0.222609422977,-2.1481,[ 2.42914462  4.18693542],"[-1.51732826 -0.49731134 -0.13957782 -0.79006769 -1.09905518 -1.54250868
  0.2666645   3.18914121  0.92557531  1.29968808  0.        ]","[[  3.02154199   3.13327858  -0.12644924  -0.17813843]
 [ 32.94273791  26.61891475   0.           0.        ]]",[-0.90802044 -0.17545785]
10,[ 2.37880042  4.52047667],-0.233492146616,-0.947383,[ 2.80041146  4.8995595 ],"[-1.30021703 -0.48001366 -1.11494833 -1.42376985 -1.09905455 -1.54250734
  0.32960028 -0.69949418  0.83010585  1.47387334  0.        ]","[[  3.71355943   3.29409443  -0.12644924  -0.17813843]
 [ 36.24843383  -2.32817798   0.           0.        ]]",[-0.90802044 -0.17545785]
11,[ 2.42562721  3.97177196],-0.225301586619,-1.09107,[ 3.05309105  4.77298784],"[-0.44037739 -0.49480456 -1.74901232 -1.05423229 -1.09905392 -1.54250599
  0.39131817 -1.10127101  0.81831269  1.4046528   0.        ]","[[  4.47105266   3.20010375  -0.12644924  -0.17813843]
 [ 39.49016088  -5.31901816   0.           0.        ]]",[-0.90802044 -0.17545785]
12,[ 2.37775357  3.59057266],-0.22550979395,-1.61205,[ 2.90543675  4.43823576],"[ 0.68445402 -0.49657429 -1.55019145 -0.69452524 -1.0990533  -1.54250465
  0.45181581 -0.87053018  0.83143894  1.39774303  0.        ]","[[  5.29273826   3.10911648  -0.12644924  -0.17813843]
 [ 42.66779442  -3.6013812    0.           0.        ]]",[-0.90802044 -0.17545785]
13,[ 3.18380779  3.4049251 ],-0.222468486373,-2.0102,[ 2.73282623  4.29678297],"[ 1.32177493 -0.4917415  -0.47215881 -0.48028879 -1.09905267 -1.5425033
  0.51111418 -0.64621699  0.7853787   1.39973677  0.        ]","[[  6.17734448   3.054846    -0.12644924  -0.17813843]
 [ 45.78243809  -1.93159071   0.           0.        ]]",[-0.90802044 -0.17545785]
14,[ 2.64590044  5.30790604],-0.211088087316,-1.95009,[ 2.48868418  4.2481885 ],"[ 0.8542093  -0.48759311  0.78286085 -0.3715228  -1.09905205 -1.54250196
  0.56923805 -0.5122905   0.73161918  1.3280943   0.        ]","[[  7.12362453   3.02720513  -0.12644924  -0.17813843]
 [ 48.83539187  -0.93464032   0.           0.        ]]",[-0.90802044 -0.17545785]
15,[ 2.22368987  5.24268933],-0.20185647617,-1.20332,[ 2.36586618  4.41731596],"[-0.48876868 -0.48524865  1.10321016 -0.32046563 -1.09905142 -1.54250062
  0.6262112  -0.44404967  0.76667882  1.21660131  0.        ]","[[  8.13035723   3.01420088  -0.12644924  -0.17813843]
 [ 51.82790524  -0.42665529   0.           0.        ]]",[-0.90802044 -0.17545785]
16,[ 2.62467373  5.56977068],-0.208814282298,-0.403121,[ 2.62639236  4.72418785],"[-1.49049699 -0.48411554  0.01784094 -0.29759234 -1.0990508  -1.54249927
  0.68205651 -0.41193649  0.89243556  1.18722238  0.        ]","[[  9.19634583   3.00836817  -0.12644924  -0.17813843]
 [ 54.7611806   -0.18760513   0.           0.        ]]",[-0.90802044 -0.17545785]
17,[ 2.9873659  4.503813 ],-0.22708833088,-0.631604,[ 3.17993975  4.90247583],"[-0.99187951 -0.48360747 -1.46806267 -0.28766062 -1.09905017 -1.54249793
  0.73679631 -0.3975309   0.98234653  1.2982191   0.        ]","[[ 10.32041735   3.00583418  -0.12644924  -0.17813843]
 [ 57.63639025  -0.0803706    0.           0.        ]]",[-0.90802044 -0.17545785]
18,[ 2.64796992  4.60579683],-0.235871393041,-1.61252,[ 3.07522297  4.56614971],"[ 0.5933509  -0.48338874 -1.606986   -0.2834438  -1.09904954 -1.54249658
  0.79045244 -0.39127199  0.91766016  1.43635658  0.        ]","[[  1.15014220e+01   3.00475804e+00  -1.26449239e-01  -1.78138432e-01]
 [  6.04546825e+01  -3.37800264e-02   0.00000000e+00   0.00000000e+00]]",[-0.90802044 -0.17545785]
19,[ 2.13426323  3.40702466],-0.223345301746,-2.24303,[ 2.6076107   4.32885742],"[ 1.30872236 -0.4832968  -0.06394868 -0.28168317 -1.09904892 -1.54249524
  0.84304634 -0.38861396  0.76332659  1.42191797  0.        ]","[[  1.27382327e+01   3.00430869e+00  -1.26449239e-01  -1.78138432e-01]
 [  6.32171834e+01  -1.39945267e-02   0.00000000e+00   0.00000000e+00]]",[-0.90802044 -0.17545785]
20,[ 2.47746298  4.32816799],-0.2034654975,-1.54002,[ 2.44122553  4.49874115],"[ 0.0542574  -0.48325873  1.1506995  -0.28095737 -1.09904829 -1.5424939
  0.89459903 -0.38750426  0.72860939  1.25851811  0.        ]","[[  1.40297448e+01   3.00412345e+00  -1.26449239e-01  -1.78138432e-01]
 [  6.59249970e+01  -5.73470994e-03   0.00000000e+00   0.00000000e+00]]",[-0.90802044 -0.17545785]
21,[ 2.67030364  5.77597363],-0.206888758361,-0.206265,[ 2.62108922  4.84882689],"[-1.44908544 -0.48324308  0.16614647 -0.28066098 -1.09904767 -1.54249255
  0.94513112 -0.38704703  0.87757841  1.18005248  0.        ]","[[  1.53748752e+01   3.00404782e+00  -1.26449239e-01  -1.78138432e-01]
 [  6.85792057e+01  -2.33196467e-03   0.00000000e+00   0.00000000e+00]]",[-0.90802044 -0.17545785]
