timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 1.47645733  0.75503117],-0.142204888431,-1.34414,[ 2.00057793  2.16756773],"[ 1.21036451  2.1923344  -0.29771721 -1.04502395  0.59316554 -0.44782331
 -0.46616543 -0.39185622  0.90790888  0.06038541  0.        ]","[[-0.09417236 -0.08078485  0.06747911 -0.05114445]
 [-0.00290548 -0.00261926  0.          0.        ]]",[-0.56479448 -0.03540729]
1,[ 1.5185802   2.31967473],-0.145808056108,-0.808841,[ 1.9236995   2.07808304],"[ 1.2144548   2.19505528 -0.239182   -0.94351338  0.59316503 -0.44782297
 -0.38309837  0.03271234  0.91814651  0.15067008  0.        ]","[[-0.054551   -0.05085637  0.06747911 -0.05114445]
 [ 3.9518751   2.98551421  0.          0.        ]]",[-0.56479448 -0.03540729]
2,[ 0.77777367  3.00653987],-0.15785835307,-0.735324,[ 1.76355851  1.93210983],"[ 1.21372975  2.1952446  -0.06456759 -0.60770496  0.59316452 -0.44782263
 -0.30168177  0.58669785  0.91723019  0.42953553  0.        ]","[[ 0.06337749  0.0479736   0.06747911 -0.05114445]
 [ 7.8280792   6.88449108  0.          0.        ]]",[-0.56479448 -0.03540729]
3,[ 0.99420909  0.41624096],-0.179103167782,-1.16824,[ 1.36330986  1.71334124],"[ 1.1735588   2.16219207  0.20705203 -0.0156013   0.59316401 -0.44782229
 -0.24033618  1.12976079  0.80980505  0.87036041  0.        ]","[[  0.24924201   0.224012     0.06747911  -0.05114445]
 [ 10.74871037  10.70660077   0.           0.        ]]",[-0.56479448 -0.03540729]
4,[ 2.00205976 -0.10121738],-0.206715498262,-1.5707,[ 0.68292809  1.45530009],"[ 1.04529137  2.05727373  0.55389925  0.7155914   0.5931635  -0.44782195
 -0.16218932  1.33358525  0.48283849  1.36419752  0.        ]","[[  0.50154413   0.45253757   0.06747911  -0.05114445]
 [ 14.46924351  12.14114208   0.           0.        ]]",[-0.56479448 -0.03540729]
5,[-0.41982571  1.14890719],-0.234704291496,-1.62836,[-0.31691146  1.18106782],"[ 0.76679162  1.88064487  0.93264359  1.39015217  0.593163   -0.44782161
 -0.08507449  1.24221143 -0.10098894  1.72210689  0.        ]","[[  0.82776398   0.68890884   0.06747911  -0.05114445]
 [ 18.1406426   11.49806316   0.           0.        ]]",[-0.56479448 -0.03540729]
6,[-1.79973749  1.12502601],-0.251997184184,-1.54959,[-1.11206353  0.90921402],"[ 0.3682441   1.60974249  1.20592038  2.0066809   0.59316249 -0.44782127
 -0.12748278  1.77242121 -0.79722849  1.73816148  0.        ]","[[  1.1703174    0.9563114    0.06747911  -0.05114445]
 [ 16.12160099  15.22973689   0.           0.        ]]",[-0.56479448 -0.03540729]
7,[-1.53010158  0.7721985 ],-0.248514279496,-1.1999,[-1.41046834  0.81062704],"[-0.00605845  1.18448913  1.31232745  2.50243255  0.59316198 -0.44782093
 -0.21725028  2.29222114 -1.3265742   1.39316081  0.        ]","[[  1.44986834   1.29761246   0.06747911  -0.05114445]
 [ 11.84781001  18.88818169   0.           0.        ]]",[-0.56479448 -0.03540729]
8,[-1.244218   -0.22111106],-0.223204562398,-0.731674,[-1.44454455  0.7844007 ],"[-0.27656153  0.62865553  1.31909016  2.59912148  0.59316147 -0.44782059
 -0.30523595  2.67356347 -1.51873222  0.88977625  0.        ]","[[  1.64479612   1.70230575   0.06747911  -0.05114445]
 [  7.65885035  21.57219461   0.           0.        ]]",[-0.56479448 -0.03540729]
9,[-0.73243228 -1.43719776],-0.183770299967,-0.443216,[-1.24911427  0.88225275],"[-0.43084546  0.08594984  1.29759533  2.1273689   0.59316097 -0.44782025
 -0.39149746  2.48851334 -1.40563281  0.47566105  0.        ]","[[  1.75677124   2.12068327   0.06747911  -0.05114445]
 [  3.55197568  20.26987263   0.           0.        ]]",[-0.56479448 -0.03540729]
