timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 1.07468835  2.32259375],-0.235954438041,-2.09711,[ 2.32725239  2.89550376],"[ 1.23092623  2.26003205 -0.18921098 -1.04222382  0.35021212 -1.49976512
 -0.43980072 -0.39231146  1.13965239  1.17276031  0.        ]","[[-0.00654076 -0.07402604  0.0397005  -0.17319773]
 [ 0.0016599   0.0035598   0.          0.        ]]",[-0.62069261 -0.06241357]
1,[ 2.65115536  3.1449286 ],-0.245146252437,-1.96627,[ 2.27613401  2.82909179],"[ 1.23018754  2.26305978 -0.13049378 -0.90256074  0.35021191 -1.49976254
 -0.35956575  0.16555734  1.14194117  1.27266649  0.        ]","[[ 0.0331672  -0.03424313  0.0397005  -0.17319773]
 [ 3.95597283  3.96154576  0.          0.        ]]",[-0.62069261 -0.06241357]
2,[ 1.92576009  1.2758575 ],-0.270819537938,-2.26678,[ 2.09478426  2.6893878 ],"[ 1.21504938  2.25891755  0.04319545 -0.48749228  0.3502117  -1.49975995
 -0.28091687  0.71238458  1.1109697   1.56756599  0.        ]","[[ 0.15117699  0.08391357  0.0397005  -0.17319773]
 [ 7.83211726  7.84119507  0.          0.        ]]",[-0.62069261 -0.06241357]
3,[ 2.34275288  0.57953195],-0.307088252523,-2.6039,[ 1.59404397  2.43203855],"[ 1.14834393  2.20938888  0.32195116  0.18573546  0.3502115  -1.49975737
 -0.20381778  1.24838055  0.94113109  2.02049448  0.        ]","[[  0.34594261   0.27889244   0.0397005   -0.17319773]
 [ 11.63188204  11.64400534   0.           0.        ]]",[-0.62069261 -0.06241357]
4,[ 1.44969159  1.8644216 ],-0.342539874785,-2.96923,[ 0.73402375  2.07142472],"[ 0.97469031  2.06865483  0.67491974  1.00274192  0.35021129 -1.49975478
 -0.12821444  1.53907997  0.51481551  2.49137854  0.        ]","[[  0.61596299   0.53246652   0.0397005   -0.17319773]
 [ 15.35793023  13.70648734   0.           0.        ]]",[-0.62069261 -0.06241357]
5,[-1.70735428  0.76775172],-0.362223946517,-2.98595,[-0.21325564  1.61751854],"[ 0.63653989  1.79120044  1.03181508  1.84435752  0.35021108 -1.4997522
 -0.05408572  2.05863132 -0.19868838  2.73398444  0.        ]","[[  0.95977315   0.84358163   0.0397005   -0.17319773]
 [ 19.0113026   17.39265824   0.           0.        ]]",[-0.62069261 -0.06241357]
6,[-0.58991665  0.42296949],-0.349109775888,-2.78825,[-0.76621616  1.3125515 ],"[ 0.21420216  1.34037492  1.244146    2.51782843  0.35021087 -1.49974961
 -0.14194275  2.43859189 -0.90734748  2.51225896  0.        ]","[[  1.29655447   1.21848294   0.0397005   -0.17319773]
 [ 14.68133846  20.08848362   0.           0.        ]]",[-0.62069261 -0.06241357]
7,[-0.7819112   1.81095654],-0.305779367084,-2.18904,[-0.90155399  1.21736753],"[-0.15377737  0.766065    1.29937617  2.72696452  0.35021066 -1.49974703
 -0.19512554  2.61854844 -1.26235528  1.98632822  0.        ]","[[  1.56388351   1.6330636    0.0397005   -0.17319773]
 [ 12.06026514  21.36532834   0.           0.        ]]",[-0.62069261 -0.06241357]
8,[-0.76210744  0.35934338],-0.243743373549,-1.57101,[-0.86966956  1.23918784],"[-0.44164329  0.14700326  1.26966856  2.26015434  0.35021045 -1.49974444
 -0.2626878   3.1169903  -1.2102118   1.44393143  0.        ]","[[  1.77168124   2.09585314   0.0397005   -0.17319773]
 [  8.73051164  24.9018424    0.           0.        ]]",[-0.62069261 -0.06241357]
9,[-0.75292077  1.85329962],-0.185429380803,-1.0885,[-0.63137841  1.45962   ],"[-0.63305026 -0.35678144  1.21299767  1.02058526  0.35021024 -1.49974186
 -0.32734876  3.24801481 -0.85424396  1.13925173  0.        ]","[[  1.91432145   2.60321852   0.0397005   -0.17319773]
 [  5.54374561  25.83159194   0.           0.        ]]",[-0.62069261 -0.06241357]
