timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 1.34412635  0.1638592 ],-0.0858455036352,-0.0974117,[ 0.7123636  0.6964097],"[ 1.15679097  1.73297947 -0.17041736 -0.4995463   1.17076699  0.39670527
 -0.65091066 -0.33220946  0.34394518 -0.44772531  0.        ]","[[-0.02927357  0.07007906  0.136855    0.04671465]
 [-0.00036035  0.00394956  0.          0.        ]]",[-0.27188197  0.01089814]
1,[ 0.36317793  0.93627158],-0.08119626586,0.0878106,[ 0.66856354  0.68246543],"[ 1.15730237  1.73236031 -0.11076994 -0.4826064   1.17076126  0.39670432
 -0.51521346 -0.24040757  0.3419293  -0.38016637  0.        ]","[[ 0.01040731  0.07665161  0.136855    0.04671465]
 [ 3.95527937  0.65115256  0.          0.        ]]",[-0.27188197  0.01089814]
2,[ 0.94943522  0.02661021],-0.0706403824527,0.122392,[ 0.49860179  0.63323855],"[ 1.15003304  1.72596314  0.02834699 -0.35386239  1.17075554  0.39670338
 -0.46865963  0.2835367   0.32087865 -0.19519635  0.        ]","[[ 0.10312841  0.126736    0.136855    0.04671465]
 [ 5.31232322  4.34497603  0.          0.        ]]",[-0.27188197  0.01089814]
3,[-0.5803887   0.28162007],-0.0643938861009,0.146189,[ 0.33937955  0.60609907],"[ 1.11578132  1.70742898  0.23969449 -0.13216096  1.17074982  0.39670243
 -0.34341814  0.28607501  0.24367445  0.0873531   0.        ]","[[ 0.24600483  0.21381514  0.136855    0.04671465]
 [ 8.96317562  4.36287564  0.          0.        ]]",[-0.27188197  0.01089814]
4,[-0.04427624 -0.65067933],-0.0748059936332,0.10992,[ 0.12332991  0.57234979],"[ 1.048085    1.67562151  0.45963615  0.11127842  1.1707441   0.39670148
 -0.42827119  0.43211638  0.10210802  0.36887431  0.        ]","[[ 0.40045043  0.31140298  0.136855    0.04671465]
 [ 6.48962509  5.39247412  0.          0.        ]]",[-0.27188197  0.01089814]
5,[-0.72267699 -1.03154075],-0.0925216145979,-0.0210322,[ 0.01031095  0.57204431],"[ 0.96980459  1.6405998   0.62994873  0.30754367  1.17073837  0.39670054
 -0.43864438  0.05152975 -0.0540651   0.57031608  0.        ]","[[ 0.52720888  0.39233177  0.136855    0.04671465]
 [ 6.18720922  2.70934517  0.          0.        ]]",[-0.27188197  0.01089814]
6,[-1.18625345  1.56259792],-0.105636833212,0.15886,[ 0.00197309  0.59239298],"[ 0.89942613  1.63378749  0.74836694  0.34071191  1.17073265  0.39669959
 -0.5408642  -0.51757238 -0.15850248  0.67899494  0.        ]","[[ 0.621056    0.4062633   0.136855    0.04671465]
 [ 3.20740454 -1.30281711  0.          0.        ]]",[-0.27188197  0.01089814]
7,[-0.55918299 -0.32543829],-0.109686609602,0.139161,[-0.11895818  0.55904186],"[ 0.87997354  1.62674449  0.77721807  0.37371418  1.17072693  0.39669864
 -0.67879922  0.04794346 -0.19355652  0.70886577  0.        ]","[[ 0.6448608   0.4202085   0.136855    0.04671465]
 [-0.81352889  2.68404712  0.          0.        ]]",[-0.27188197  0.01089814]
8,[-0.74195069 -0.48781215],-0.106636364203,0.0645761,[-0.07848394  0.57506257],"[ 0.91095096  1.60520754  0.73054939  0.46774434  1.17072121  0.3966977
 -0.75411546 -0.14226226 -0.17913721  0.68643535  0.        ]","[[ 0.60656145  0.4604354   0.136855    0.04671465]
 [-3.00910318  1.3431052   0.          0.        ]]",[-0.27188197  0.01089814]
9,[ 0.87657233  1.55037285],-0.0950538346043,0.163041,[ 0.04929447  0.60462308],"[ 0.97645827  1.60113544  0.61733426  0.4844412   1.17071549  0.39669675
 -0.85273778 -0.41986929 -0.09193921  0.59533414  0.        ]","[[ 0.51753393  0.46766123  0.136855    0.04671465]
 [-5.88407531 -0.61401221  0.          0.        ]]",[-0.27188197  0.01089814]
10,[-1.08921324  0.5409017 ],-0.0859748620059,0.22286,[ 0.01383317  0.58175623],"[ 1.02823878  1.58510459  0.50818345  0.54755295  1.17070976  0.3966958
 -0.72983112  0.14331494 -0.0314286   0.51542908  0.        ]","[[ 0.43579879  0.4952172   0.136855    0.04671465]
 [-2.30136185  3.35639278  0.          0.        ]]",[-0.27188197  0.01089814]
11,[ 0.73047246  0.71505961],-0.0793060782299,0.273954,[-0.02125883  0.57902509],"[ 1.07334363  1.52840875  0.38980624  0.74255119  1.17070404  0.39669486
 -0.86400738  0.43787842 -0.01023008  0.45794777  0.        ]","[[ 0.35052771  0.58318103  0.136855    0.04671465]
 [-6.2127429   5.43304466  0.          0.        ]]",[-0.27188197  0.01089814]
12,[-0.7136644  -0.20663872],-0.0729911025133,0.209676,[-0.10372394  0.56734985],"[ 1.11214408  1.4250048   0.25494574  1.02182114  1.17069832  0.39669391
 -0.76068432  0.8240777  -0.01690377  0.41079892  0.        ]","[[ 0.25649097  0.71915927  0.136855    0.04671465]
 [-3.2009091   8.15572811  0.          0.        ]]",[-0.27188197  0.01089814]
13,[ 0.31245016  1.43188472],-0.066798578059,0.296404,[-0.11249578  0.59124774],"[ 1.13861451  1.28763634  0.12016799  1.29872528  1.1706926   0.39669296
 -0.85536072  0.68522957 -0.04362025  0.37091253  0.        ]","[[ 0.16478202  0.87245301  0.136855    0.04671465]
 [-5.96084825  7.17687904  0.          0.        ]]",[-0.27188197  0.01089814]
14,[-0.26722599 -0.17539888],-0.0590285914669,0.197778,[-0.23967588  0.57735449],"[ 1.15490444  1.10043758 -0.03758385  1.56653967  1.17068688  0.39669202
 -0.8089434   1.22665105 -0.08700762  0.32224203  0.        ]","[[  0.0591394    1.05428766   0.136855     0.04671465]
 [ -4.60784849  10.99388011   0.           0.        ]]",[-0.27188197  0.01089814]
