timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 1.25538604  1.83871336],-0.14752599782,-1.65708,[ 1.76443112  2.63387084],"[ 1.23293763  2.27794618 -0.10174685 -0.87924672  0.75829971 -0.62920195
 -0.43524386 -0.39312076  0.78695359  0.52606337  0.        ]","[[ 0.0566556  -0.02672682  0.08671213 -0.07238267]
 [ 0.00324932 -0.00184051  0.          0.        ]]",[-0.63365006 -0.07343309]
1,[ 0.70532095  2.27554184],-0.154149096766,-1.57028,[ 1.58669102  2.52434516],"[ 1.22869661  2.27832579 -0.04317442 -0.73872923  0.75829911 -0.62920151
 -0.35550385  0.16353175  0.78008389  0.62577742  0.        ]","[[ 0.096395    0.01294913  0.08671213 -0.07238267]
 [ 3.95752951  3.95624981  0.          0.        ]]",[-0.63365006 -0.07343309]
2,[ 0.77335899  3.10027783],-0.172595233464,-1.60655,[ 1.23644793  2.31937289],"[ 1.20659145  2.26630989  0.11221057 -0.32190653  0.7582985  -0.62920106
 -0.3008468   0.70923022  0.72732795  0.89765114  0.        ]","[[ 0.20273983  0.13100547  0.08671213 -0.07238267]
 [ 6.66795131  7.83645247  0.          0.        ]]",[-0.63365006 -0.07343309]
3,[ 1.6897327 -0.4436176],-0.20033088963,-2.27593,[ 0.69773233  2.03110647],"[ 1.14301249  2.2039375   0.34286557  0.34937701  0.75829789 -0.62920061
 -0.24183719  1.24410625  0.54828515  1.2888433   0.        ]","[[  0.36545806   0.32589392   0.08671213  -0.07238267]
 [  9.59421613  11.63970863   0.           0.        ]]",[-0.63365006 -0.07343309]
4,[-0.68844176  1.80389486],-0.23206200194,-2.32156,[ 0.17359322  1.86994946],"[ 0.995237    2.07796251  0.64333822  1.03259935  0.75829728 -0.62920016
 -0.16586076  0.9644326   0.18039291  1.68127413  0.        ]","[[  0.59514366   0.53873592   0.08671213  -0.07238267]
 [ 13.36186151   9.65109082   0.           0.        ]]",[-0.63365006 -0.07343309]
5,[-1.02459831  1.19560566],-0.257299841413,-2.31488,[-0.72022402  1.51674736],"[ 0.77898095  1.87960553  0.90784228  1.67998662  0.75829667 -0.62919972
 -0.22611856  1.49451501 -0.31334086  1.90302291  0.        ]","[[  0.83239872   0.7695752    0.08671213  -0.07238267]
 [ 10.3736897   13.4202688    0.           0.        ]]",[-0.63365006 -0.07343309]
6,[-0.63451564  1.86310622],-0.266899920704,-2.20289,[-1.33834279  1.27367973],"[ 0.5958587   1.53637054  1.05701479  2.33093323  0.75829606 -0.62919927
 -0.31003155  2.01415065 -0.78585843  1.87588408  0.        ]","[[  0.99812113   1.07505301   0.08671213  -0.07238267]
 [  6.21246373  17.11518658   0.           0.        ]]",[-0.63365006 -0.07343309]
7,[-1.54628048  1.08839001],-0.259020438446,-1.77085,[-1.44157505  1.21980941],"[ 0.47767475  1.02850417  1.12932263  2.73305558  0.75829545 -0.62919882
 -0.36311435  2.52342331 -1.13866734  1.63865901  0.        ]","[[  1.09595829   1.45369031   0.08671213  -0.07238267]
 [  3.5800964   20.73645426   0.           0.        ]]",[-0.63365006 -0.07343309]
8,[-1.15824697  1.54316816],-0.232398117964,-1.16672,[-1.36790109  1.24114466],"[ 0.43864455  0.40020443  1.14976694  2.56245706  0.75829484 -0.62919837
 -0.44431411  3.02261405 -1.29584603  1.26184315  0.        ]","[[  1.12716027   1.90403461   0.08671213  -0.07238267]
 [ -0.44658311  24.28608751   0.           0.        ]]",[-0.63365006 -0.07343309]
9,[-0.79502406  0.08408046],-0.187204001668,-0.691575,[-1.23356164  1.36052346],"[ 0.49909621 -0.20372167  1.11740425  1.54268992  0.75829423 -0.62919792
 -0.52392544  3.51185477 -1.21455804  0.84286793  0.        ]","[[  1.07862004   2.42466259   0.08671213  -0.07238267]
 [ -4.394494    27.76504372   0.           0.        ]]",[-0.63365006 -0.07343309]
