timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 2.52179368  0.77289616],-0.211177146143,-1.51395,[ 2.2041235   1.95502973],"[ 1.22809528  2.2435366  -0.09824168 -0.53421686  0.18320649  0.9866701
 -0.45220473 -0.39208863  1.28051461 -0.8661952   0.        ]","[[ 0.05514868  0.07229485  0.02071706  0.11521094]
 [-0.00024293 -0.00330469  0.          0.        ]]",[-0.60820532 -0.05403893]
1,[ 1.58224725  3.26568166],-0.204774557783,-0.989038,[ 2.08987784  1.81912494],"[ 1.22395041  2.23976632 -0.03971334 -0.42766269  0.18320638  0.98666901
 -0.37068162  0.03940882  1.2688517  -0.77513992  0.        ]","[[ 0.09482252  0.10291948  0.02071706  0.11521094]
 [ 3.95446714  3.05557766  0.          0.        ]]",[-0.60820532 -0.05403893]
2,[ 2.34220764  0.75004489],-0.184457853767,-0.938892,[ 1.85059595  1.58706331],"[ 1.19876501  2.21831524  0.13267701 -0.08185083  0.18320627  0.98666792
 -0.29077615  0.58921526  1.2007423  -0.50397316  0.        ]","[[ 0.212803    0.20313668  0.02071706  0.11521094]
 [ 7.83070623  6.95315229  0.          0.        ]]",[-0.60820532 -0.05403893]
3,[ 2.16209315  0.71307981],-0.149448059841,-0.908749,[ 1.4380095   1.34062529],"[ 1.11603076  2.15184422  0.40661471  0.47852298  0.18320617  0.98666683
 -0.21243651  0.98851662  0.98821772 -0.10071313  0.        ]","[[  0.40754564   0.37060071   0.02071706   0.11521094]
 [ 11.63098648   9.78380178   0.           0.        ]]",[-0.60820532 -0.05403893]
4,[ 0.75955621  0.51220662],-0.104015142101,-0.913089,[ 0.66087425  1.05857754],"[ 0.92227746  2.00769447  0.74767641  1.16446168  0.18320606  0.98666574
 -0.13562987  1.35924129  0.53869841  0.29954984  0.        ]","[[  0.67754684   0.59264553   0.02071706   0.11521094]
 [ 15.35690019  12.41187902   0.           0.        ]]",[-0.60820532 -0.05403893]
5,[ 0.59507256  2.11585232],-0.0746629953799,-1.02291,[-0.41592509  0.76224804],"[ 0.57546799  1.76041758  1.07449928  1.85768733  0.18320596  0.98666465
 -0.07992095  1.61042895 -0.13877739  0.47347553  0.        ]","[[  1.01179715   0.85874999   0.02071706   0.11521094]
 [ 18.05935666  14.19256858   0.           0.        ]]",[-0.60820532 -0.05403893]
6,[-1.89629856  0.94951338],-0.104705610797,-0.537898,[-1.1194644   0.68300468],"[ 0.0826408   1.37845892  1.27638433  2.44233689  0.18320585  0.98666356
 -0.03870494  2.12907078 -0.85848644  0.22048971  0.        ]","[[  1.39304102   1.17949156   0.02071706   0.11521094]
 [ 20.05875674  17.86926488   0.           0.        ]]",[-0.60820532 -0.05403893]
7,[-2.22251019  0.7165304 ],-0.151295111896,-0.174303,[-1.39141011  0.71237087],"[-0.41312516  0.84251397  1.27585207  2.70634277  0.18320574  0.98666247
 -0.12838284  2.60944934 -1.24362033 -0.40072352  0.        ]","[[  1.75056774e+00   1.57104496e+00   2.07170591e-02   1.15210939e-01]
 [  1.57084534e+01   2.12747539e+01   0.00000000e+00   0.00000000e+00]]",[-0.60820532 -0.05403893]
8,[-1.67806881  0.97960126],-0.173221837953,0.0625352,[-1.47126913  0.82345939],"[-0.77168083  0.23206219  1.1516608   2.3586384   0.18320564  0.98666138
 -0.21629114  2.95020145 -1.13646446 -0.98998405  0.        ]","[[  2.02195203e+00   2.02077746e+00   2.07170591e-02   1.15210939e-01]
 [  1.14439931e+01   2.36904702e+01   0.00000000e+00   0.00000000e+00]]",[-0.60820532 -0.05403893]
9,[-0.96232285  2.04499611],-0.164283269809,0.248675,[-1.48561668  1.17102206],"[-0.99424412 -0.30591992  1.00858579  1.22241713  0.18320553  0.98666029
 -0.30249225  3.43114794 -0.7214118  -1.2525327   0.        ]","[[  2.20887932e+00   2.52879679e+00   2.07170591e-02   1.15210939e-01]
 [  7.26234865e+00   2.71001042e+01   0.00000000e+00   0.00000000e+00]]",[-0.60820532 -0.05403893]
