timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 2.96502932  2.92999443],-0.420608536344,-3.51475,[ 3.3940959   3.12483406],"[ 1.25221884  2.32304479 -0.19004772 -1.01973585 -1.47351604  1.52690866
 -0.41800979 -0.39178725  2.74667355 -1.54109868  0.        ]","[[ 0.014317   -0.06097501 -0.16992917  0.17703325]
 [-0.00084609 -0.0011366   0.          0.        ]]",[-0.66076756 -0.07565252]
1,[ 3.14128685  3.69434741],-0.415248487255,-3.23251,[ 3.24731994  2.98594069],"[ 1.2503221   2.32537585 -0.13149785 -0.87565293 -1.47351393  1.52690637
 -0.33921626  0.15963621  2.74610023 -1.44075676  0.        ]","[[ 0.05397532 -0.0212851  -0.16992917  0.17703325]
 [ 3.95351546  3.95694143  0.          0.        ]]",[-0.66076756 -0.07565252]
2,[ 3.45395325  3.03760859],-0.396667913233,-3.14267,[ 2.97232199  2.68430495],"[ 1.23171764  2.31898993  0.041557   -0.4472151  -1.47351183  1.52690408
 -0.26198017  0.70014558  2.70654342 -1.14549343  0.        ]","[[ 0.17193649  0.0967804  -0.16992917  0.17703325]
 [ 7.8297153   7.83668013  0.          0.        ]]",[-0.66076756 -0.07565252]
3,[ 3.12779021  1.39546833],-0.358005445154,-3.06677,[ 2.54080057  2.26291943],"[ 1.15930619  2.26518348  0.31841157  0.24650394 -1.47350972  1.52690179
 -0.18626573  1.22994879  2.52299544 -0.69588614  0.        ]","[[  0.36665474   0.29166985  -0.16992917   0.17703325]
 [ 11.62954878  11.63957646   0.           0.        ]]",[-0.66076756 -0.07565252]
4,[ 2.10928229  1.24673385],-0.290752324041,-2.85577,[ 1.90797472  1.80267501],"[ 0.97811797  2.10544912  0.66704197  1.13747492 -1.47350762  1.5268995
 -0.11202996  1.74923811  2.06861288 -0.23098471  0.        ]","[[  0.63662363   0.56186046  -0.16992917   0.17703325]
 [ 15.35517354  15.36701885   0.           0.        ]]",[-0.66076756 -0.07565252]
5,[ 0.93677388  0.47955485],-0.191771474949,-2.43833,[ 1.13528037  1.43463194],"[ 0.63176497  1.77702864  1.01602341  2.06108019 -1.47350552  1.52689721
 -0.03922245  2.25819128  1.31902002 -0.02740499  0.        ]","[[  0.9803838    0.90585616  -0.16992917   0.17703325]
 [ 19.00911933  19.02029396   0.           0.        ]]",[-0.66076756 -0.07565252]
6,[ 0.03142006  0.77203607],-0.0936094215096,-1.87542,[ 0.50889385  1.24410605],"[ 0.09859724  1.27424599  1.24309267  2.70422816 -1.47350341  1.52689492
  0.02722633  2.46990489  0.5367059  -0.35764362  0.        ]","[[  1.39402121   1.30151093  -0.16992917   0.17703325]
 [ 22.34394306  20.54001913   0.           0.        ]]",[-0.66076756 -0.07565252]
7,[ 0.50787862  1.08054112],-0.134278119345,-1.19988,[ 0.57659811  1.52051592],"[-0.51691351  0.65346753  1.21377924  2.78395636 -1.47350131  1.52689262
  0.02100849  2.83883356  0.19947129 -1.11551719  0.        ]","[[  1.83776702   1.73888199  -0.16992917   0.17703325]
 [ 22.03189292  23.18825773   0.           0.        ]]",[-0.66076756 -0.07565252]
8,[ 0.81489236  3.02655519],-0.226450058688,-0.418849,[ 0.8697598   2.17562246],"[-1.07434165  0.00696172  0.89606623  2.05654631 -1.4734992   1.52689033
  0.05250862  3.32618495  0.50421692 -1.77497172  0.        ]","[[  2.29426507   2.23774648  -0.16992917   0.17703325]
 [ 23.61276967  26.68658761   0.           0.        ]]",[-0.66076756 -0.07565252]
9,[ 1.23574239  2.59071803],-0.266675027975,-0.439156,[ 1.04440618  3.0198853 ],"[-1.46393884 -0.45945607  0.29166365  0.39867218 -1.4734971   1.52688804
  0.10758761  3.80396625  1.08965713 -1.79178364  0.        ]","[[  2.79425891   2.80588781  -0.16992917   0.17703325]
 [ 26.37698357  30.11629963   0.           0.        ]]",[-0.66076756 -0.07565252]
10,[ 1.27515098  2.96616821],-0.237092848234,0.587317,[ 1.51480031  3.93207955],"[-1.51539382 -0.52923361 -0.52595304 -1.23092097 -1.47349499  1.52688575
  0.17607151  0.46653942  1.19579359 -1.37485083  0.        ]","[[  3.35629378   3.260935    -0.16992917   0.17703325]
 [ 29.81393961   6.16005319   0.           0.        ]]",[-0.66076756 -0.07565252]
11,[ 3.02610329  3.74713728],-0.233580458691,1.1507,[ 2.18415022  4.24591684],"[-1.07701063 -0.53277752 -1.31597218 -1.14789185 -1.47349289  1.52688346
  0.24319422 -1.04619933  1.13931717 -1.39699477  0.        ]","[[  3.98636905   3.23795015  -0.16992917   0.17703325]
 [ 33.18258366  -4.69847879   0.           0.        ]]",[-0.66076756 -0.07565252]
12,[ 3.00749196  2.26586086],-0.23840646941,0.350429,[ 2.63780808  4.28541756],"[-0.1885063  -0.53942251 -1.68788376 -0.79789224 -1.47349079  1.52688117
  0.30899869 -0.98983496  1.15702733 -1.43272165  0.        ]","[[  4.68315555   3.14147499  -0.16992917   0.17703325]
 [ 36.48506998  -4.29389846   0.           0.        ]]",[-0.66076756 -0.07565252]
13,[ 2.55181231  3.649091  ],-0.236017974434,-0.531269,[ 2.80186009  4.16800833],"[ 0.78906606 -0.53610709 -1.30914786 -0.55127177 -1.47348868  1.52687888
  0.37349967 -0.74348022  1.14836138 -1.41494413  0.        ]","[[  5.44533564   3.07354813  -0.16992917   0.17703325]
 [ 39.7221397   -2.52555377   0.           0.        ]]",[-0.66076756 -0.07565252]
14,[ 2.49409381  2.89031956],-0.230577563478,-1.8186,[ 2.86131191  4.00915766],"[ 1.2522666  -0.5315325  -0.22829299 -0.41751152 -1.47348658  1.52687659
  0.43672278 -0.56970998  1.08547545 -1.41963801  0.        ]","[[  6.27161361   3.03659463  -0.16992917   0.17703325]
 [ 42.89507938  -1.27822377   0.           0.        ]]",[-0.66076756 -0.07565252]
15,[ 2.67779095  4.21306028],-0.233239892034,-1.32016,[ 2.6474092   3.89691973],"[ 0.74704728 -0.52859689  0.92510135 -0.35248978 -1.47348447  1.5268743
  0.49869403 -0.47511514  1.03247975 -1.49930262  0.        ]","[[  7.16071999   3.01858235  -0.16992917   0.17703325]
 [ 46.00519353  -0.59921878   0.           0.        ]]",[-0.66076756 -0.07565252]
16,[ 1.98300119  2.88060221],-0.246887098522,0.040248,[ 1.91794848  3.82550883],"[-0.50400965 -0.52709635  1.21743401 -0.32272206 -1.47348237  1.52687201
  0.55943843 -0.42899175  1.06752778 -1.61007944  0.        ]","[[  8.1114109    3.0103231   -0.16992917   0.17703325]
 [ 49.05373851  -0.26814441   0.           0.        ]]",[-0.66076756 -0.07565252]
17,[ 1.86083228  4.31130344],-0.260557228412,1.37431,[ 1.52164674  3.96761394],"[-1.48405028 -0.5264036   0.22863624 -0.30960364 -1.47348026  1.52686972
  0.6189803  -0.40783854  1.18738687 -1.64476891  0.        ]","[[  9.12246721   3.00668051  -0.16992917   0.17703325]
 [ 52.04193514  -0.1163072    0.           0.        ]]",[-0.66076756 -0.07565252]
