timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 2.74989632  3.31943694],-0.31696368015,-2.77107,[ 2.95138693  2.91086173],"[ 1.225801    2.24789072 -0.07590095 -0.46747418 -0.72353369 -0.85155315
 -0.44239671 -0.39235341  2.06406461  0.84561334  0.        ]","[[ 0.06844523  0.08961359 -0.08411924 -0.0979187 ]
 [-0.0038488   0.00302925  0.          0.        ]]",[-0.61245143 -0.06637784]
1,[ 2.02305788  3.54266095],-0.320110696971,-2.69588,[ 2.86838889  2.8468194 ],"[ 1.22093452  2.24177116 -0.01756219 -0.32920401 -0.72353309 -0.85155235
 -0.36172843  0.16640612  2.04851549  0.94386452  0.        ]","[[ 0.10804423  0.129386   -0.08411924 -0.0979187 ]
 [ 3.95059313  3.9610249   0.          0.        ]]",[-0.61245143 -0.06637784]
2,[ 2.54271394  3.44752503],-0.327368068205,-2.59675,[ 2.68347502  2.68248391],"[ 1.19362744  2.21065347  0.15430302  0.07648442 -0.72353249 -0.85155155
 -0.28265281  0.7141049   1.96582364  1.22614647  0.        ]","[[ 0.22594842  0.24753229 -0.08411924 -0.0979187 ]
 [ 7.82696135  7.84067279  0.          0.        ]]",[-0.61245143 -0.06637784]
3,[ 2.01021768  1.99352302],-0.332263002123,-2.69317,[ 2.37705898  2.41776538],"[ 1.1075505   2.11805766  0.42688556  0.71722353 -0.72353189 -0.85155075
 -0.2051317   1.25095234  1.72044426  1.63383238  0.        ]","[[  0.42061459   0.44250055  -0.08411924  -0.0979187 ]
 [ 11.62712697  11.64346198   0.           0.        ]]",[-0.61245143 -0.06637784]
4,[ 2.3821476   3.64216999],-0.324311875057,-2.85272,[ 1.97565913  2.07273126],"[ 0.90968025  1.91113706  0.76505265  1.50675812 -0.72353129 -0.85154995
 -0.12912027  1.77714299  1.21284374  2.009146    0.        ]","[[  0.69054005   0.71276765  -0.08411924  -0.0979187 ]
 [ 15.35328625  15.37078074   0.           0.        ]]",[-0.61245143 -0.06637784]
5,[ 1.46293212  0.17400131],-0.290695170407,-2.6195,[ 1.51578999  1.74453104],"[ 0.54757187  1.53855362  1.09420173  2.26531571 -0.72353068 -0.85154915
 -0.05456786  2.2928592   0.46685681  2.08177124  0.        ]","[[  1.03426923   1.05683734  -0.08411924  -0.0979187 ]
 [ 19.00792299  19.02393461   0.           0.        ]]",[-0.61245143 -0.06637784]
6,[ 0.96986825  1.31437566],-0.224734665288,-2.14708,[ 1.09217846  1.55583167],"[  2.42007091e-03   1.02997876e+00   1.29132158e+00   2.68750634e+00
  -7.23530083e-01  -8.51548346e-01   1.85776609e-02   2.33657187e+00
  -2.18704789e-01   1.65079707e+00   0.00000000e+00]","[[  1.45040068   1.44042425  -0.08411924  -0.0979187 ]
 [ 22.59359234  19.33363423   0.           0.        ]]",[-0.61245143 -0.06637784]
7,[ 1.02356719  0.52901897],-0.129960213762,-1.56327,[ 1.02670467  1.55630851],"[-0.66335335  0.44209089  1.20429602  2.56896256 -0.72352948 -0.85154755
  0.08787731  2.84107112 -0.43160338  0.86130605  0.        ]","[[  1.93635249   1.86295414  -0.08411924  -0.0979187 ]
 [ 25.99073336  22.90739341   0.           0.        ]]",[-0.61245143 -0.06637784]
8,[ 1.10009761  2.0004962 ],-0.0521854414174,-0.853489,[ 1.52831221  2.10348678],"[-1.27413735 -0.12856922  0.71900494  1.73843862 -0.72352888 -0.85154674
  0.15827302  3.07230883 -0.00989754  0.27301812  0.        ]","[[  2.49079077   2.33753714  -0.08411924  -0.0979187 ]
 [ 29.44160404  24.54551379   0.           0.        ]]",[-0.61245143 -0.06637784]
9,[ 2.06729356  2.54946532],-0.111758151743,-0.599234,[ 1.96989799  2.88314486],"[-1.55853795 -0.50508903 -0.1355981   0.18044065 -0.72352828 -0.85154594
  0.22725096  3.56236243  0.53078394  0.41693164  0.        ]","[[  3.1135537    2.8632759   -0.08411924  -0.0979187 ]
 [ 32.82297517  28.01706427   0.           0.        ]]",[-0.61245143 -0.06637784]
