timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 2.66104235 -0.17586073],-0.441948071164,-1.47972,[ 2.3022182   1.62764013],"[ 1.17203347  1.82867254 -0.19984525 -0.71456744 -1.57867747  1.69443896
 -0.63803635 -0.35150975  2.62617514 -1.67669101  0.        ]","[[-0.04551649 -0.0029191  -0.18181049  0.1950261 ]
 [ 0.00114994  0.00131614  0.          0.        ]]",[-0.30940735 -0.00031587]
1,[ 3.19177239  1.10027771],-0.43868541509,-1.16108,[ 2.27807713  1.61630476],"[ 1.17343723  1.82860254 -0.14039923 -0.73375761 -1.57866847  1.69442825
 -0.51918758 -0.45120281  2.62769268 -1.61945769  0.        ]","[[-0.0058005  -0.00989505 -0.18181049  0.1950261 ]
 [ 3.95727563 -0.69658002  0.          0.        ]]",[-0.30940735 -0.00031587]
2,[ 0.7695041   1.55118462],-0.425601019172,-1.22979,[ 2.2491343   1.59921479],"[ 1.16475945  1.82848823  0.03598994 -0.66244787 -1.57865947  1.69441754
 -0.40274406  0.11617713  2.61683041 -1.41090739  0.        ]","[[ 0.11223468  0.01602443 -0.18181049  0.1950261 ]
 [ 7.83334249  3.27529498  0.          0.        ]]",[-0.30940735 -0.00031587]
3,[ 1.12104107  2.72827167],-0.396809114366,-0.728093,[ 2.18079019  1.56070948],"[ 1.11258233  1.8193723   0.30774581 -0.37554757 -1.57865047  1.69440683
 -0.31599377  0.67237495  2.52854715 -1.04198039  0.        ]","[[  0.29787405   0.12059613  -0.18181049   0.1950261 ]
 [ 10.72100398   7.16889438   0.           0.        ]]",[-0.30940735 -0.00031587]
4,[ 2.16399968  2.04205259],-0.344756147431,-0.485396,[ 2.03908658  1.47420859],"[ 0.96971683  1.77078394  0.65074143  0.11245767 -1.57864148  1.69439613
 -0.20355713  1.21749589  2.25425262 -0.58063255  0.        ]","[[  0.5498447    0.30226222  -0.18181049   0.1950261 ]
 [ 14.46369591  10.9849716    0.           0.        ]]",[-0.30940735 -0.00031587]
5,[ 1.38624357  0.8831657 ],-0.260851361562,-0.313529,[ 1.79486394  1.32775021],"[ 0.67623222  1.63407297  1.01847396  0.75369657 -1.57863248  1.69438542
 -0.09331513  1.75178077  1.69161343 -0.19672813  0.        ]","[[  0.87593478   0.55948964  -0.18181049   0.1950261 ]
 [ 18.13333504  14.72524234   0.           0.        ]]",[-0.30940735 -0.00031587]
6,[-0.52925422  0.64101709],-0.150000730835,-0.0614217,[ 1.45953202  1.14531994],"[ 0.19452764  1.35959936  1.30048788  1.42465901 -1.57862348  1.69437472
  0.01481005  2.20931936  0.89989341 -0.18731904  0.        ]","[[  1.27470893   0.88613328  -0.18181049   0.1950261 ]
 [ 21.73251142  17.92833887   0.           0.        ]]",[-0.30940735 -0.00031587]
7,[ 1.06726703  1.87642229],-0.0974722152319,0.279903,[ 1.27654028  1.06402445],"[-0.36501342  0.93486788  1.356043    1.91836742 -1.57861448  1.69436401
 -0.0609062   2.52103116  0.2767733  -0.69265536  0.        ]","[[  1.68406981   1.26659632  -0.18181049   0.1950261 ]
 [ 19.21213665  20.1106684    0.           0.        ]]",[-0.30940735 -0.00031587]
8,[ 1.95940661  2.09874446],-0.182502091894,0.314686,[ 1.32841921  1.13627911],"[-0.91165633  0.38258413  1.15758225  2.02010696 -1.57860548  1.6943533
  0.04672174  3.02935307  0.14855985 -1.46550807  0.        ]","[[  2.10425261   1.70451747  -0.18181049   0.1950261 ]
 [ 22.79475139  23.66952531   0.           0.        ]]",[-0.30940735 -0.00031587]
9,[ 1.8117532   2.29920052],-0.274263876443,0.522334,[ 1.60036016  1.33753312],"[-1.38989924 -0.21143549  0.64604827  1.4967109  -1.57859648  1.6943426
  0.15229683  3.52755774  0.59365461 -2.03720775  0.        ]","[[  2.59540486   2.21290661  -0.18181049   0.1950261 ]
 [ 26.30903289  27.15779281   0.           0.        ]]",[-0.30940735 -0.00031587]
10,[ 1.7663085   1.92848643],-0.297774063555,0.355076,[ 1.84137726  1.50030875],"[-1.59084274 -0.64533166 -0.15352949  0.2399831  -1.57858748  1.69433189
  0.25577163  4.01595632  1.15586973 -1.88778252  0.        ]","[[  3.15614841   2.79037347  -0.18181049   0.1950261 ]
 [ 29.75340311  30.57771987   0.           0.        ]]",[-0.30940735 -0.00031587]
