timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 1.46382238  2.84054789],-0.084954969632,-4.96754,[ 0.80405754  3.75122547],"[ 1.3776612   2.56708603 -0.49973786 -0.85493199  1.36204992 -0.7266617
 -0.35820617 -0.38417054  0.29004761  0.44580032  0.        ]","[[-0.07523757 -0.00475569  0.15753763 -0.08362098]
 [-0.00171195 -0.00075251  0.          0.        ]]",[-1.02737415 -0.26955095]
1,[ 0.95375977  3.73571378],-0.0956201656105,-4.94293,[ 0.65495282  3.57432222],"[ 1.38084598  2.56616958 -0.44101499 -0.6917586   1.36204921 -0.7266615
 -0.28291822  0.13876735  0.29441864  0.54651135  0.        ]","[[-0.03559641  0.03494181  0.15753763 -0.08362098]
 [ 3.95266774  3.95731568  0.          0.        ]]",[-1.02737415 -0.26955095]
2,[-0.03784467  5.17871848],-0.127010782866,-4.96079,[ 0.41715762  3.30488634],"[ 1.37706426  2.5492926  -0.26887979 -0.20876259  1.36204849 -0.72666129
 -0.21260045  0.65136399  0.26958402  0.84163461  0.        ]","[[ 0.08051294  0.15301539  0.15753763 -0.08362098]
 [ 7.64599739  7.83711233  0.          0.        ]]",[-1.02737415 -0.26955095]
3,[ 0.20418102  3.73728984],-0.169618324456,-5.33019,[-0.07972109  2.97069335],"[ 1.3434232   2.47579088 -0.04937353  0.56632561  1.36204777 -0.72666109
 -0.21835274  1.15401026  0.13780287  1.23486208  0.        ]","[[  0.23040084   0.34792936   0.15753763  -0.08362098]
 [  7.34386474  11.64159765   0.           0.        ]]",[-1.02737415 -0.26955095]
4,[-0.77057715  2.40428397],-0.213833867922,-5.55327,[-0.68478417  2.58200359],"[ 1.27614277  2.28510305  0.16753095  1.54722743  1.36204706 -0.72666088
 -0.20575013  1.64664969 -0.14921505  1.60984043  0.        ]","[[  0.38391793   0.61817318   0.15753763  -0.08362098]
 [  8.00579496  15.37034712   0.           0.        ]]",[-1.02737415 -0.26955095]
5,[-0.17365494  2.93915737],-0.24934981845,-5.50065,[-1.31448555  2.32361794],"[ 1.19580676  1.91441202  0.33852086  2.53776807  1.36204634 -0.72666068
 -0.26680243  2.12970287 -0.56366671  1.83500027  0.        ]","[[  0.51185925   0.96226417   0.15753763  -0.08362098]
 [  4.79911718  19.02654825   0.           0.        ]]",[-1.02737415 -0.26955095]
6,[-2.01876105  2.93003291],-0.26867470328,-4.95394,[-1.83989179  2.2321279 ],"[ 1.12833263  1.33418275  0.44957835  3.20017761  1.36204563 -0.72666048
 -0.28166345  2.60308612 -1.01443549  1.82681914  0.        ]","[[  0.60000802   1.37874488   0.15753763  -0.08362098]
 [  4.01856284  22.60957263   0.           0.        ]]",[-1.02737415 -0.26955095]
7,[-1.86404157  1.92834013],-0.266516877571,-4.20274,[-2.15795231  2.40936279],"[ 1.09470826  0.59976741  0.49774681  3.09770462  1.36204491 -0.72666027
 -0.35848249  3.06716134 -1.37564096  1.56904034  0.        ]","[[  6.39897851e-01   1.86617995e+00   1.57537628e-01  -8.36209821e-02]
 [ -1.62381420e-02   2.61221654e+01   0.00000000e+00   0.00000000e+00]]",[-1.02737415 -0.26955095]
8,[-1.59528578  4.35584542],-0.23953024939,-3.1905,[-2.11489105  2.8640933 ],"[ 1.12843339 -0.10379931  0.44942615  1.87057485  1.3620442  -0.72666007
 -0.43380086  3.52198922 -1.5162803   1.1275568   0.        ]","[[  0.59988391   2.42316502   0.15753763  -0.08362098]
 [ -3.97221943  29.56479238   0.           0.        ]]",[-1.02737415 -0.26955095]
9,[-1.77893005  3.10474611],-0.19220255399,-2.35879,[-0.91253996  3.93063354],"[ 1.21678041 -0.47378201  0.29894542 -0.45245929  1.36204348 -0.72665986
 -0.50766586  3.18093058 -1.41294431  0.61254562  0.        ]","[[  0.48151957   3.04831483   0.15753763  -0.08362098]
 [ -7.85186508  26.9833866    0.           0.        ]]",[-1.02737415 -0.26955095]
