timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 1.34409555  4.36659191],-0.183880998695,-4.52077,[ 1.48916912  4.13274097],"[ 1.39746934  2.58694727 -0.41952538 -0.80760711  0.92147884  1.31620527
 -0.36007973 -0.38328124  0.68481786 -1.30032756  0.        ]","[[-0.00419676  0.00752635  0.10710201  0.15234255]
 [ 0.0028038   0.00031479  0.          0.        ]]",[-1.07317197 -0.25509879]
1,[ 1.34272603  5.7707608 ],-0.173244986364,-3.97151,[ 1.36204815  3.89561701],"[ 1.39656016  2.58527844 -0.36041648 -0.64267913  0.92147856  1.31620467
 -0.28449339  0.13732997  0.68146942 -1.19935169  0.        ]","[[ 0.03553383  0.04724498  0.10710201  0.15234255]
 [ 3.95709549  3.95836176  0.          0.        ]]",[-1.07317197 -0.25509879]
2,[ 1.04619605  3.67527462],-0.140602623127,-4.23805,[ 1.16670799  3.49831247],"[ 1.38030471  2.56609828 -0.18566761 -0.15514267  0.92147828  1.31620408
 -0.21040029  0.64763646  0.63343783 -0.90399265  0.        ]","[[ 0.15356623  0.16533855  0.10710201  0.15234255]
 [ 7.83326793  7.83806541  0.          0.        ]]",[-1.07317197 -0.25509879]
3,[ 1.11647316  2.26178825],-0.0844513218481,-4.49445,[ 0.89605361  2.92977476],"[ 1.30981292  2.48866794  0.09466019  0.62554988  0.921478    1.31620348
 -0.13776546  1.14783443  0.43646856 -0.45910399  0.        ]","[[  0.34835587   0.36025529   0.10710201   0.15234255]
 [ 11.63315171  11.64091891   0.           0.        ]]",[-1.07317197 -0.25509879]
4,[ 0.2743359   1.68727061],-0.013562205871,-4.65279,[ 0.44183788  2.40891719],"[ 1.12718378  2.29254257  0.44937159  1.6101577   0.92147771  1.31620289
 -0.06654727  1.63810608 -0.03164728 -0.00892481  0.        ]","[[  0.61839813   0.63047225   0.10710201   0.15234255]
 [ 15.35892391  15.36831017   0.           0.        ]]",[-1.07317197 -0.25509879]
5,[-0.72618964  1.53946791],-0.0898088235967,-4.55466,[-0.42723328  1.95807767],"[ 0.80648246  1.91552606  0.78259117  2.59843485  0.92147743  1.31620229
 -0.05158044  2.11876371 -0.74393963  0.16489316  0.        ]","[[  0.9334292    0.9745038    0.10710201   0.15234255]
 [ 16.14191138  19.02261704   0.           0.        ]]",[-1.07317197 -0.25509879]
6,[-1.44040717  2.7652405 ],-0.168273367422,-4.23386,[-1.11383843  1.82941663],"[ 0.43365216  1.32948014  0.98628711  3.24831603  0.92147715  1.3162017
 -0.11255024  2.59003403 -1.38821369 -0.11227541  0.        ]","[[  1.22426327   1.39090515   0.10710201   0.15234255]
 [ 12.95228243  22.60556767   0.           0.        ]]",[-1.07317197 -0.25509879]
7,[-1.42689963  2.28505376],-0.215069929514,-4.00378,[-1.53025055  1.95449185],"[ 0.12674145  0.59196077  1.06223796  3.12053638  0.92147687  1.3162011
 -0.19301976  3.05199633 -1.64960147 -0.66593227  0.        ]","[[  1.44107192   1.87825567   0.10710201   0.15234255]
 [  8.74252733  26.11776997   0.           0.        ]]",[-1.07317197 -0.25509879]
8,[-2.11715462  2.24847896],-0.224631887832,-3.33568,[-1.55559516  2.58192706],"[-0.06748958 -0.10953454  1.07473029  1.85775641  0.92147659  1.31620051
 -0.27191981  3.50479561 -1.46712694 -1.17217251  0.        ]","[[  1.57451175   2.43515169   0.10710201   0.15234255]
 [  4.61487917  29.56033226   0.           0.        ]]",[-1.07317197 -0.25509879]
9,[-1.4381475   5.21216173],-0.199330597715,-2.01199,[-1.27542615  4.43269444],"[-0.14288138 -0.47099381  1.07245744 -0.50117927  0.92147631  1.31619991
 -0.34931268  3.15884141 -0.98492265 -1.38035997  0.        ]","[[  1.62619434   3.06021339   0.10710201   0.15234255]
 [  0.56607845  26.93017985   0.           0.        ]]",[-1.07317197 -0.25509879]
