timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 3.68702191  3.97155579],-0.288670790717,-3.41708,[ 2.9848423   3.21265936],"[ 1.33185452  2.48959947 -0.30203606 -0.4676592  -0.3434067   1.36725823
 -0.35983092 -0.3860341   1.78647276 -1.25834352  0.        ]","[[ 0.01169518  0.08993543 -0.03933471  0.15878491]
 [ 0.00351865  0.0043451   0.          0.        ]]",[-0.88710809 -0.17648759]
1,[ 2.58155497  3.08589778],-0.281279403433,-3.60115,[ 2.76045251  2.95966673],"[ 1.33006033  2.48306859 -0.24341926 -0.31094792 -0.3434066   1.36725723
 -0.28455769  0.14528452  1.77609062 -1.15813679  0.        ]","[[ 0.05144007  0.1297339  -0.03933471  0.15878491]
 [ 3.957815    3.96231476  0.          0.        ]]",[-0.88710809 -0.17648759]
2,[ 2.31996425  1.30501812],-0.257558443961,-3.68984,[ 2.46102118  2.60881543],"[ 1.31146598  2.44989837 -0.07038427  0.14863107 -0.3434065   1.36725624
 -0.21077061  0.6660857   1.70770599 -0.86849993  0.        ]","[[ 0.16948727  0.24790572 -0.03933471  0.15878491]
 [ 7.83404081  7.8419371   0.          0.        ]]",[-0.88710809 -0.17648759]
3,[ 2.30940672  1.39801685],-0.21336693418,-3.45851,[ 2.06445575  2.23206329],"[ 1.23813188  2.35127734  0.20646731  0.87436972 -0.3434064   1.36725524
 -0.13843404  1.176569    1.48123835 -0.44291437  0.        ]","[[  0.36429363   0.44289901  -0.03933471   0.15878491]
 [ 11.63406744  11.64470106   0.           0.        ]]",[-0.88710809 -0.17648759]
4,[ 1.2699672   0.92421005],-0.144446181736,-3.16026,[ 1.12750423  1.75235915],"[ 1.05382142  2.13099403  0.55526838  1.76849434 -0.3434063   1.36725424
 -0.06750618  1.6769202   0.98722274 -0.03461455  0.        ]","[[  0.63435654   0.71319065  -0.03933471   0.15878491]
 [ 15.36009139  15.37199481   0.           0.        ]]",[-0.88710809 -0.17648759]
5,[-0.52012774  1.90869659],-0.0514413907279,-3.21483,[-0.14589971  1.32518339],"[  7.00770819e-01   1.73838409e+00   9.04771503e-01   2.62142057e+00
  -3.43406207e-01   1.36725324e+00   2.06123725e-03   2.12702887e+00
   2.37459509e-01   8.36257208e-02   0.00000000e+00]","[[  0.97822121   1.0542734   -0.03933471   0.15878491]
 [ 19.01464728  18.72502706   0.           0.        ]]",[-0.88710809 -0.17648759]
6,[-0.57634706  1.29638393],-0.0476671313395,-2.95259,[-0.80285054  1.09716368],"[ 0.23752907  1.157836    1.11522746  3.11600989 -0.34340611  1.36725224
 -0.04420582  2.60869816 -0.42787882 -0.29140283  0.        ]","[[  1.33412582   1.46477517  -0.03933471   0.15878491]
 [ 16.58411947  22.31318446   0.           0.        ]]",[-0.88710809 -0.17648759]
7,[-1.32558971  1.35414483],-0.125592617605,-2.38332,[-0.95756286  1.15589643],"[-0.19606857  0.45078794  1.15286265  2.86216578 -0.34340601  1.36725124
 -0.09377829  3.08083966 -0.62700519 -0.93979167  0.        ]","[[  1.63967956   1.94632796  -0.03933471   0.15878491]
 [ 13.97994942  25.83039398   0.           0.        ]]",[-0.88710809 -0.17648759]
8,[-1.00374923  1.4665266 ],-0.16941709934,-1.90704,[-1.1643095   1.84498096],"[-0.52839062 -0.19687268  1.0877944   1.55533598 -0.34340591  1.36725025
 -0.17431205  3.54366965 -0.32426903 -1.42302509  0.        ]","[[  1.8768351    2.49752934  -0.03933471   0.15878491]
 [  9.74930402  29.27827608   0.           0.        ]]",[-0.88710809 -0.17648759]
9,[-2.27522072  3.21420362],-0.17390051197,-1.05176,[-1.53520751  3.25064087],"[-0.73156759 -0.49614795  1.00336785 -0.72608064 -0.34340582  1.36724925
 -0.25331695  3.16569126  0.20031034 -1.4366      0.        ]","[[  2.03018882   3.11700455  -0.03933471   0.15878491]
 [  5.59897325  26.46263371   0.           0.        ]]",[-0.88710809 -0.17648759]
