timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 2.77467436  3.71150328],-0.369833347785,-7.60147,[ 3.31216192  4.05490303],"[ 1.3963279   2.58274066 -0.37405862 -0.55836038 -1.01533186 -1.40374118
 -0.36038883 -0.38346191  2.38948786  1.30183921  0.        ]","[[ 0.02568672  0.06757115 -0.11642408 -0.16199474]
 [ 0.00497347 -0.00082681  0.          0.        ]]",[-1.06727707 -0.25065282]
1,[ 3.20984404  3.76284627],-0.374807432811,-7.53901,[ 3.18155217  3.91211343],"[ 1.39368339  2.57743084 -0.31494616 -0.39415985 -1.01533152 -1.40374048
 -0.28480911  0.13724665  2.37924502  1.40229088  0.        ]","[[ 0.06546036  0.10726719 -0.11642408 -0.16199474]
 [ 3.95923416  3.95724401  0.          0.        ]]",[-1.06727707 -0.25065282]
2,[ 3.32361309  3.4899555 ],-0.387062619484,-7.60603,[ 2.92012858  3.57389879],"[ 1.37230063  2.54751683 -0.14072741  0.08909515 -1.01533118 -1.40373979
 -0.21072184  0.64764802  2.3112325   1.69289072  0.        ]","[[ 0.18353549  0.22533861 -0.11642408 -0.16199474]
 [ 7.83541173  7.83696699  0.          0.        ]]",[-1.06727707 -0.25065282]
3,[ 2.83682293  2.60190115],-0.398735660167,-7.66792,[ 2.7740097   3.25248098],"[ 1.29359844  2.4529993   0.13735157  0.85539946 -1.01533084 -1.4037391
 -0.13809145  1.14793804  2.08508854  2.12046433  0.        ]","[[  0.3783686    0.42023351  -0.11642408  -0.16199474]
 [ 11.63536641  11.63983224   0.           0.        ]]",[-1.06727707 -0.25065282]
4,[ 3.12340326  3.09907299],-0.396933801416,-7.5897,[ 2.69507647  2.90308595],"[ 1.10062117  2.23553135  0.486333    1.80589825 -1.01533049 -1.40373841
 -0.06687606  1.63829897  1.59047519  2.53173974  0.        ]","[[  0.64845653   0.69042879  -0.11642408  -0.16199474]
 [ 15.36128954  15.36722776   0.           0.        ]]",[-1.06727707 -0.25065282]
5,[ 2.86231482  1.6744508 ],-0.365675200068,-7.40448,[ 2.52603912  2.44703984],"[ 0.73541012  1.83747984  0.83352957  2.73068259 -1.01533015 -1.40373772
  0.00297195  2.11890166  0.8354561   2.65139059  0.        ]","[[  0.99234325   1.03442817  -0.11642408  -0.16199474]
 [ 19.015673    19.02045596   0.           0.        ]]",[-1.06727707 -0.25065282]
6,[ 3.00090799  2.77349071],-0.29255953406,-6.81258,[ 2.47204876  2.17476869],"[ 0.17324381  1.23835643  1.05606801  3.28394014 -1.01532981 -1.40373702
  0.07149874  2.58991923  0.10343703  2.2285022   0.        ]","[[  1.40862281   1.45076133  -0.11642408  -0.16199474]
 [ 22.60093103  22.60083723   0.           0.        ]]",[-1.06727707 -0.25065282]
7,[ 2.74648364  2.39850677],-0.186542506282,-6.0424,[ 2.61886144  2.15366769],"[-0.52846725  0.5052966   0.99763828  3.03700444 -1.01532947 -1.40373633
  0.13873268  3.05155601 -0.10390719  1.39516999  0.        ]","[[  1.89593003   1.93798629  -0.11642408  -0.16199474]
 [ 26.11854881  26.1099299    0.           0.        ]]",[-1.06727707 -0.25065282]
8,[ 3.81889427  3.75516736],-0.135150943758,-4.47066,[ 3.04139042  2.77069473],"[-1.18895622 -0.16685631  0.53329368  1.66405387 -1.01532912 -1.40373564
  0.2046628   3.50408347  0.39341242  0.85460108  0.        ]","[[  2.45291064   2.49469692  -0.11642408  -0.16199474]
 [ 29.56795166  29.54980345   0.           0.        ]]",[-1.06727707 -0.25065282]
9,[ 2.95936521  3.22032389],-0.202963442798,-3.93162,[ 3.09592962  4.47138405],"[-1.51858856 -0.47585438 -0.31797658 -0.74715201 -1.01532878 -1.40373495
  0.26922235  3.12567549  0.86267013  1.1756316   0.        ]","[[  3.07817233   3.11953468  -0.11642408  -0.16199474]
 [ 32.9456479   26.67343305   0.           0.        ]]",[-1.06727707 -0.25065282]
