timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 0.5119028   0.03089183],-0.10024451393,0.037372,[ 0.70208776  0.6564163 ],"[ 1.14203092  1.66221582  0.03048774 -0.87382772  0.97894272  0.27041296
 -0.7048511  -0.32062041  0.47289421 -0.271153    0.        ]","[[ 0.0941718  -0.09735733  0.11205061  0.03232499]
 [ 0.00267854 -0.00164122  0.          0.        ]]",[-0.21630272  0.01201579]
1,[ 1.69833616  1.22269006],-0.0990903216225,0.311806,[ 0.68615133  0.65285534],"[ 1.13909763  1.66234291  0.06100048 -0.87093173  0.97893802  0.27041225
 -0.62779221 -0.30332687  0.4712951  -0.23878746  0.        ]","[[ 0.11454208 -0.09617045  0.11205061  0.03232499]
 [ 2.02760763  0.11992745  0.          0.        ]]",[-0.21630272  0.01201579]
2,[ 0.95053991  1.50027863],-0.0950160651034,0.480932,[ 0.55274439  0.62228692],"[ 1.12215673  1.66625106  0.17976432 -0.76818564  0.97893331  0.27041153
 -0.47883783  0.25935873  0.45539829 -0.08236999  0.        ]","[[ 0.19436696 -0.05408309  0.11205061  0.03232499]
 [ 5.94184879  4.07563084  0.          0.        ]]",[-0.21630272  0.01201579]
3,[ 0.2414163  -0.06333763],-0.0946614296431,0.273844,[ 0.31742573  0.57880056],"[ 1.06462136  1.66532     0.40493885 -0.47355463  0.97892861  0.27041082
 -0.34027406  0.81091653  0.36877722  0.24184373  0.        ]","[[ 0.34973699  0.0663336   0.11205061  0.03232499]
 [ 9.58304803  7.95311491  0.          0.        ]]",[-0.21630272  0.01201579]
4,[ 0.58119579 -0.24670591],-0.109682868249,0.238998,[ 0.07798678  0.54648083],"[ 0.94535899  1.6377456   0.67491635 -0.09845447  0.9789239   0.27041011
 -0.31113274  0.7527908   0.15821908  0.61058028  0.        ]","[[  0.54908082   0.22129635   0.11205061   0.03232499]
 [ 10.34880934   7.54451073   0.           0.        ]]",[-0.21630272  0.01201579]
5,[-0.24180517  0.4830547 ],-0.137755057643,0.217856,[-0.19558012  0.51505876],"[ 0.75218994  1.58801333  0.94495743  0.22863764  0.9789192   0.2704094
 -0.23140179  0.5924507  -0.16680294  0.91381254  0.        ]","[[  0.77707827   0.36087739   0.11205061   0.03232499]
 [ 12.44398019   6.41733301   0.           0.        ]]",[-0.21630272  0.01201579]
6,[ 1.67217373  0.37038207],-0.171082032256,0.139546,[-0.45387691  0.49865735],"[ 0.49783108  1.51167005  1.16739883  0.55324439  0.9789145   0.27040868
 -0.27717971  0.84647832 -0.57726576  1.09626865  0.        ]","[[  1.01388766   0.50714204   0.11205061   0.03232499]
 [ 11.24100199   8.20317037   0.           0.        ]]",[-0.21630272  0.01201579]
7,[-1.48952964  3.35517858],-0.206974786392,0.345765,[-0.66879541  0.4966259 ],"[ 0.16928532  1.38836851  1.33008062  0.9117423   0.97890979  0.27040797
 -0.13507921  1.03173948 -1.07079881  1.11609169  0.        ]","[[  1.27617208   0.68427346   0.11205061   0.03232499]
 [ 14.97512285   9.50559083   0.           0.        ]]",[-0.21630272  0.01201579]
8,[-1.08988299 -0.01739306],-0.237082338871,0.326936,[-0.86838263  0.50031054],"[-0.17914485  1.18602074  1.39389284  1.30043121  0.97890509  0.27040726
 -0.29690732  1.56832225 -1.54209828  0.91755486  0.        ]","[[  1.53300679   0.91223357   0.11205061   0.03232499]
 [ 10.72257877  13.27785542   0.           0.        ]]",[-0.21630272  0.01201579]
9,[-1.8813113   2.21626289],-0.250549427406,0.516051,[-0.93464214  0.51373601],"[-0.41670579  0.90535708  1.38128453  1.62264429  0.97890038  0.27040655
 -0.45549092  1.52124636 -1.81355051  0.60121231  0.        ]","[[  1.70564779   1.17447109   0.11205061   0.03232499]
 [  6.55528852  12.94699818   0.           0.        ]]",[-0.21630272  0.01201579]
