timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 3.03837872  3.09470517],-0.290099577156,-2.08811,[ 2.89224148  2.67892075],"[ 1.23168284  2.2620772  -0.10400251 -0.65343174 -0.69689998  0.07135672
 -0.44643316 -0.39242598  2.0502837  -0.06143782  0.        ]","[[ 0.05470694  0.03849996 -0.08065085  0.00907475]
 [-0.00438661 -0.00484717  0.          0.        ]]",[-0.61641705 -0.06673793]
1,[ 3.51947688  2.02049627],-0.289214995312,-1.92081,[ 2.80908966  2.60353279],"[ 1.22757108  2.25881484 -0.04561444 -0.51419879 -0.69689942  0.07135668
 -0.36554507  0.16467768  2.03936341  0.03762657  0.        ]","[[ 0.09429517  0.07811638 -0.08065085  0.00907475]
 [ 3.95005224  3.9533022   0.          0.        ]]",[-0.61641705 -0.06673793]
2,[ 2.7143558   1.96742198],-0.284857534293,-1.97494,[ 2.61454844  2.43575478],"[ 1.20248139  2.23608088  0.12661607 -0.10291324 -0.69689887  0.07135664
 -0.28625462  0.71075386  1.96990892  0.3247443   0.        ]","[[ 0.21218829  0.19610975 -0.08065085  0.00907475]
 [ 7.8263871   7.8331042   0.          0.        ]]",[-0.61641705 -0.06673793]
3,[ 1.86359828  2.90598199],-0.272184280547,-1.94982,[ 2.26013374  2.14060593],"[ 1.11990329  2.15672578  0.40041157  0.55261752 -0.69689831  0.0713566
 -0.20852404  1.24601172  1.74318643  0.746772    0.        ]","[[  4.06842188e-01   3.90928200e-01  -8.06508528e-02   9.07475203e-03]
 [  1.16264637e+01   1.16360505e+01   0.00000000e+00   0.00000000e+00]]",[-0.61641705 -0.06673793]
4,[ 1.77777036  1.40811005],-0.24422611517,-1.95813,[ 1.66992903  1.71386504],"[ 0.92633432  1.96608159  0.74141938  1.37258833 -0.69689776  0.07135656
 -0.13230864  1.77064525  1.25079342  1.15124761  0.        ]","[[  6.76752928e-01   6.61048676e-01  -8.06508528e-02   9.07475203e-03]
 [  1.53524662e+01   1.53635293e+01   0.00000000e+00   0.00000000e+00]]",[-0.61641705 -0.06673793]
5,[ 1.83147839  0.53468325],-0.194384938215,-1.99296,[ 0.85924697  1.36546421],"[ 0.5683376   1.60901651  1.07581825  2.18306696 -0.6968972   0.07135652
 -0.05755726  2.28483531  0.50140924  1.26475446  0.        ]","[[  1.02046369e+00   1.00497491e+00  -8.06508528e-02   9.07475203e-03]
 [  1.90068964e+01   1.90168391e+01   0.00000000e+00   0.00000000e+00]]",[-0.61641705 -0.06673793]
6,[ 0.03138068  1.816195  ],-0.123263503299,-1.65965,[ 0.31407332  1.16304064],"[ 0.02550002  1.08894072  1.28089852  2.68217084 -0.69689665  0.07135648
  0.01578258  2.52944374 -0.21974402  0.85345193  0.        ]","[[  1.43657086e+00   1.40275043e+00  -8.06508528e-02   9.07475203e-03]
 [  2.25923194e+01   2.07548265e+01   0.00000000e+00   0.00000000e+00]]",[-0.61641705 -0.06673793]
7,[-0.28722127  0.98318595],-0.0478111032687,-0.972469,[ 0.07527173  1.15578663],"[-0.59260494  0.45988983  1.22168149  2.59206702 -0.69689609  0.07135645
  0.00929993  3.02859971 -0.44801903  0.0767857   0.        ]","[[  1.88523506e+00   1.85343079e+00  -8.06508528e-02   9.07475203e-03]
 [  2.22753973e+01   2.43014025e+01   0.00000000e+00   0.00000000e+00]]",[-0.61641705 -0.06673793]
8,[ 0.68632631  1.96739731],-0.0466320572846,-0.589311,[ 0.43681538  1.82212389],"[-1.10606315 -0.16116499  0.90319289  1.65666635 -0.69689553  0.07135641
 -0.02284443  3.5085623  -0.05926455 -0.47193907  0.        ]","[[  2.31497794e+00   2.37367428e+00  -8.06508528e-02   9.07475203e-03]
 [  2.07039317e+01   2.77116868e+01   0.00000000e+00   0.00000000e+00]]",[-0.61641705 -0.06673793]
9,[ 0.43191622  4.51278512],-0.0863308213808,-0.507463,[ 0.76096064  2.59538174],"[-1.45171394 -0.53421637  0.37653935 -0.16047021 -0.69689498  0.07135637
  0.02443928  3.98848111  0.47250209 -0.35289486  0.        ]","[[  2.75225531e+00   2.96212070e+00  -8.06508528e-02   9.07475203e-03]
 [  2.30155246e+01   3.11217600e+01   0.00000000e+00   0.00000000e+00]]",[-0.61641705 -0.06673793]
