timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-2.41314,"[ 0.99797283  1.3814289   0.47643404 -0.67513249 -0.02386779  0.99727252
  0.2480222  -0.33675028  1.43959374 -1.08303702  0.        ]",[ 1.51544172  2.98570147],-0.24627986192,[ 1.28227353  3.44079232],[-0.38866261 -0.25983322],"[[-0.07261047  0.08401681 -0.00418733  0.11603863]
 [ 0.00184221  0.00309682  0.          0.        ]]"
1,-2.37099,"[ 1.00128127  1.37668194  0.5442079  -0.55517055 -0.02386778  0.9972718
  0.84668379  0.28930052  1.43761433 -0.9325882   0.        ]",[ 1.49114579  2.29696015],-0.240033484199,[ 0.81240588  3.03435564],[-0.38866261 -0.25983322],"[[-0.0328988   0.12379055 -0.00418733  0.11603863]
 [ 3.95616977  3.96109082  0.          0.        ]]"
2,-2.19353,"[ 0.9964144   1.35197787  0.74572578 -0.20304821 -0.02386777  0.99727108
  1.43352433  0.90295853  1.3902301  -0.4922072   0.        ]",[ 0.46220398  1.88026973],-0.220172026847,[-0.52551782  1.96828854],[-0.38866261 -0.25983322],"[[  8.51157763e-02   2.41938141e-01  -4.18732853e-03   1.16038628e-01]
 [  7.83242266e+00   7.84073741e+00   0.00000000e+00   0.00000000e+00]]"
3,-1.9235,"[ 0.94960748  1.27741115  1.037408    0.35363366 -0.02386776  0.99727036
  1.68672929  1.50458996  1.20117831  0.12680744  0.        ]",[-1.5812326   1.78099108],-0.186394245823,[-1.8150425  0.8488369],[-0.38866261 -0.25983322],"[[  2.58543972e-01   4.36915964e-01  -4.18732853e-03   1.16038628e-01]
 [  9.50492686e+00   1.16443573e+01   0.00000000e+00   0.00000000e+00]]"
4,-1.78558,"[ 0.87299869  1.10956333  1.27709086  1.04078672 -0.02386776  0.99726964
  1.05926186  2.09463615  0.86092445  0.62810199  0.        ]",[-1.67331708  1.165341  ],-0.146214093083,[-1.98580194  0.32347426],[-0.38866261 -0.25983322],"[[  4.07057964e-01   7.07231484e-01  -4.18732853e-03   1.16038628e-01]
 [  5.36033374e+00   1.53747498e+01   0.00000000e+00   0.00000000e+00]]"
5,-1.55964,"[ 0.82824966  0.80605417  1.37980872  1.70309769 -0.02386775  0.99726892
  0.4442514   2.67297706  0.47513033  0.83152844  0.        ]",[-2.66112189  0.59478016],-0.105853750368,[-1.56542206 -0.13288251],[-0.38866261 -0.25983322],"[[  4.73505884e-01   1.05141283e+00  -4.18732853e-03   1.16038628e-01]
 [  1.29801819e+00   1.90311681e+01   0.00000000e+00   0.00000000e+00]]"
6,-1.5808,"[ 0.8381922   0.37150337  1.35845446  2.08161251 -0.02386774  0.9972682
 -0.15855324  2.98603098  0.13195947  0.74315951  0.        ]",[-0.61833498 -0.32545321],-0.0654220818861,[-0.85115355 -0.0731895 ],[-0.38866261 -0.25983322],"[[  4.59517736e-01   1.45189529e+00  -4.18732853e-03   1.16038628e-01]
 [ -2.68367510e+00   2.10104198e+01   0.00000000e+00   0.00000000e+00]]"
7,-1.32818,"[ 0.88831343 -0.08754523  1.23729504  1.98136306 -0.02386773  0.99726748
 -0.5208036   2.71644502 -0.10187178  0.45528821  0.        ]",[-0.79161178  0.1907852 ],-0.0300243101695,[-0.38050842  0.59193099],[-0.38866261 -0.25983322],"[[  3.81838980e-01   1.85500413e+00  -4.18732853e-03   1.16038628e-01]
 [ -5.07644054e+00   1.93060954e+01   0.00000000e+00   0.00000000e+00]]"
8,-0.985084,"[ 0.95304622 -0.48304301  1.0230785   1.43973116 -0.02386772  0.99726676
 -0.97991729  2.77547595 -0.2328879   0.06724914  0.        ]",[-0.84924005  2.84355461],-0.0283322654776,[ 0.2675598   1.81784415],[-0.38866261 -0.25983322],"[[  2.49884934e-01   2.24487168e+00  -4.18732853e-03   1.16038628e-01]
 [ -8.10901726e+00   1.96793569e+01   0.00000000e+00   0.00000000e+00]]"
9,-1.00699,"[ 0.99969082 -0.79205807  0.69537213  0.43655563 -0.02386771  0.99726604
 -1.4645952   3.34009435 -0.31688238 -0.42410341  0.        ]",[ 0.77909916  1.08727714],-0.0665380293258,[ 0.54268795  2.34361315],[-0.38866261 -0.25983322],"[[  5.55841172e-02   2.67427556e+00  -4.18732853e-03   1.16038628e-01]
 [ -1.13104591e+01   2.32490974e+01   0.00000000e+00   0.00000000e+00]]"
10,-1.03349,"[ 0.98722963 -0.91454375  0.36626956 -0.81209149 -0.0238677   0.99726532
 -0.9637821   1.24017412 -0.37216359 -0.85492592  0.        ]",[-0.39330508  1.57922811],-0.102854489833,[ 0.32534671  2.02559447],[-0.38866261 -0.25983322],"[[ -1.37430674e-01   3.10282511e+00  -4.18732853e-03   1.16038628e-01]
 [ -8.00245398e+00   9.97287654e+00   0.00000000e+00   0.00000000e+00]]"
11,-1.2959,"[ 0.92606265 -0.91536962  0.07655491 -0.95425484 -0.0238677   0.9972646
 -1.17563115 -0.62126081 -0.39199205 -0.99262271  0.        ]",[ 0.88746853  2.0029654 ],-0.114558467949,[ 0.45843059  2.21341276],[-0.38866261 -0.25983322],"[[ -3.11521274e-01   3.14971271e+00  -4.18732853e-03   1.16038628e-01]
 [ -9.40178240e+00  -1.79559116e+00   0.00000000e+00   0.00000000e+00]]"
12,-1.46425,"[ 0.83613718 -0.9143096  -0.16207943 -0.79720411 -0.02386769  0.99726388
 -0.6154962  -0.75999027 -0.36535733 -0.90995832  0.        ]",[ 0.53161556  0.69859415],-0.107471177751,[ 0.53810626  2.21230984],[-0.38866261 -0.25983322],"[[ -4.62435513e-01   3.09791227e+00  -4.18732853e-03   1.16038628e-01]
 [ -5.70193722e+00  -2.67267671e+00   0.00000000e+00   0.00000000e+00]]"
13,-1.10592,"[ 0.76555741 -0.91090474 -0.2990733  -0.66161213 -0.02386768  0.99726316
 -0.27974125 -0.61356673 -0.33412365 -0.85433131  0.        ]",[ 2.14484988  3.05270326],-0.102754625488,[ 0.53322786  2.17750025],[-0.38866261 -0.25983322],"[[-0.55422283  3.05310011 -0.00418733  0.11603863]
 [-3.48418353 -1.74695207  0.          0.        ]]"
14,-1.01888,"[ 0.74064302 -0.9078967  -0.34121467 -0.58370006 -0.02386767  0.99726244
  0.33012141 -0.47997413 -0.31575964 -0.82703816  0.        ]",[ 0.58135345  3.10137815],-0.100502265954,[ 0.34272307  2.13035059],[-0.38866261 -0.25983322],"[[-0.5834891   3.02727575 -0.00418733  0.11603863]
 [ 0.54412768 -0.90234749  0.          0.        ]]"
15,-1.21098,"[ 0.76937051 -0.90612483 -0.2923745  -0.54520686 -0.02386766  0.99726172
  0.6769647  -0.40492586 -0.31288106 -0.81442411  0.        ]",[-0.69893222  1.13506039],-0.099451226916,[ 0.17919317  2.10296845],[-0.38866261 -0.25983322],"[[-0.5496202   3.0144898  -0.00418733  0.11603863]
 [ 2.83512455 -0.42787467  0.          0.        ]]"
16,-1.13686,"[ 0.79224895 -0.90524124 -0.25066677 -0.52741127 -0.02386765  0.997261
  0.24951935 -0.36775539 -0.31354882 -0.80855963  0.        ]",[-0.08137487  1.78596515],-0.0989539991585,[ 0.33367997  2.11297703],[-0.38866261 -0.25983322],"[[-0.52124571  3.00857189 -0.00418733  0.11603863]
 [ 0.01173269 -0.19287477  0.          0.        ]]"
17,-1.19292,"[ 0.78988119 -0.904836   -0.25510969 -0.51951846 -0.02386764  0.99726028
  0.2007076  -0.35054685 -0.31165594 -0.80585291  0.        ]",[-0.09922778  1.34826641],-0.0987344894393,[ 0.36174953  2.11573792],[-0.38866261 -0.25983322],"[[-0.52424594  3.0059457  -0.00418733  0.11603863]
 [-0.31068155 -0.08407905  0.          0.        ]]"
18,-1.22167,"[ 0.78182614 -0.90465851 -0.27000052 -0.5161159  -0.02386763  0.99725956
  0.14216048 -0.3429092  -0.30955434 -0.80467724  0.        ]",[ 1.82252896  1.39150596],-0.0986456098677,[ 0.39989305  2.12150955],[-0.38866261 -0.25983322],"[[-0.53433964  3.00481332 -0.00418733  0.11603863]
 [-0.69740056 -0.03579281  0.          0.        ]]"
19,-1.17352,"[ 0.80222487 -0.90458277 -0.23159346 -0.5146792  -0.02386763  0.99725884
  0.74366462 -0.33961496 -0.31306632 -0.80427915  0.        ]",[ 0.122626    1.39544633],-0.0985954653183,[ 0.12155557  2.08578205],[-0.38866261 -0.25983322],"[[-0.50842428  3.00433517 -0.00418733  0.11603863]
 [ 3.27569607 -0.01496673  0.          0.        ]]"
20,-1.10937,"[ 0.85247563 -0.90455087 -0.12554436 -0.51408188 -0.02386762  0.99725812
  0.80735048 -0.33822449 -0.32313262 -0.80498529  0.        ]",[-0.39636315  1.83957211],-0.0986173250821,[ 0.0086178   2.05769372],[-0.38866261 -0.25983322],"[[-0.43868969  3.00413641 -0.00418733  0.11603863]
 [ 3.69636113 -0.00617668  0.          0.        ]]"
21,-1.25421,"[ 0.88865729 -0.9045374  -0.03550649 -0.51383637 -0.02386761  0.9972574
  0.55868618 -0.33764644 -0.33142738 -0.80640023  0.        ]",[ 0.15652025  1.01482336],-0.098716734547,[ 0.03240685  2.04128075],[-0.38866261 -0.25983322],"[[ -3.81242117e-01   3.00405476e+00  -4.18732853e-03   1.16038628e-01]
 [  2.05386994e+00  -2.52300431e-03   0.00000000e+00   0.00000000e+00]]"
22,-1.11954,"[ 0.91460545 -0.90453157  0.03954882 -0.51373643 -0.0238676   0.99725668
  0.64635078 -0.33740851 -0.33816024 -0.80809113  0.        ]",[-0.81402727  1.73541361],-0.098850581442,[-0.06986442  2.01361847],[-0.38866261 -0.25983322],"[[ -3.34354924e-01   3.00402157e+00  -4.18732853e-03   1.16038628e-01]
 [  2.63291965e+00  -1.01958640e-03   0.00000000e+00   0.00000000e+00]]"
23,-1.15542,"[ 0.92457954 -0.90452886  0.07162108 -0.5136959  -0.02386759  0.99725596
  0.15051976 -0.33731229 -0.34098852 -0.80894062  0.        ]",[-1.38425718  1.20200622],-0.0989205448148,[ 0.10979867  2.03704476],[-0.38866261 -0.25983322],"[[ -3.14556595e-01   3.00400816e+00  -4.18732853e-03   1.16038628e-01]
 [ -6.42172481e-01  -4.12134539e-04   0.00000000e+00   0.00000000e+00]]"
24,-0.997141,"[ 0.89688271 -0.90452741 -0.01284433 -0.5136794  -0.02386758  0.99725524
 -0.44697032 -0.33727323 -0.33346166 -0.80681848  0.        ]",[-0.9758251   2.77502109],-0.098748773039,[ 0.43862116  2.10001969],[-0.38866261 -0.25983322],"[[ -3.66997332e-01   3.00400274e+00  -4.18732853e-03   1.16038628e-01]
 [ -4.58874931e+00  -1.66067646e-04   0.00000000e+00   0.00000000e+00]]"
25,-1.16835,"[ 0.81120257 -0.90452647 -0.21392087 -0.51367262 -0.02386757  0.99725452
 -1.01814102 -0.3372574  -0.31461303 -0.80401448  0.        ]",[ 0.42592637  1.56154084],-0.098566638639,[ 0.79727215  2.19239926],[-0.38866261 -0.25983322],"[[ -4.96625376e-01   3.00400057e+00  -4.18732853e-03   1.16038628e-01]
 [ -8.36148252e+00  -6.68042523e-05   0.00000000e+00   0.00000000e+00]]"
26,-1.10996,"[ 0.68435733 -0.90452574 -0.42749027 -0.51366995 -0.02386757  0.9972538
 -0.73777392 -0.3372502  -0.29289635 -0.80509535  0.        ]",[ 0.08884057  2.06967575],-0.0987844487566,[ 0.85989314  2.18728971],[-0.38866261 -0.25983322],"[[ -6.45274377e-01   3.00399976e+00  -4.18732853e-03   1.16038628e-01]
 [ -6.50958901e+00  -2.21949892e-05   0.00000000e+00   0.00000000e+00]]"
27,-0.957218,"[ 0.55559682 -0.90452511 -0.59016684 -0.51366887 -0.02386756  0.99725308
 -0.66501146 -0.33724786 -0.274839   -0.80955679  0.        ]",[-0.58318524  3.31118083],-0.0993169099011,[ 0.94440299  2.19752979],[-0.38866261 -0.25983322],"[[ -7.70644018e-01   3.00399947e+00  -4.18732853e-03   1.16038628e-01]
 [ -6.02897671e+00  -8.24323670e-06   0.00000000e+00   0.00000000e+00]]"
28,-1.08456,"[ 0.38769293 -0.90452449 -0.75230012 -0.51366822 -0.02386755  0.99725236
 -0.99651159 -0.33724728 -0.2549722  -0.81848181  0.        ]",[-1.08632943  2.07214745],-0.100292179125,[ 1.12534213  2.22803712],[-0.38866261 -0.25983322],"[[ -9.13192991e-01   3.00399934e+00  -4.18732853e-03   1.16038628e-01]
 [ -8.21862364e+00  -5.41710890e-06   0.00000000e+00   0.00000000e+00]]"
29,-1.23605,"[ 0.11643861 -0.90452388 -0.93473596 -0.51366767 -0.02386754  0.99725164
 -1.57129307 -0.33724706 -0.22872541 -0.83784221  0.        ]",[ 0.18945074  1.67996789],-0.102293077552,[ 1.19756937  2.24764776],[-0.38866261 -0.25983322],"[[ -1.11565789e+00   3.00399923e+00  -4.18732853e-03   1.16038628e-01]
 [ -1.20152137e+01  -4.87602048e-06   0.00000000e+00   0.00000000e+00]]"
30,-1.21107,"[-0.2260801  -0.90452328 -1.06574257 -0.51366736 -0.02386753  0.99725092
 -1.42172141 -0.33724602 -0.20289201 -0.86846876  0.        ]",[ 1.4643381   2.51377448],-0.1053059542,[ 1.19887018  2.18271065],[-0.38866261 -0.25983322],"[[ -1.34604975e+00   3.00399921e+00  -4.18732853e-03   1.16038628e-01]
 [ -1.10272648e+01   8.24706972e-07   0.00000000e+00   0.00000000e+00]]"
31,-1.30564,"[-0.50543268 -0.90452269 -1.10690874 -0.51366733 -0.02386752  0.9972502
 -0.78925666 -0.3372453  -0.18665734 -0.89752998  0.        ]",[ 0.18238987  1.12500933],-0.108048744655,[ 1.13105702  2.07626677],[-0.38866261 -0.25983322],"[[ -1.52467992e+00   3.00399927e+00  -4.18732853e-03   1.16038628e-01]
 [ -6.84967451e+00   4.53106968e-06   0.00000000e+00   0.00000000e+00]]"
32,-1.14471,"[-0.7081654  -0.9045221  -1.102944   -0.51366723 -0.02386751  0.99724948
 -0.65940014 -0.33724573 -0.17736769 -0.92071941  0.        ]",[ 0.59368701  2.70497405],-0.110171699436,[ 1.07725787  2.02541709],[-0.38866261 -0.25983322],"[[ -1.65306749e+00   3.00399932e+00  -4.18732853e-03   1.16038628e-01]
 [ -5.99194096e+00   9.21516004e-07   0.00000000e+00   0.00000000e+00]]"
33,-1.08666,"[-0.85708625 -0.90452151 -1.08191978 -0.51366708 -0.0238675   0.99724876
 -0.28557685 -0.33724549 -0.17187551 -0.93888227  0.        ]",[ 1.02932505  3.13054527],-0.11179833243,[ 0.87941664  1.98268402],[-0.38866261 -0.25983322],"[[ -1.74813205e+00   3.00399935e+00  -4.18732853e-03   1.16038628e-01]
 [ -3.52274303e+00   1.59270054e-06   0.00000000e+00   0.00000000e+00]]"
34,-1.25052,"[-0.90366898 -0.90452093 -1.0721074  -0.51366699 -0.0238675   0.99724804
  0.3243961  -0.33724521 -0.17039545 -0.94476521  0.        ]",[ 0.65765116  0.96178384],-0.112318849065,[ 0.4374637   1.94334626],[-0.38866261 -0.25983322],"[[ -1.77816237e+00   3.00399940e+00  -4.18732853e-03   1.16038628e-01]
 [  5.06284341e-01   2.49928393e-06   0.00000000e+00   0.00000000e+00]]"
35,-1.14783,"[-0.84755968 -0.90451394 -1.08373177 -0.51354508 -0.02386749  0.99724732
  0.71708453 -0.33768836 -0.17215856 -0.93770545  0.        ]",[ 0.55312813  1.45621885],-0.111694618049,[ 0.18055832  1.9302963 ],[-0.38866261 -0.25983322],"[[ -1.74201215e+00   3.00395889e+00  -4.18732853e-03   1.16038628e-01]
 [  3.10009298e+00  -2.80006156e-03   0.00000000e+00   0.00000000e+00]]"
