timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-0.41796678  1.86339808],[ 1.01517945 -0.28030663],-0.398886523006,-0.398886523006,"[ 1.01388076  2.04702211  0.08676171 -0.57815125 -1.44820244 -1.00985772
  0.44745929 -0.35494887  2.55757363  1.05803512  0.        ]","[[ 0.04439941  0.07090331 -0.16673245 -0.11634924]
 [ 0.00082403 -0.00363129  0.          0.        ]]",[-0.17211689 -0.09403049]
1,[-0.52968925  1.82007265],[-1.54409439  0.51209381],-0.40068833574,-0.40068833574,"[ 1.01020631  2.04799629  0.14714981 -0.61158839 -1.44819637 -1.00985496
  0.76324774 -0.50859565  2.55263951  1.11854542  0.        ]","[[ 0.08411059  0.05968    -0.16673245 -0.11634924]
 [ 3.95711892 -1.11499197  0.          0.        ]]",[-0.17211689 -0.09403049]
2,[-0.51246738  1.79898715],[-1.07775938  0.0449281 ],-0.402529798078,-0.402529798078,"[ 1.00445573  2.04811827  0.20574408 -0.61670864 -1.44819031 -1.0098522
  0.44117898 -0.22499671  2.54475237  1.18584796  0.        ]","[[ 0.12276914  0.05796174 -0.16673245 -0.11634924]
 [-0.0778256   0.9363251   0.          0.        ]]",[-0.17211689 -0.09403049]
3,[-0.3834624   1.86892986],[ 0.31092369  2.19379566],-0.400984525204,-0.400984525204,"[ 1.01050743  2.04623448  0.14324058 -0.55611718 -1.44818424 -1.00984944
  0.12553899 -0.20275312  2.55075376  1.13133854  0.        ]","[[ 0.08153691  0.07830256 -0.16673245 -0.11634924]
 [-4.03223145  1.09721449  0.          0.        ]]",[-0.17211689 -0.09403049]
4,[-0.39296907  1.79543304],[-2.14283943  1.65944862],-0.398823402513,-0.398823402513,"[ 1.01514739  2.03719518  0.04048259 -0.3737636  -1.44817818 -1.00984668
  0.22995979  0.34159471  2.55390925  1.06789582  0.        ]","[[ 0.01401787  0.13975159 -0.16673245 -0.11634924]
 [-2.7240221   5.03456846  0.          0.        ]]",[-0.17211689 -0.09403049]
5,[-0.24145791  1.80671453],[-1.05386459  2.72377095],-0.39623577546,-0.39623577546,"[ 1.01072318  1.99807182 -0.10209879  0.03312157 -1.44817211 -1.00984393
 -0.08161987  0.875439    2.54500902  1.03027105  0.        ]","[[-0.07962779  0.27918569 -0.16673245 -0.11634924]
 [-6.62755255  8.89595552  0.          0.        ]]",[-0.17211689 -0.09403049]
6,[-0.0081504   1.83920336],[ 0.21953103  0.67307071],-0.38873871996,-0.38873871996,"[ 0.97031288  1.88824022 -0.35874962  0.6288621  -1.44816605 -1.00984117
 -0.38704555  1.3986867   2.51599895  0.92735602  0.        ]","[[ -0.25057023   0.49507903  -0.16673245  -0.11634924]
 [-10.45398575  12.68072007   0.           0.        ]]",[-0.17211689 -0.09403049]
7,[ 0.13699862  1.81020761],[-0.46445341  1.91789047],-0.376899651028,-0.376899651028,"[ 0.87262729  1.66677027 -0.64219145  1.2950351  -1.44815998 -1.00983841
 -0.30129706  1.73233695  2.44723503  0.83994412  0.        ]","[[ -0.4488719    0.77290796  -0.16673245  -0.11634924]
 [ -9.37972074  15.09413011   0.           0.        ]]",[-0.17211689 -0.09403049]
8,[ 0.28228498  1.71551919],[ 2.3482444   1.50479832],-0.360218342835,-0.360218342835,"[ 0.71896491  1.2987813  -0.90684723  1.88666335 -1.44815392 -1.00983565
 -0.43327028  2.23844318  2.32586657  0.80821394  0.        ]","[[ -0.65305521   1.11152193  -0.16673245  -0.11634924]
 [-11.03310878  18.75501375   0.           0.        ]]",[-0.17211689 -0.09403049]
9,[ 0.21779653  1.45926762],[-0.71359333  1.20907435],-0.338136474162,-0.338136474162,"[ 0.5451381   0.76536257 -1.10732106  2.19257977 -1.44814785 -1.0098329
 -0.1000284   2.73431851  2.13287927  0.87879729  0.        ]","[[ -0.83183294   1.52261063  -0.16673245  -0.11634924]
 [ -6.8582131   22.34201012   0.           0.        ]]",[-0.17211689 -0.09403049]
10,[ 0.16974145  1.19757867],[ 0.04209356  0.62524017],-0.306585400421,-0.306585400421,"[ 0.3581737   0.13273465 -1.25989279  1.91929764 -1.44814179 -1.00983014
 -0.3146091   3.22053985  1.84152613  0.98999949  0.        ]","[[ -0.99596918   2.00474208  -0.16673245  -0.11634924]
 [ -9.54651013  25.85933944   0.           0.        ]]",[-0.17211689 -0.09403049]
