timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-3.45080423  0.49547738],[-3.13154079 -0.51535241],-0.149931867726,-0.149931867726,"[ 1.02919423  1.42980373  0.01872709 -1.2440788   0.84952855 -0.78649089
  0.26424184 -0.30854154  0.72253059  1.00697719  0.        ]","[[ 0.04329937  0.00036977  0.09871138 -0.09155981]
 [ 0.0030592   0.00064614  0.          0.        ]]",[-0.70363593 -0.47935164]
1,[-2.41995263  1.11645782],[-3.06343945  0.58342838],-0.143195037663,-0.143195037663,"[ 1.03058094  1.42954191 -0.04006024 -1.29649627  0.84952793 -0.78649035
 -0.16089565 -0.63750019  0.72433395  0.87896114  0.        ]","[[  3.67740172e-03  -2.00758258e-02   9.87113771e-02  -9.15598073e-02]
 [ -3.95208958e+00  -2.03841529e+00   0.00000000e+00   0.00000000e+00]]",[-0.70363593 -0.47935164]
2,[-1.15936399  1.11577487],[-0.92124243  1.612117  ],-0.126500548078,-0.126500548078,"[ 1.02086302  1.42890509 -0.21476476 -1.34049951  0.8495273  -0.78648981
 -0.57780714 -0.25805478  0.70565249  0.55689019  0.        ]","[[-0.11427978 -0.0372457   0.09871138 -0.09155981]
 [-7.83071083  0.31358599  0.          0.        ]]",[-0.70363593 -0.47935164]
3,[ 0.32457769  0.89186096],[-0.56797299  1.33062549],-0.105935482402,-0.105935482402,"[ 0.96135149  1.42974936 -0.49251926 -1.22270253  0.84952668 -0.78648927
 -0.95304937  0.37995833  0.6312701   0.14086405  0.        ]","[[ -3.05919941e-01   8.70529144e-03   9.87113771e-02  -9.15598073e-02]
 [ -1.13216770e+01   4.26832594e+00   0.00000000e+00   0.00000000e+00]]",[-0.70363593 -0.47935164]
4,[ 1.89355421  0.57277739],[ 2.73129599  0.87317497],-0.0870453342667,-0.0870453342667,"[ 0.80858551  1.41840622 -0.82466638 -0.9051184   0.84952605 -0.78648872
 -1.17065396  1.00523932  0.48385984 -0.28321334  0.        ]","[[ -0.55266513   0.1329594    0.09871138  -0.09155981]
 [-13.34611021   8.14414831   0.           0.        ]]",[-0.70363593 -0.47935164]
5,[ 1.53785551  0.08948058],[ 2.13693271 -0.09220184],-0.0763551975941,-0.0763551975941,"[ 0.60235877  1.36062224 -1.08644016 -0.41685462  0.84952543 -0.78648818
 -0.7172043   1.53672632  0.33458759 -0.53169546  0.        ]","[[ -0.7772617    0.32889653   0.09871138  -0.09155981]
 [ -9.12757441  11.43859503   0.           0.        ]]",[-0.70363593 -0.47935164]
6,[ 0.68151283 -0.06876563],[ 0.66362181  0.26485475],-0.0702294010145,-0.0702294010145,"[ 0.44477681  1.23831423 -1.22483527  0.09889595  0.84952481 -0.78648764
 -0.27254569  1.44103248  0.26562589 -0.5446205   0.        ]","[[ -0.9183084    0.55171688   0.09871138  -0.09155981]
 [ -4.99082149  10.84544617   0.           0.        ]]",[-0.70363593 -0.47935164]
7,[-0.53581667 -0.60348117],[ 0.07573436 -0.72113418],-0.0654302555281,-0.0654302555281,"[ 0.35658488  1.05945522 -1.2870017   0.55267595  0.84952418 -0.78648709
  0.0202582   1.57542211  0.25470359 -0.40040049  0.        ]","[[ -0.99079467   0.77698365   0.09871138  -0.09155981]
 [ -2.26680526  11.67847845   0.           0.        ]]",[-0.70363593 -0.47935164]
8,[-0.88379717 -0.48543954],[-1.40184401  1.08361705],-0.0623872439287,-0.0623872439287,"[ 0.30365924  0.85856919 -1.31995701  0.88377231  0.84952356 -0.78648655
  0.05741084  1.07744429  0.24290552 -0.21511651  0.        ]","[[-1.03266253  0.97958307  0.09871138 -0.09155981]
 [-1.92116638  8.59175368  0.          0.        ]]",[-0.70363593 -0.47935164]
9,[-0.19915695 -1.3299129 ],[-0.29663572 -2.10298009],-0.0563920451025,-0.0563920451025,"[ 0.20189238  0.61956751 -1.3751912   1.13478474  0.84952294 -0.78648601
 -0.36391783  1.68895678  0.1738591  -0.08423093  0.        ]","[[ -1.11041305   1.18944994   0.09871138  -0.09155981]
 [ -5.84087385  12.38225018   0.           0.        ]]",[-0.70363593 -0.47935164]
10,[ 0.4148255  -0.98914206],[ 0.20576147 -0.98288425],-0.0449412240109,-0.0449412240109,"[ 0.02674287  0.36509294 -1.44820894  1.27941105  0.84952231 -0.78648547
 -0.47757697  1.01062513  0.04822546 -0.04055386  0.        ]","[[-1.23783883  1.39490843  0.09871138 -0.09155981]
 [-6.89826978  8.1775923   0.          0.        ]]",[-0.70363593 -0.47935164]
11,[ 0.76304924 -0.36894429],[ 1.17815648 -0.38788404],-0.0320237045459,-0.0320237045459,"[-0.15776119  0.20765607 -1.49878157  1.31536604  0.84952169 -0.78648492
 -0.37531167  0.35658698 -0.07270154 -0.08917109  0.        ]","[[-1.36625858  1.51778425  0.09871138 -0.09155981]
 [-5.94687738  4.12351413  0.          0.        ]]",[-0.70363593 -0.47935164]
12,[-0.06580204 -0.29180989],[-0.39972289 -1.1099867 ],-0.0240863438932,-0.0240863438932,"[-0.27252946  0.1222135  -1.51786016  1.31874234  0.84952107 -0.78648438
  0.0627586   0.09551191 -0.14664483 -0.12036905  0.        ]","[[-1.44430621  1.58401742  0.09871138 -0.09155981]
 [-1.87142514  2.50523171  0.          0.        ]]",[-0.70363593 -0.47935164]
13,[ 0.9613874   0.62000358],[ 0.80176103  0.46942346],-0.0182903942023,-0.0182903942023,"[-0.35104622  0.10946337 -1.52570108  1.31828068  0.84952044 -0.78648384
 -0.10323393 -0.55124759 -0.1929797  -0.1837045   0.        ]","[[-1.49722882  1.59389891  0.09871138 -0.09155981]
 [-3.41568527 -1.50372922  0.          0.        ]]",[-0.70363593 -0.47935164]
14,[ 0.03869313  0.09689841],[ 0.34256913  0.59825052],-0.0152066013953,-0.0152066013953,"[-0.40435028  0.12382765 -1.52865521  1.31877966  0.84951982 -0.7864833
  0.24507147 -0.24667013 -0.22447887 -0.24857974  0.        ]","[[-1.53303097  1.58276648  0.09871138 -0.09155981]
 [-0.17533491  0.38420246  0.          0.        ]]",[-0.70363593 -0.47935164]
15,[-0.72038615 -0.52594656],[-0.85779398 -0.84727979],-0.0157097992104,-0.0157097992104,"[-0.38926213  0.08335778 -1.5280095   1.31655384  0.8495192  -0.78648275
  0.39113552  0.13422536 -0.2176726  -0.19285927  0.        ]","[[-1.52290396  1.61413911  0.09871138 -0.09155981]
 [ 1.1835272   2.74519378  0.          0.        ]]",[-0.70363593 -0.47935164]
16,[ 0.59815013  0.31236151],[ 0.18148164 -0.32502841],-0.0147128092616,-0.0147128092616,"[-0.40508554  0.05667857 -1.52867835  1.31370345  0.84951857 -0.78648221
  0.02376067 -0.41569431 -0.22915715 -0.1799675   0.        ]","[[-1.53352463  1.63484254  0.09871138 -0.09155981]
 [-2.23422618 -0.66349797  0.          0.        ]]",[-0.70363593 -0.47935164]
17,[ 0.74458653  0.61698914],[ 0.99834455  0.33580849],-0.0120038432688,-0.0120038432688,"[-0.46029668  0.09025475 -1.52970693  1.31710836  0.84951795 -0.78648167
  0.10574231 -0.62122346 -0.26086829 -0.26473143  0.        ]","[[-1.57055688  1.60879031  0.09871138 -0.09155981]
 [-1.47153627 -1.93747729  0.          0.        ]]",[-0.70363593 -0.47935164]
18,[-0.53209209  0.15967681],[-0.52100148  0.75028074],-0.0136388644523,-0.0136388644523,"[-0.444636    0.12254562 -1.52961917  1.31874177  0.84951733 -0.78648112
  0.5335507  -0.40062985 -0.25005154 -0.28405471  0.        ]","[[-1.5600551   1.5837599   0.09871138 -0.09155981]
 [ 2.50844043 -0.5701245   0.          0.        ]]",[-0.70363593 -0.47935164]
19,[-0.39522338 -0.38776979],[-0.48230553 -1.35286819],-0.0149912514511,-0.0149912514511,"[-0.40143784  0.09864981 -1.52853202  1.31768495  0.8495167  -0.78648058
  0.30652586  0.08052258 -0.22393992 -0.21989355  0.        ]","[[-1.53107721  1.60228112  0.09871138 -0.09155981]
 [ 0.39639176  2.41230793  0.          0.        ]]",[-0.70363593 -0.47935164]
20,[ 0.58791888  0.52279794],[ 0.47946667  1.43044476],-0.0139083464697,-0.0139083464697,"[-0.41827265  0.08827762 -1.52910095  1.31695143  0.84951608 -0.78648004
  0.10057567 -0.56592835 -0.2348153  -0.22464937  0.        ]","[[-1.54237303  1.61032338  0.09871138 -0.09155981]
 [-1.51959598 -1.59473032  0.          0.        ]]",[-0.70363593 -0.47935164]
21,[-0.34632236 -0.40927979],[-0.89276447 -0.22025083],-0.012855616226,-0.012855616226,"[-0.43475804  0.077774   -1.52947448  1.31603945  0.84951545 -0.7864795
  0.30770868  0.07791022 -0.24550476 -0.22889493  0.        ]","[[-1.55343088  1.61847017  0.09871138 -0.09155981]
 [ 0.40739667  2.39611225  0.          0.        ]]",[-0.70363593 -0.47935164]
22,[ 0.80232131 -0.09228292],[ 0.8660319  -0.59095144],-0.009967857699,-0.009967857699,"[-0.47558971  0.02794374 -1.52962163  1.30939241  0.84951483 -0.78647895
 -0.07293889 -0.07035107 -0.27331644 -0.21390521  0.        ]","[[-1.58081292  1.65717193  0.09871138 -0.09155981]
 [-3.13382719  1.47711279  0.          0.        ]]",[-0.70363593 -0.47935164]
23,[ 0.12906903  0.20507313],[-0.01266464  0.45928104],-0.00773306579491,-0.00773306579491,"[-0.51682632  0.02053206 -1.52864053  1.30807303  0.84951421 -0.78647841
  0.3021923  -0.45265365 -0.29902532 -0.2422639   0.        ]","[[-1.60847423  1.66293804  0.09871138 -0.09155981]
 [ 0.35607645 -0.89259453  0.          0.        ]]",[-0.70363593 -0.47935164]
24,[-0.07665628 -0.17450626],[-0.66866394  0.11683377],-0.00813103653808,-0.00813103653808,"[-0.50707142  0.01979736 -1.52897251  1.30793622  0.84951358 -0.78647787
  0.29601713 -0.15641397 -0.29301561 -0.23306868  0.        ]","[[-1.6019291   1.66350978  0.09871138 -0.09155981]
 [ 0.29862926  0.94364867  0.          0.        ]]",[-0.70363593 -0.47935164]
