timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[ 3.23400712  3.36042118],[ 3.11674178  4.00838236],-0.267993581756,-0.267993581756,"[ 1.0081345   1.50142242  0.0155108  -1.28650105 -0.35336568  0.85465241
  0.30527816 -0.31397005  1.98040145 -1.28618881  0.        ]","[[ 0.04015366 -0.05144964 -0.04080594  0.09743371]
 [ 0.00033517  0.0008863   0.          0.        ]]",[-0.54255712 -0.32321543]
1,[ 2.21997404  2.64195752],[ 3.55250515  1.62356497],-0.263318516027,-0.263318516027,"[ 1.00452484  1.50301702  0.07438901 -1.18406344 -0.35336547  0.85465165
  0.7037284   0.29849617  1.97583369 -1.1423638   0.        ]","[[ 0.07983536 -0.01171968 -0.04080594  0.09743371]
 [ 3.95467297  3.95892372  0.          0.        ]]",[-0.54255712 -0.32321543]
2,[ 0.91231     1.78828096],[ 0.52846805  1.39921925],-0.247895000612,-0.247895000612,"[ 0.97977357  1.49590468  0.24798835 -0.87989821 -0.35336527  0.85465089
  1.09430287  0.89883981  1.91544746 -0.72126225  0.        ]","[[ 0.19781949  0.10638506 -0.04080594  0.09743371]
 [ 7.83085531  7.83862197  0.          0.        ]]",[-0.54255712 -0.32321543]
3,[ 0.0348292   1.03497207],[-0.9809729   1.39279833],-0.219906954107,-0.219906954107,"[ 0.90458883  1.44574298  0.49871564 -0.38820308 -0.35336506  0.85465012
  1.28922382  1.4874047   1.68956973 -0.12405043  0.        ]","[[  0.37384489   0.30132026  -0.04080594   0.09743371]
 [  9.76532302  11.64221075   0.           0.        ]]",[-0.54255712 -0.32321543]
4,[ 0.63474953  0.73463267],[ 0.30926878  2.84243958],-0.184279163998,-0.184279163998,"[ 0.80258429  1.30073361  0.7051084   0.24175509 -0.35336486  0.85464936
  0.87865539  2.06465459  1.28849358  0.36532144  0.        ]","[[  0.52826908   0.57159383  -0.04080594   0.09743371]
 [  5.69073351  15.3726995    0.           0.        ]]",[-0.54255712 -0.32321543]
5,[-0.20043069 -0.27380908],[-1.03160577 -1.03010356],-0.140999637936,-0.140999637936,"[ 0.69708002  1.00561704  0.85928596  0.89192424 -0.35336465  0.8546486
  0.99063186  2.63017968  0.75613007  0.6186557   0.        ]","[[  0.65323121   0.91571723  -0.04080594   0.09743371]
 [  6.80202966  19.02745664   0.           0.        ]]",[-0.54255712 -0.32321543]
6,[ 0.00136855 -0.21123469],[-0.48864537 -0.80696442],-0.0981525166387,-0.0981525166387,"[ 0.60418155  0.62812069  0.967214    1.29657067 -0.35336445  0.85464784
  0.57866132  1.95933798  0.26552903  0.58732155  0.        ]","[[  0.74825353   1.25276939  -0.04080594   0.09743371]
 [  2.7135217   14.69218216   0.           0.        ]]",[-0.54255712 -0.32321543]
7,[ 0.05701298 -0.37784728],[ 0.63548787 -0.75637785],-0.0677934798534,-0.0677934798534,"[ 0.5680858   0.30531198  1.00402998  1.42142025 -0.35336424  0.85464707
  0.37857012  1.41995961 -0.00992567  0.41666385  0.        ]","[[  0.78260197   1.51163985  -0.04080594   0.09743371]
 [  0.72776301  11.20646534   0.           0.        ]]",[-0.54255712 -0.32321543]
8,[-0.62538934 -0.79246539],[ 0.05870831 -0.65805928],-0.0437508682252,-0.0437508682252,"[ 0.52483739  0.06161696  1.0449942   1.40325245 -0.35336404  0.85464631
  0.63065123  0.92212761 -0.19618269  0.23354094  0.        ]","[[ 0.82225792  1.70348948 -0.04080594  0.09743371]
 [ 3.22948969  7.98923151  0.          0.        ]]",[-0.54255712 -0.32321543]
9,[-0.85557878 -0.90121931],[-0.33628201 -1.68969431],-0.0250033276305,-0.0250033276305,"[ 0.44895575 -0.10306593  1.10961446  1.33604662 -0.35336383  0.85464555
  0.64769768  0.49444734 -0.3443001   0.06809908  0.        ]","[[ 0.88854565  1.83554318 -0.04080594  0.09743371]
 [ 3.3986679   5.22534987  0.          0.        ]]",[-0.54255712 -0.32321543]
