timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[ 1.0224514   1.68574595],[ 0.62809562  1.23815308],-0.282894445671,-0.282894445671,"[ 1.05267718  1.9630821   0.01924929 -0.97943658 -0.42093966  0.93924414
  0.4142844  -0.34682185  1.61280631 -1.02272779  0.        ]","[[ 0.00609211 -0.09444845 -0.047474    0.10904722]
 [ 0.00330014  0.0046519   0.          0.        ]]",[-0.09925717 -0.10285281]
1,[ 0.8275736   1.54242373],[ 1.40847394  0.71505278],-0.279342926901,-0.279342926901,"[ 1.05201928  1.96697535  0.05725177 -0.8657971  -0.42093869  0.93924067
  0.61297085  0.20145135  1.6153198  -0.94469359  0.        ]","[[ 0.03107149 -0.05463817 -0.047474    0.10904722]
 [ 2.48637345  3.96318653  0.          0.        ]]",[-0.09925717 -0.10285281]
2,[ 0.48409545  1.35183048],[ 1.57277342  0.75770716],-0.266853547911,-0.266853547911,"[ 1.04257078  1.96712625  0.19211804 -0.56001995 -0.42093772  0.9392372
  0.92548516  0.58252206  1.59905514 -0.69857064  0.        ]","[[ 0.11998527  0.05223058 -0.047474    0.10904722]
 [ 6.39200926  6.71452233  0.          0.        ]]",[-0.09925717 -0.10285281]
3,[-0.00535031  1.07446074],[ 0.66610495  2.50552317],-0.241482641728,-0.241482641728,"[ 0.99539818  1.93844974  0.43961142 -0.09797291 -0.42093675  0.93923374
  1.23182324  0.97943846  1.48956614 -0.29007768  0.        ]","[[  0.28623724   0.21527414  -0.047474     0.10904722]
 [ 10.22049142   9.58027623   0.           0.        ]]",[-0.09925717 -0.10285281]
4,[-0.50643927  0.7183404 ],[-2.6385704   0.34180485],-0.199924116299,-0.199924116299,"[ 0.87000981  1.8405567   0.75951178  0.52196803 -0.42093578  0.93923027
  1.42642258  1.50142757  1.1866082   0.18289559  0.        ]","[[  0.5150474    0.44469369  -0.047474     0.10904722]
 [ 12.65257096  13.34909368   0.           0.        ]]",[-0.09925717 -0.10285281]
5,[-0.63107991  0.53608084],[-0.01467345  0.80700094],-0.151105325992,-0.151105325992,"[ 0.69769685  1.63910006  1.02006942  1.18370303 -0.4209348   0.93922681
  1.08989255  1.65243235  0.74247005  0.4769865   0.        ]","[[  0.72590181   0.72261543  -0.047474     0.10904722]
 [  8.44689183  14.43943437   0.           0.        ]]",[-0.09925717 -0.10285281]
6,[-0.66374713  0.41948432],[ 0.39212405 -0.07698065],-0.101044873168,-0.101044873168,"[ 0.52801299  1.31663842  1.19488434  1.76009227 -0.42093383  0.93922334
  1.0719382   2.05536864  0.280235    0.51893315  0.        ]","[[  0.89258716   1.04059477  -0.047474     0.10904722]
 [  8.22256608  17.34879323   0.           0.        ]]",[-0.09925717 -0.10285281]
7,[-0.6588487   0.40289074],[-2.1042862  -0.78569388],-0.0498256367122,-0.0498256367122,"[ 0.31939413  0.89820478  1.34549498  2.10171654 -0.42093286  0.93921988
  1.18327639  1.96546858 -0.15496668  0.33230946  0.        ]","[[  1.07099902   1.38105959  -0.047474     0.10904722]
 [  9.61407026  16.69984447   0.           0.        ]]",[-0.09925717 -0.10285281]
8,[-0.61738741  0.39335197],[-0.41860585  0.60049109],-0.0274830277238,-0.0274830277238,"[ 0.12620722  0.50483423  1.43983001  2.13584759 -0.42093189  0.93921641
  0.85158741  1.4888516  -0.41108679  0.02610576  0.        ]","[[  1.22169356   1.68053026  -0.047474     0.10904722]
 [  5.46886306  13.25868838   0.           0.        ]]",[-0.09925717 -0.10285281]
9,[-0.59308624  0.3810665 ],[-0.84109437  1.35588815],-0.0453416721232,-0.0453416721232,"[ 0.00304381  0.14019777  1.48146739  1.93137284 -0.42093092  0.93921295
  0.71044201  1.78181286 -0.4887092  -0.28697193  0.        ]","[[  1.31337295   1.96692779  -0.047474     0.10904722]
 [  3.70494246  15.37400929   0.           0.        ]]",[-0.09925717 -0.10285281]
