timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.85787211  2.59898451 -0.256795    0.71803836 -1.15222049  0.4490327
 -0.52252087  0.38001929  2.41018553 -0.31214762  0.        ]",-1.18389,[ 0.49101654 -5.00997764],-0.34626869523,[ 0.924384   -4.46457338],[-0.51935583 -0.06804706],"[[ 0.04826871 -0.02849934 -0.1335263   0.05156926]
 [-0.00052041  0.00442     0.          0.        ]]"
1,"[ 0.85605687  2.59603783 -0.22416648  0.55133786 -1.15221973  0.44903255
 -0.43790637 -0.13647703  2.40948098 -0.31464301  0.        ]",-1.18852,[-0.06888608 -4.14195596],-0.346212914417,[ 0.91378659 -4.52230024],[-0.51935583 -0.06804706],"[[ 0.06776255 -0.06814724 -0.1335263   0.05156926]
 [ 1.94342595 -3.95600811  0.          0.        ]]"
2,"[ 0.85114479  2.57304944 -0.16442678  0.05863582 -1.15221897  0.44903239
 -0.45137603 -0.64263367  2.40426214 -0.36515199  0.        ]",-1.18369,[ 0.80655672 -5.2546002 ],-0.346290461084,[ 0.97159433 -4.49764585],[-0.51935583 -0.06804706],"[[ 0.1035263  -0.1862082  -0.1335263   0.05156926]
 [ 1.63396798 -7.83715352  0.          0.        ]]"
3,"[ 0.8371603   2.48939427 -0.0574923  -0.72790468 -1.15221821  0.44903224
 -0.31383976 -1.1389392   2.38141336 -0.43724521  0.        ]",-1.16931,[ 1.10161711 -5.67896379],-0.344568833019,[ 0.84252775 -4.54332733],[-0.51935583 -0.06804706],"[[  0.1679087   -0.38113438  -0.1335263    0.05156926]
 [  4.79374884 -11.642765     0.           0.        ]]"
4,"[ 0.78681904  2.28511279  0.16185008 -1.71441088 -1.15221744  0.44903209
 -0.14571075 -1.62543132  2.32578697 -0.44871434  0.        ]",-1.11307,[ 1.36074065 -6.14229585],-0.337620996069,[ 0.57620448 -4.68772888],[-0.51935583 -0.06804706],"[[  0.30253819  -0.65141821  -0.1335263    0.05156926]
 [  8.65637308 -15.37313611   0.           0.        ]]"
5,"[ 0.65254196  1.89934835  0.48614606 -2.69421992 -1.15221668  0.44903193
  0.01910782 -2.10223254  2.21666691 -0.39372154  0.        ]",-1.02565,[-0.59536507 -4.47748885],-0.322548503491,[ 0.31048238 -4.89384747],[-0.51935583 -0.06804706],"[[  0.51365658  -0.99556455  -0.1335263    0.05156926]
 [ 12.44294285 -19.02921226   0.           0.        ]]"
6,"[ 0.4436895   1.306592    0.7884012  -3.3187827  -1.15221592  0.44903178
 -0.09410766 -2.5693317   2.02810933 -0.39171115  0.        ]",-0.952026,[-0.14688027 -3.35311116],-0.298230224086,[ 0.22149737 -4.93118143],[-0.51935583 -0.06804706],"[[  0.73642093  -1.41208455  -0.1335263    0.05156926]
 [  9.84191155 -22.61091547   0.           0.        ]]"
7,"[ 0.2198329   0.56808014  1.00177811 -3.14625548 -1.15221515  0.44903163
 -0.12788919 -3.02726305  1.73771356 -0.47902569  0.        ]",-0.781081,[-0.10640434 -4.17453855],-0.263060555927,[ 0.30297613 -4.63048935],[-0.51935583 -0.06804706],"[[  0.92547416  -1.89953398  -0.1335263    0.05156926]
 [  9.06580841 -26.12235119   0.           0.        ]]"
8,"[-0.01865547 -0.12532421  1.15710778 -1.82559877 -1.15221439  0.44903147
 -0.15406948 -3.47614899  1.330769   -0.54554721  0.        ]",-0.650654,[ 0.83271339 -3.28964982],-0.214021912759,[ 0.6218915  -3.97351027],[-0.51935583 -0.06804706],"[[  1.10075666  -2.45651654  -0.1335263    0.05156926]
 [  8.46433747 -29.56446774   0.           0.        ]]"
9,"[-0.31858886 -0.46906615  1.27847824  0.58584536 -1.15221363  0.44903132
 -0.01787661 -3.12136959  0.83334985 -0.4799985   0.        ]",-0.475613,[ 2.21547171 -3.06888785],-0.150941868818,[ 1.05953479 -3.02667999],[-0.51935583 -0.06804706],"[[  1.30143219  -3.08165875  -0.1335263    0.05156926]
 [ 11.5932519  -26.84411553   0.           0.        ]]"
10,"[-0.74577427 -0.46146343  1.33893602  1.32614662 -1.15221286  0.44903117
  0.14452455  0.55968089  0.69666963 -0.46050274  0.        ]",-0.424159,[ 1.29396427 -2.47532007],-0.133927607039,[ 0.82218909 -2.54445529],[-0.51935583 -0.06804706],"[[  1.57073542  -3.25781343  -0.1335263    0.05156926]
 [ 15.32427919   1.38201169   0.           0.        ]]"
11,"[-1.28602528 -0.47066824  1.24121005  1.00122856 -1.1522121   0.44903101
  0.30366548  0.98623388  0.79723417 -0.47689965  0.        ]",-0.485755,[ 1.81582137 -1.90523143],-0.146518198599,[ 0.90802258 -2.4437778 ],[-0.51935583 -0.06804706],"[[  1.91390484  -3.18037817  -0.1335263    0.05156926]
 [ 18.98040585   4.65280392   0.           0.        ]]"
12,"[-1.85046287 -0.47046304  0.8791198   0.66086959 -1.15221134  0.44903086
  0.45964484  0.80184653  0.88229487 -0.41388336  0.        ]",-0.478807,[ 1.07247207 -2.82903958],-0.154052724768,[ 1.05650103 -2.42002559],[-0.51935583 -0.06804706],"[[  2.3294675   -3.09950447  -0.1335263    0.05156926]
 [ 22.5638987    3.23893342   0.           0.        ]]"
13,"[-2.26711481 -0.46544725  0.19862726  0.45480018 -1.15221057  0.44903071
  0.61253457  0.60831072  0.89840071 -0.3172622   0.        ]",-0.465852,[ 1.49216102 -3.6842952 ],-0.152598280025,[ 1.11232221 -2.58930016],[-0.51935583 -0.06804706],"[[  2.81598764  -3.05043937  -0.1335263    0.05156926]
 [ 26.07641099   1.75491196   0.           0.        ]]"
14,"[-2.30902069 -0.46144322 -0.72069534  0.3493844  -1.15220981  0.44903055
  0.76239869  0.49077036  0.85130127 -0.24245065  0.        ]",-0.464099,[ 2.15801995 -3.21290155],-0.144439651247,[ 1.18128026 -2.7567687 ],[-0.51935583 -0.06804706],"[[  3.37206057  -3.02526207  -0.1335263    0.05156926]
 [ 29.51941425   0.85361967   0.           0.        ]]"
15,"[-1.79983537 -0.45921495 -1.60252248  0.29968425 -1.15220905  0.4490304
  0.90929716  0.4304279   0.76915819 -0.2282158   0.        ]",-0.412033,[ 1.88149723 -3.66482941],-0.133670951941,[ 1.23347855 -2.91852045],[-0.51935583 -0.06804706],"[[  3.99631001  -3.01336704  -0.1335263    0.05156926]
 [ 32.8942871    0.39091791   0.           0.        ]]"
16,"[-0.78600289 -0.45814248 -2.01380079  0.27735723 -1.15220828  0.44903024
  1.05328821  0.40191185  0.69436301 -0.29016325  0.        ]",-0.380793,[ 0.3969831  -2.41134188],-0.126352847436,[ 1.11639619 -2.98486805],[-0.51935583 -0.06804706],"[[  4.68738678  -3.00801755  -0.1335263    0.05156926]
 [ 36.20236792   0.17225938   0.           0.        ]]"
17,"[ 0.2978303  -0.45766201 -1.61177793  0.26764455 -1.15220752  0.44903009
  1.09050697  0.38908507  0.67337288 -0.40307272  0.        ]",-0.392126,[ 0.55370317 -2.03002546],-0.128460009097,[ 0.79030746 -3.00131345],[-0.51935583 -0.06804706],"[[  5.42001346  -3.00568924  -0.1335263    0.05156926]
 [ 37.05745158   0.07390536   0.           0.        ]]"
18,"[ 0.85049469 -0.45745511 -0.51739659  0.26351539 -1.15220676  0.44902994
  1.15399773  0.3835019   0.7241643  -0.50546221  0.        ]",-0.354352,[-0.42787976 -3.1962265 ],-0.139366998649,[ 0.43840522 -3.07060432],[-0.51935583 -0.06804706],"[[  6.17579771e+00  -3.00469919e+00  -1.33526295e-01   5.15692575e-02]
 [  3.85161129e+01   3.10948287e-02   0.00000000e+00   0.00000000e+00]]"
