timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 1.05177272  1.19102335  0.05878501  0.08911911 -0.16285648 -0.93696128
  0.11933471  0.10215666  1.14084898  0.72493443  0.        ]",-0.632107,[-1.3078229 -0.4719466],-0.245052567326,[-0.03046919 -0.20531015],[ 0.01120687 -0.04885941],"[[ 0.01086356 -0.0730682  -0.01306585 -0.10768255]
 [ 0.00238949  0.00471575  0.          0.        ]]"
1,"[ 1.05123903  1.18904022 -0.00250294  0.05761399 -0.1628532  -0.93692678
 -0.23439475 -0.1517055   1.13695012  0.65449798  0.        ]",-0.778749,[-0.93798131  1.3310639 ],-0.240361393313,[-0.03032215 -0.20606242],[ 0.01120687 -0.04885941],"[[-0.02877241 -0.09170881 -0.01306585 -0.10768255]
 [-3.95282107 -1.86255814  0.          0.        ]]"
2,"[ 1.03741213  1.1893079  -0.18037439  0.06244478 -0.16284993 -0.93689229
 -0.55938485  0.39182809  1.11718047  0.49312398  0.        ]",-0.682914,[-0.16150998 -0.26975814],-0.229330781824,[-0.02999829 -0.20604388],[ 0.01120687 -0.04885941],"[[-0.14428897 -0.0888479  -0.01306585 -0.10768255]
 [-7.5867276   2.13532413  0.          0.        ]]"
3,"[ 0.98964781  1.19214566 -0.4163815   0.11583329 -0.16284665 -0.9368578
 -0.6030517   0.24088075  1.07081882  0.29963876  0.        ]",-0.660728,[-1.2177473   0.66633609],-0.2152418723,[-0.02961888 -0.20616232],[ 0.01120687 -0.04885941],"[[-0.30092393 -0.05728038 -0.01306585 -0.10768255]
 [-8.07514459  1.02512617  0.          0.        ]]"
4,"[ 0.88222645  1.19407972 -0.70012186  0.19512314 -0.16284337 -0.93682331
 -0.94263153  0.59703296  0.9786289   0.07097919  0.        ]",-0.640077,[-0.48960929  0.39135513],-0.196835459033,[-0.02915668 -0.20596723],[ 0.01120687 -0.04885941],"[[ -5.00524957e-01  -1.04944069e-02  -1.30658511e-02  -1.07682553e-01]
 [ -1.18723110e+01   3.64473417e+00   0.00000000e+00   0.00000000e+00]]"
5,"[ 0.6762234   1.19034849 -1.01780408  0.34376487 -0.16284009 -0.93678883
 -1.09486299  0.7979736   0.82231575 -0.17231745  0.        ]",-0.708649,[ 1.58796506  0.449524  ],-0.174147156973,[-0.02808812 -0.20546445],[ 0.01120687 -0.04885941],"[[ -7.55053758e-01   7.72305096e-02  -1.30658511e-02  -1.07682553e-01]
 [ -1.35749053e+01   5.12281761e+00   0.00000000e+00   0.00000000e+00]]"
6,"[ 0.43487629  1.16986435 -1.24583626  0.54404079 -0.16283682 -0.93675435
 -0.71707923  1.02591935  0.66367246 -0.33389895  0.        ]",-0.57364,[-2.45451187 -0.41151544],-0.155535586053,[-0.02690015 -0.20426416],[ 0.01120687 -0.04885941],"[[-0.9841743   0.19651075 -0.01306585 -0.10768255]
 [-9.35120915  6.7996238   0.          0.        ]]"
7,"[ 0.15907765  1.13225763 -1.40420615  0.73803493 -0.16283354 -0.93671988
 -1.05425988  0.78622089  0.48556747 -0.45681662  0.        ]",-0.598851,[-2.14423621  0.66236951],-0.137463190252,[-0.02667471 -0.20385985],[ 0.01120687 -0.04885941],"[[ -1.20902787e+00   3.14817228e-01  -1.30658511e-02  -1.07682553e-01]
 [ -1.31216191e+01   5.03686361e+00   0.00000000e+00   0.00000000e+00]]"
8,"[-0.24397803  1.07383755 -1.50121676  0.93659444 -0.16283026 -0.9366854
 -1.38489509  1.1293495   0.20610696 -0.57176437  0.        ]",-0.624612,[ 0.30664933  0.02976375],-0.114288503926,[-0.02618558 -0.20377579],[ 0.01120687 -0.04885941],"[[ -1.50855928e+00   4.40879290e-01  -1.30658511e-02  -1.07682553e-01]
 [ -1.68192520e+01   7.56087090e+00   0.00000000e+00   0.00000000e+00]]"
9,"[-0.68327107  0.98032751 -1.45268454  1.15888173 -0.16282699 -0.93665094
 -1.24661116  1.12482069 -0.09728946 -0.60206227  0.        ]",-0.620179,[-0.07193429 -0.46201825],-0.0958585447997,[-0.02576755 -0.20335346],[ 0.01120687 -0.04885941],"[[ -1.82943838e+00   5.91766205e-01  -1.30658511e-02  -1.07682553e-01]
 [ -1.52738049e+01   7.52792964e+00   0.00000000e+00   0.00000000e+00]]"
