timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.83837342  2.32306015 -0.46364478  0.80162707 -0.06537823  0.73052555
 -0.53120926  0.37218094  1.46646286 -0.79209479  0.        ]",-0.916781,[ 1.932935   -1.39896498],-0.23690151723,[ 1.88975501 -2.45184851],[-0.78243482 -0.01298586],"[[-0.04822044  0.00701423 -0.00787011  0.08416973]
 [-0.00011779 -0.00231424  0.          0.        ]]"
1,"[ 0.84023447  2.32233057 -0.39583313  0.63962635 -0.06537821  0.73052535
 -0.37866798 -0.14722223  1.46735865 -0.75465094  0.        ]",-0.889115,[ 2.31015633 -2.85622258],-0.235471096804,[ 1.93717885 -2.489645  ],[-0.78243482 -0.01298586],"[[-0.00851682 -0.03277489 -0.00787011  0.08416973]
 [ 3.95729779 -3.96339017  0.          0.        ]]"
2,"[ 0.83038598  2.30694919 -0.1944622   0.16052047 -0.0653782   0.73052515
 -0.22914434 -0.65633584  1.46259266 -0.64331187  0.        ]",-0.87323,[ 1.65691031 -1.9063024 ],-0.23068992406,[ 1.91379333 -2.66170073],[-0.78243482 -0.01298586],"[[ 0.10954955 -0.15099827 -0.00787011  0.08416973]
 [ 7.83642614 -7.84599615  0.          0.        ]]"
3,"[ 0.76429225  2.23897357  0.13091377 -0.60832136 -0.06537819  0.73052495
 -0.08257504 -1.15535126  1.4306342  -0.46337806  0.        ]",-0.798692,[ 1.45507158 -3.36358337],-0.221132003967,[ 1.53993249 -3.52971649],[-0.78243482 -0.01298586],"[[  3.04429232e-01  -3.46101377e-01  -7.87011244e-03   8.41697345e-02]
 [  1.16389092e+01  -1.16515933e+01   0.00000000e+00   0.00000000e+00]]"
4,"[ 0.57485402  2.06190231  0.54743022 -1.58153659 -0.06537818  0.73052475
  0.06110691 -1.64443901  1.33904529 -0.23303486  0.        ]",-0.682603,[ 1.10869348 -4.74642648],-0.204632710955,[ 1.05597389 -4.5390892 ],[-0.78243482 -0.01298586],"[[  5.74606516e-01  -6.16557341e-01  -7.87011244e-03   8.41697345e-02]
 [  1.53664853e+01  -1.53814850e+01   0.00000000e+00   0.00000000e+00]]"
5,"[ 0.19060584  1.71711796  0.9767505  -2.56476622 -0.06537817  0.73052454
  0.20197215 -2.12374924  1.15327733  0.00436566  0.        ]",-0.483103,[ 1.11665517 -7.20207964],-0.178710694706,[ 0.56334412 -5.42634773],[-0.78243482 -0.01298586],"[[  9.18601482e-01  -9.60863745e-01  -7.87011244e-03   8.41697345e-02]
 [  1.90209869e+01  -1.90368200e+01   0.00000000e+00   0.00000000e+00]]"
6,"[-0.42638661  1.1770137   1.28016878 -3.2232052  -0.06537815  0.73052434
  0.34009047 -2.59342711  0.85499206  0.17205881  0.        ]",-0.302965,[ 0.3239062  -6.86344001],-0.141385071284,[ 0.10046022 -6.21791935],[-0.78243482 -0.01298586],"[[  1.33497096e+00  -1.37754046e+00  -7.87011244e-03   8.41697345e-02]
 [  2.26042244e+01  -2.26187103e+01   0.00000000e+00   0.00000000e+00]]"
7,"[-1.18079046  0.49307559  1.28452157 -3.12388931 -0.06537814  0.73052414
  0.37237012 -3.05362939  0.48894286  0.14632376  0.        ]",-0.19946,[ 1.01501947 -6.85786554],-0.0954939731585,[ 0.24311997 -6.37358856],[-0.78243482 -0.01298586],"[[  1.79545796e+00  -1.86512844e+00  -7.87011244e-03   8.41697345e-02]
 [  2.34416649e+01  -2.61283570e+01   0.00000000e+00   0.00000000e+00]]"
8,"[-1.91306605 -0.1624326   0.89364669 -1.91009448 -0.06537813  0.73052394
  0.50716332 -3.50472488  0.13044964 -0.12518225  0.        ]",-0.190957,[ 0.36332066 -6.79209057],-0.0554701199175,[ 0.55369949 -5.64514542],[-0.78243482 -0.01298586],"[[  2.29937722e+00  -2.42221272e+00  -7.87011244e-03   8.41697345e-02]
 [  2.69386381e+01  -2.95685791e+01   0.00000000e+00   0.00000000e+00]]"
9,"[-2.39434526 -0.50763136  0.11444885  0.39016612 -0.06537812  0.73052374
  0.54210875 -3.16650218 -0.11315355 -0.63605686  0.        ]",-0.310002,[ 0.54627202 -4.81170328],-0.0795772303689,[ 0.94693607 -4.02063084],[-0.78243482 -0.01298586],"[[  2.84724660e+00  -3.04742282e+00  -7.87011244e-03   8.41697345e-02]
 [  2.78452384e+01  -2.69892572e+01   0.00000000e+00   0.00000000e+00]]"
