timestep,avg_action_dist,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist
0,[ 0.08526539  0.97076195],"[ 1.06674332  1.68558276 -0.10671969 -0.66529822  0.99707292  1.46070491
  0.19510497 -0.31186723  0.35990409 -1.48760048  0.        ]",[-0.32130869  1.4650192 ],-0.213764852339,-0.213764852339,"[[-0.09264379 -0.01862395  0.11065761  0.16839151]
 [ 0.00220065  0.00439679  0.          0.        ]]",[ 0.0045742  -0.11694638]
1,[ 0.08271731  0.97465587],"[ 1.06499121  1.68547714 -0.12613403 -0.56712142  0.99706005  1.46067527
  0.08376935  0.23897697  0.36101435 -1.47470455  0.        ]",[-1.17248054  1.73912963],-0.212333514292,-0.212333514292,"[[-0.10536856  0.02119592  0.11065761  0.16839151]
 [-1.27043521  3.96439063  0.          0.        ]]",[ 0.0045742  -0.11694638]
2,[ 0.08335843  0.98217344],"[ 1.05267171  1.67364115 -0.22462618 -0.27669021  0.99704717  1.46064563
 -0.26024021  0.7790548   0.35727953 -1.47891198  0.        ]",[-0.69800585 -0.30813007],-0.212574479747,-0.212574479747,"[[-0.1702308   0.1394394   0.11065761  0.16839151]
 [-5.20269465  7.84700861  0.          0.        ]]",[ 0.0045742  -0.11694638]
3,[ 0.08964057  0.98452437],"[ 1.01054058  1.63633538 -0.4193838   0.06813553  0.9970343   1.460616
 -0.49275906  0.58785878  0.33693278 -1.56469048  0.        ]",[ 1.32955124  1.80735125],-0.221389184465,-0.221389184465,"[[-0.30095161  0.28258946  0.11065761  0.16839151]
 [-7.8605561   6.47256187  0.          0.        ]]",[ 0.0045742  -0.11694638]
4,[ 0.08329502  0.97396988],"[ 0.95428539  1.56154681 -0.5857793   0.45410404  0.99702143  1.46058636
 -0.13319238  1.12059277  0.30916099 -1.60366034  0.        ]",[ 2.38059533  2.06458633],-0.224359805677,-0.224359805677,"[[ -0.41692629   0.45046669   0.11065761   0.16839151]
 [ -3.75054483  10.30241921   0.           0.        ]]",[ 0.0045742  -0.11694638]
5,[ 0.05298004  0.95703232],"[ 0.93417651  1.39773141 -0.63388068  0.95799357  0.99700855  1.46055673
  0.21931135  1.64277683  0.27801955 -1.45518447  0.        ]",[ 1.37117412  1.23469443],-0.204594782688,-0.204594782688,"[[ -0.45151169   0.69418177   0.11065761   0.16839151]
 [  0.27873485  14.05660615   0.           0.        ]]",[ 0.0045742  -0.11694638]
6,[ 0.00190316  0.92353719],"[ 0.96013496  1.10089234 -0.57083524  1.47145989  0.99699568  1.4605271
  0.56495454  2.15460069  0.18032906 -1.14983511  0.        ]",[-1.86826012  1.91404205],-0.16196380314,-0.16196380314,"[[ -0.40629964   1.01223659   0.11065761   0.16839151]
 [  4.22960957  17.73663871   0.           0.        ]]",[ 0.0045742  -0.11694638]
7,[-0.04051173  0.86832541],"[ 0.98293693  0.64915983 -0.50820267  1.81158071  0.99698281  1.46049747
  0.21153403  2.65653042 -0.04347633 -0.87454441  0.        ]",[ 1.46736318  1.20594193],-0.11549695369,-0.11549695369,"[[ -0.36223872   1.40318431   0.11065761   0.16839151]
 [  0.18992676  21.34605863   0.           0.        ]]",[ 0.0045742  -0.11694638]
8,[-0.07783915  0.77414173],"[ 1.00298291  0.08021283 -0.44535158  1.7397314   0.99696993  1.46046784
  0.55763847  3.14818962 -0.39097326 -0.72957293  0.        ]",[-1.27952686  1.07861181],-0.0907074215082,-0.0907074215082,"[[ -0.31875176   1.86558603   0.11065761   0.16839151]
 [  4.1460308   24.88238397   0.           0.        ]]",[ 0.0045742  -0.11694638]
9,[-0.08028816  0.66859412],"[ 1.02014341 -0.47399298 -0.38317972  1.04950921  0.99695706  1.46043822
  0.20438227  3.63009247 -0.78886092 -0.82181263  0.        ]",[-1.84601808  0.0814454 ],-0.124825776075,-0.124825776075,"[[ -0.27634078   2.39802162   0.11065761   0.16839151]
 [  0.10826841  28.34956417   0.           0.        ]]",[ 0.0045742  -0.11694638]
10,[-0.05269562  0.59777212],"[ 1.00504014 -0.78245398 -0.43827875 -0.18054065  0.99694419  1.46040859
 -0.14206187  3.59654855 -1.06157431 -1.16457524  0.        ]",[-0.87417341 -0.325051  ],-0.185254854939,-0.185254854939,"[[ -0.31390237   2.96261673   0.11065761   0.16839151]
 [ -3.85163277  28.11070467   0.           0.        ]]",[ 0.0045742  -0.11694638]
