timestep,avg_action_dist,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist
0,[ 0.75314331  2.03546977],"[ 0.99736396  2.03370215  0.16371421 -1.10127245 -0.39411291  0.22719719
  0.42505122 -0.36517594  1.67973683 -0.35214696  0.        ]",[ 0.38258598  2.00645334],-0.258169192497,-0.258169192497,"[[ 0.0319614  -0.07610967 -0.04681809  0.02621667]
 [-0.00220878  0.00038411  0.          0.        ]]",[-0.21667086 -0.15626778]
1,[ 0.35283637  1.8556304 ],"[ 0.99649889  2.03668577  0.18705999 -0.97677459 -0.39411228  0.22719685
  0.5534163   0.19294392  1.68004716 -0.28237856  0.        ]",[ 1.74142321  2.52484835],-0.257505182202,-0.257505182202,"[[ 0.04708728 -0.03638012 -0.04681809  0.02621667]
 [ 1.50976528  3.95937826  0.          0.        ]]",[-0.21667086 -0.15626778]
2,[-0.38528472  1.5653919 ],"[ 0.98828892  2.03307799  0.29414269 -0.60635665 -0.39411165  0.22719652
  0.88660527  0.73988133  1.65895105 -0.02856544  0.        ]",[-1.1670544   1.44023738],-0.254080788299,-0.254080788299,"[[ 0.11665835  0.08173347 -0.04681809  0.02621667]
 [ 5.43429028  7.83905443  0.          0.        ]]",[-0.21667086 -0.15626778]
3,[-0.60183764  1.35146308],"[ 0.97358966  1.98648076  0.3978228  -0.00515906 -0.39411102  0.22719619
  0.54150929  1.27642166  1.57862075  0.28598458  0.        ]",[-0.57407592  2.13201138],-0.247065211122,-0.247065211122,"[[  0.18456123   0.27670093  -0.04681809   0.02621667]
 [  1.36955576  11.64499897   0.           0.        ]]",[-0.21667086 -0.15626778]
4,[-0.66139472  1.16102982],"[ 0.97242942  1.84163594  0.40438234  0.76999745 -0.39411039  0.22719586
  0.34630705  1.8022337   1.44640576  0.52009462  0.        ]",[-0.62109757  0.81163404],-0.23610304505,-0.23610304505,"[[  0.18888332   0.54702423  -0.04681809   0.02621667]
 [ -0.92964388  15.37488853   0.           0.        ]]",[-0.21667086 -0.15626778]
5,[-0.50557142  0.97311294],"[ 0.98277599  1.54655821  0.33879185  1.56395526 -0.39410976  0.22719553
  0.13921561  2.21247329  1.25917952  0.66990758  0.        ]",[ 0.05577444  1.40730297],-0.218630756447,-0.218630756447,"[[  0.14581656   0.88372073  -0.04681809   0.02621667]
 [ -3.36888247  18.28503415   0.           0.        ]]",[-0.21667086 -0.15626778]
6,[-0.42165589  0.63281709],"[ 0.99331673  1.07286295  0.23982495  2.14924624 -0.39410914  0.2271952
  0.1636165   2.71959123  0.99815337  0.73499519  0.        ]",[-0.6387652  -0.17877157],-0.191091643389,-0.191091643389,"[[  0.08132078   1.28551591  -0.04681809   0.02621667]
 [ -3.08147253  21.88249777   0.           0.        ]]",[-0.21667086 -0.15626778]
7,[-0.07880039  0.57376301],"[ 0.99806363  0.50649573  0.10655629  2.24497027 -0.39410851  0.22719487
 -0.04570914  2.55875482  0.71235694  0.66689588  0.        ]",[-0.64103171  1.11969203],-0.155463942442,-0.155463942442,"[[ -5.04438395e-03   1.71172127e+00  -4.68180899e-02   2.62166679e-02]
 [ -5.54702327e+00   2.07417846e+01   0.00000000e+00   0.00000000e+00]]",[-0.21667086 -0.15626778]
8,[ 0.21595712  0.48693919],"[ 0.98389531 -0.05336542 -0.10171595  1.74305482 -0.39410788  0.22719454
 -0.25176784  3.05901876  0.44849199  0.44975432  0.        ]",[ 0.77025687 -0.89263865],-0.114188126542,-0.114188126542,"[[ -0.14033602   2.16216568  -0.04681809   0.02621667]
 [ -7.97409442  24.29077493   0.           0.        ]]",[-0.21667086 -0.15626778]
9,[ 0.02853727  0.47171521],"[ 0.94671302 -0.46057514 -0.29414223  0.73464532 -0.39410725  0.22719421
  0.02057864  2.49291968  0.20696778  0.14967557  0.        ]",[ 0.22779222 -0.19768009],-0.0717591378227,-0.0717591378227,"[[ -0.2676325    2.60769111  -0.04681809   0.02621667]
 [ -4.76625931  20.2752165    0.           0.        ]]",[-0.21667086 -0.15626778]
10,[-0.06386214  0.50888944],"[ 0.90913225 -0.63422097 -0.41961197 -0.42377659 -0.39410662  0.22719388
  0.10517033  1.88974688  0.02879943 -0.17475809  0.        ]",[-0.0926018   0.39056704],-0.044621518949,-0.044621518949,"[[ -0.35295894   3.00131452  -0.04681809   0.02621667]
 [ -3.76989526  15.99654577   0.           0.        ]]",[-0.21667086 -0.15626778]
11,[ 0.48506945  0.85095561],"[ 0.86594877 -0.64705247 -0.53140378 -0.79053656 -0.39410599  0.22719355
  0.08031888 -0.36118496 -0.01211291 -0.28326636  0.        ]",[ 0.19600862  0.01947284],-0.043574854241,-0.043574854241,"[[-0.43129551  3.11862348 -0.04681809  0.02621667]
 [-4.06260607  0.02894314  0.          0.        ]]",[-0.21667086 -0.15626778]
12,[ 0.55612159  0.94770056],"[ 0.81870169 -0.64543448 -0.63156855 -0.69261033 -0.39410536  0.22719322
  0.1530265  -0.67182714  0.00725502 -0.24596415  0.        ]",[ 0.91975126 -0.59459581],-0.0441451036129,-0.0441451036129,"[[-0.50395569  3.08739986 -0.04681809  0.02621667]
 [-3.20621996 -2.17468878  0.          0.        ]]",[-0.21667086 -0.15626778]
13,[ 0.43406922  0.97734857],"[ 0.79946583 -0.63760876 -0.66774801 -0.48415374 -0.39410473  0.22719289
  0.46757889 -0.99762277  0.04304678 -0.18790111  0.        ]",[ 1.9928638  0.2076998],-0.0467120488048,-0.0467120488048,"[[-0.53090716  3.02071772 -0.04681809  0.02621667]
 [ 0.49872631 -4.48582388  0.          0.        ]]",[-0.21667086 -0.15626778]
14,[ 0.06546187  0.80746841],"[ 0.83415257 -0.62025545 -0.60074071 -0.23460496 -0.3941041   0.22719256
  0.80288878 -0.86914467  0.0780473  -0.12299651  0.        ]",[-0.62526794  1.51528387],-0.0502118734705,-0.0502118734705,"[[-0.48130648  2.94014545 -0.04681809  0.02621667]
 [ 4.44817155 -3.5744462   0.          0.        ]]",[-0.21667086 -0.15626778]
15,[ 0.0517263   0.73080498],"[ 0.87380703 -0.61128052 -0.5127753  -0.13942971 -0.39410347  0.22719223
  0.58524366 -0.30100495  0.08238415 -0.09604309  0.        ]",[ 0.6330349   1.05633012],-0.0506752648082,-0.0506752648082,"[[-0.41806354  2.90909322 -0.04681809  0.02621667]
 [ 1.88466807  0.45579523  0.          0.        ]]",[-0.21667086 -0.15626778]
16,[-0.27819681  0.4566395 ],"[ 0.90780044 -0.62480172 -0.42342513 -0.28913773 -0.39410284  0.2271919
  0.79488177  0.25591529  0.04751233 -0.13622292  0.        ]",[ 0.60405316  2.41547145],-0.0464003379867,-0.0464003379867,"[[-0.35559574  2.95784735 -0.04681809  0.02621667]
 [ 4.35389336  4.40644941  0.          0.        ]]",[-0.21667086 -0.15626778]
17,[-0.36997104  0.39499846],"[ 0.95483913 -0.64058457 -0.26089502 -0.54676646 -0.39410221  0.22719157
  0.99060441 -0.16955125  0.00105861 -0.22039471  0.        ]",[-0.31548109 -0.20617629],-0.0424374580453,-0.0424374580453,"[[-0.24538655  3.04078999 -0.04681809  0.02621667]
 [ 6.65922616  1.38829946  0.          0.        ]]",[-0.21667086 -0.15626778]
18,[-0.28789324  0.45103619],"[ 0.98660917 -0.64046663 -0.07984568 -0.54407981 -0.39410158  0.22719124
  0.87335304 -0.47720038 -0.00942325 -0.22450939  0.        ]",[ 0.08190358  0.58800996],-0.0413091785653,-0.0413091785653,"[[-0.12605843  3.03992993 -0.04681809  0.02621667]
 [ 5.27821692 -0.79408575  0.          0.        ]]",[-0.21667086 -0.15626778]
19,[-0.41685432  0.36702785],"[ 0.99781348 -0.63814846  0.08611264 -0.49483152 -0.39410095  0.22719091
  0.89201135 -0.46249388 -0.01737251 -0.21617219  0.        ]",[-0.73013412 -0.99057666],-0.0400414404175,-0.0400414404175,"[[-0.0182889   3.02414488 -0.04681809  0.02621667]
 [ 5.49800817 -0.68976746  0.          0.        ]]",[-0.21667086 -0.15626778]
20,[-0.17562103  0.56678659],"[ 0.99531791 -0.62793867  0.2094139  -0.33017707 -0.39410032  0.22719057
  0.63732107 -1.01350829 -0.02149067 -0.16928863  0.        ]",[-0.305544    0.45335216],-0.0381518250324,-0.0381518250324,"[[ 0.06157297  2.97113165 -0.04681809  0.02621667]
 [ 2.49817899 -4.59852586  0.          0.        ]]",[-0.21667086 -0.15626778]
21,[-0.24519205  0.52684772],"[ 0.99099842 -0.60778887  0.26688946 -0.10584564 -0.39409969  0.22719024
  0.5304202  -0.74762697 -0.01995662 -0.09877966  0.        ]",[ 0.0074057   1.08268243],-0.0374806644029,-0.0374806644029,"[[ 0.0989035   2.89808472 -0.04681809  0.02621667]
 [ 1.23907003 -2.71245138  0.          0.        ]]",[-0.21667086 -0.15626778]
22,[-0.38573307  0.37936363],"[ 0.98701594 -0.60313464  0.30500738 -0.06332852 -0.39409906  0.22718991
  0.53083918 -0.18187379 -0.02337744 -0.08687275  0.        ]",[-1.05244469  0.97277758],-0.0370448803925,-0.0370448803925,"[[ 0.12373452  2.88410232 -0.04681809  0.02621667]
 [ 1.24401601  1.30083538  0.          0.        ]]",[-0.21667086 -0.15626778]
23,[-0.22246116  0.43468153],"[ 0.98953712 -0.62244424  0.28185508 -0.26033064 -0.39409843  0.22718958
  0.19261451  0.35746119 -0.02660392 -0.15062801  0.        ]",[ 0.14333185  0.49352667],-0.037123888923,-0.037123888923,"[[ 0.10864482  2.9485054  -0.04681809  0.02621667]
 [-2.73971468  5.12671974  0.          0.        ]]",[-0.21667086 -0.15626778]
24,[-0.09102406  0.50429976],"[ 0.99543731 -0.63958562  0.20712205 -0.5246491  -0.3940978   0.22718925
  0.24538604 -0.16086884 -0.02565634 -0.23683083  0.        ]",[-1.52335026  1.74044268],-0.0398435766179,-0.0398435766179,"[[ 0.06008775  3.0337055  -0.04681809  0.02621667]
 [-2.11814891  1.44984495  0.          0.        ]]",[-0.21667086 -0.15626778]
25,[ 0.24873336  0.72222948],"[ 0.99770245 -0.63997669  0.08102585 -0.53322718 -0.39409717  0.22718892
 -0.08721199 -0.44167425 -0.01852155 -0.22917828  0.        ]",[ 0.53517921  1.55929806],-0.0403876207917,-0.0403876207917,"[[-0.02158059  3.03645434 -0.04681809  0.02621667]
 [-6.03560133 -0.54210445  0.          0.        ]]",[-0.21667086 -0.15626778]
26,[ 0.22910304  0.73718846],"[ 0.98768872 -0.63809756 -0.07030774 -0.49398718 -0.39409654  0.22718859
  0.1028334  -0.44920163 -0.00671574 -0.20811465  0.        ]",[-2.02365094  0.31438354],-0.0410722943772,-0.0410722943772,"[[-0.1198339   3.02387474 -0.04681809  0.02621667]
 [-3.79718442 -0.5955065   0.          0.        ]]",[-0.21667086 -0.15626778]
27,[ 0.54323071  0.88859868],"[ 0.95846157 -0.63639094 -0.24493933 -0.46170697 -0.39409591  0.22718826
 -0.22693457 -0.42380222  0.00917867 -0.19083902  0.        ]",[ 0.16849372  2.37839665],-0.04253577149,-0.04253577149,"[[-0.23474815  3.01351239 -0.04681809  0.02621667]
 [-7.68129521 -0.41533649  0.          0.        ]]",[-0.21667086 -0.15626778]
28,[ 0.60946262  0.93092895],"[ 0.89502577 -0.63541451 -0.45883057 -0.44438284 -0.39409528  0.22718793
 -0.15738341 -0.38991324  0.02972825 -0.1798631   0.        ]",[ 0.04714852 -0.02626883],-0.0448496437794,-0.0448496437794,"[[-0.38015483  3.00794561 -0.04681809  0.02621667]
 [-6.86210432 -0.17494407  0.          0.        ]]",[-0.21667086 -0.15626778]
29,[ 0.68897748  0.97387218],"[ 0.81148384 -0.63459337 -0.64533983 -0.43036349 -0.39409465  0.2271876
 -0.13000082 -0.40408901  0.04980777 -0.17403181  0.        ]",[ 0.67758711  2.16802387],-0.0472672350047,-0.0472672350047,"[[-0.514161    3.00343775 -0.04681809  0.02621667]
 [-6.53958693 -0.27550658  0.          0.        ]]",[-0.21667086 -0.15626778]
30,[ 0.57238191  0.94740343],"[ 0.73222172 -0.63424402 -0.77906751 -0.42454897 -0.39409402  0.22718727
  0.10876417 -0.36385835  0.06496055 -0.17308291  0.        ]",[ 0.7052217   1.77804905],-0.0491718703977,-0.0491718703977,"[[-0.61673661  3.00156742 -0.04681809  0.02621667]
 [-3.7273501   0.00987125  0.          0.        ]]",[-0.21667086 -0.15626778]
31,[ 0.40171522  0.89815605],"[ 0.69278753 -0.63437684 -0.83581307 -0.42677769 -0.39409339  0.22718694
  0.35209085 -0.35896521  0.07072958 -0.17451198  0.        ]",[ 1.68285389 -0.89222861],-0.0499313383492,-0.0499313383492,"[[-0.66252843  3.00228469 -0.04681809  0.02621667]
 [-0.86138383  0.04457735  0.          0.        ]]",[-0.21667086 -0.15626778]
32,[ 0.24693902  0.90821075],"[ 0.71260841 -0.62714006 -0.80796318 -0.31962776 -0.39409276  0.22718661
  0.68967725 -0.85709647  0.08869163 -0.14949564  0.        ]",[-0.08655325 -0.35447836],-0.0518332919358,-0.0518332919358,"[[-0.63986174  2.96772279 -0.04681809  0.02621667]
 [ 3.11480131 -3.48899324  0.          0.        ]]",[-0.21667086 -0.15626778]
33,[ 0.27065915  0.97841418],"[ 0.76078703 -0.60327491 -0.73427265 -0.06468545 -0.39409213  0.22718628
  0.65534063 -1.04522545  0.13022856 -0.08815513  0.        ]",[ 0.95990932  1.35059474],-0.0568482122033,-0.0568482122033,"[[-0.5816233   2.88455307 -0.04681809  0.02621667]
 [ 2.71039236 -4.82353048  0.          0.        ]]",[-0.21667086 -0.15626778]
