timestep,avg_action_dist,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist
0,[-0.9368692   1.39654207],"[ 0.9951342   1.64201547  0.05662377 -0.89980626 -1.24675897 -0.65844486
  0.35327798 -0.33634327  2.72219792  0.70336059  0.        ]",[-1.40898762  0.0666239 ],-0.363208107888,-0.363208107888,"[[-0.0296415   0.06093077 -0.14535532 -0.07510157]
 [ 0.00347083  0.00211009  0.          0.        ]]",[-0.359907  -0.2725341]
1,[-0.7982586   1.32901013],"[ 0.99217825  1.6417971  -0.00299952 -0.8925062  -1.24675646 -0.65844412
 -0.03683504 -0.29613744  2.72090586  0.61420286  0.        ]",[ 0.21662061  0.31345736],-0.361484294095,-0.361484294095,"[[-0.06926433  0.0636348  -0.14535532 -0.07510157]
 [-3.95258191  0.26740276  0.          0.        ]]",[-0.359907  -0.2725341]
2,[-0.73181218  1.34180236],"[ 0.98125747  1.64016101 -0.10738912 -0.84464294 -1.24675395 -0.65844338
  0.05533001 -0.10889465  2.71286454  0.47356559  0.        ]",[-0.20521804  1.05099204],-0.358442215329,-0.358442215329,"[[-0.13893861  0.08137903 -0.14535532 -0.07510157]
 [-3.01795618  1.50290488  0.          0.        ]]",[-0.359907  -0.2725341]
3,[-0.67315453  1.18165076],"[ 0.9636329   1.62994052 -0.20818089 -0.65801071 -1.24675145 -0.65844263
 -0.01898869  0.48672231  2.70257164  0.40106641  0.        ]",[ 0.08111745  0.79723742],-0.356353975432,-0.356353975432,"[[-0.20685936  0.15086932 -0.14535532 -0.07510157]
 [-3.77160517  5.43302346  0.          0.        ]]",[-0.359907  -0.2725341]
4,[-0.68735272  1.07351458],"[ 0.93773621  1.59131588 -0.31269846 -0.29082106 -1.24674894 -0.65844189
  0.01989696  0.9488042   2.68878814  0.40679258  0.        ]",[ 0.57482287  1.27042097],-0.354887080123,-0.354887080123,"[[-0.27833516  0.29012146 -0.14535532 -0.07510157]
 [-3.37727493  8.48202938  0.          0.        ]]",[-0.359907  -0.2725341]
5,[-0.78785861  0.91874361],"[ 0.91806578  1.49032884 -0.37612551  0.2268745  -1.24674644 -0.65844115
  0.25060086  1.52330157  2.66230619  0.55904325  0.        ]",[-1.44596881  0.93705276],-0.354094110713,-0.354094110713,"[[ -0.32240831   0.49779611  -0.14535532  -0.07510157]
 [ -1.03776137  12.27281315   0.           0.        ]]",[-0.359907  -0.2725341]
6,[-0.62139028  0.68864286],"[ 0.88668749  1.279206   -0.46131203  0.8337732  -1.24674393 -0.65844041
 -0.13759562  2.04898107  2.58352962  0.75402188  0.        ]",[-0.41524836  0.44329443],-0.348961455698,-0.348961455698,"[[ -0.38266046   0.77805535  -0.14535532  -0.07510157]
 [ -4.97436442  15.74151025   0.           0.        ]]",[-0.359907  -0.2725341]
7,[-0.46188056  0.59121215],"[ 0.8128228   0.94255995 -0.61796279  1.35474006 -1.24674143 -0.65843966
 -0.28992214  2.26780412  2.43954236  0.86775857  0.        ]",[-0.47546197  1.01912087],-0.335790353784,-0.335790353784,"[[ -0.4976461    1.10737357  -0.14535532  -0.07510157]
 [ -6.51907036  17.18546744   0.           0.        ]]",[-0.359907  -0.2725341]
8,[-0.22710374  0.57439077],"[ 0.69217546  0.48098089 -0.80529515  1.63058348 -1.24673892 -0.65843892
 -0.46278691  2.81632746  2.2186585   0.94136859  0.        ]",[-0.52638625 -0.28485596],-0.313860869313,-0.313860869313,"[[ -0.64561592   1.48739927  -0.14535532  -0.07510157]
 [ -8.27204991  20.80499336   0.           0.        ]]",[-0.359907  -0.2725341]
9,[-0.05569875  0.54399663],"[ 0.50499796 -0.02063261 -1.01088746  1.50501473 -1.24673642 -0.65843818
 -0.65204989  2.58294051  1.93753988  0.94305572  0.        ]",[-0.88663856 -0.33734325],-0.283940264063,-0.283940264063,"[[ -0.83031198   1.88804939  -0.14535532  -0.07510157]
 [-10.19132118  19.26509933   0.           0.        ]]",[-0.359907  -0.2725341]
