timestep,avg_action_dist,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist
0,[-0.01232876  0.32877305],"[ 1.06821686  1.26487015  0.08329284 -0.39594148 -0.67842485 -1.61782628
  0.0873057  -0.1610573   1.53243802  1.31653519  0.        ]",[-0.39183445 -1.68220284],-0.355173954143,-0.355173954143,"[[ 0.04970913 -0.02125168 -0.0868859  -0.18711154]
 [-0.00465322 -0.0049784   0.          0.        ]]",[ 0.01137072 -0.01780486]
1,[-0.01267151  0.32634166],"[ 1.06908154  1.26278683  0.05945848 -0.46838442 -0.67840523 -1.61771039
 -0.05095635 -0.68767051  1.53277687  1.2631575   0.        ]",[-0.42480854  1.03332342],-0.351082992655,-0.351082992655,"[[ 0.03408032 -0.06107205 -0.0868859  -0.18711154]
 [-1.5530793  -3.96386669  0.          0.        ]]",[ 0.01137072 -0.01780486]
2,[-0.01221184  0.32711306],"[ 1.06971581  1.25888598 -0.01323002 -0.53872048 -0.67838561 -1.61759452
 -0.19840776 -0.1504109   1.52878862  1.16394226  0.        ]",[-0.29975123 -1.8637064 ],-0.343152626292,-0.343152626292,"[[-0.01354972 -0.09982772 -0.0868859  -0.18711154]
 [-3.20441997  0.07483845  0.          0.        ]]",[ 0.01137072 -0.01780486]
3,[-0.01256516  0.32399315],"[ 1.06431012  1.25323237 -0.12803745 -0.60785476 -0.678366   -1.61747868
 -0.29849174 -0.67727183  1.51295478  1.0258687   0.        ]",[ 0.18777552  1.38265809],-0.331361885601,-0.331361885601,"[[-0.08888416 -0.13806923 -0.0868859  -0.18711154]
 [-4.32530217 -3.88579027  0.          0.        ]]",[ 0.01137072 -0.01780486]
4,[-0.01196364  0.32469007],"[ 1.05039079  1.2460158  -0.24640592 -0.67478721 -0.67834638 -1.61736286
 -0.22465499 -0.14032815  1.48413308  0.88700583  0.        ]",[ 0.12850527  0.09131202],-0.318461794748,-0.318461794748,"[[-0.16709471 -0.17528842 -0.0868859  -0.18711154]
 [-3.49849408  0.15042014  0.          0.        ]]",[ 0.01137072 -0.01780486]
5,[-0.01185002  0.32430375],"[ 1.03269684  1.24734487 -0.34240562 -0.66291801 -0.67832677 -1.61724707
 -0.17308849 -0.09265168  1.46159535  0.80211464  0.        ]",[-0.74209125  1.31843355],-0.310261007704,-0.310261007704,"[[-0.2312712  -0.16868442 -0.0868859  -0.18711154]
 [-2.92107736  0.50878566  0.          0.        ]]",[ 0.01137072 -0.01780486]
6,[-0.0116077   0.32546583],"[ 0.99971361  1.25607176 -0.47062461 -0.57312225 -0.67830716 -1.6171313
 -0.4302094   0.43291552  1.43603811  0.71737615  0.        ]",[ 0.78053134  1.30542279],-0.301931187779,-0.301931187779,"[[-0.31858241 -0.11887067 -0.0868859  -0.18711154]
 [-5.80044793  4.45942212  0.          0.        ]]",[ 0.01137072 -0.01780486]
7,[-0.01081469  0.32777134],"[ 0.95854356  1.2646476  -0.59040143 -0.34046123 -0.67828755 -1.61701556
 -0.14435549  0.94774683  1.42964442  0.6935993   0.        ]",[ 1.42266785  2.56791785],-0.299776343883,-0.299776343883,"[[-0.40247551  0.00914741 -0.0868859  -0.18711154]
 [-2.59952059  8.3294885   0.          0.        ]]",[ 0.01137072 -0.01780486]
8,[-0.01069138  0.33131513],"[ 0.95199359  1.23659324 -0.60691414  0.02931589 -0.67826794 -1.61689984
  0.21338405  1.45229027  1.46561233  0.82704899  0.        ]",[-1.31790931  0.71439659],-0.312306486664,-0.312306486664,"[[ -0.41427396   0.21379484  -0.0868859   -0.18711154]
 [  1.40637843  12.12262133   0.           0.        ]]",[ 0.01137072 -0.01780486]
9,[-0.01133708  0.33356857],"[ 0.94523701  1.12411714 -0.6234132   0.48755197 -0.67824833 -1.61678415
 -0.142456    1.79672902  1.47526771  1.01500023  0.        ]",[ 1.96021789 -0.22195482],-0.325423321326,-0.325423321326,"[[ -0.42612448   0.48223581  -0.0868859   -0.18711154]
 [ -2.57815816  14.71282373   0.           0.        ]]",[ 0.01137072 -0.01780486]
10,[-0.01197731  0.33439714],"[ 0.93859812  0.921588   -0.63913106  0.90387297 -0.67822873 -1.61666848
  0.21549196  1.64076145  1.4365261   1.2109791   0.        ]",[-0.05837161  1.35296154],-0.334294167463,-0.334294167463,"[[ -0.43747443   0.7647377   -0.0868859   -0.18711154]
 [  1.42992172  13.54129907   0.           0.        ]]",[ 0.01137072 -0.01780486]
11,[-0.01178054  0.33479044],"[ 0.95344584  0.62136228 -0.60295558  1.24277764 -0.67820912 -1.61655284
  0.19232122  2.13159972  1.33406497  1.45145777  0.        ]",[-1.26872311  0.4968233 ],-0.341312288844,-0.341312288844,"[[ -0.41147999   1.07260244  -0.0868859   -0.18711154]
 [  1.17052245  17.23286954   0.           0.        ]]",[ 0.01137072 -0.01780486]
12,[-0.01202366  0.33307979],"[ 0.94405356  0.20125295 -0.62596086  1.4469681  -0.67818952 -1.61643722
 -0.16308001  2.34771172  1.154105    1.61738033  0.        ]",[ 1.20330938  0.13281257],-0.33607736181,-0.33607736181,"[[ -0.42799494   1.43358446  -0.0868859   -0.18711154]
 [ -2.8088773   18.8598524    0.           0.        ]]",[ 0.01137072 -0.01780486]
13,[-0.01204592  0.3303099 ],"[ 0.93468465 -0.2618331  -0.64794429  1.41114406 -0.67816992 -1.61632163
  0.19547575  2.36759821  0.91820101  1.7106621   0.        ]",[-0.74973038  0.30730368],-0.321225820647,-0.321225820647,"[[ -0.44389445   1.8123044   -0.0868859   -0.18711154]
 [  1.20577369  19.01169828   0.           0.        ]]",[ 0.01137072 -0.01780486]
14,[-0.01248165  0.32589439],"[ 0.93111519 -0.69309696 -0.65602652  1.11411622 -0.67815032 -1.61620606
 -0.0715878   2.47904602  0.65317636  1.7100576   0.        ]",[-0.4510868   0.02765803],-0.296886786787,-0.296886786787,"[[ -0.44977859   2.2009732   -0.0868859   -0.18711154]
 [ -1.78438947  19.85233946   0.           0.        ]]",[ 0.01137072 -0.01780486]
15,[-0.01299476  0.32112616],"[ 0.89714196 -1.01961879 -0.72822458  0.58902244 -0.67813073 -1.61609052
 -0.2278531   2.44100782  0.41718369  1.5876924   0.        ]",[-0.7065009   0.31209546],-0.263102272244,-0.263102272244,"[[ -0.50301959   2.59517555  -0.0868859   -0.18711154]
 [ -3.53401506  19.56882026   0.           0.        ]]",[ 0.01137072 -0.01780486]
16,[-0.01180272  0.31399629],"[ 0.82566084 -1.18572598 -0.85558166 -0.09147524 -0.67811113 -1.615975
 -0.47140088  2.55341285  0.22193505  1.38611642  0.        ]",[-0.90422874  0.54567147],-0.223681878352,-0.223681878352,"[[ -0.60105856   2.99506265  -0.0868859   -0.18711154]
 [ -6.26089336  20.41704984   0.           0.        ]]",[ 0.01137072 -0.01780486]
17,[-0.01296592  0.30950344],"[ 0.68582112 -1.19822528 -1.04500063 -0.41626521 -0.67809154 -1.6158595
 -0.7801602  -0.15257264  0.14519055  1.2831453   0.        ]",[ 0.04440756 -0.09662649],-0.205346660803,-0.205346660803,"[[-0.76096352  3.17391738 -0.0868859  -0.18711154]
 [-9.71797456  0.06374516  0.          0.        ]]",[ 0.01137072 -0.01780486]
18,[-0.01341782  0.30890787],"[ 0.48585461 -1.19869988 -1.23537757 -0.33293093 -0.67807195 -1.61574404
 -0.74726257 -0.5916266   0.18028118  1.32060454  0.        ]",[-1.48600456  1.25060314],-0.212450495068,-0.212450495068,"[[-0.95163086  3.12816295 -0.0868859  -0.18711154]
 [-9.34992067 -3.23868864  0.          0.        ]]",[ 0.01137072 -0.01780486]
19,[-0.01368692  0.30951297],"[ 0.21306785 -1.1957288  -1.40154912 -0.2298213  -0.67805236 -1.61562859
 -1.0843261  -0.46415611  0.23160356  1.34203187  0.        ]",[ 0.03470768  0.68555221],-0.218541203982,-0.218541203982,"[[ -1.17649666   3.07150006  -0.0868859   -0.18711154]
 [-13.12407208  -2.28002424   0.           0.        ]]",[ 0.01137072 -0.01780486]
20,[-0.01329635  0.31001529],"[-0.13282438 -1.19190759 -1.5045383  -0.16641467 -0.67803277 -1.61551317
 -1.04879617 -0.32897537  0.27450013  1.33455152  0.        ]",[ 0.06565872  0.27479534],-0.220486248402,-0.220486248402,"[[ -1.43499191   3.03655585  -0.0868859   -0.18711154]
 [-12.7267798   -1.26335446   0.           0.        ]]",[ 0.01137072 -0.01780486]
21,[-0.01267703  0.31003773],"[-0.47866364 -1.18922753 -1.50865734 -0.13264153 -0.67801318 -1.61539778
 -1.00302914 -0.2476333   0.30199897  1.31145075  0.        ]",[ 1.25154919  1.86783735],-0.219504632349,-0.219504632349,"[[ -1.68439095   3.01789394  -0.0868859   -0.18711154]
 [-12.21483341  -0.65161286   0.           0.        ]]",[ 0.01137072 -0.01780486]
22,[-0.01150162  0.30973938],"[-0.75279356 -1.18784132 -1.44294697 -0.1173541  -0.6779936  -1.61528241
 -0.62776614 -0.19497282  0.31499449  1.28721285  0.        ]",[-2.26766197 -0.01660082],-0.21740664394,-0.21740664394,"[[-1.88653633  3.00943356 -0.0868859  -0.18711154]
 [-8.01370912 -0.25558632  0.          0.        ]]",[ 0.01137072 -0.01780486]
23,[-0.01137035  0.30991831],"[-1.00480527 -1.1868359  -1.32097838 -0.10702254 -0.67797401 -1.61516706
 -0.96720805 -0.20306562  0.32111651  1.26121806  0.        ]",[-1.23257882 -0.07398114],-0.214610081713,-0.214610081713,"[[ -2.08494364   3.00371091  -0.0868859   -0.18711154]
 [-11.81435557  -0.31648215   0.           0.        ]]",[ 0.01137072 -0.01780486]
24,[-0.01067861  0.31087157],"[-1.30649136 -1.18516882 -1.06858557 -0.09041624 -0.67795443 -1.61505174
 -1.29989809 -0.24121497  0.32142171  1.22235985  0.        ]",[ 1.91851493  0.13909389],-0.209783313233,-0.209783313233,"[[ -2.35860902   2.99450235  -0.0868859   -0.18711154]
 [-15.53976627  -0.60342842   0.           0.        ]]",[ 0.01137072 -0.01780486]
25,[-0.00893377  0.31157625],"[-1.53091874 -1.18392807 -0.74363646 -0.07884741 -0.67793485 -1.61493644
 -0.91873961 -0.16638079  0.31035495  1.1865251   0.        ]",[-1.301991   -0.27564094],-0.204453928971,-0.204453928971,"[[ -2.62659265   2.9880801   -0.0868859   -0.18711154]
 [-11.27281807  -0.04066185   0.           0.        ]]",[ 0.01137072 -0.01780486]
26,[-0.00901503  0.31323248],"[-1.66720426 -1.18157332 -0.37248441 -0.05769756 -0.67791528 -1.61482117
 -1.25239165 -0.31143299  0.29073511  1.1512949   0.        ]",[-1.32942151  0.05573737],-0.198519139808,-0.198519139808,"[[ -2.88953514   2.97632164  -0.0868859   -0.18711154]
 [-15.0089763   -1.1315598    0.           0.        ]]",[ 0.01137072 -0.01780486]
27,[-0.00846773  0.31460318],"[-1.70600177 -1.1771778   0.13760869 -0.02147098 -0.6778957  -1.61470592
 -1.57938123 -0.27915036  0.25055813  1.11299799  0.        ]",[ 0.59061386  1.31142685],-0.190584044379,-0.190584044379,"[[ -3.22645791   2.95612601  -0.0868859   -0.18711154]
 [-18.67109533  -0.88883142   0.           0.        ]]",[ 0.01137072 -0.01780486]
28,[-0.00687416  0.31420094],"[-1.58368354 -1.18185066  0.64610923 -0.06116664 -0.67787613 -1.6145907
 -1.3374225   0.24970179  0.21223365  1.12046451  0.        ]",[ 0.45380862  1.08124286],-0.1886380067,-0.1886380067,"[[ -3.57270777   2.97825239  -0.0868859   -0.18711154]
 [-15.96292987   3.08823155   0.           0.        ]]",[ 0.01137072 -0.01780486]
