timestep,avg_action_dist,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist
0,[-2.79681611  0.06549937],"[ 0.98446708  1.68036334  0.21155559 -1.04140743 -0.77715935 -1.52580242
  0.36548395 -0.33970587  2.19984869  1.90064557  0.        ]",[-1.79387074  0.24507527],-0.354328602533,-0.354328602533,"[[ 0.06689423 -0.00329759 -0.09091963 -0.17411277]
 [-0.00480161  0.00493461  0.          0.        ]]",[-0.31787339 -0.2513032 ]
1,[-2.68926692 -0.04403239],"[ 0.98728366  1.68033758  0.15135733 -1.01437393 -0.7771583  -1.52579814
 -0.01577667 -0.19395077  2.20286283  1.82196108  0.        ]",[-2.39034435  0.02940528],-0.350832086848,-0.350832086848,"[[ 0.02710486  0.00655187 -0.09091963 -0.17411277]
 [-3.96096117  0.97676819  0.          0.        ]]",[-0.31787339 -0.2513032 ]
2,[-2.49882865 -0.02827007],"[ 0.98159504  1.67989419 -0.02736911 -0.9580513  -0.77715725 -1.52579385
 -0.38946364 -0.1791633   2.19814892  1.5778206   0.        ]",[-2.36691829  0.13893616],-0.339311202733,-0.339311202733,"[[-0.09101918  0.02707654 -0.09091963 -0.17411277]
 [-7.83853304  1.07536377  0.          0.        ]]",[-0.31787339 -0.2513032 ]
3,[-2.22632647  0.03208441],"[ 0.92662437  1.67851049 -0.31690772 -0.88448297 -0.7771562  -1.52578957
 -0.7557755  -0.09962963  2.14260903  1.17275178  0.        ]",[-1.82408451  0.08254468],-0.317699901251,-0.317699901251,"[[ -0.28592687   0.05390454  -0.09091963  -0.17411277]
 [-11.63958073   1.60565996   0.           0.        ]]",[-0.31787339 -0.2513032 ]
4,[-1.73847985  0.19421357],"[ 0.76065935  1.67532617 -0.68926674 -0.78843438 -0.77715515 -1.52578529
 -1.11483339 -0.05516971  1.96957131  0.64369541  0.        ]",[-2.71559054 -0.59924455],-0.283316741337,-0.283316741337,"[[ -0.55610039   0.08899217  -0.09091963  -0.17411277]
 [-15.36536763   1.90209924   0.           0.        ]]",[-0.31787339 -0.2513032 ]
5,[-0.69963986  0.81302178],"[ 0.4173025   1.67363467 -1.07622961 -0.75054103 -0.7771541  -1.525781
 -1.46668653 -0.41649103  1.58478064  0.05089002  0.        ]",[-1.71857058  1.29239949],-0.230574951798,-0.230574951798,"[[ -0.90003978   0.10286267  -0.09091963  -0.17411277]
 [-19.01641383  -0.50703651   0.           0.        ]]",[-0.31787339 -0.2513032 ]
6,[ 0.94768429  0.57530332],"[-0.14026241  1.66920258 -1.35559504 -0.66959578 -0.77715304 -1.52577672
 -1.81181695  0.17904899  0.95414697 -0.40007488  0.        ]",[ 2.30122418  0.36877775],-0.159515089799,-0.159515089799,"[[ -1.31630039   0.13256254  -0.09091963  -0.17411277]
 [-22.59773263   3.46376288   0.           0.        ]]",[-0.31787339 -0.2513032 ]
7,[ 1.70294237  0.54213232],"[-0.75003215  1.65089968 -1.38661832 -0.44472363 -0.77715199 -1.52577243
 -1.38756498  0.38746618  0.29927925 -0.5081254   0.        ]",[ 1.43721493  0.12071161],-0.0894374932262,-0.0894374932262,"[[ -1.72408614   0.21578041  -0.09091963  -0.17411277]
 [-18.1955029    4.85339826   0.           0.        ]]",[-0.31787339 -0.2513032 ]
8,[ 1.79713428  0.47994745],"[-1.20786238  1.61722454 -1.23744974 -0.17772411 -0.77715094 -1.52576815
 -0.97166932  0.44445089 -0.17560344 -0.38902072  0.        ]",[ 2.40831982  0.37972811],-0.0366020264466,-0.0366020264466,"[[ -2.04469714   0.31666037  -0.09091963  -0.17411277]
 [-13.87996032   5.23334956   0.           0.        ]]",[-0.31787339 -0.2513032 ]
9,[ 1.70741725  0.30152002],"[-1.50149137  1.56193374 -1.03929399  0.12509941 -0.77714989 -1.52576387
 -0.56403193  0.65414701 -0.45449309 -0.21758704  0.        ]",[ 2.48521729 -0.35922758],-0.00863407712551,-0.00863407712551,"[[-2.27985709  0.43535533 -0.09091963 -0.17411277]
 [-9.65010021  6.63151305  0.          0.        ]]",[-0.31787339 -0.2513032 ]
