timestep,avg_action_dist,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist
0,[-0.27602279  3.08329988],"[ 1.03655409  1.43364073  0.22127329 -1.02175029 -0.12883225 -0.21817113
  0.27994634 -0.31802303  1.77878931  0.60362618  0.        ]",[ 0.4943588   3.10175745],-0.230387171525,-0.230387171525,"[[ 0.09715098  0.08987034 -0.01593047 -0.02559486]
 [ 0.0015534  -0.00126227  0.          0.        ]]",[-0.68836045 -0.55045128]
1,[-0.22624013  2.79820442],"[ 1.03349514  1.42801269  0.25049698 -0.92061947 -0.12883219 -0.21817101
  0.50470881  0.33812718  1.7629125   0.71372665  0.        ]",[-0.55111365  2.8399357 ],-0.230992035102,-0.230992035102,"[[ 0.11678775  0.12956557 -0.01593047 -0.02559486]
 [ 1.95562606  3.95759382  0.          0.        ]]",[-0.68836045 -0.55045128]
2,[-0.31481689  2.39245296],"[ 1.0304276   1.39936353  0.27549876 -0.62343648 -0.12883212 -0.2181709
  0.2493248   0.98155307  1.71574443  0.92251899  0.        ]",[-0.2180865   2.69764949],-0.231356282821,-0.231356282821,"[[ 0.13362333  0.24766774 -0.01593047 -0.02559486]
 [-0.26466351  7.83968113  0.          0.        ]]",[-0.68836045 -0.55045128]
3,[-0.43764296  2.09602261],"[ 1.03298964  1.3141108   0.25484458 -0.1539053  -0.12883205 -0.21817079
  0.15054139  1.61215051  1.62845604  1.13863584  0.        ]",[-1.16451893  1.8275252 ],-0.229413710465,-0.229413710465,"[[  0.11971298   0.44263519  -0.01593047  -0.02559486]
 [ -1.12347844  11.64438032   0.           0.        ]]",[-0.68836045 -0.55045128]
4,[-0.53841829  1.62258244],"[ 1.04099503  1.12358308  0.16249628  0.42473921 -0.12883199 -0.21817067
 -0.3020759   2.2304314   1.49455388  1.29494719  0.        ]",[-0.74986031  2.04050054],-0.222629957574,-0.222629957574,"[[  0.0577623    0.71295163  -0.01593047  -0.02559486]
 [ -5.05849915  15.37479391   0.           0.        ]]",[-0.68836045 -0.55045128]
5,[-0.58619189  1.20970225],"[ 1.03962868  0.78048525 -0.03185892  0.98065239 -0.12883192 -0.21817056
 -0.63192053  2.8363611   1.31543198  1.32193801  0.        ]",[-0.15396746  0.94923608],-0.20798500257,-0.20798500257,"[[ -7.21794711e-02   1.05712932e+00  -1.59304709e-02  -2.55948578e-02]
 [ -7.92614505e+00   1.90307317e+01   0.00000000e+00   0.00000000e+00]]",[-0.68836045 -0.55045128]
6,[-0.60148603  0.98586321],"[ 1.00325183  0.2725402  -0.27279359  1.29885902 -0.12883186 -0.21817044
 -0.68400919  3.39681906  1.04744092  1.27104175  0.        ]",[-1.02729137  0.64616592],-0.183195837297,-0.183195837297,"[[ -2.35246964e-01   1.47167332e+00  -1.59304709e-02  -2.55948578e-02]
 [ -8.37900384e+00   2.24123804e+01   0.00000000e+00   0.00000000e+00]]",[-0.68836045 -0.55045128]
7,[-0.3989014   0.84534329],"[ 0.90395627 -0.32405222 -0.56264142  1.13765801 -0.12883179 -0.21817033
 -1.12017699  3.74731876  0.70122683  1.09184896  0.        ]",[ 0.06639395  0.06265349],-0.146994491893,-0.146994491893,"[[ -4.40871709e-01   1.94114178e+00  -1.59304709e-02  -2.55948578e-02]
 [ -1.21710196e+01   2.45273003e+01   0.00000000e+00   0.00000000e+00]]",[-0.68836045 -0.55045128]
8,[-0.44339898  0.48744467],"[ 0.71969722 -0.83525081 -0.86420485  0.42345897 -0.12883173 -0.21817021
 -1.06222927  3.70784022  0.30733816  0.80557157  0.        ]",[ 0.38604646  0.62120935],-0.102648707022,-0.102648707022,"[[ -6.79237681e-01   2.42929911e+00  -1.59304709e-02  -2.55948578e-02]
 [ -1.16672370e+01   2.42892696e+01   0.00000000e+00   0.00000000e+00]]",[-0.68836045 -0.55045128]
9,[-0.54204518 -0.01434547],"[ 0.4972978  -1.12242505 -1.09166465 -0.72585526 -0.12883166 -0.2181701
 -0.85983892  4.03574561 -0.13948428  0.47056299  0.        ]",[-0.17623027  0.20531336],-0.0539825026753,-0.0539825026753,"[[ -8.94928808e-01   2.93493643e+00  -1.59304709e-02  -2.55948578e-02]
 [ -9.90767919e+00   2.62679324e+01   0.00000000e+00   0.00000000e+00]]",[-0.68836045 -0.55045128]
10,[ 0.62842983  0.5268175 ],"[ 0.24888785 -1.14915567 -1.2565988  -1.34246379 -0.12883159 -0.21816998
 -0.91766319 -0.13011923 -0.35568558  0.28964632  0.        ]",[-0.02710661  1.72134832],-0.0327289784493,-0.0327289784493,"[[ -1.0981277    3.17697019  -0.01593047  -0.02559486]
 [-10.41040569   1.13256086   0.           0.        ]]",[-0.68836045 -0.55045128]
11,[ 0.87464499  0.66525936],"[-0.03250216 -1.14996117 -1.36828582 -1.24618696 -0.12883153 -0.21816987
 -0.90632467 -0.84282463 -0.29219805  0.33212418  0.        ]",[ 1.33286088  0.37452867],-0.0376330650446,-0.0376330650446,"[[ -1.30534763   3.13940289  -0.01593047  -0.02559486]
 [-10.3118368   -3.16765646   0.           0.        ]]",[-0.68836045 -0.55045128]
12,[ 0.00343471  0.67741781],"[-0.26810294 -1.14747781 -1.41308363 -1.09304117 -0.12883146 -0.21816975
 -0.42742841 -0.73742162 -0.2092227   0.34259838  0.        ]",[ 0.13957736  1.5257115 ],-0.0420331104874,-0.0420331104874,"[[-1.46981096  3.07961679 -0.01593047 -0.02559486]
 [-6.14835723 -2.5316954   0.          0.        ]]",[-0.68836045 -0.55045128]
13,[-0.19299179  0.49044538],"[-0.43733863 -1.14341931 -1.42053397 -0.9944122  -0.1288314  -0.21816964
 -0.3498561  -0.54810347 -0.15546836  0.32739014  0.        ]",[-0.01870393  0.29468885],-0.0441773006571,-0.0441773006571,"[[-1.58601154  3.04100912 -0.01593047 -0.02559486]
 [-5.47395242 -1.38941909  0.          0.        ]]",[-0.68836045 -0.55045128]
14,[-0.20850703  0.34264168],"[-0.59605259 -1.14044459 -1.40914762 -0.94156306 -0.12883133 -0.21816952
 -0.34590538 -0.43913519 -0.1243315   0.30348997  0.        ]",[-0.54221945  0.3461818 ],-0.0448380126106,-0.0448380126106,"[[-1.69514597  3.02026345 -0.01593047 -0.02559486]
 [-5.43960691 -0.73194499  0.          0.        ]]",[-0.68836045 -0.55045128]
15,[ 0.2352685   0.24563757],"[-0.78108913 -1.13874944 -1.37282842 -0.9151915  -0.12883126 -0.21816941
 -0.58044869 -0.37534223 -0.10559967  0.27258406  0.        ]",[ 0.36859948  0.91051394],-0.0445002993826,-0.0445002993826,"[[-1.82439703  3.00989248 -0.01593047 -0.02559486]
 [-7.47870651 -0.34704248  0.          0.        ]]",[-0.68836045 -0.55045128]
16,[-0.12129141  0.12353551],"[-0.96569132 -1.13802268 -1.30997979 -0.90451821 -0.1288312  -0.21816929
 -0.39555372 -0.33689521 -0.09634672  0.24030964  0.        ]",[-0.60217127  0.62321882],-0.0435624889381,-0.0435624889381,"[[-1.95784301  3.00569127 -0.01593047 -0.02559486]
 [-5.87125052 -0.11506824  0.          0.        ]]",[-0.68836045 -0.55045128]
17,[ 0.39855015  0.12082487],"[-1.14900844 -1.13772286 -1.21744305 -0.90022173 -0.12883113 -0.21816918
 -0.6564188  -0.32756775 -0.09291024  0.20670629  0.        ]",[ 0.37541964  1.24223822],-0.0422337934201,-0.0422337934201,"[[-2.09802298  3.00399961 -0.01593047 -0.02559486]
 [-8.13918802 -0.05879088  0.          0.        ]]",[-0.68836045 -0.55045128]
18,[ 0.124795    0.06265658],"[-1.32486919 -1.13764492 -1.09388105 -0.89912672 -0.12883107 -0.21816906
 -0.46691479 -0.31783937 -0.09420134  0.17237289  0.        ]",[ 0.10118737 -0.39082559],-0.0405960052247,-0.0405960052247,"[[ -2.24427658e+00   3.00356864e+00  -1.59304709e-02  -2.55948578e-02]
 [ -6.49166323e+00  -9.44429436e-05   0.00000000e+00   0.00000000e+00]]",[-0.68836045 -0.55045128]
19,[ 0.11201051  0.22200394],"[-1.45942714 -1.13472362 -0.96886844 -0.85974519 -0.128831   -0.21816895
 -0.40605785 -0.57431931 -0.0886679   0.12574138  0.        ]",[-1.02129719  0.67777078],-0.0391796553251,-0.0391796553251,"[[-2.36880142  2.98804011 -0.01593047 -0.02559486]
 [-5.96258181 -1.54760173  0.          0.        ]]",[-0.68836045 -0.55045128]
