timestep,avg_action_dist,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist
0,[ 4.29141617  1.5778017 ],"[ 0.99911226  1.58532909 -0.02450395 -1.33070019 -1.08498788  1.48273145
  0.33748148 -0.33133176  2.60058845 -2.39332696  0.        ]",[ 3.9485488   2.41490504],-0.38754937038,-0.38754937038,"[[ -8.43593032e-02  -8.64428857e-02  -1.26353817e-01   1.68766774e-01]
 [ -2.39121217e-03  -1.31782359e-04   0.00000000e+00   0.00000000e+00]]",[-0.41127306 -0.31324446]
1,[ 3.27555013  0.76665324],"[ 1.00294662  1.58867615  0.03497258 -1.22551789 -1.08498618  1.48272804
  0.73993031  0.27875727  2.61323757 -2.24813568  0.        ]",[ 2.43091451  0.11775584],-0.382560907898,-0.382560907898,"[[-0.04473154 -0.04673306 -0.12635382  0.16876677]
 [ 3.95200312  3.95792823  0.          0.        ]]",[-0.41127306 -0.31324446]
2,[ 2.46652555  0.63854623],"[ 1.00042594  1.58922123  0.21225377 -1.00514249 -1.08498448  1.48272463
  1.1345586   0.33831638  2.60989993 -1.85797552  0.        ]",[ 2.09458015  0.30799964],-0.367207909606,-0.367207909606,"[[ 0.07321319  0.03630237 -0.12635382  0.16876677]
 [ 7.8295632   4.34432981  0.          0.        ]]",[-0.41127306 -0.31324446]
3,[ 1.5998559   0.43370676],"[ 0.95089526  1.57858981  0.50043383 -0.74537972 -1.08498278  1.48272122
  1.52135554  0.51280617  2.50619958 -1.2792241   0.        ]",[ 2.10037356  0.41291938],-0.3388456908,-0.3388456908,"[[  0.26793711   0.13454709  -0.12635382   0.16876677]
 [ 11.63019203   5.47636423   0.           0.        ]]",[-0.41127306 -0.31324446]
4,[ 0.48046029  0.02083403],"[ 0.79249639  1.54762334  0.87286265 -0.42060688 -1.08498108  1.48271781
  1.90049993  0.74786417  2.18949384 -0.58350295  0.        ]",[ 0.13361566 -1.10194842],-0.29168155373,-0.29168155373,"[[  0.53791922   0.25937525  -0.12635382   0.16876677]
 [ 15.3556582    7.00134651   0.           0.        ]]",[-0.41127306 -0.31324446]
5,[ 0.11726093  0.21380818],"[ 0.49718031  1.50950726  1.22956097 -0.17056155 -1.08497938  1.4827144
  1.9235576   0.11610976  1.67019458 -0.03312391  0.        ]",[-0.51823033  0.28497546],-0.232010563559,-0.232010563559,"[[  0.84730652   0.35827968  -0.12635382   0.16876677]
 [ 15.58228295   2.90273932   0.           0.        ]]",[-0.41127306 -0.31324446]
6,[-0.22150809 -0.1374355 ],"[ 0.13678877  1.47611558  1.46593771 -0.00183605 -1.08497769  1.48271099
  1.68351731  0.28126193  1.10439651  0.23152134  0.        ]",[-0.38389179 -0.65490956],-0.17244145304,-0.17244145304,"[[  1.135288     0.42708465  -0.12635382   0.16876677]
 [ 13.22372711   3.97419105   0.           0.        ]]",[-0.41127306 -0.31324446]
7,[-0.46999276  0.06817603],"[-0.2145609   1.44684712  1.57958246  0.12387076 -1.08497599  1.48270758
  1.50244567 -0.13051922  0.59744009  0.26537649  0.        ]",[-1.14932477  1.7427223 ],-0.118801336393,-0.118801336393,"[[  1.38191213   0.47976446  -0.12635382   0.16876677]
 [ 11.44457534   1.30269808   0.           0.        ]]",[-0.41127306 -0.31324446]
8,[-0.55570841 -0.61934525],"[-0.49339945  1.4060893   1.60632699  0.27547162 -1.08497429  1.48270417
  1.07665611  0.47603637  0.19921377  0.15658165  0.        ]",[-1.7161039  -1.33725762],-0.0741623861281,-0.0741623861281,"[[ 1.56882664  0.54530064 -0.12635382  0.16876677]
 [ 7.26083524  5.23781901  0.          0.        ]]",[-0.41127306 -0.31324446]
9,[-0.13828701  0.05757618],"[-0.6493635   1.36179085  1.59848851  0.41782196 -1.08497259  1.48270076
  0.65956835 -0.15006307 -0.03071381  0.02561501  0.        ]",[-0.8073545  -0.15555825],-0.0464991788392,-0.0464991788392,"[[ 1.67292497  0.60930248 -0.12635382  0.16876677]
 [ 3.16258773  1.17590878  0.          0.        ]]",[-0.41127306 -0.31324446]
10,[ 0.30399156  0.32652709],"[-0.69493891  1.3492125   1.59309641  0.45485934 -1.08497089  1.48269735
  0.32815941 -0.24841962 -0.0935372  -0.01904935  0.        ]",[-0.04555552  0.9553581 ],-0.0387603155281,-0.0387603155281,"[[ 1.70350456  0.62641837 -0.12635382  0.16876677]
 [-0.09379274  0.53780583  0.          0.        ]]",[-0.41127306 -0.31324446]
11,[ 0.16191059 -0.32908088],"[-0.68946463  1.31187045  1.59381437  0.55751417 -1.08496919  1.48269394
  0.30987536  0.33303065 -0.12201142 -0.05857631  0.        ]",[-0.06196689  0.27687925],-0.0349213746184,-0.0349213746184,"[[ 1.69982603  0.67502259 -0.12635382  0.16876677]
 [-0.27344701  4.31004398  0.          0.        ]]",[-0.41127306 -0.31324446]
12,[ 0.09375278 -0.65388042],"[-0.67773401  1.23103028  1.59528856  0.74919352 -1.08496749  1.48269053
  0.28544654  0.48887716 -0.17328575 -0.14154774  0.        ]",[ 0.15909374  0.09862486],-0.0286202228163,-0.0286202228163,"[[ 1.69194871  0.77136795 -0.12635382  0.16876677]
 [-0.51347911  5.32112124  0.          0.        ]]",[-0.41127306 -0.31324446]
13,[-0.12624575 -0.98705298],"[-0.67199264  1.12917135  1.5959737   0.94574184 -1.08496579  1.48268712
  0.35053972  0.53280073 -0.23138474 -0.24929988  0.        ]",[ 0.05804734 -1.7047957 ],-0.0242897077914,-0.0242897077914,"[[ 1.6880963   0.88064948 -0.12635382  0.16876677]
 [ 0.12611995  5.60608414  0.          0.        ]]",[-0.41127306 -0.31324446]
14,[-0.10624218 -0.55959564],"[-0.67916633  1.05746084  1.59510478  1.06091438 -1.0849641   1.48268371
  0.37378971 -0.09464712 -0.27442195 -0.33295126  0.        ]",[-0.29644355 -0.98056449],-0.024436971251,-0.024436971251,"[[ 1.69291112  0.95192903 -0.12635382  0.16876677]
 [ 0.3545739   1.53543872  0.          0.        ]]",[-0.41127306 -0.31324446]
15,[ 0.24078484  0.13420868],"[-0.67210969  1.06626366  1.59595157  1.04766873 -1.0849624   1.4826803
  0.25382472 -0.69774605 -0.26377082 -0.31755643  0.        ]",[ 0.09554973 -0.50876471],-0.024406637278,-0.024406637278,"[[ 1.68817578  0.94338062 -0.12635382  0.16876677]
 [-0.82418151 -2.37724165  0.          0.        ]]",[-0.41127306 -0.31324446]
16,[ 0.3563863   0.61009061],"[-0.65343414  1.13361283  1.59803577  0.93801776 -1.0849607   1.48267689
  0.29402482 -1.00102322 -0.21086179 -0.22971695  0.        ]",[ 0.59812307 -1.38274848],-0.0257892295239,-0.0257892295239,"[[ 1.67565525  0.87609466 -0.12635382  0.16876677]
 [-0.4291796  -4.34479679  0.          0.        ]]",[-0.41127306 -0.31324446]
17,[ 0.18938185  1.31840301],"[-0.67618783  1.24942286  1.59545563  0.70873035 -1.084959    1.48267348
  0.53586095 -1.59820778 -0.15833785 -0.11981611  0.        ]",[-0.62771928  1.55626228],-0.0302965483273,-0.0302965483273,"[[ 1.69091327  0.75032637 -0.12635382  0.16876677]
 [ 1.94706631 -8.21912726  0.          0.        ]]",[-0.41127306 -0.31324446]
18,[ 0.5486114   1.07008111],"[-0.69647058  1.34853     1.59285742  0.45677389 -1.0849573   1.48267007
  0.27906246 -0.96266361 -0.0958396  -0.02086873  0.        ]",[ 2.48754456  1.479862  ],-0.0384738859402,-0.0384738859402,"[[ 1.70453803  0.6273128  -0.12635382  0.16876677]
 [-0.57618894 -4.09596488  0.          0.        ]]",[-0.41127306 -0.31324446]
19,[-0.2753576  0.1669763],"[-0.73843333  1.37845414  1.58658866  0.36649922 -1.0849556   1.48266666
  0.68270931 -0.34004963 -0.11161941 -0.01424862  0.        ]",[-2.63895038 -0.61009489],-0.0369569623919,-0.0369569623919,"[[ 1.73280815  0.58592098 -0.12635382  0.16876677]
 [ 3.38997932 -0.0566821   0.          0.        ]]",[-0.41127306 -0.31324446]
20,[ 0.41858244  0.83983088],"[-0.77898201  1.39588625  1.57936878  0.3099686  -1.0849539   1.48266325
  0.27334249 -0.7120175  -0.13773442 -0.0216449   0.        ]",[ 0.60947122 -0.28622236],-0.0340153960986,-0.0340153960986,"[[ 1.76025012  0.56057499 -0.12635382  0.16876677]
 [-0.63238161 -2.46987276  0.          0.        ]]",[-0.41127306 -0.31324446]
21,[ 0.07857111  0.90937114],"[-0.79616786  1.43456068  1.57595765  0.17193342 -1.0849522   1.48265984
  0.52004401 -0.87930329 -0.11179307  0.01667055  0.        ]",[-0.17348914  0.78892299],-0.0377937260101,-0.0377937260101,"[[ 1.77192377  0.50028844 -0.12635382  0.16876677]
 [ 1.79166518 -3.55516604  0.          0.        ]]",[-0.41127306 -0.31324446]
22,[ 0.05388249  0.47517705],"[-0.83806691  1.45746206  1.56676547  0.08001565 -1.08495051  1.48265643
  0.44646815 -0.38691044 -0.12910841  0.01814457  0.        ]",[-0.80732916 -0.04714228],-0.0360595515931,-0.0360595515931,"[[ 1.80050359  0.46123612 -0.12635382  0.16876677]
 [ 1.0687269  -0.36071275  0.          0.        ]]",[-0.41127306 -0.31324446]
23,[ 0.64819086  0.77383274],"[-0.82214371  1.46249503  1.5704014   0.05856292 -1.08494881  1.48265302
  0.11927729 -0.41440085 -0.10409657  0.03677982  0.        ]",[ 1.85739609  1.54484223],-0.0392229007368,-0.0392229007368,"[[ 1.78962196  0.45223247 -0.12635382  0.16876677]
 [-2.14618364 -0.53906215  0.          0.        ]]",[-0.41127306 -0.31324446]
24,[-0.18951365 -0.17995751],"[-0.81801001  1.44591885  1.57131242  0.12740672 -1.08494711  1.48264961
  0.52607059  0.19734948 -0.12180914  0.01652207  0.        ]",[ 0.32128544  0.38077956],-0.0367570336815,-0.0367570336815,"[[ 1.78680191  0.48127139 -0.12635382  0.16876677]
 [ 1.85088725  3.42973474  0.          0.        ]]",[-0.41127306 -0.31324446]
25,[-0.67604023 -0.72871238],"[-0.89000206  1.3933459   1.55359834  0.31835182 -1.08494541  1.4826462
  0.65165724  0.41921405 -0.2607505  -0.11305569  0.        ]",[ 0.11516743 -1.3239373 ],-0.0190784958413,-0.0190784958413,"[[ 1.83620048  0.56430777 -0.12635382  0.16876677]
 [ 3.08488138  4.86910627  0.          0.        ]]",[-0.41127306 -0.31324446]
26,[-0.85462147 -0.35441411],"[-0.98419393  1.35319017  1.52457573  0.44315958 -1.08494371  1.48264279
  0.69196743 -0.20600179 -0.39441787 -0.25584898  0.        ]",[-1.27944319 -0.71970351],-0.011229729497,-0.011229729497,"[[ 1.90187243  0.62099321 -0.12635382  0.16876677]
 [ 3.48096782  0.81295558  0.          0.        ]]",[-0.41127306 -0.31324446]
27,[-0.12292194  0.31186616],"[-1.02548525  1.36231719  1.50966769  0.41609184 -1.08494201  1.48263938
  0.2824266  -0.64752592 -0.42898687 -0.28470254  0.        ]",[ 0.81094879  0.25068169],-0.0129099518329,-0.0129099518329,"[[ 1.93111724  0.6085125  -0.12635382  0.16876677]
 [-0.54308767 -2.05147822  0.          0.        ]]",[-0.41127306 -0.31324446]
28,[-0.76187348 -0.01867187],"[-1.05545938  1.38406137  1.49797655  0.34857109 -1.08494031  1.48263597
  0.60999623 -0.48844082 -0.44179511 -0.28396997  0.        ]",[-0.15110528  0.42011767],-0.0128769337416,-0.0128769337416,"[[ 1.95254904  0.57783811 -0.12635382  0.16876677]
 [ 2.67554281 -1.01940185  0.          0.        ]]",[-0.41127306 -0.31324446]
29,[-0.82683426 -0.32483363],"[-1.1202435   1.38647186  1.47012055  0.34079428 -1.08493862  1.48263256
  0.54370923 -0.22888477 -0.50509371 -0.35114264  0.        ]",[-0.92205486 -0.75492244],-0.0202953935024,-0.0202953935024,"[[ 1.99952501  0.5743451  -0.12635382  0.16876677]
 [ 2.02422714  0.66448982  0.          0.        ]]",[-0.41127306 -0.31324446]
30,[-0.03797627  0.38047621],"[-1.12500727  1.39790816  1.46792411  0.30310142 -1.08493692  1.48262915
  0.16849541 -0.69146555 -0.50077695 -0.33868158  0.        ]",[ 0.41713832  0.06176999],-0.0191140786019,-0.0191140786019,"[[ 2.00301914  0.55752455 -0.12635382  0.16876677]
 [-1.66253362 -2.33654654  0.          0.        ]]",[-0.41127306 -0.31324446]
31,[-0.26470762  0.356985  ],"[-1.10262152  1.4262675   1.47804746  0.20306994 -1.08493522  1.48262574
  0.33978467 -0.64672731 -0.45275447 -0.26840492  0.        ]",[-1.47088907  0.46823026],-0.0116959067038,-0.0116959067038,"[[ 1.98665507  0.51370566 -0.12635382  0.16876677]
 [ 0.02051557 -2.04630788  0.          0.        ]]",[-0.41127306 -0.31324446]
32,[ 0.48554605  0.41910946],"[-1.04822042  1.43965003  1.50085068  0.15211645 -1.08493352  1.48262233
 -0.06294976 -0.35448693 -0.38190136 -0.19025352  0.        ]",[ 1.12648799  0.45333412],-0.00732944721232,-0.00732944721232,"[[ 1.9473619   0.49180208 -0.12635382  0.16876677]
 [-3.93665258 -0.15037728  0.          0.        ]]",[-0.41127306 -0.31324446]
33,[-0.20469978 -0.03440398],"[-0.99442228  1.43052686  1.52098244  0.18711712 -1.08493182  1.48261892
  0.34753316 -0.0775692  -0.33414219 -0.15251193  0.        ]",[-0.9336002 -0.1226941],-0.0109770283622,-0.0109770283622,"[[ 1.90909611  0.50681953 -0.12635382  0.16876677]
 [ 0.09664972  1.64614683  0.          0.        ]]",[-0.41127306 -0.31324446]
34,[ 0.52979636  0.28117192],"[-0.94437234  1.4130247   1.53764095  0.25098822 -1.08493012  1.48261551
 -0.02853563 -0.15727395 -0.2990214  -0.13279753  0.        ]",[ 0.56178313  0.99396648],-0.014757497688,-0.014757497688,"[[ 1.87395462  0.53455444 -0.12635382  0.16876677]
 [-3.59850336  1.12905593  0.          0.        ]]",[-0.41127306 -0.31324446]
