timestep,avg_action_dist,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist
0,[-3.50659943 -0.94395339],"[ 1.03718237  1.4601612   0.10755964 -1.27913258 -0.50654935 -1.73644293
  0.2893618  -0.31958268  2.19312607  2.46075797  0.        ]",[-3.46246592 -1.89295201],-0.336289130519,-0.336289130519,"[[  1.81531625e-02  -2.05402189e-02  -5.96961726e-02  -1.99353830e-01]
 [ -7.08223931e-05  -9.66077394e-04   0.00000000e+00   0.00000000e+00]]",[-0.61941856 -0.52150351]
1,[-3.37815475 -0.78656387],"[ 1.03708328  1.45809177  0.04815308 -1.38113353 -0.50654901 -1.7364392
 -0.15596659 -0.9668777   2.18948881  2.29683874  0.        ]",[-3.46394906 -0.72053097],-0.328560618063,-0.328560618063,"[[-0.02152332 -0.06027174 -0.05969617 -0.19935383]
 [-3.95441838 -3.95900014  0.          0.        ]]",[-0.61941856 -0.52150351]
2,[-3.2391088 -0.467044 ],"[ 1.02318817  1.44245081 -0.12783818 -1.65417568 -0.50654867 -1.73643547
 -0.59254483 -1.42038895  2.13397126  1.83190924  0.        ]",[-2.9819347  -0.44742452],-0.304392390739,-0.304392390739,"[[-0.13950703 -0.16727525 -0.05969617 -0.19935383]
 [-7.83106899 -6.7321084   0.          0.        ]]",[-0.61941856 -0.52150351]
3,[-2.89076209  0.19580361],"[ 0.95633532  1.39571397 -0.41086562 -2.03059708 -0.50654833 -1.73643174
 -1.02056093 -1.68806429  1.92000304  1.15386616  0.        ]",[-3.41794431  0.12824286],-0.261345382988,-0.261345382988,"[[ -0.33426066  -0.31833992  -0.05969617  -0.19935383]
 [-11.63169581  -8.36889033   0.           0.        ]]",[-0.61941856 -0.52150351]
4,[-1.74053204  1.0474565 ],"[ 0.77797463  1.31550538 -0.7703891  -2.41050344 -0.50654799 -1.73642801
 -1.44024622 -1.57764414  1.45345576  0.45108814  0.        ]",[-1.94257675  1.87483486],-0.198765846563,-0.198765846563,"[[ -0.60428477  -0.47894386  -0.05969617  -0.19935383]
 [-15.35835951  -7.69371898   0.           0.        ]]",[-0.61941856 -0.52150351]
5,[ 0.95574623  1.5428853 ],"[ 0.4268126   1.24157372 -1.13596465 -2.65922617 -0.50654765 -1.73642428
 -1.85177842 -0.90486202  0.75342055 -0.02926425  0.        ]",[ 0.99585408  1.70154294],-0.121717984646,-0.121717984646,"[[ -0.94811688  -0.59154291  -0.05969617  -0.19935383]
 [-19.01264694  -3.57984054   0.           0.        ]]",[-0.61941856 -0.52150351]
6,[ 2.30462551  1.88207304],"[-0.01470935  1.21867296 -1.35629    -2.72498105 -0.50654731 -1.73642055
 -1.36590814 -0.24585221  0.07415764 -0.14012045  0.        ]",[ 1.56535889  0.93995347],-0.0515046971824,-0.0515046971824,"[[ -1.28508366  -0.62270826  -0.05969617  -0.19935383]
 [-14.69831773   0.44982804   0.           0.        ]]",[-0.61941856 -0.52150351]
7,[ 2.71205902  1.64349163],"[-0.37731039  1.25227476 -1.4161067  -2.62689024 -0.50654697 -1.73641682
 -0.8877621   0.361179   -0.36418045 -0.06788284  0.        ]",[ 2.7789533   1.61505434],-0.00821463497,-0.00821463497,"[[ -1.53645125  -0.57646918  -0.05969617  -0.19935383]
 [-10.45256389   4.16166164   0.           0.        ]]",[-0.61941856 -0.52150351]
8,[ 2.1557672   1.13023126],"[-0.62182221  1.32974997 -1.4037732  -2.35402124 -0.50654662 -1.73641309
 -0.41909299  0.99503412 -0.56703752 -0.02288161  0.        ]",[ 2.04073032  0.3955554 ],-0.0169092350935,-0.0169092350935,"[[-1.7037475  -0.45434785 -0.05969617 -0.19935383]
 [-6.29095699  8.03751959  0.          0.        ]]",[-0.61941856 -0.52150351]
9,[ 0.97299182  0.65804011],"[-0.74423504  1.41043525 -1.38159888 -1.93516549 -0.50654628 -1.73640936
  0.04037511  1.22490704 -0.56588054 -0.06972982  0.        ]",[ 0.23307486  0.25286122],-0.0152561256131,-0.0152561256131,"[[-1.78863132 -0.27949425 -0.05969617 -0.19935383]
 [-2.21105089  9.44313992  0.          0.        ]]",[-0.61941856 -0.52150351]
