timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.9556033   1.49836227 -0.07305919  1.08592542 -0.66924936 -0.97896896
 -0.22405614  0.29937305  2.04744593  1.52769208  0.        ]",-1.94753,[-2.17442124 -2.06882851],-0.313226985271,[-1.76800752 -1.82011223],[-0.41626987 -0.37037429],"[[ 0.06087193  0.00770581 -0.07700977 -0.11283473]
 [ 0.00226173  0.00206376  0.          0.        ]]"
1,"[ 0.95810644  1.49774462 -0.13386473  0.98805284 -0.66924832 -0.9789669
 -0.69287148 -0.30466344  2.05111293  1.38909822  0.        ]",-1.92661,[-1.97100889 -0.61719868],-0.308714955145,[-1.50415945 -1.3250246 ],[-0.41626987 -0.37037429],"[[ 0.02124166 -0.03196572 -0.07700977 -0.11283473]
 [-3.95212857 -3.95603043  0.          0.        ]]"
2,"[ 0.95125688  1.48684259 -0.31475313  0.73530208 -0.66924727 -0.97896483
 -1.15249045 -0.66543054  2.0212053   0.99712358  0.        ]",-1.75958,[-0.53083331 -1.91269125],-0.294125091171,[-1.0190556  -0.84900987],[-0.41626987 -0.37037429],"[[-0.09669814 -0.13480527 -0.07700977 -0.11283473]
 [-7.8289618  -6.32004654  0.          0.        ]]"
3,"[ 0.90150381  1.44166286 -0.58021994  0.33852941 -0.66924623 -0.97896277
 -1.38293735 -1.25047318  1.86309979  0.43237841  0.        ]",-1.57828,[ 0.73300785  0.75692209],-0.267076518739,[-0.38625824 -0.42067677],[-0.41626987 -0.37037429],"[[ -0.27277963  -0.29967053  -0.07700977  -0.11283473]
 [ -9.77277994 -10.15369325   0.           0.        ]]"
4,"[ 0.8135709   1.35998862 -0.81673623 -0.05199431 -0.66924519 -0.97896071
 -1.01641272 -0.76257093  1.59284181 -0.03270508  0.        ]",-1.33266,[-0.3041955   0.51282288],-0.235853815453,[-0.44248688 -0.69795322],[-0.41626987 -0.37037429],"[[-0.43721714 -0.47066706 -0.07700977 -0.11283473]
 [-6.68122089 -6.95661012  0.          0.        ]]"
5,"[ 0.70522073  1.28459202 -1.01014602 -0.30181435 -0.66924414 -0.97895864
 -1.14353847 -0.4315948   1.31112021 -0.32971293  0.        ]",-1.2416,[ 0.04986376 -1.03217676],-0.208090584946,[ 0.12084238 -0.49190432],[-0.41626987 -0.37037429],"[[-0.58160047 -0.58803912 -0.07700977 -0.11283473]
 [-7.75353061 -4.7878175   0.          0.        ]]"
6,"[ 0.56273983  1.18032136 -1.19419373 -0.56479982 -0.6692431  -0.97895658
 -1.10185387 -1.02138862  0.9602748  -0.54834753  0.        ]",-1.07733,[ 0.85940565  0.15098809],-0.175766392748,[ 0.36541122 -0.01579265],[-0.41626987 -0.37037429],"[[-0.73314284 -0.722572   -0.07700977 -0.11283473]
 [-7.40194955 -8.6525867   0.          0.        ]]"
7,"[ 0.43983862  1.02876197 -1.31576521 -0.84717162 -0.66924206 -0.97895452
 -0.68147346 -0.90416593  0.61949407 -0.62700305  0.        ]",-0.840071,[ 1.35591082 -0.2012947 ],-0.143982432633,[ 0.20165136  0.00454137],[-0.41626987 -0.37037429],"[[-0.84560603 -0.88791698 -0.07700977 -0.11283473]
 [-3.85611355 -7.88447063  0.          0.        ]]"
8,"[ 0.39690488  0.85663712 -1.3523238  -1.07585037 -0.66924102 -0.97895245
 -0.20336685 -1.00215604  0.40601127 -0.59031304  0.        ]",-0.62363,[-0.56215323  0.39813202],-0.121672884305,[-0.19347572 -0.04585334],[-0.41626987 -0.37037429],"[[-0.88226709 -1.05204911 -0.07700977 -0.11283473]
 [ 0.17663896 -8.52658661  0.          0.        ]]"
9,"[ 0.37434121  0.6807929  -1.37047995 -1.23726557 -0.66923997 -0.97895039
 -0.46758024 -0.73572513  0.24229122 -0.51352382  0.        ]",-0.449786,[ 0.33742263  0.64611699],-0.102493282854,[ 0.20212454  0.24284683],[-0.41626987 -0.37037429],"[[-0.90109436 -1.20506416 -0.07700977 -0.11283473]
 [-2.05196249 -6.78074738  0.          0.        ]]"
10,"[ 0.34109258  0.54928154 -1.39599743 -1.31933075 -0.66923893 -0.97894833
 -0.30456748 -0.32485941  0.11411006 -0.43904122  0.        ]",-0.369973,[ 0.42508991  1.50005203],-0.0868426931077,[ 0.09644424  0.08156757],[-0.41626987 -0.37037429],"[[-0.92833857 -1.31366658 -0.07700977 -0.11283473]
 [-0.67698093 -4.08846306  0.          0.        ]]"
11,"[ 0.34535683  0.49826579 -1.3927992  -1.34316352 -0.66923789 -0.97894626
 -0.1036567   0.29170308  0.08815335 -0.4078344   0.        ]",-0.365039,[ 0.73567563  0.32996136],-0.0827809798376,[-0.10086085 -0.45111299],[-0.41626987 -0.37037429],"[[-0.92487559 -1.35489965 -0.07700977 -0.11283473]
 [ 1.01766427 -0.04830519  0.          0.        ]]"
12,"[ 0.40490748  0.51334462 -1.34569407 -1.33656192 -0.66923684 -0.9789442
  0.23906442  0.49114138  0.16913552 -0.42071672  0.        ]",-0.393072,[ 0.81178725 -0.80551997],-0.0908547064924,[-0.64440054 -0.98679727],[-0.41626987 -0.37037429],"[[-0.87551802 -1.34275367 -0.07700977 -0.11283473]
 [ 3.90845426  1.25855932  0.          0.        ]]"
13,"[  5.28380753e-01   5.04551158e-01  -1.23097433e+00  -1.34045024e+00
  -6.69235800e-01  -9.78942137e-01   6.10832829e-01   5.03134284e-04
   3.22947170e-01  -4.08274182e-01   0.00000000e+00]",-0.447682,[-1.06711337 -0.40540516],-0.105031835669,[-0.98690253 -0.9369576 ],[-0.41626987 -0.37037429],"[[-0.76588672 -1.34983995 -0.07700977 -0.11283473]
 [ 7.04425486 -1.95644539  0.          0.        ]]"
14,"[ 0.62921446  0.43606933 -1.11540609 -1.36646536 -0.66923476 -0.97894007
  0.12519866 -0.2384088   0.41901817 -0.35294119  0.        ]",-0.726872,[-0.3003231  -1.74436299],-0.112509648985,[-0.74371284 -0.52259773],[-0.41626987 -0.37037429],"[[-0.66609999 -1.40467581 -0.07700977 -0.11283473]
 [ 2.94803067 -3.52196345  0.          0.        ]]"
15,"[ 0.67210627  0.29767908 -1.058304   -1.3964685  -0.66923371 -0.97893801
 -0.02253383 -0.83199462  0.39073691 -0.27387366  0.        ]",-0.42585,[-0.6205587   0.60453463],-0.106801901295,[-0.51040065  0.0134827 ],[-0.41626987 -0.37037429],"[[-0.61964125 -1.51414052 -0.07700977 -0.11283473]
 [ 1.70193834 -7.41155441  0.          0.        ]]"
16,"[ 0.68015221  0.14156288 -1.04694563 -1.3950377  -0.66923267 -0.97893595
 -0.31776015 -0.44423444  0.30515406 -0.18635923  0.        ]",-0.39423,[ 1.17867841 -0.33555717],-0.0950080404754,[-0.15130062  0.19280152],[-0.41626987 -0.37037429],"[[-0.61058704 -1.63687813 -0.07700977 -0.11283473]
 [-0.78823338 -4.87068865  0.          0.        ]]"
17,"[ 0.7010662   0.00292569 -1.01636454 -1.36236122 -0.66923163 -0.97893388
  0.15332571 -0.63237103  0.2543417  -0.09668348  0.        ]",-0.406094,[-0.43591345 -1.11451344],-0.087167023803,[-0.66417634  0.08927606],[-0.41626987 -0.37037429],"[[-0.58648482 -1.74666128 -0.07700977 -0.11283473]
 [ 3.18526902 -6.10349324  0.          0.        ]]"
18,"[ 0.73871883 -0.19457705 -0.95695445 -1.26207887 -0.66923059 -0.97893182
 -0.05866152 -1.21816185  0.1996795   0.04653747  0.        ]",-0.363591,[ 0.04195462 -0.36266681],-0.0786761859636,[-0.27722692  0.69661236],[-0.41626987 -0.37037429],"[[-0.54071869 -1.90724408 -0.07700977 -0.11283473]
 [ 1.39720672 -9.94201039  0.          0.        ]]"
19,"[ 0.76140011 -0.43717463 -0.91800034 -1.03947218 -0.66922954 -0.97892976
 -0.04227692 -1.40726817  0.11227747  0.25437333  0.        ]",-0.324248,[ 0.10931132  0.77495092],-0.0690385245513,[-0.2042152   0.91880637],[-0.41626987 -0.37037429],"[[ -0.51138781  -2.11851742  -0.07700977  -0.11283473]
 [  1.53540639 -11.18119254   0.           0.        ]]"
20,"[ 0.78676879 -0.63103625 -0.87102813 -0.75788538 -0.6692285  -0.97892769
  0.00538235 -0.90520576  0.06304749  0.45784212  0.        ]",-0.318818,[ 0.21785508  1.05674585],-0.0689783930809,[-0.28366816  0.90045923],[-0.41626987 -0.37037429],"[[-0.47664697 -2.30913321 -0.07700977 -0.11283473]
 [ 1.93740016 -7.89134804  0.          0.        ]]"
21,"[ 0.81846564 -0.7346712  -0.80611763 -0.55242499 -0.66922746 -0.97892563
  0.10307483 -0.27709261  0.05990326  0.58342051  0.        ]",-0.338633,[ 0.22803235  0.37690517],-0.0741826962512,[-0.52189016  0.68734717],[-0.41626987 -0.37037429],"[[-0.42963177 -2.4256648  -0.07700977 -0.11283473]
 [ 2.76141121 -3.77552427  0.          0.        ]]"
22,"[ 0.8564835  -0.78286661 -0.71589068 -0.43829959 -0.66922641 -0.97892357
  0.20362587 -0.03792895  0.08288794  0.64310868  0.        ]",-0.330966,[-0.62152567  0.97915102],-0.0793787425797,[-0.75043398  0.46910298],[-0.41626987 -0.37037429],"[[-0.36589413 -2.48545148 -0.07700977 -0.11283473]
 [ 3.60953348 -2.20836261  0.          0.        ]]"
23,"[ 0.88068021 -0.78660294 -0.64821908 -0.42884102 -0.66922537 -0.9789215
 -0.09656603  0.56041678  0.1093528   0.64326184  0.        ]",-0.428246,[-1.45125957 -0.40977211],-0.0818484176032,[-0.61508453  0.20140545],[-0.41626987 -0.37037429],"[[-0.3191081  -2.49028034 -0.07700977 -0.11283473]
 [ 1.07749904  1.71240391  0.          0.        ]]"
24,"[ 0.87154831 -0.77284295 -0.67494447 -0.46319818 -0.66922433 -0.97891944
 -0.56845732  0.30763023  0.1038676   0.6250599   0.        ]",-0.363998,[ 1.08065329  0.23104872],-0.0804143934041,[-0.04448874  0.73783594],[-0.41626987 -0.37037429],"[[-0.33749353 -2.47265174 -0.07700977 -0.11283473]
 [-2.90277275  0.05598097  0.          0.        ]]"
25,"[ 0.86226179 -0.7646688  -0.70059418 -0.48302882 -0.66922329 -0.97891738
 -0.09228269  0.44707659  0.09615352  0.61531545  0.        ]",-0.343034,[-0.74715442  0.95398583],-0.0791994681994,[-0.56173259  0.30057263],[-0.41626987 -0.37037429],"[[-0.35525122 -2.46236415 -0.07700977 -0.11283473]
 [ 1.1136172   0.96972898  0.          0.        ]]"
26,"[ 0.85813239 -0.71742281 -0.71155876 -0.59006361 -0.66922224 -0.97891531
 -0.44558367  1.02061485  0.11027724  0.55157923  0.        ]",-0.368195,[-0.28661258  0.31515751],-0.0775842550057,[-0.21545744  0.0633138 ],[-0.41626987 -0.37037429],"[[-0.36287809 -2.40526226 -0.07700977 -0.11283473]
 [-1.8663727   4.72794019  0.          0.        ]]"
27,"[ 0.83003019 -0.6215604  -0.78029776 -0.7744155  -0.6692212  -0.97891325
 -0.57572729  1.1967738   0.1161702   0.43863332  0.        ]",-0.376197,[ 0.31497043 -0.30374491],-0.073813519928,[-0.01389771 -0.05741929],[-0.41626987 -0.37037429],"[[-0.41121945 -2.29912175 -0.07700977 -0.11283473]
 [-2.96410015  5.88226903  0.          0.        ]]"
28,"[ 0.80010099 -0.517952   -0.84462967 -0.93554975 -0.66922016 -0.97891119
 -0.42094107  0.99545022  0.12416403  0.33005281  0.        ]",-0.356665,[ 0.69812088  0.03806236],-0.0716800954904,[-0.16225946 -0.1055492 ],[-0.41626987 -0.37037429],"[[-0.4574022  -2.19471217 -0.07700977 -0.11283473]
 [-1.65853258  4.563079    0.          0.        ]]"
29,"[ 0.79660291 -0.42005384 -0.85166594 -1.05934008 -0.66921911 -0.97890912
 -0.08941822  1.00463919  0.16510895  0.2351722   0.        ]",-0.387653,[-0.62736409 -1.20017429],-0.0747243490211,[-0.57750338 -0.50054234],[-0.41626987 -0.37037429],"[[-0.46251651 -2.10284624 -0.07700977 -0.11283473]
 [ 1.13775295  4.62330543  0.          0.        ]]"
30,"[ 0.79495839 -0.36237218 -0.85494056 -1.12131887 -0.66921807 -0.97890706
 -0.38648299  0.38642395  0.19145288  0.18376928  0.        ]",-0.347628,[-0.16841849  0.50215658],-0.0773184437592,[-0.20579343  0.1315852 ],[-0.41626987 -0.37037429],"[[-0.46490173 -2.05102466 -0.07700977 -0.11283473]
 [-1.36789213  0.57235729  0.          0.        ]]"
31,"[ 0.770853   -0.32677654 -0.90090308 -1.15589895 -0.66921703 -0.978905
 -0.46232702  0.68814198  0.17613355  0.15349099  0.        ]",-0.357214,[ 0.26696683  0.060295  ],-0.075512102277,[-0.08733782 -0.04439405],[-0.41626987 -0.37037429],"[[-0.49867813 -2.01974105 -0.07700977 -0.11283473]
 [-2.00761548  2.54941684  0.          0.        ]]"
32,"[ 0.74880684 -0.26540143 -0.93989953 -1.20938672 -0.66921599 -0.97890294
 -0.33233257  0.71686031  0.17716573  0.10272971  0.        ]",-0.38925,[-0.39072622 -1.14227748],-0.0757210923627,[-0.22705561 -0.21016249],[-0.41626987 -0.37037429],"[[-0.52782929 -1.96686451 -0.07700977 -0.11283473]
 [-0.91116137  2.73760547  0.          0.        ]]"
33,"[ 0.72203108 -0.24834488 -0.98397288 -1.22292953 -0.66921494 -0.97890087
 -0.51351217  0.10433841  0.15070395  0.08976406  0.        ]",-0.359778,[ 0.52065795  0.09679144],-0.0728125939042,[ 0.10391214  0.424959  ],[-0.41626987 -0.37037429],"[[-0.56138532 -1.95238257 -0.07700977 -0.11283473]
 [-2.43935194 -1.27603048  0.          0.        ]]"
