timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.96845574  1.41800646 -0.27065721  1.09640705 -0.29396668 -0.16762555
 -0.21132557  0.29200526  1.75754656  0.15992821  0.        ]",-1.72246,[-0.09405472 -2.12015339],-0.243372689485,[-0.27938721 -2.19429731],[-0.45853403 -0.44232175],"[[-0.07747673 -0.0272584  -0.03427476 -0.01981546]
 [-0.00072259 -0.00173206  0.          0.        ]]"
1,"[ 0.96800098  1.4155942  -0.27632554  0.99809598 -0.2939664  -0.16762539
 -0.25834634 -0.33380599  1.75161982  0.09936273  0.        ]",-1.64039,[ 0.3372657  -1.55196993],-0.242781732737,[-0.42491001 -2.03657007],[-0.45853403 -0.44232175],"[[-0.08120868 -0.06701909 -0.03427476 -0.01981546]
 [-0.37124537 -3.96114146  0.          0.        ]]"
2,"[ 0.96872316  1.39649506 -0.26713488  0.70806644 -0.29396612 -0.16762524
 -0.08791218 -0.94733134  1.72865626 -0.03642231  0.        ]",-1.65678,[-0.87425771 -1.61921318],-0.240818467078,[-0.45884261 -1.80289435],[-0.45853403 -0.44232175],"[[-0.07515867 -0.18518814 -0.03427476 -0.01981546]
 [ 0.97176408 -7.84282483  0.          0.        ]]"
3,"[ 0.96676299  1.3266691  -0.29058632  0.24521879 -0.29396584 -0.16762509
 -0.52908824 -1.5484164   1.65017207 -0.31010484  0.        ]",-1.50586,[ 0.70251906 -0.44824223],-0.235175903662,[-0.1231618  -1.53094149],[-0.45853403 -0.44232175],"[[ -0.09060283  -0.38020123  -0.03427476  -0.01981546]
 [ -2.50467628 -11.64581954   0.           0.        ]]"
4,"[ 0.96339315  1.17271482 -0.32349503 -0.29176275 -0.29396556 -0.16762494
 -0.17007978 -1.79265608  1.49023446 -0.62405583  0.        ]",-1.53315,[-0.74936352 -1.62940897],-0.224612021153,[ 0.00733971 -1.41795301],[-0.45853403 -0.44232175],"[[ -0.11231256  -0.62862234  -0.03427476  -0.01981546]
 [  0.32428156 -13.1911275    0.           0.        ]]"
5,"[ 0.95897459  0.90191911 -0.35875292 -0.81981148 -0.29396528 -0.16762479
 -0.54708624 -2.3770488   1.22665909 -0.91173514  0.        ]",-1.41018,[ 0.62271706 -0.2102196 ],-0.207178257646,[ 0.45544693 -0.92395401],[-0.45853403 -0.44232175],"[[ -0.13563144  -0.92954246  -0.03427476  -0.01981546]
 [ -2.64650276 -16.88858323   0.           0.        ]]"
6,"[ 0.9526552   0.51092545 -0.40048069 -1.20211329 -0.29396499 -0.16762463
 -0.22789909 -2.45585461  0.86291689 -1.09528547  0.        ]",-1.36156,[-0.55730078 -0.22825468],-0.181528158666,[ 0.34587634 -0.79910898],[-0.45853403 -0.44232175],"[[ -0.16332663  -1.27231792  -0.03427476  -0.01981546]
 [ -0.13133789 -17.38727456   0.           0.        ]]"
7,"[ 0.9460291   0.06236204 -0.43759823 -1.30783537 -0.29396471 -0.16762448
 -0.50763135 -2.54420931  0.47260429 -1.09773494  0.        ]",-1.24992,[ 0.90461104 -1.01202277],-0.149695389215,[ 0.62699127 -0.18102977],[-0.45853403 -0.44232175],"[[ -0.18806803  -1.62567297  -0.03427476  -0.01981546]
 [ -2.33560594 -17.94639282   0.           0.        ]]"
8,"[ 0.94298639 -0.42628109 -0.45305707 -1.06515229 -0.29396443 -0.16762433
 -0.04754971 -3.11391996  0.09676222 -0.88372013  0.        ]",-0.946072,[-0.46854486  0.03504037],-0.109589697089,[-0.14018938 -0.05214367],[-0.45853403 -0.44232175],"[[ -1.98406167e-01  -2.02076856e+00  -3.42747589e-02  -1.98154579e-02]
 [  1.28979094e+00  -2.15511032e+01   0.00000000e+00   0.00000000e+00]]"
9,"[ 0.94503669 -0.85413669 -0.44271998 -0.42225942 -0.29396415 -0.16762418
 -0.2863632  -3.02451586 -0.18170384 -0.46653703  0.        ]",-0.480683,[ 0.41474727  1.49123764],-0.0635939148014,[ 0.12999399  0.57651323],[-0.45853403 -0.44232175],"[[ -1.91491442e-01  -2.44611666e+00  -3.42747589e-02  -1.98154579e-02]
 [ -5.92035925e-01  -2.09856159e+01   0.00000000e+00   0.00000000e+00]]"
10,"[ 0.94640099 -1.0875904  -0.43562129  0.3859894  -0.29396387 -0.16762402
 -0.07657889 -2.33301114 -0.29977453 -0.00465612  0.        ]",-0.314552,[-0.74773165  1.47667492],-0.0270205437195,[-0.11368526  0.55137914],[-0.45853403 -0.44232175],"[[ -0.18674844  -2.82193239  -0.03427476  -0.01981546]
 [  1.06104005 -16.61052681   0.           0.        ]]"
11,"[ 0.94387044 -1.15026373 -0.44862437  1.01113592 -0.29396358 -0.16762387
 -0.45490084 -0.52617074 -0.30504089  0.29042439  0.        ]",-0.299099,[ 1.00981949  1.32820198],-0.0257072734436,[ 0.49399689  0.71429086],[-0.45853403 -0.44232175],"[[-0.19544066 -3.07984917 -0.03427476 -0.01981546]
 [-1.92009515 -5.17854739  0.          0.        ]]"
12,"[ 0.94437489 -1.15131379 -0.44606982  1.04849593 -0.2939633  -0.16762372
  0.05242067  0.58410993 -0.29871026  0.35286394  0.        ]",-0.304616,[ 0.2889034   0.47700338],-0.0290257897194,[ 0.00342648 -0.20619264],[-0.45853403 -0.44232175],"[[-0.19373223 -3.09496452 -0.03427476 -0.01981546]
 [ 2.07753482  1.8462622   0.          0.        ]]"
13,"[ 0.95780292 -1.14600888 -0.36702719  0.91148173 -0.29396302 -0.16762357
  0.19237249  0.87685734 -0.30109771  0.27196876  0.        ]",-0.340537,[ 0.46707329 -0.78488007],-0.0254293567152,[-0.07584435 -0.54331988],[-0.45853403 -0.44232175],"[[-0.14111672 -3.03945519 -0.03427476 -0.01981546]
 [ 3.18033792  3.69849834  0.          0.        ]]"
14,"[ 0.97030958 -1.13927449 -0.24345856  0.80697528 -0.29396274 -0.16762342
  0.41904786  0.38948267 -0.29055704  0.20715045  0.        ]",-0.347098,[ 0.40684226 -1.3923279 ],-0.0249122559974,[-0.22527444 -0.33188337],[-0.45853403 -0.44232175],"[[-0.05958875 -2.99691169 -0.03427476 -0.01981546]
 [ 4.96651167  0.61485761  0.          0.        ]]"
15,"[ 0.97071751 -1.1409267  -0.06907864  0.82956932 -0.29396246 -0.16762326
  0.61098603  0.24416551 -0.27549846  0.20696369  0.        ]",-0.348002,[-0.12251183 -1.29692368],-0.0264932523877,[-0.47150066 -0.41239163],[-0.45853403 -0.44232175],"[[ 0.05491585 -3.00612976 -0.03427476 -0.01981546]
 [ 6.47896242 -0.30456897  0.          0.        ]]"
16,"[ 0.94872903 -1.14121209  0.11759453  0.8336581  -0.29396217 -0.16762311
  0.53315338  0.29839928 -0.25773277  0.19801132  0.        ]",-0.307464,[-0.71950744  0.03528709],-0.0282541863724,[-0.48347458 -0.4748916 ],[-0.45853403 -0.44232175],"[[ 0.17834166 -3.00779709 -0.03427476 -0.01981546]
 [ 5.86565751  0.03857198  0.          0.        ]]"
17,"[ 0.91918633 -1.14074617  0.24770273  0.8270913  -0.29396189 -0.16762296
  0.15689569  0.32491794 -0.24325452  0.18883974  0.        ]",-0.317077,[ 0.27902384 -0.26745062],-0.029699532898,[-0.24838978 -0.35550129],[-0.45853403 -0.44232175],"[[ 0.2659075  -3.00512041 -0.03427476 -0.01981546]
 [ 2.90080619  0.20635847  0.          0.        ]]"
18,"[ 0.88815391 -1.14028718  0.34742754  0.82074762 -0.29396161 -0.16762281
  0.28980477  0.30408337 -0.23116354  0.18243362  0.        ]",-0.333872,[-0.00768289 -0.7035858 ],-0.0309372808192,[-0.37175009 -0.45502028],[-0.45853403 -0.44232175],"[[ 0.33443156 -3.00253375 -0.03427476 -0.01981546]
 [ 3.94811046  0.07453939  0.          0.        ]]"
19,"[ 0.84465274 -1.14020061  0.45788259  0.81958921 -0.29396133 -0.16762266
  0.27602491  0.29150876 -0.21818746  0.17936436  0.        ]",-0.337893,[ 0.40341558 -0.84063276],-0.0323009384477,[-0.38448843 -0.49119002],[-0.45853403 -0.44232175],"[[ 0.41230433 -3.00206171 -0.03427476 -0.01981546]
 [ 3.83952959 -0.00501867  0.          0.        ]]"
20,"[ 0.78228294 -1.14026642  0.58362748  0.82052337 -0.29396105 -0.1676225
  0.46907806  0.28853518 -0.203218    0.17843396  0.        ]",-0.340258,[-0.25769146 -0.61043695],-0.0338920708058,[-0.56239414 -0.58057088],[-0.45853403 -0.44232175],"[[ 0.50435791 -3.00244326 -0.03427476 -0.01981546]
 [ 5.36075878 -0.02383085  0.          0.        ]]"
21,"[ 0.70522636 -1.14029514  0.70799689  0.82094912 -0.29396077 -0.16762235
  0.32613059  0.29230118 -0.18749445  0.17907765  0.        ]",-0.343274,[-0.44178849 -0.52203956],-0.0355725556863,[-0.4910787 -0.5827747],[-0.45853403 -0.44232175],"[[  6.00271568e-01  -3.00261742e+00  -3.42747589e-02  -1.98154579e-02]
 [  4.23436086e+00  -1.50655316e-06   0.00000000e+00   0.00000000e+00]]"
22,"[ 0.6451256  -1.14026781  0.78940292  0.82060367 -0.29396048 -0.1676222
  0.09351166  0.29383474 -0.17648829  0.18037137  0.        ]",-0.331233,[-0.4959617  -0.13254941],-0.0367532881264,[-0.32477751 -0.53239369],[-0.45853403 -0.44232175],"[[ 0.66656777 -3.00247701 -0.03427476 -0.01981546]
 [ 2.40136755  0.00970308  0.          0.        ]]"
23,"[ 0.61828551 -1.14016056  0.82238307  0.81916256 -0.2939602  -0.16762205
 -0.16172201  0.29794124 -0.17149727  0.1807439   0.        ]",-0.316201,[ 0.14696043  0.2732647 ],-0.0372875873566,[-0.03539056 -0.40869528],[-0.45853403 -0.44232175],"[[ 0.69441617 -3.00188964 -0.03427476 -0.01981546]
 [ 0.3901743   0.03568674  0.          0.        ]]"
24,"[ 0.60487993 -1.1380032   0.83817412  0.79084004 -0.29395992 -0.1676219
 -0.08885454  0.46884865 -0.16030043  0.17131962  0.        ]",-0.472168,[-0.6328697  -2.16754591],-0.0384418561515,[-0.07287444 -0.56944299],[-0.45853403 -0.44232175],"[[ 0.7079806  -2.99032652 -0.03427476 -0.01981546]
 [ 0.96435482  1.11702079  0.          0.        ]]"
25,"[ 0.61088146 -1.14121522  0.83115527  0.83399031 -0.29395964 -0.16762174
 -0.40928653 -0.03048109 -0.17486723  0.18624237  0.        ]",-0.326751,[ 0.7577098   0.09238543],-0.0369603719482,[ 0.23973867 -0.06941782],[-0.45853403 -0.44232175],"[[ 0.7019338  -3.00793692 -0.03427476 -0.01981546]
 [-1.56058645 -2.04223546  0.          0.        ]]"
26,"[ 0.61167225 -1.14329594  0.83022216  0.86533339 -0.29395936 -0.16762159
 -0.02463359  0.31586376 -0.18543448  0.19834465  0.        ]",-0.377561,[-0.52127271 -1.0559097 ],-0.035928633992,[-0.2118493  -0.49828225],[-0.45853403 -0.44232175],"[[ 0.70113317 -3.02070234 -0.03427476 -0.01981546]
 [ 1.47039694  0.14908621  0.          0.        ]]"
27,"[ 0.60332123 -1.14241805  0.8399762   0.85176712 -0.29395907 -0.16762144
 -0.29024643  0.3407083  -0.17934183  0.19293469  0.        ]",-0.363947,[ 0.87550246 -1.19701068],-0.0365312204713,[ 0.09666643 -0.37148833],[-0.45853403 -0.44232175],"[[ 0.70954167 -3.01518038 -0.03427476 -0.01981546]
 [-0.62257625  0.30627926  0.          0.        ]]"
28,"[ 0.58062368 -1.14155401  0.86567648  0.83897635 -0.29395879 -0.16762129
  0.15122413  0.32475475 -0.17171668  0.18899915  0.        ]",-0.349759,[-0.40685067 -0.49630072],-0.0373142514081,[-0.40925646 -0.59703654],[-0.45853403 -0.44232175],"[[ 0.73199297 -3.00997055 -0.03427476 -0.01981546]
 [ 2.85611326  0.20534354  0.          0.        ]]"
29,"[ 0.53835009 -1.14093211  0.91061456  0.83008716 -0.29395851 -0.16762113
 -0.060379    0.31547546 -0.16245897  0.18764513  0.        ]",-0.338697,[ 0.06897742 -0.26975042],-0.0382915422402,[-0.15205759 -0.49665147],[-0.45853403 -0.44232175],"[[ 0.77238584 -3.00634791 -0.03427476 -0.01981546]
 [ 1.18872936  0.14663564  0.          0.        ]]"
30,"[ 0.50988232 -1.14049741  0.93892262  0.82402354 -0.29395823 -0.16762098
 -0.02870712  0.30759385 -0.15626086  0.18700835  0.        ]",-0.36423,[-0.58944164 -0.67502513],-0.0389480361115,[-0.18283984 -0.51183939],[-0.45853403 -0.44232175],"[[ 0.79866441 -3.00387592 -0.03427476 -0.01981546]
 [ 1.43829599  0.09677082  0.          0.        ]]"
31,"[ 0.50430978 -1.1403142   0.94429118  0.8215186  -0.29395795 -0.16762083
 -0.32849364  0.29572821 -0.154578    0.18647716  0.        ]",-0.37302,[-0.89055116 -0.7951441 ],-0.0391241281995,[ 0.18170717 -0.35160375],[-0.45853403 -0.44232175],"[[ 0.80372913 -3.00285476 -0.03427476 -0.01981546]
 [-0.92395049  0.02169916  0.          0.        ]]"
32,"[ 0.56194266 -1.14029895  0.88597719  0.82133903 -0.29395767 -0.16762068
 -0.77364131  0.29136112 -0.16312507  0.18370142  0.        ]",-0.383428,[ 1.04028872 -1.54114687],-0.0381965505257,[ 0.72946036 -0.02529852],[-0.45853403 -0.44232175],"[[ 0.75005663 -3.00278202 -0.03427476 -0.01981546]
 [-4.43161041 -0.00592947  0.          0.        ]]"
33,"[ 0.61078177 -1.14036169  0.83125545  0.82223566 -0.29395738 -0.16762053
 -0.26004338  0.28877175 -0.17119337  0.18207383  0.        ]",-0.317029,[ 0.10537276  0.31724756],-0.0373270422734,[ 0.07098919 -0.35098496],[-0.45853403 -0.44232175],"[[ 0.70202947 -3.00314823 -0.03427476 -0.01981546]
 [-0.3845917  -0.02231053  0.          0.        ]]"
34,"[ 0.61416616 -1.13810757  0.82725903  0.79244214 -0.2939571  -0.16762037
 -0.20612404  0.48738666 -0.16241525  0.17143597  0.        ]",-0.391141,[-1.26920737 -0.94592691],-0.0382162623014,[ 0.05877777 -0.51542467],[-0.45853403 -0.44232175],"[[ 0.69860049 -2.99098626 -0.03427476 -0.01981546]
 [ 0.04027709  1.23431899  0.          0.        ]]"
35,"[ 0.65161991 -1.14053     0.78110446  0.82463171 -0.29395682 -0.16762022
 -0.70870593  0.00771803 -0.17881419  0.18165672  0.        ]",-0.363297,[ 0.03616879 -1.14224294],-0.0365120285722,[ 0.68614507  0.19524238],[-0.45853403 -0.44232175],"[[ 0.65967158 -3.00412639 -0.03427476 -0.01981546]
 [-3.91994072 -1.80051722  0.          0.        ]]"
36,"[ 0.7195595  -1.14273617  0.68675521  0.85693548 -0.29395654 -0.16762007
 -0.68067378  0.29223117 -0.20067336  0.19404019  0.        ]",-0.326464,[ 1.12661327  0.12393488],-0.0342710296407,[ 0.61087328  0.01266019],[-0.45853403 -0.44232175],"[[  5.83489114e-01  -3.01728920e+00  -3.42747589e-02  -1.98154579e-02]
 [ -3.69906196e+00  -4.18560203e-04   0.00000000e+00   0.00000000e+00]]"
37,"[ 0.74712562 -1.14178717  0.64366348  0.84268143 -0.29395626 -0.16761992
 -0.16891154  0.37738679 -0.20156749  0.18754531  0.        ]",-0.320433,[-0.72691708  0.13566031],-0.0341248307008,[-0.02661773 -0.39941803],[-0.45853403 -0.44232175],"[[ 0.54996772 -3.01148467 -0.03427476 -0.01981546]
 [ 0.3334823   0.53835772  0.          0.        ]]"
38,"[ 0.76463178 -1.13894405  0.61453344  0.80333177 -0.29395597 -0.16761977
 -0.5349968   0.46058251 -0.19488193  0.17123035  0.        ]",-0.307978,[ 0.56310308  0.7536659 ],-0.0347488648053,[ 0.46222356 -0.20651802],[-0.45853403 -0.44232175],"[[ 0.5276947  -2.99543622 -0.03427476 -0.01981546]
 [-2.55117103  1.06473418  0.          0.        ]]"
39,"[ 0.78581433 -1.12773708  0.5771797   0.67888886 -0.29395569 -0.16761961
 -0.24563168  0.92893259 -0.16704837  0.11914567  0.        ]",-0.385576,[-0.08616319 -1.1506023 ],-0.0377987350067,[ 0.26383403 -0.72362196],[-0.45853403 -0.44232175],"[[ 0.49954843 -2.94441051 -0.03427476 -0.01981546]
 [-0.27105878  4.02795894  0.          0.        ]]"
40,"[ 0.79221262 -1.11664555  0.56539143  0.58212734 -0.29395541 -0.16761946
 -0.28826521  0.29049463 -0.14210118  0.07916712  0.        ]",-0.348384,[-0.16747829 -0.81153215],-0.0408361968554,[ 0.25413096 -0.25248894],[-0.45853403 -0.44232175],"[[ 0.4907566  -2.90437942 -0.03427476 -0.01981546]
 [-0.60700061 -0.01138692  0.          0.        ]]"
41,"[ 0.80545669 -1.12579128  0.540171    0.66053755 -0.29395513 -0.16761931
 -0.37090869 -0.21735628 -0.16801627  0.11040662  0.        ]",-0.304064,[ 0.37170932  0.84563672],-0.0377589191566,[ 0.32103726  0.10207587],[-0.45853403 -0.44232175],"[[ 0.47208284 -2.93684556 -0.03427476 -0.01981546]
 [-1.25820939 -3.22451901  0.          0.        ]]"
42,"[ 0.81245346 -1.13311969  0.52636466  0.73408391 -0.29395485 -0.16761916
 -0.18095877  0.32197034 -0.1891443   0.1413809   0.        ]",-0.318451,[ 0.14797162 -0.0322364 ],-0.0353421838079,[ 0.06049291 -0.30657542],[-0.45853403 -0.44232175],"[[ 0.46193595 -2.96709948 -0.03427476 -0.01981546]
 [ 0.23853656  0.18775517  0.          0.        ]]"
43,"[ 0.80513755 -1.13256965  0.54078659  0.72814219 -0.29395456 -0.16761901
 -0.10720788  0.30121184 -0.18555596  0.13898102  0.        ]",-0.389049,[ 0.26038405 -1.86746737],-0.0357316940525,[-0.02600938 -0.3440991 ],[-0.45853403 -0.44232175],"[[ 0.47253738 -2.9646621  -0.03427476 -0.01981546]
 [ 0.81966974  0.05641986  0.          0.        ]]"
44,"[ 0.78613013 -1.1403585   0.5765901   0.82252854 -0.29395428 -0.16761885
  0.02155144 -0.1707342  -0.20458979  0.1793274   0.        ]",-0.321323,[-0.14326659 -0.43740482],-0.0337503014244,[-0.27389437 -0.23437914],[-0.45853403 -0.44232175],"[[ 0.49910998 -3.00327231 -0.03427476 -0.01981546]
 [ 1.83425213 -2.92953753  0.          0.        ]]"
