timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.94095123  1.24130012  0.22113608 -0.58368914  0.34625657 -0.97141805
  0.68428497 -0.30621502  0.86769921  1.33512564  0.        ]",-1.35159,[-3.39838811 -0.61496871],-0.208977819092,[-2.70074201 -1.02695465],[-0.35503381 -0.34292427],"[[ 0.08953948 -0.09519282  0.03918474 -0.11263925]
 [ 0.00437511 -0.00091186  0.          0.        ]]"
1,"[ 0.94504047  1.23836916  0.15958239 -0.64317856  0.34625636 -0.97141702
  0.48665384 -0.70770754  0.86779351  1.21743761  0.        ]",-1.30636,[-1.60067558 -0.62977664],-0.202828228409,[-2.0131402  -0.67235368],[-0.35503381 -0.34292427],"[[ 0.04994498 -0.11962685  0.03918474 -0.11263925]
 [-3.95066245 -2.43438426  0.          0.        ]]"
2,"[ 0.94346539  1.22563163 -0.02406646 -0.82023451  0.34625614 -0.97141599
  0.29292948 -1.11092662  0.83654025  0.86927117  0.        ]",-1.03527,[ 0.69066197  0.91237883],-0.183979669954,[-0.65838987  0.15634882],[-0.35503381 -0.34292427],"[[-0.06796572 -0.1928354   0.03918474 -0.11263925]
 [-7.82751825 -4.87832542  0.          0.        ]]"
3,"[ 0.91862792  1.21070251 -0.22107053 -0.96436916  0.34625593 -0.97141496
  0.43711936 -0.499125    0.75881379  0.52625583  0.        ]",-0.530001,[ 0.08261686 -0.58930317],-0.16443065011,[-0.75266582 -0.20825529],[-0.35503381 -0.34292427],"[[-0.19556455 -0.25319671  0.03918474 -0.11263925]
 [-4.94195088 -1.1701638   0.          0.        ]]"
4,"[ 0.88492545  1.19648122 -0.36407962 -1.07410424  0.34625572 -0.97141394
  0.45837715 -0.88030643  0.67123729  0.2836347   0.        ]",-0.467851,[ 0.51283167  1.10288291],-0.149796278993,[-0.09912197  0.41803494],[-0.35503381 -0.34292427],"[[-0.29013508 -0.29978066  0.03918474 -0.11263925]
 [-4.51652924 -3.48052989  0.          0.        ]]"
5,"[ 0.85225407  1.18638254 -0.46611661 -1.1421015   0.34625551 -0.97141291
  0.56413936 -0.21578247  0.59524052  0.12046885  0.        ]",-0.10389,[-0.75096165 -0.76861026],-0.139599994097,[-0.34540966 -0.11618012],[-0.35503381 -0.34292427],"[[-0.35922993 -0.32897989  0.03918474 -0.11263925]
 [-2.39998467  0.54718396  0.          0.        ]]"
6,"[ 0.80785015  1.17906266 -0.57717578 -1.18757413  0.3462553  -0.97141188
  0.41811917 -0.71950517  0.50603046 -0.04049784  0.        ]",-0.238578,[-0.00530993  0.94981843],-0.129447233921,[ 0.69697052  0.68765885],[-0.35503381 -0.34292427],"[[-0.43654859 -0.34866889  0.03918474 -0.11263925]
 [-5.32216606 -2.50590773  0.          0.        ]]"
7,"[ 0.73428651  1.17444572 -0.72238642 -1.21486889  0.34625509 -0.97141085
  0.42225792 -0.09081637  0.37763168 -0.23237743  0.        ]",-0.257607,[ 1.48877511  0.08248371],-0.117377934977,[ 0.90072751  0.2888512 ],[-0.35503381 -0.34292427],"[[-0.54216101 -0.36055492  0.03918474 -0.11263925]
 [-5.23933508  1.3046048   0.          0.        ]]"
8,"[ 0.68271472  1.18547856 -0.8061932  -1.14784259  0.34625488 -0.97140982
  0.62510937 -0.04144068  0.32019199 -0.31497965  0.        ]",-0.155308,[ 0.35132606  0.46444031],-0.113008122388,[ 0.43512613  0.15150751],[-0.35503381 -0.34292427],"[[-0.60621737 -0.33146014  0.03918474 -0.11263925]
 [-1.17982355  1.60387291  0.          0.        ]]"
9,"[ 0.67469945  1.20240772 -0.81822373 -1.03063251  0.34625467 -0.9714088
  0.69568986  0.25664424  0.34673197 -0.29401525  0.        ]",0.00339061,[-0.64824272 -0.26351494],-0.115359272554,[ 0.02088416 -0.27007371],[-0.35503381 -0.34292427],"[[-0.61564197 -0.28125542  0.03918474 -0.11263925]
 [ 0.23265739  3.41057879  0.          0.        ]]"
