timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.93067045  1.17032519  0.11408365 -0.50434642 -0.47157684 -0.84519297
  0.65936854 -0.29381404  1.71544282  1.10520745  0.        ]",-1.51923,[-2.88696415 -1.46680583],-0.281273293277,[-2.90383387 -0.51009393],[-0.41143966 -0.35955983],"[[ 0.02591558 -0.07719287 -0.05501138 -0.09779924]
 [ 0.00441013  0.00403355  0.          0.        ]]"
1,"[ 0.93103566  1.1660544   0.052441   -0.59963421 -0.47157656 -0.84519229
  0.4641733  -0.96226236  1.70850091  0.96349289  0.        ]",-1.52871,[-2.62087292  0.99362792],-0.276542463615,[-2.07656717  0.01477805],[-0.41143966 -0.35955983],"[[-0.01367227 -0.11682542 -0.05501138 -0.09779924]
 [-3.95003888 -3.95410118  0.          0.        ]]"
2,"[ 0.91811583  1.1601914  -0.13060367 -0.69250874 -0.47157629 -0.8451916
  0.27268619 -0.28435173  1.668399    0.64249563  0.        ]",-1.11046,[-2.17274441 -0.40068792],-0.265098616908,[-1.24861944  0.03562954],[-0.41143966 -0.35955983],"[[-0.13159558 -0.15563207 -0.05501138 -0.09779924]
 [-7.82936617  0.06005724  0.          0.        ]]"
3,"[ 0.85146618  1.15753441 -0.42544759 -0.72758285 -0.47157602 -0.84519092
  0.08509304 -0.55223169  1.54887139  0.1915942   0.        ]",-1.18889,[ 1.02947942 -0.3091717 ],-0.246806237285,[ 0.46892554  0.69275105],[-0.41143966 -0.35955983],"[[ -0.32631377  -0.17034601  -0.05501138  -0.09779924]
 [-11.62980628  -1.52616028   0.           0.        ]]"
4,"[ 0.73382917  1.14852763 -0.69584665 -0.82841057 -0.47157575 -0.84519023
  0.29173561 -0.75412897  1.3449168  -0.23809669  0.        ]",-1.22725,[ 1.63918365  1.43141775],-0.225317487965,[ 0.87037939  1.02999043],[-0.41143966 -0.35955983],"[[-0.51690685 -0.21286415 -0.05501138 -0.09779924]
 [-7.44344301 -2.72167108  0.          0.        ]]"
5,"[ 0.64596449  1.14508502 -0.83692941 -0.86184134 -0.47157548 -0.84518955
  0.49419445 -0.07659378  1.20591586 -0.44553069  0.        ]",-0.909305,[-0.16493605  0.88305934],-0.213062660399,[ 0.31737438  0.38550621],[-0.41143966 -0.35955983],"[[-0.62462323 -0.22704454 -0.05501138 -0.09779924]
 [-3.34183671  1.29026097  0.          0.        ]]"
6,"[ 0.57853326  1.15826408 -0.92631729 -0.71820961 -0.4715752  -0.84518886
  0.46518516  0.50962973  1.15638417 -0.51967622  0.        ]",-0.769466,[-0.08972341 -0.98341421],-0.209194595137,[ 0.3408466   0.09356257],[-0.41143966 -0.35955983],"[[-0.69735649 -0.1664112  -0.05501138 -0.09779924]
 [-3.92952846  4.7615038   0.          0.        ]]"
7,"[ 0.49587104  1.16675924 -1.02001597 -0.58611637 -0.47157493 -0.84518818
  0.45157772 -0.16387549  1.08681116 -0.607807    0.        ]",-0.957717,[ 0.79917001  1.27141574],-0.203836406094,[ 0.93413389  0.54420054],[-0.41143966 -0.35955983],"[[-0.77871285 -0.11119469 -0.05501138 -0.09779924]
 [-4.20519527  0.77343718  0.          0.        ]]"
8,"[ 0.43975878  1.17187334 -1.07569439 -0.45365507 -0.47157466 -0.8451875
  0.61165889  0.50202289  1.05579225 -0.64527829  0.        ]",-0.769366,[ 0.30275507 -0.18758339],-0.20154523339,[ 0.18125689 -0.01944482],[-0.41143966 -0.35955983],"[[-0.83027801 -0.05616433 -0.05501138 -0.09779924]
 [-0.96211679  4.71646043  0.          0.        ]]"
9,"[ 0.43189354  1.17313301 -1.08305244 -0.2461334  -0.47157439 -0.84518681
  0.67173155  0.3607373   1.10999796 -0.58607142  0.        ]",-0.770997,[ 0.07556515 -1.01159439],-0.205756818905,[-0.09148163 -0.05030653],[-0.41143966 -0.35955983],"[[-0.83730967  0.02977098 -0.05501138 -0.09779924]
 [ 0.25489903  3.87985956  0.          0.        ]]"
