timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.89268729  0.98794669  0.01288702 -0.40387577 -1.71155214 -1.48443175
  0.55280511 -0.25705185  3.32000021  2.23522811  0.        ]",-3.97837,[-5.63892027 -1.66480485],-0.438687789947,[-5.75691032 -0.96674067],[-0.54877692 -0.58774859],"[[-0.01763698 -0.04774884 -0.19762361 -0.17172138]
 [-0.00397159  0.00063002  0.          0.        ]]"
1,"[ 0.89025545  0.98484814 -0.04850877 -0.49006361 -1.71155035 -1.48443048
  0.36270433 -0.99213781  3.30899782  2.06187967  0.        ]",-3.95833,[-4.84335676 -1.18880996],-0.433151510537,[-5.18515205 -0.69103187],[-0.54877692 -0.58774859],"[[-0.05739074 -0.08744877 -0.19762361 -0.17172138]
 [-3.95824714 -3.95743615  0.          0.        ]]"
2,"[ 0.86790416  0.96494706 -0.22963392 -0.74410725 -1.71154856 -1.48442921
  0.17635798 -1.71267212  3.22536122  1.55864076  0.        ]",-3.57617,[-3.98455734 -0.55269735],-0.414027905152,[-4.23822784 -0.42295182],[-0.54877692 -0.58774859],"[[-0.17544619 -0.20552399 -0.19762361 -0.17172138]
 [-7.8344276  -7.83715591  0.          0.        ]]"
3,"[ 0.78241729  0.90570382 -0.51914764 -1.11252483 -1.71154677 -1.48442794
 -0.00635212 -2.08999925  2.94583724  0.83209024  0.        ]",-3.24493,[-1.64830568  0.48372967],-0.37598649085,[-2.41284752  0.27939141],[-0.54877692 -0.58774859],"[[ -0.3702659   -0.3826523   -0.19762361  -0.17172138]
 [-11.63497054  -9.86888737   0.           0.        ]]"
4,"[ 0.56982974  0.81350091 -0.88332371 -1.45377247 -1.71154497 -1.48442668
 -0.18554169 -1.6976716   2.39520794  0.13575269  0.        ]",-2.97674,[-0.48853827  1.48413577],-0.317896238428,[-0.18659006  0.76840985],[-0.54877692 -0.58774859],"[[ -0.64036215  -0.55883525  -0.19762361  -0.17172138]
 [-15.36228316  -7.75640938   0.           0.        ]]"
5,"[ 0.19209116  0.73757003 -1.22949971 -1.65590352 -1.71154318 -1.48442541
 -0.26394396 -0.93355606  1.66932977 -0.27058629  0.        ]",-2.50841,[ 0.62139373  0.99918181],-0.248232278504,[ 0.5556041   0.72063369],[-0.54877692 -0.58774859],"[[ -0.96397114  -0.67268288  -0.19762361  -0.17172138]
 [-16.99312522  -3.64203117   0.           0.        ]]"
6,"[-0.26379812  0.71375704 -1.43868487 -1.71036672 -1.71154139 -1.48442414
 -0.12966918 -0.18544848  1.00296552 -0.33427833  0.        ]",-1.89748,[ 1.67743853  0.8652583 ],-0.184512077528,[ 0.46888044  0.55844957],[-0.54877692 -0.58774859],"[[ -1.27581104  -0.70510709  -0.19762361  -0.17172138]
 [-14.20008559   0.38615421   0.           0.        ]]"
7,"[-0.65074844  0.74442952 -1.50323299 -1.63952027 -1.7115396  -1.48442287
  0.07398181  0.44922405  0.56082133 -0.24502345  0.        ]",-1.2555,[ 0.63861183 -0.33699375],-0.141178366317,[ 0.16192667  0.23227936],[-0.54877692 -0.58774859],"[[-1.51731055 -0.66309566 -0.19762361 -0.17172138]
 [-9.96395639  3.80354869  0.          0.        ]]"
8,"[-0.93067816  0.78669312 -1.49461002 -1.53082915 -1.7115378  -1.48442161
  0.20494609  0.1872848   0.28547985 -0.13521693  0.        ]",-1.11272,[ 1.34603567  0.2880581 ],-0.113768831156,[ 0.51895738  0.41484433],[-0.54877692 -0.58774859],"[[-1.68925695 -0.60117557 -0.19762361 -0.17172138]
 [-7.23977777  2.39313763  0.          0.        ]]"
9,"[-1.09722799  0.8234594  -1.4674664  -1.42320849 -1.71153601 -1.48442034
  0.40200582  0.39005786  0.14256064 -0.06548238  0.        ]",-0.968413,[-0.5391056  -0.47395642],-0.0995875435418,[ 0.05160222  0.06750154],[-0.54877692 -0.58774859],"[[-1.79292559 -0.54235794 -0.19762361 -0.17172138]
 [-3.1407529   3.4849691   0.          0.        ]]"
10,"[ -1.22878253e+00   8.52128596e-01  -1.43377482e+00  -1.32829597e+00
  -1.71153422e+00  -1.48441907e+00   3.02495588e-01   2.88569734e-02
   3.24632083e-02  -2.50299014e-04   0.00000000e+00]",-1.06786,[ 0.69930273  0.70052126],-0.0887827286092,[ 0.87097824  0.50820673],[-0.54877692 -0.58774859],"[[-1.87650863 -0.49217227 -0.19762361 -0.17172138]
 [-5.21065431  1.54008464  0.          0.        ]]"
11,"[-1.34459019  0.88221707 -1.39452638 -1.21477186 -1.71153242 -1.4844178
  0.44040182  0.53814667 -0.05430805  0.05319554  0.        ]",-1.0012,[-0.20463904 -0.48962333],-0.080446799756,[ 0.21786456 -0.08411479],[-0.54877692 -0.58774859],"[[-1.95194034 -0.43385643 -0.19762361 -0.17172138]
 [-2.34207712  4.28235292  0.          0.        ]]"
12,"[-1.42613955  0.91169468 -1.36108234 -1.08388274 -1.71153063 -1.48441654
  0.40374619  0.16240227 -0.09736458  0.07094337  0.        ]",-1.08794,[ 0.6832313   0.33900614],-0.0763479103309,[ 0.69125634  0.21054012],[-0.54877692 -0.58774859],"[[-2.00643197 -0.36850874 -0.19762361 -0.17172138]
 [-3.10454465  2.25916009  0.          0.        ]]"
13,"[-1.47652681  0.93407507 -1.3378477  -0.96449195 -1.71152884 -1.48441527
  0.53661386  0.40319848 -0.11028721  0.06601175  0.        ]",-1.0567,[-0.31084504 -0.04437735],-0.0750761292759,[ 0.17964846 -0.11371893],[-0.54877692 -0.58774859],"[[-2.04079305 -0.31031666 -0.19762361 -0.17172138]
 [-0.3407744   3.55572592  0.          0.        ]]"
14,"[-1.50413937  0.95568383 -1.32423776 -0.82078481 -1.71152705 -1.484414
  0.47782497  0.35757722 -0.08677686  0.02683977  0.        ]",-1.09728,[ 1.69129314  0.796901  ],-0.0772412034634,[ 0.34987605 -0.05709165],[-0.54877692 -0.58774859],"[[-2.05987788 -0.24166679 -0.19762361 -0.17172138]
 [-1.56363248  3.31007931  0.          0.        ]]"
15,"[-1.49156019  0.97721994 -1.33051427 -0.61330597 -1.71152525 -1.48441273
  0.66943351  0.93113888  0.01472333 -0.07868304  0.        ]",-0.990375,[-0.2777     -0.46065171],-0.0872810891353,[-0.65601587 -0.57988638],[-0.54877692 -0.58774859],"[[-2.05116138 -0.14447891 -0.19762361 -0.17172138]
 [ 2.42200052  6.39841827  0.          0.        ]]"
16,"[-1.43762389  0.9885052  -1.35595854 -0.37849032 -1.71152346 -1.48441147
  0.61435286  0.5689462   0.18924638 -0.21603983  0.        ]",-1.11065,[ 0.39407731 -1.26901487],-0.105230376264,[-0.58581203 -0.39064521],[-0.54877692 -0.58774859],"[[-2.01421678 -0.03607774 -0.19762361 -0.17172138]
 [ 1.27627893  4.4481969   0.          0.        ]]"
17,"[-1.37675882  0.98916955 -1.38192107 -0.27330133 -1.71152167 -1.4844102
  0.68815934 -0.182889    0.31961664 -0.29568278  0.        ]",-1.24118,[-0.5856192   1.01032491],-0.118670102042,[-0.56497365 -0.04712927],[-0.54877692 -0.58774859],"[[-1.97328759  0.01226878 -0.19762361 -0.17172138]
 [ 2.81152439  0.39994904  0.          0.        ]]"
18,"[-1.32779267  0.98718213 -1.40079355 -0.16967328 -1.71151988 -1.48440893
  0.57404001  0.55118066  0.43594241 -0.35378178  0.        ]",-1.22036,[-1.9181585  -0.77392912],-0.130551048746,[-0.87179327 -0.45100248],[-0.54877692 -0.58774859],"[[-1.94087398  0.05992542 -0.19762361 -0.17172138]
 [ 0.43774645  4.35253833  0.          0.        ]]"
19,"[-1.37465029  0.98157355 -1.38276714 -0.04947636 -1.71151808 -1.48440766
  0.38350335 -0.0336625   0.43286328 -0.34863848  0.        ]",-1.36421,[ 1.0589499   0.04512948],-0.130183592631,[-0.04564     0.02461737],[-0.54877692 -0.58774859],"[[-1.9718842   0.11538051 -0.19762361 -0.17172138]
 [-3.52558011  1.20345872  0.          0.        ]]"
20,"[-1.41957976  0.97779111 -1.36394695  0.00578898 -1.71151629 -1.4844064
  0.57703188 -0.00518956  0.39943824 -0.3299914   0.        ]",-1.29263,[-0.64950061  0.36424564],-0.126740247192,[-0.52082396 -0.15253991],[-0.54877692 -0.58774859],"[[-2.00200613  0.14098784 -0.19762361 -0.17172138]
 [ 0.49998574  1.35677079  0.          0.        ]]"
21,"[-1.44302523  0.97010217 -1.35350795  0.0945837  -1.7115145  -1.48440513
  0.45300836  0.2578614   0.41244857 -0.33127572  0.        ]",-1.29834,[-0.94597269 -1.33481107],-0.127995493407,[-0.37969992 -0.24110264],[-0.54877692 -0.58774859],"[[-2.01789025  0.18233445 -0.19762361 -0.17172138]
 [-2.0798077   2.77316451  0.          0.        ]]"
22,"[-1.55647594  0.96678648 -1.29664673  0.12706261 -1.71151271 -1.48440386
  0.27515463 -0.48744423  0.27176048 -0.25295102  0.        ]",-1.30071,[ 0.76211519  0.31487475],-0.113555513929,[ 0.83154821  0.45526922],[-0.54877692 -0.58774859],"[[-2.09660463  0.19753323 -0.19762361 -0.17172138]
 [-5.77931675 -1.23992063  0.          0.        ]]"
23,"[-1.67219772  0.96943697 -1.22667329  0.10130922 -1.71151091 -1.48440259
  0.42556601 -0.25156153  0.09689672 -0.13761501  0.        ]",-1.18284,[ 0.74984743  0.04144803],-0.0956017926084,[ 0.52941924  0.19827124],[-0.54877692 -0.58774859],"[[-2.1807999   0.18547813 -0.19762361 -0.17172138]
 [-2.65062862  0.03018477  0.          0.        ]]"
24,"[-1.7023296   0.96895794 -1.20622583  0.10608331 -1.71150912 -1.48440133
  0.57068934 -0.22140843  0.05674018 -0.10649498  0.        ]",-1.15293,[-0.29583502 -0.05058465],-0.0915030090976,[ 0.14660351  0.05060476],[-0.54877692 -0.58774859],"[[-2.20352504  0.18771077 -0.19762361 -0.17172138]
 [ 0.36806429  0.19254316  0.          0.        ]]"
25,"[-1.70817451  0.96856587 -1.20214285  0.10994693 -1.71150733 -1.48440006
  0.51408098 -0.25923083  0.05036643 -0.10118373  0.        ]",-1.18114,[ 0.88352529 -0.89468694],-0.0908536504969,[ 0.34643671  0.12770939],[-0.54877692 -0.58774859],"[[-2.20797794  0.18951832 -0.19762361 -0.17172138]
 [-0.80943396 -0.01111114  0.          0.        ]]"
26,"[-1.68302192  0.97562468 -1.21943551  0.03323929 -1.71150554 -1.48439879
  0.68294466 -0.91736734  0.04921466 -0.1053931   0.        ]",-1.2089,[ 0.57646815  0.39098569],-0.0907694427408,[ 0.30678159  0.5554325 ],[-0.54877692 -0.58774859],"[[-2.18892448  0.15374074 -0.19762361 -0.17172138]
 [ 2.7030785  -3.55483395  0.          0.        ]]"
27,"[-1.57882025  0.98360855 -1.28412327 -0.08518918 -1.71150374 -1.48439752
  0.78997601 -0.61693808  0.13710153 -0.17692817  0.        ]",-1.17249,[-1.06898058  0.70150146],-0.0998186163334,[-0.37926227  0.17419109],[-0.54877692 -0.58774859],"[[-2.11252529  0.09887448 -0.19762361 -0.17172138]
 [ 4.9294277  -1.93718101  0.          0.        ]]"
28,"[-1.49653546  0.9847395  -1.32802598 -0.10788157 -1.71150195 -1.48439626
  0.59505687 -0.09366074  0.23838709 -0.24494589  0.        ]",-1.20561,[-0.10438497  0.3604378 ],-0.110269148786,[-0.25448677 -0.04711801],[-0.54877692 -0.58774859],"[[-2.05461655  0.08840054 -0.19762361 -0.17172138]
 [ 0.87495079  0.88039268  0.          0.        ]]"
