timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[ 0.55691224 -1.7141552 ],[ 2.0308422  -2.07037986],-0.408287002539,-0.408287002539,"[ 1.07689795  1.94058812 -0.0281485   0.46782264 -1.53908426  0.95498038
 -0.12429275  0.32973412  2.48358381 -0.89048155  0.        ]","[[ -2.11672726e-05  -7.19405332e-02  -1.79586965e-01   1.15141834e-01]
 [  2.70983076e-03   2.42097202e-03   0.00000000e+00   0.00000000e+00]]",[-0.08858253 -0.21434079]
1,[ 0.40591118 -1.75273776],[-0.93683229 -3.04235824],-0.407030125714,-0.407030125714,"[ 1.07580116  1.93579303  0.03261559  0.3584047  -1.53907357  0.95497661
  0.23879318 -0.20925291  2.48299438 -0.85883563  0.        ]","[[ 0.03973847 -0.11163585 -0.17958697  0.11514183]
 [ 3.96007441 -3.95874379  0.          0.        ]]",[-0.08858253 -0.21434079]
2,[ 0.50109583 -1.6617105 ],[ 0.91056818 -2.79385189],-0.407177982291,-0.407177982291,"[ 1.07235487  1.90945519  0.09555023  0.03640641 -1.53906287  0.95497284
 -0.10828363 -0.73716163  2.47464282 -0.89283303  0.        ]","[[ 0.08098558 -0.22973747 -0.17958697  0.11514183]
 [ 0.17720764 -7.83849728  0.          0.        ]]",[-0.08858253 -0.21434079]
3,[ 0.38852644 -1.67358756],[ 1.62156555 -1.12893417],-0.407210781486,-0.407210781486,"[ 1.06682861  1.82731222  0.15587276 -0.47383461 -1.53905217  0.95496908
  0.22201838 -1.25499682  2.44477692 -0.99370984  0.        ]","[[  0.12064992  -0.42469191  -0.17958697   0.11514183]
 [  3.77723777 -11.64424598   0.           0.        ]]",[-0.08858253 -0.21434079]
4,[ 0.21640265 -1.67130947],[ 0.97775884 -1.73455482],-0.400896186435,-0.400896186435,"[ 1.03881227  1.63942527  0.32805233 -1.10596279 -1.53904148  0.95496531
  0.57825383 -1.76256406  2.38545576 -1.03047554  0.        ]","[[  0.23515054  -0.69500515  -0.17958697   0.11514183]
 [  7.65992593 -15.37459813   0.           0.        ]]",[-0.08858253 -0.21434079]
5,[ 0.02276143 -1.62036204],[-0.79820169 -1.88618259],-0.385816171888,-0.385816171888,"[ 0.95344992  1.29662968  0.60310571 -1.71939685 -1.53903078  0.95496154
  0.91939638 -2.26000601  2.28101673 -1.0028065   0.        ]","[[  0.42565415  -1.03918043  -0.17958697   0.11514183]
 [ 11.37812971 -19.03065236   0.           0.        ]]",[-0.08858253 -0.21434079]
6,[ 0.02134278 -1.40540707],[ 0.56100094 -3.02344174],-0.36234456688,-0.36234456688,"[ 0.8200073   0.7818843   0.85920732 -2.08311756 -1.53902008  0.95495778
  0.60901066 -2.74729623  2.0985278  -1.01519551  0.        ]","[[  0.6192779   -1.45572821  -0.17958697   0.11514183]
 [  7.99520734 -22.6122757    0.           0.        ]]",[-0.08858253 -0.21434079]
7,[-0.04597802 -1.19944417],[-0.10795671 -1.05484331],-0.327941275708,-0.327941275708,"[ 0.6574806   0.15350114  1.0683575  -1.91164775 -1.53900939  0.95495401
  0.79819416 -3.22506036  1.81741246 -1.05314845  0.        ]","[[  0.79987029  -1.94320998  -0.17958697   0.11514183]
 [ 10.05717377 -26.12413739   0.           0.        ]]",[-0.08858253 -0.21434079]
8,[ 0.02088938 -0.93045616],[-0.32350665 -0.05073888],-0.279446602001,-0.279446602001,"[ 0.44714123 -0.42071266  1.25384777 -0.98937635 -1.53899869  0.95495024
  0.74065916 -3.69327822  1.43919491 -1.03349398  0.        ]","[[  0.99472341  -2.50022735  -0.17958697   0.11514183]
 [  9.43011819 -29.56616832   0.           0.        ]]",[-0.08858253 -0.21434079]
9,[ 0.13218272 -0.75085825],[ 0.80501934  0.34437108],-0.220987805791,-0.220987805791,"[ 0.23510641 -0.67967395  1.37857178  0.51768827 -1.538988    0.95494648
  0.60599092 -2.93355331  1.0157045  -0.91798117  0.        ]","[[  1.16859597  -3.08769228  -0.17958697   0.11514183]
 [  7.96237156 -23.98278054   0.           0.        ]]",[-0.08858253 -0.21434079]
10,[ 0.03368001 -0.95728445],[ 1.0719771   0.61170725],-0.20572458596,-0.20572458596,"[-0.01456479 -0.67524656  1.46615101  0.93838174 -1.5389773   0.95494271
  0.88406728  0.54652333  0.9074966  -0.87992428  0.        ]","[[  1.35825584  -3.23984969  -0.17958697   0.11514183]
 [ 10.99319044   1.59544789   0.           0.        ]]",[-0.08858253 -0.21434079]
11,[-0.08526797 -1.03171778],[ 0.54415624 -0.02988443],-0.217611769162,-0.217611769162,"[-0.36838656 -0.68134827  1.499001    0.71841848 -1.53896661  0.95493894
  1.22738045  1.06094634  0.99310785 -0.90754521  0.        ]","[[  1.61566352  -3.1602337   -0.17958697   0.11514183]
 [ 14.7350643    5.37643467   0.           0.        ]]",[-0.08858253 -0.21434079]
12,[-0.16393483 -1.04889965],[-0.15899118 -1.95879177],-0.226715094293,-0.226715094293,"[-0.79136183 -0.67665105  1.40347271  0.42729579 -1.53895591  0.95493518
  1.39827922  1.03037701  1.09096674 -0.87239302  0.        ]","[[  1.92905441  -3.05495918  -0.17958697   0.11514183]
 [ 16.59780191   5.15178556   0.           0.        ]]",[-0.08858253 -0.21434079]
13,[-0.15489116 -0.97074944],[-0.67258401  0.19254018],-0.227157423343,-0.227157423343,"[-1.17674369 -0.66704284  1.15992695  0.25609648 -1.53894522  0.95493141
  1.31034704  0.47778479  1.13282789 -0.8001499   0.        ]","[[  2.25139535  -2.99267377  -0.17958697   0.11514183]
 [ 15.63949746   1.09030084   0.           0.        ]]",[-0.08858253 -0.21434079]
14,[-0.07817497 -0.90443683],[ 0.06457443 -1.0481535 ],-0.223130182628,-0.223130182628,"[-1.4422747  -0.66079189  0.84409793  0.1762387  -1.53893453  0.95492764
  1.0376098   0.5785749   1.13065945 -0.7377353   0.        ]","[[  2.53436071  -2.96343495  -0.17958697   0.11514183]
 [ 12.66694206   1.83110794   0.           0.        ]]",[-0.08858253 -0.21434079]
15,[-0.0420584  -0.82672751],[-0.31229382 -0.48514594],-0.218318036876,-0.218318036876,"[-1.60384593 -0.66158899  0.50153486  0.18568993 -1.53892383  0.95492388
  1.03804059  0.03493092  1.10618149 -0.70788683  0.        ]","[[  2.78774701  -2.96690308  -0.17958697   0.11514183]
 [ 12.67168579  -2.16460474   0.           0.        ]]",[-0.08858253 -0.21434079]
16,[ 0.04214008 -0.77580607],[-0.56021361  0.95559398],-0.2155476995,-0.2155476995,"[-1.68033733 -0.67142823  0.14775157  0.32344291 -1.53891314  0.95492011
  0.90158272  0.16115018  1.07941957 -0.71798566  0.        ]","[[  3.02625811  -3.01723183  -0.17958697   0.11514183]
 [ 11.18444732  -1.23690884   0.           0.        ]]",[-0.08858253 -0.21434079]
17,[ 0.09663823 -0.76579797],[ 0.52505359 -0.77329901],-0.211962590188,-0.211962590188,"[-1.68465037 -0.6691146  -0.15624546  0.28647213 -1.53890244  0.95491634
  0.67777391  0.6792808   1.05838896 -0.70185261  0.        ]","[[ 3.22547281 -3.00376113 -0.17958697  0.11514183]
 [ 8.74514421  2.57128399  0.          0.        ]]",[-0.08858253 -0.21434079]
18,[ 0.05810944 -0.75891042],[ 0.60583586 -1.28796686],-0.206831026139,-0.206831026139,"[-1.63643177 -0.66520523 -0.44754836  0.23117849 -1.53889175  0.95491258
  0.85260748  0.25577312  1.02939744 -0.6763635   0.        ]","[[  3.41949481  -2.98356631  -0.17958697   0.11514183]
 [ 10.65071221  -0.54142264   0.           0.        ]]",[-0.08858253 -0.21434079]
19,[ 0.0398175  -0.77823055],[-1.71146857 -1.1786439 ],-0.204916120459,-0.204916120459,"[-1.51153001 -0.67181203 -0.77826201  0.3300818  -1.53888106  0.95490881
  1.05333793  0.18958467  1.00799799 -0.68921943  0.        ]","[[  3.65445942  -3.01964894  -0.17958697   0.11514183]
 [ 12.83854939  -1.02789276   0.           0.        ]]",[-0.08858253 -0.21434079]
20,[ 0.08974999 -0.74731404],[-0.66614069 -0.39772176],-0.203738494112,-0.203738494112,"[-1.33943659 -0.67234291 -1.04459626  0.33938069 -1.53887037  0.95490504
  0.66675545  0.36823804  0.99233591 -0.70186744  0.        ]","[[ 3.86895628 -3.02303275 -0.17958697  0.11514183]
 [ 8.62515734  0.28518083  0.          0.        ]]",[-0.08858253 -0.21434079]
21,[ 0.11369701 -0.72890925],[ 1.90521662 -1.16001849],-0.201067277734,-0.201067277734,"[-1.1964123  -0.67109404 -1.19824861  0.31801464 -1.53885967  0.95490128
  0.40910136  0.3829507   0.97105586 -0.70118113  0.        ]","[[ 4.01328396 -3.01525661 -0.17958697  0.11514183]
 [ 5.81696526  0.39332251  0.          0.        ]]",[-0.08858253 -0.21434079]
22,[ 0.0705136  -0.78351808],[ 0.48780641 -0.73691217],-0.198786124582,-0.198786124582,"[-1.02239911 -0.670099   -1.33601523  0.30190516 -1.53884898  0.95489751
  0.76180001  0.35758197  0.94986604 -0.70634901  0.        ]","[[ 4.16819262 -3.00938858 -0.17958697  0.11514183]
 [ 9.6610907   0.20687405  0.          0.        ]]",[-0.08858253 -0.21434079]
23,[ 0.04728454 -0.82824165],[ 0.48247822 -1.39144897],-0.196852995932,-0.196852995932,"[-0.75908646 -0.66953226 -1.47260028  0.2930582  -1.53883829  0.95489375
  0.92145256  0.3455362   0.92614737 -0.72131571  0.        ]","[[  4.37887349  -3.00616417  -0.17958697   0.11514183]
 [ 11.40119682   0.11834638   0.           0.        ]]",[-0.08858253 -0.21434079]
24,[ 0.02794881 -0.87987   ],[-0.87598418 -0.44530157],-0.195872319793,-0.195872319793,"[-0.42864994 -0.66927341 -1.55082967  0.28910394 -1.5388276   0.95488998
  1.07600781  0.33485543  0.90450095 -0.74592117  0.        ]","[[  4.62379919  -3.00472266  -0.17958697   0.11514183]
 [ 13.0857603    0.03985097   0.           0.        ]]",[-0.08858253 -0.21434079]
25,[ 0.07811953 -0.86947775],[ 0.0059351  -0.78298162],-0.196032773398,-0.196032773398,"[-0.11911005 -0.66907862 -1.54275447  0.28616324 -1.53881691  0.95488621
  0.73402041  0.33677453  0.89012925 -0.77324606  0.        ]","[[ 4.84811692 -3.00365051 -0.17958697  0.11514183]
 [ 9.35843353  0.05396158  0.          0.        ]]",[-0.08858253 -0.21434079]
26,[ 0.09196501 -0.89453822],[-0.20733538 -0.93173771],-0.196924528807,-0.196924528807,"[ 0.130507   -0.66898019 -1.47858732  0.2847007  -1.53880621  0.95488245
  0.71917588  0.33073731  0.88280803 -0.79814791  0.        ]","[[ 5.03366252 -3.00311734 -0.17958697  0.11514183]
 [ 9.19666636  0.00959519  0.          0.        ]]",[-0.08858253 -0.21434079]
27,[ 0.12439018 -0.90664566],[ 1.88612257 -1.36325559],-0.198352669705,-0.198352669705,"[ 0.35096527 -0.66899471 -1.37320163  0.28495    -1.53879552  0.95487868
  0.62715129  0.32791483  0.88019013 -0.8222406   0.        ]","[[ 5.20753279 -3.0032085  -0.17958697  0.11514183]
 [ 8.19370344 -0.01114366  0.          0.        ]]",[-0.08858253 -0.21434079]
