timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-1.09083617 -1.01439035],[-2.27983184 -0.1452993 ],-0.254792205536,-0.254792205536,"[ 1.06464021  2.04443418  0.01848505  0.94564159  0.40301294 -1.53552375
 -0.22400453  0.346421    0.92922337  1.68605033  0.        ]","[[ 0.05389424  0.07117693  0.04642753 -0.17708167]
 [ 0.00292337  0.00228458  0.          0.        ]]",[-0.12486067 -0.22618154]
1,[-0.84167504 -0.87371147],[ 1.00564113 -0.29286452],-0.248413796782,-0.248413796782,"[ 1.06651837  2.04494171 -0.04203042  0.92862219  0.40301221 -1.53551567
 -0.58388994  0.26797821  0.93389754  1.61151541  0.        ]","[[ 0.01426383  0.06546516  0.04642753 -0.17708167]
 [-3.95279396 -0.57155529  0.          0.        ]]",[-0.12486067 -0.22618154]
2,[-0.98786366 -0.97247493],[-0.51210683 -1.85726111],-0.240717214185,-0.240717214185,"[ 1.0662447   2.04659077 -0.10097011  0.86013352  0.40301147 -1.5355076
 -0.21683401  0.11079348  0.93615869  1.52271666  0.        ]","[[-0.02431259  0.04249695  0.04642753 -0.17708167]
 [ 0.081717   -1.72142705  0.          0.        ]]",[-0.12486067 -0.22618154]
3,[-0.80239904 -0.86126298],[ 0.83390999 -1.62670878],-0.231788768351,-0.231788768351,"[ 1.06536449  2.04712892 -0.12951501  0.63978416  0.40301074 -1.53549952
 -0.40115039 -0.42570597  0.93363067  1.42218641  0.        ]","[[-0.04300493 -0.03130957  0.04642753 -0.17708167]
 [-1.94421136 -5.64614802  0.          0.        ]]",[-0.12486067 -0.22618154]
4,[-0.85844207 -0.90260398],[-0.96248403 -0.33216536],-0.217687215533,-0.217687215533,"[ 1.06501808  2.02536355 -0.13773481  0.19026957  0.40301    -1.53549144
 -0.09739162 -0.95186621  0.91440779  1.27521554  0.        ]","[[-0.04839018 -0.18285183  0.04642753 -0.17708167]
 [ 1.39455832 -9.49524351  0.          0.        ]]",[-0.12486067 -0.22618154]
5,[-0.50684321 -0.71769786],[-0.78377501 -2.14523276],-0.196791573701,-0.196791573701,"[ 1.06422304  1.94984214 -0.15388399 -0.38560831  0.40300927 -1.53548336
 -0.44628179 -1.10575629  0.85819691  1.08303787  0.        ]","[[ -0.05897452  -0.38405207   0.04642753  -0.17708167]
 [ -2.44027907 -10.62103964   0.           0.        ]]",[-0.12486067 -0.22618154]
6,[ 0.02461132 -0.4717223 ],[ 0.43563599 -0.60618451],-0.157325519054,-0.157325519054,"[ 1.05331703  1.78646989 -0.27461758 -1.03587071  0.40300854 -1.53547529
 -0.72391503 -1.61811461  0.70307133  0.76950712  0.        ]","[[ -0.13839634  -0.63407948   0.04642753  -0.17708167]
 [ -5.49190156 -14.36921559   0.           0.        ]]",[-0.12486067 -0.22618154]
7,[ 0.27392715 -0.31495565],[ 0.25410268  1.40456612],-0.10751747003,-0.10751747003,"[ 1.02998513  1.49343081 -0.41195635 -1.68300297  0.4030078  -1.53546721
 -0.55726573 -1.90739221  0.42883366  0.48859775  0.        ]","[[ -0.22985563  -0.94269733   0.04642753  -0.17708167]
 [ -3.66019114 -16.48550524   0.           0.        ]]",[-0.12486067 -0.22618154]
8,[ 0.42306861 -0.19393864],[-0.44730408 -0.59020283],-0.0668583065902,-0.0668583065902,"[ 1.00753462  1.15361785 -0.50407744 -2.08058299  0.40300707 -1.53545913
 -0.45941078 -1.32154282  0.14682205  0.36738633  0.        ]","[[ -0.29226953  -1.22940755   0.04642753  -0.17708167]
 [ -2.58463071 -12.19979242   0.           0.        ]]",[-0.12486067 -0.22618154]
9,[ 0.64775217 -0.12121856],[ 1.2922809  -1.21285403],-0.0396393682604,-0.0396393682604,"[ 0.97669848  0.80616517 -0.6038304  -2.24418827  0.40300634 -1.53545106
 -0.61586056 -1.60791412 -0.13264434  0.34876588  0.        ]","[[ -0.36121421  -1.49442318   0.04642753  -0.17708167]
 [ -4.30425658 -14.29479712   0.           0.        ]]",[-0.12486067 -0.22618154]
10,[ 0.55514908 -0.13325708],[ 1.14174879 -1.32525338],-0.0545474216539,-0.0545474216539,"[ 0.95292708  0.37573723 -0.66832821 -2.16266906  0.4030056  -1.53544298
 -0.24811623 -2.11055272 -0.40576471  0.46565035  0.        ]","[[ -0.40674484  -1.81721379   0.04642753  -0.17708167]
 [ -0.26221869 -17.9719721    0.           0.        ]]",[-0.12486067 -0.22618154]
11,[ 0.3865456  -0.15486147],[ 0.40106082 -0.84383476],-0.0948778418231,-0.0948778418231,"[ 0.97118659 -0.10126672 -0.61954457 -1.65828626  0.40300487 -1.5354349
  0.11239502 -2.60318314 -0.58889846  0.73677003  0.        ]","[[ -0.37223295  -2.21281475   0.04642753  -0.17708167]
 [  3.70031791 -21.57605206   0.           0.        ]]",[-0.12486067 -0.22618154]
12,[ 0.21851476 -0.17356819],[ 0.25674832 -0.79189214],-0.141585189671,-0.141585189671,"[ 1.01117164 -0.49596787 -0.49054943 -0.61382216  0.40300413 -1.53542683
  0.25010507 -3.00146821 -0.67490125  1.12384637  0.        ]","[[ -0.28304049  -2.67357341   0.04642753  -0.17708167]
 [  5.21395069 -24.49008533   0.           0.        ]]",[-0.12486067 -0.22618154]
13,[-0.06548807 -0.23669994],[-0.22387176 -0.63371643],-0.1777527202,-0.1777527202,"[ 1.04662489 -0.64010607 -0.32172187  0.66019983  0.4030034  -1.53541875
  0.33322996 -1.03320101 -0.66795957  1.45184548  0.        ]","[[ -0.16960007  -3.1171149    0.04642753  -0.17708167]
 [  6.12761588 -10.09089979   0.           0.        ]]",[-0.12486067 -0.22618154]
14,[-0.19816533 -0.27882269],[-0.96696257 -0.4665549 ],-0.188948432746,-0.188948432746,"[ 1.06434156 -0.64026221 -0.15109127  0.79030826  0.40300267 -1.53541068
  0.24160042  0.63102931 -0.65814121  1.55395947  0.        ]","[[-0.05715096 -3.16068976  0.04642753 -0.17708167]
 [ 5.12048492  2.08408564  0.          0.        ]]",[-0.12486067 -0.22618154]
