timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-0.42849633 -3.04525471],[-0.67589644 -3.1531055 ],-0.21187664096,-0.21187664096,"[ 1.09470549  1.42572882 -0.07725855  1.35100967 -0.01563381 -0.16576856
 -0.20022649  0.28697082  1.71122757  0.4019639   0.        ]","[[-0.01255153  0.04326703 -0.00091025 -0.01870437]
 [-0.00108945  0.00200809  0.          0.        ]]",[-0.68059951 -0.64997274]
1,[-0.32513654 -2.84989667],[-0.43144588 -2.42703637],-0.211040694449,-0.211040694449,"[ 1.09371065  1.42693127 -0.11711145  1.25028035 -0.0156338  -0.1657685
 -0.55756588 -0.32300529  1.71035999  0.27285449  0.        ]","[[ -3.93843337e-02   3.58938040e-03  -9.10252843e-04  -1.87043705e-02]
 [ -2.67329784e+00  -3.95658309e+00   0.00000000e+00   0.00000000e+00]]",[-0.68059951 -0.64997274]
2,[-0.18242157 -2.59897971],[-0.48820479 -1.7831758 ],-0.208232633105,-0.208232633105,"[ 1.08628297  1.41845802 -0.22087314  0.95108006 -0.0156338  -0.16576843
 -0.77853056 -0.92096529  1.67898128 -0.08209314  0.        ]","[[ -1.09429046e-01  -1.14477720e-01  -9.10252843e-04  -1.87043705e-02]
 [ -4.32568867e+00  -7.83719485e+00   0.00000000e+00   0.00000000e+00]]",[-0.68059951 -0.64997274]
3,[ 0.09114328 -2.2930932 ],[-0.01176617 -2.28470782],-0.202245493181,-0.202245493181,"[ 1.0621374   1.36542477 -0.37479609  0.46794718 -0.01563379 -0.16576836
 -1.02518049 -1.50707198  1.54450212 -0.61127243  0.        ]","[[ -2.14448258e-01  -3.09385349e-01  -9.10252843e-04  -1.87043705e-02]
 [ -6.17015756e+00  -1.16408896e+01   0.00000000e+00   0.00000000e+00]]",[-0.68059951 -0.64997274]
4,[ 0.48466614 -1.38725877],[ 0.38409626 -1.70064372],-0.191437854647,-0.191437854647,"[ 1.01452908  1.21533504 -0.55001329 -0.14974481 -0.01563378 -0.1657683
 -1.01498822 -2.08167879  1.23364945 -1.18064314  0.        ]","[[ -3.37085482e-01  -5.79618297e-01  -9.10252843e-04  -1.87043705e-02]
 [ -6.09394518e+00  -1.53699703e+01   0.00000000e+00   0.00000000e+00]]",[-0.68059951 -0.64997274]
5,[ 0.48486051 -0.59173334],[ 0.15582295 -1.097609  ],-0.174035520943,-0.174035520943,"[ 0.957404    0.91243796 -0.69483167 -0.78495937 -0.01563378 -0.16576823
 -0.79568474 -2.64498209  0.75660314 -1.57028859  0.        ]","[[ -4.42508691e-01  -9.23697204e-01  -9.10252843e-04  -1.87043705e-02]
 [ -4.45398447e+00  -1.90257242e+01   0.00000000e+00   0.00000000e+00]]",[-0.68059951 -0.64997274]
6,[ 0.61675346  0.36249509],[ 1.08111485  0.67681071],-0.147538709773,-0.147538709773,"[ 0.90302011  0.42753992 -0.80269659 -1.23111594 -0.01563377 -0.16576817
 -0.70163938 -3.19707363  0.18686798 -1.63278958  0.        ]","[[ -5.24530139e-01  -1.34016156e+00  -9.10252843e-04  -1.87043705e-02]
 [ -3.75071083e+00  -2.26087618e+01   0.00000000e+00   0.00000000e+00]]",[-0.68059951 -0.64997274]
7,[ 0.06900673  0.48572028],[-0.1928722  -0.43229544],-0.115380402444,-0.115380402444,"[ 0.8775701  -0.11350862 -0.84673069 -1.25257592 -0.01563377 -0.1657681
 -0.16286117 -2.71526002 -0.25346988 -1.35135711  0.        ]","[[ -5.59123952e-01  -1.76096499e+00  -9.10252843e-04  -1.87043705e-02]
 [  2.78302913e-01  -1.94819481e+01   0.00000000e+00   0.00000000e+00]]",[-0.68059951 -0.64997274]
8,[ 0.85658485  0.70472854],[ 0.17748443  1.42564079],-0.0804327477291,-0.0804327477291,"[ 0.87592938 -0.59275783 -0.84945344 -0.86462076 -0.01563376 -0.16576803
 -0.26588959 -2.91956031 -0.50668246 -0.88800936  0.        ]","[[ -5.61287593e-01  -2.16390744e+00  -9.10252843e-04  -1.87043705e-02]
 [ -4.92150021e-01  -2.08078881e+01   0.00000000e+00   0.00000000e+00]]",[-0.68059951 -0.64997274]
9,[ 1.01106143  0.61705208],[ 1.56746187 -0.31004024],-0.0463042992541,-0.0463042992541,"[ 0.87386683 -0.93392509 -0.85285813 -0.20402851 -0.01563375 -0.16576797
 -0.17078553 -2.24595831 -0.5994738  -0.37490985  0.        ]","[[ -5.63997180e-01  -2.53620430e+00  -9.10252843e-04  -1.87043705e-02]
 [  2.19042538e-01  -1.64363606e+01   0.00000000e+00   0.00000000e+00]]",[-0.68059951 -0.64997274]
