timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-0.40429172 -1.83974493],[ 0.04250527 -2.23791786],-0.211209383837,-0.211209383837,"[ 1.03304781  1.93400134 -0.13650205  1.11404793 -0.00224161 -0.21157586
 -0.28015527  0.33115717  1.34613196  0.36526094  0.        ]","[[-0.03512259  0.08297899  0.0004074  -0.02579848]
 [ 0.00306847  0.00096378  0.          0.        ]]",[-0.26160046 -0.26386258]
1,[-0.31532905 -1.6686213 ],[ 0.14410902 -1.20702545],-0.210851375032,-0.210851375032,"[ 1.03313253  1.93731454 -0.13382529  1.0011089  -0.0022416  -0.21157566
 -0.2629084  -0.2087179   1.34713235  0.32786094  0.        ]","[[ -3.33593482e-02   4.32695736e-02   4.07399314e-04  -2.57984752e-02]
 [  1.72687012e-01  -3.95870833e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
2,[-0.23681332 -1.51830149],[-0.1530331  -0.86739043],-0.209397771817,-0.209397771817,"[ 1.03350876  1.9348346  -0.11992635  0.66471508 -0.0022416  -0.21157546
 -0.20513803 -0.73792525  1.34310514  0.22436109  0.        ]","[[ -2.42049795e-02  -7.48482925e-02   4.07399314e-04  -2.57984752e-02]
 [  7.40849907e-01  -7.84014166e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
3,[-0.04655542 -1.31979942],[-0.69683942 -1.42942542],-0.205385361217,-0.205385361217,"[ 1.03375272  1.89240533 -0.10685371  0.1326356  -0.0022416  -0.21157526
 -0.26806095 -1.18500035  1.31350186  0.04949414  0.        ]","[[ -1.55967072e-02  -2.64550907e-01   4.07399314e-04  -2.57984752e-02]
 [  1.22008390e-01  -1.11191931e+01   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
4,[ 0.48115689 -0.8470037 ],[-0.12557601 -2.01268983],-0.195963022892,-0.195963022892,"[ 1.03272911  1.76031216 -0.14516129 -0.54923206 -0.0022416  -0.21157506
 -0.54849944 -1.69470416  1.21123253 -0.2410244   0.        ]","[[ -4.08279532e-02  -5.24443473e-01   4.07399314e-04  -2.57984752e-02]
 [ -2.63607283e+00  -1.48576154e+01   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
5,[ 0.83124733 -0.38772339],[ 0.45281676 -0.43820707],-0.178526040566,-0.178526040566,"[ 1.02703471  1.47927188 -0.2317901  -1.27895307 -0.0022416  -0.21157486
 -0.59369201 -2.19442688  0.97428401 -0.58435464  0.        ]","[[ -9.80070834e-02  -8.58370566e-01   4.07399314e-04  -2.57984752e-02]
 [ -3.08054259e+00  -1.85228796e+01   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
6,[ 0.88672507 -0.14150071],[ 1.66114496 -0.99537383],-0.153162585269,-0.153162585269,"[  1.01966698e+00   1.03994259e+00  -2.96685890e-01  -1.81996754e+00
  -2.24159370e-03  -2.11574656e-01  -4.05450707e-01  -2.38105252e+00
   6.29579466e-01  -7.94762071e-01   0.00000000e+00]","[[ -1.41042787e-01  -1.24256300e+00   4.07399314e-04  -2.57984752e-02]
 [ -1.22922115e+00  -1.98917822e+01   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
7,[ 0.63472354 -0.15114883],[ 0.36268147  1.53699167],-0.119262628955,-0.119262628955,"[  1.02259564e+00   4.73205367e-01  -2.73573009e-01  -1.95635160e+00
  -2.24159167e-03  -2.11574455e-01  -7.10798989e-04  -2.86480186e+00
   2.69148102e-01  -7.71179708e-01   0.00000000e+00]","[[ -1.25689758e-01  -1.67599986e+00   4.07399314e-04  -2.57984752e-02]
 [  2.75133350e+00  -2.34400090e+01   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
8,[ 0.3489053  -0.15106651],[-0.29109356 -0.61865762],-0.0812327633411,-0.0812327633411,"[  1.03160059e+00  -5.74836879e-02  -1.69430771e-01  -1.58165689e+00
  -2.24158963e-03  -2.11574254e-01   1.39543437e-01  -2.26167527e+00
  -9.07401480e-03  -5.62190162e-01   0.00000000e+00]","[[ -5.68261836e-02  -2.10041729e+00   4.07399314e-04  -2.57984752e-02]
 [  4.13071234e+00  -1.90164508e+01   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
9,[ 0.44381014 -0.03808227],[ 0.6313211   0.03464419],-0.0415782736883,-0.0415782736883,"[  1.03378694e+00  -4.51142942e-01  -6.28122131e-02  -8.24239094e-01
  -2.24158759e-03  -2.11574053e-01   1.39800859e-02  -2.54430171e+00
  -2.17759098e-01  -2.64744336e-01   0.00000000e+00]","[[  1.33985985e-02  -2.50154586e+00   4.07399314e-04  -2.57984752e-02]
 [  2.89581846e+00  -2.10895175e+01   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
10,[ 0.15938509 -0.23073582],[-0.40997341 -0.71186147],-0.00535517440819,-0.00535517440819,"[  1.02733004e+00  -6.80537104e-01   6.21446556e-02   2.45271008e-01
  -2.24158556e-03  -2.11573852e-01   2.62249779e-01  -2.46864516e+00
  -3.56887608e-01   1.14811141e-01   0.00000000e+00]","[[  9.58118104e-02  -2.91776995e+00   4.07399314e-04  -2.57984752e-02]
 [  5.33750855e+00  -2.05347240e+01   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
11,[-0.08765119 -0.26498115],[-0.39813033  0.79957804],-0.0242892618225,-0.0242892618225,"[ 1.00935772 -0.71318678  0.19657163  0.80553871 -0.00224158 -0.21157365
  0.08654091  0.12663553 -0.39332979  0.31503956  0.        ]","[[  1.85224457e-01  -3.11622074e+00   4.07399314e-04  -2.57984752e-02]
 [  3.60944584e+00  -1.49930376e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
12,[-0.0433795  -0.45733514],[-0.20469115  0.65126025],-0.0201972423808,-0.0201972423808,"[ 0.99246403 -0.71202709  0.27919032  0.73851558 -0.00224158 -0.21157345
 -0.08098383  0.73433257 -0.38396326  0.27794497  0.        ]","[[  2.40883151e-01  -3.09268699e+00   4.07399314e-04  -2.57984752e-02]
 [  1.96187240e+00   2.95793178e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
13,[-0.05077505 -0.60618281],[ 1.20181361  0.14113367],-0.0106349699353,-0.0106349699353,"[ 0.981287   -0.70183892  0.32432225  0.49892426 -0.00224158 -0.21157325
 -0.16732729  1.07792349 -0.35595071  0.19429516  0.        ]","[[  2.71600623e-01  -3.00824313e+00   4.07399314e-04  -2.57984752e-02]
 [  1.11270073e+00   5.47805566e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
14,[-0.51499653 -0.8792088 ],[-0.02941852 -2.14764651],-0.00280648451938,-0.00280648451938,"[ 0.95488094 -0.67322484  0.41385377  0.17984531 -0.00224158 -0.21157305
  0.23300738  1.13934896 -0.29804174  0.09012791  0.        ]","[[  3.33358114e-01  -2.89416151e+00   4.07399314e-04  -2.57984752e-02]
 [  5.04990826e+00   5.92860560e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
15,[-0.44894075 -0.64344311],[-0.92326008 -1.01078459],-0.0130983198475,-0.0130983198475,"[ 0.90191672 -0.64414936  0.55304024 -0.03244037 -0.00224158 -0.21157285
  0.21097744  0.58349971 -0.23190464  0.03350661  0.        ]","[[  4.32182319e-01  -2.81649467e+00   4.07399314e-04  -2.57984752e-02]
 [  4.83325063e+00   1.85166679e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
16,[-0.02217924 -0.24761689],[ 0.65893043  1.4456457 ],-0.0140278068047,-0.0140278068047,"[ 0.86417434 -0.64544013  0.63329932 -0.02416287 -0.00224157 -0.21157265
 -0.1704449   0.03863701 -0.21823531  0.04222634  0.        ]","[[  4.91210259e-01  -2.81955807e+00   4.07399314e-04  -2.57984752e-02]
 [  1.08204902e+00  -2.14469243e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
17,[-0.38882613 -0.62265694],[ 0.58432775 -0.6652058 ],-0.0148178701746,-0.0148178701746,"[ 0.83051868 -0.64658415  0.6962188  -0.01675465 -0.00224157 -0.21157245
  0.09265934  0.58428847 -0.20782643  0.05004514  0.        ]","[[  5.38813184e-01  -2.82229710e+00   4.07399314e-04  -2.57984752e-02]
 [  3.66961659e+00   1.85745391e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
18,[-0.6462453  -0.59742445],[-2.00212833 -0.90082056],-0.0182096561051,-0.0182096561051,"[ 0.75434819 -0.64220604  0.81744037 -0.0447231  -0.00224157 -0.21157225
  0.32049781  0.22017799 -0.1766833   0.05774072  0.        ]","[[  6.34687501e-01  -2.81194313e+00   4.07399314e-04  -2.57984752e-02]
 [  5.91035417e+00  -8.13151629e-01   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
19,[-0.15576087 -0.34008515],[ 0.37299443 -0.11557594],-0.0149442203748,-0.0149442203748,"[ 0.68515993 -0.66278117  0.90921219  0.09637835 -0.00224157 -0.21157204
 -0.09398553 -0.26395177 -0.19652356  0.09967106  0.        ]","[[  7.11995460e-01  -2.86383341e+00   4.07399314e-04  -2.57984752e-02]
 [  1.83401662e+00  -4.36405171e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
20,[-0.31037569 -0.43736565],[ 0.1280393  -0.93858016],-0.00956774339538,-0.00956774339538,"[ 0.63580314 -0.69054808  0.96668651  0.34868826 -0.00224157 -0.21157184
  0.05248127 -0.31455691 -0.25250222  0.15832799  0.        ]","[[  7.63128382e-01  -2.95483853e+00   4.07399314e-04  -2.57984752e-02]
 [  3.27447902e+00  -4.73522209e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
21,[-0.39462039 -0.43880916],[-0.69559232 -0.3052493 ],-0.0117544224282,-0.0117544224282,"[ 0.56394333 -0.70698112  1.04081365  0.59334367 -0.00224156 -0.21157164
  0.09745185  0.13363566 -0.30723291  0.21700105  0.        ]","[[  8.33054345e-01  -3.04160094e+00   4.07399314e-04  -2.57984752e-02]
 [  3.71675313e+00  -1.44791346e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
22,[-0.13890223 -0.42187262],[ 0.73032714 -0.86958782],-0.0117398974433,-0.0117398974433,"[ 0.51411263 -0.70696748  1.0865691   0.59307144 -0.00224156 -0.21157144
 -0.19005388  0.43162039 -0.29962895  0.21575089  0.        ]","[[  8.79020122e-01  -3.04150520e+00   4.07399314e-04  -2.57984752e-02]
 [  8.89214324e-01   7.37683183e-01   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
23,[-0.47507304 -0.55097735],[-1.87403512 -0.38145018],-0.0115445738794,-0.0115445738794,"[ 0.46159751 -0.70475573  1.13045096  0.54917935 -0.00224156 -0.21157124
  0.10217376  0.42619774 -0.28206572  0.20822602  0.        ]","[[  9.25639982e-01  -3.02601441e+00   4.07399314e-04  -2.57984752e-02]
 [  3.76318843e+00   6.97913676e-01   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
24,[-0.02576203 -0.36754429],[ 0.44150254  0.41689899],-0.0118530657084,-0.0118530657084,"[ 0.42117791 -0.70289073  1.16148483  0.51633681 -0.00224156 -0.21157104
 -0.30798627  0.39236618 -0.26887048  0.20409502  0.        ]","[[  9.60431290e-01  -3.01440532e+00   4.07399314e-04  -2.57984752e-02]
 [ -2.70614650e-01   4.49776793e-01   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
25,[-0.28806791 -0.56767809],[ 1.30331991 -1.47084068],-0.0125076748115,-0.0125076748115,"[ 0.40678843 -0.69817951  1.17199427  0.44446039 -0.00224156 -0.21157084
 -0.12969253  0.61622598 -0.24743469  0.19319533  0.        ]","[[  9.72612077e-01  -2.98893586e+00   4.07399314e-04  -2.57984752e-02]
 [  1.48284783e+00   2.09169661e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
26,[-0.55798197 -0.53646505],[-0.03646029  0.77863362],-0.0138333111129,-0.0138333111129,"[ 0.32297261 -0.69783542  1.22804409  0.43969347 -0.00224155 -0.21157064
  0.2698889   0.0707506  -0.23710763  0.19867703  0.        ]","[[  1.04169754e+00  -2.98724351e+00   4.07399314e-04  -2.57984752e-02]
 [  5.41260638e+00  -1.90912515e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
27,[-0.6069923  -0.63678181],[-0.98929373 -1.3124372 ],-0.0154461043402,-0.0154461043402,"[ 0.18814734 -0.69920408  1.3016295   0.4590491  -0.00224155 -0.21157044
  0.24432903  0.49625257 -0.22992818  0.21152183  0.        ]","[[  1.14742762e+00  -2.99411328e+00   4.07399314e-04  -2.57984752e-02]
 [  5.16123574e+00   1.21174614e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
28,[-0.14765048 -0.40513355],[-0.9515791  -0.01106577],-0.01575528717,-0.01575528717,"[ 0.10471558 -0.70101163  1.33811214  0.48610397 -0.00224155 -0.21157024
 -0.16434583  0.14798442 -0.23615759  0.22188209  0.        ]","[[  1.21032622e+00  -3.00370398e+00   4.07399314e-04  -2.57984752e-02]
 [  1.14205405e+00  -1.34264264e+00   0.00000000e+00   0.00000000e+00]]",[-0.26160046 -0.26386258]
