timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.16164754622,[-0.15559733 -0.23907569],"[ 1.1470584   2.12915533  0.14839562 -0.75348032  1.24897912  1.41686625
  0.92591034 -0.36400718  0.24869353 -1.27930808  0.        ]",-1.05886,"[[ 0.06202399  0.00256545  0.14481423  0.16140483]
 [-0.00214861  0.00030651  0.          0.        ]]",[ 0.84392351  1.96925569],[ 0.84488488  1.21799478]
1,-0.150867441131,[-0.15559733 -0.23907569],"[ 1.14341995  2.12791505  0.19839795 -0.62663085  1.24897303  1.41685814
  1.03823678  0.18367388  0.24091643 -1.18169278  0.        ]",-0.986708,"[[ 0.09549991  0.04228631  0.14481423  0.16140483]
 [ 3.33862365  3.95859178  0.          0.        ]]",[ 0.65390736  1.78494084],[ 0.86105633  2.44750668]
2,-0.117947176536,[-0.15559733 -0.23907569],"[ 1.1233492   2.11156561  0.34699131 -0.25151287  1.24896694  1.41685003
  1.15049427  0.72051021  0.18804956 -0.89626465  0.        ]",-0.741699,"[[ 0.19577079  0.16038656  0.14481423  0.16140483]
 [ 6.67737508  7.83850374  0.          0.        ]]",[ 0.31277722  1.51421762],[ 0.36602744  1.15770385]
3,-0.0663205319622,[-0.15559733 -0.23907569],"[ 1.06956622  2.0436798   0.55875805  0.34966751  1.24896086  1.41684191
  1.19469526  1.2468176   0.02391688 -0.49637447  0.        ]",-0.57266,"[[  0.34250856   0.35532189   0.14481423   0.16140483]
 [  7.99210201  11.64234482   0.           0.        ]]",[-0.15893731  1.17813349],[ 1.00751678  1.10747037]
4,-0.018057279781,[-0.15559733 -0.23907569],"[ 0.95307663  1.87013582  0.82647918  1.10888867  1.24895477  1.4168338
  1.32237843  1.76255537 -0.33319361 -0.080696    0.        ]",-0.324122,"[[  0.54045055   0.62556833   0.14481423   0.16140483]
 [ 11.78968187  15.36985537   0.           0.        ]]",[-0.72767371  0.79250836],[-0.33281386  1.6259385 ]
5,-0.0912923725116,[-0.15559733 -0.23907569],"[ 0.76942487  1.5350675   1.08855685  1.87275938  1.24894868  1.41682569
  1.27028648  2.26830449 -0.86884941  0.13435405  0.        ]",-0.341154,"[[  0.76069994   0.96964172   0.14481423   0.16140483]
 [ 10.24062192  19.0252815    0.           0.        ]]",[-1.05782866  0.63377494],[-1.39335023  0.58300461]
6,-0.157282399787,[-0.15559733 -0.23907569],"[ 0.60172129  1.03502108  1.25108532  2.36829971  1.2489426   1.41681758
  1.13050135  2.53566618 -1.35618177  0.00316585  0.        ]",-0.546812,"[[  0.92380274   1.36953793   0.14481423   0.16140483]
 [  6.08346342  20.95787695   0.           0.        ]]",[-1.15605497  0.60393906],[-1.39842695  0.86478618]
7,-0.200237656354,[-0.15559733 -0.23907569],"[ 0.51018857  0.42589988  1.32006233  2.33493764  1.24893651  1.41680947
  0.99346094  2.95205989 -1.63352009 -0.37126971  0.        ]",-0.766021,"[[  1.00458163   1.81889503   0.14481423   0.16140483]
 [  2.00789884  23.96775643   0.           0.        ]]",[-1.16913986  0.58964342],[-0.97531367 -0.57898189]
8,-0.220266243601,[-0.15559733 -0.23907569],"[ 0.50896425 -0.11889772  1.32089889  1.68216728  1.24893042  1.41680136
  0.86238465  2.56921753 -1.66685124 -0.79391274  0.        ]",-0.806972,"[[  1.00563183   2.27049087   0.14481423   0.16140483]
 [ -1.89031559  21.20099188   0.           0.        ]]",[-1.11066961  0.59534234],[-0.60657887  0.7967484 ]
9,-0.226401313354,[-0.15559733 -0.23907569],"[ 0.57918614 -0.48706823  1.26916639  0.53981663  1.24892434  1.41679325
  0.78292766  2.94757434 -1.53036735 -1.17070982  0.        ]",-0.935505,"[[  0.94411761   2.72195248   0.14481423   0.16140483]
 [ -4.25334844  23.93602737   0.           0.        ]]",[-1.06222796  0.55567825],[-0.91015445 -0.87892025]
