timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.103841461185,[-0.19995275 -0.31919527],"[ 1.17089478  2.3174544   0.12531153 -1.03728236  1.43456484  0.87075963
  1.12659139 -0.38202454  0.11411823 -0.84210341  0.        ]",-1.12062,"[[ 0.05215132 -0.05958901  0.16596266  0.09850087]
 [ 0.00485127  0.00243397  0.          0.        ]]",[ 0.42312723  2.0053606 ],[ 0.98961534  0.97218514]
1,-0.0924074322358,[-0.19995275 -0.31919527],"[ 1.16699581  2.31967001  0.18377067 -0.89970288  1.43456015  0.870758
  1.23679599  0.15282739  0.11004561 -0.73180572  0.        ]",-0.835792,"[[ 0.09151071 -0.02093326  0.16596266  0.09850087]
 [ 3.91806235  3.85032183  0.          0.        ]]",[-0.0169934   1.70389605],[-0.60518731  3.4623964 ]
2,-0.0702669249205,[-0.19995275 -0.31919527],"[ 1.15827777  2.31349513  0.26294839 -0.48708119  1.43455547  0.87075636
  1.16714477  0.69274258  0.08416121 -0.52239835  0.        ]",-0.674401,"[[ 0.14505911  0.09504584  0.16596266  0.09850087]
 [ 1.4450231   7.73463887  0.          0.        ]]",[-0.56066871  1.38976169],[-0.55794086  1.17823231]
3,-0.0489135503701,[-0.19995275 -0.31919527],"[ 1.15695955  2.26090795  0.27245469  0.18642945  1.43455078  0.87075472
  1.10413798  1.2219528   0.02971575 -0.33457482  0.        ]",-0.349935,"[[  0.15151362   0.28793872   0.16596266   0.09850087]
 [ -0.79210126  11.54195463   0.           0.        ]]",[-1.11393011  1.0917114 ],[-2.41767575  0.19562877]
4,-0.0339837875801,[-0.19995275 -0.31919527],"[ 1.16638933  2.12730732  0.190628    0.95801498  1.4345461   0.87075309
  0.99316135  1.29805697 -0.03926932 -0.23165694  0.        ]",-0.395983,"[[  0.0961364    0.52427175   0.16596266   0.09850087]
 [ -4.73253687  12.08949723   0.           0.        ]]",[-1.27905488  1.04443586],[-1.6025341 -0.1311935]
5,-0.0339198243209,[-0.19995275 -0.31919527],"[ 1.17179775  1.92680238 -0.00780336  1.6249256   1.43454141  0.87075145
  0.88438278  1.19274664 -0.08712402 -0.27264543  0.        ]",-0.522592,"[[ -0.03726608   0.75846085   0.16596266   0.09850087]
 [ -8.59493927  11.33188533   0.           0.        ]]",[-1.28968525  1.08996964],[-0.58579559  2.40896827]
6,-0.0439498260982,[-0.19995275 -0.31919527],"[ 1.13620132  1.63316857 -0.29288029  2.21498401  1.43453672  0.87074982
  0.8238562   1.71198149 -0.14540695 -0.39176004  0.        ]",-0.321382,"[[ -0.23072715   1.02257943   0.16596266   0.09850087]
 [-10.74403814  15.06747009   0.           0.        ]]",[-1.61778808  0.9184345 ],[-3.22138962 -0.18649312]
7,-0.0638393917401,[-0.19995275 -0.31919527],"[ 1.01485064  1.25061607 -0.64420057  2.61974375  1.43453204  0.87074818
  0.71839255  1.56791388 -0.23284181 -0.57422916  0.        ]",-0.574332,"[[ -0.48317805   1.31353119   0.16596266   0.09850087]
 [-14.48875218  14.03104349   0.           0.        ]]",[-1.65133691  0.94230998],[-1.55831098  0.92132959]
8,-0.0932128122653,[-0.19995275 -0.31919527],"[ 0.7446708   0.80374979 -1.03072893  2.73113126  1.43452735  0.87074655
  0.61496221  2.0363077  -0.36986629 -0.81138439  0.        ]",-0.689945,"[[ -0.80979931   1.62796434   0.16596266   0.09850087]
 [-18.16127612  17.4009035    0.           0.        ]]",[-1.89897943  0.76534796],[-1.63561653  1.24022735]
9,-0.125217651129,[-0.19995275 -0.31919527],"[ 0.28145608  0.27292934 -1.34519818  2.39545165  1.43452266  0.87074491
  0.51355522  2.53860481 -0.60838989 -1.00786701  0.        ]",-0.867348,"[[ -1.20915043   2.01224256   0.16596266   0.09850087]
 [-21.76196068  21.01475173   0.           0.        ]]",[-1.96035194  0.6443134 ],[-1.03845511  0.78518934]
10,-0.155763655698,[-0.19995275 -0.31919527],"[-0.35662503 -0.22766097 -1.43268285  1.42033842  1.43451798  0.87074328
  0.41414288  2.91265122 -0.9356927  -1.07566441  0.        ]",-0.793847,"[[ -1.6798055    2.45954008   0.16596266   0.09850087]
 [-25.29182356  23.70600182   0.           0.        ]]",[-1.99874449  0.59921396],[-2.39134403  1.31448648]
11,-0.178707949633,[-0.19995275 -0.31919527],"[-1.04082151 -0.52713259 -1.13824193 -0.21222982  1.43451329  0.87074164
  0.31670774  3.3975478  -1.28346757 -0.92318279  0.        ]",-0.981624,"[[ -2.22035548   2.96866369   0.16596266   0.09850087]
 [-28.75148362  27.19489498   0.           0.        ]]",[-2.00763321  0.51067966],[-1.53366471  0.09996265]
12,-0.181728503273,[-0.19995275 -0.31919527],"[-1.51920642 -0.54512417 -0.40969106 -1.07024365  1.4345086   0.87074
  0.22119486 -0.31274885 -1.38456924 -0.77923573  0.        ]",-1.33992,"[[ -2.82941464   3.21045379   0.16596266   0.09850087]
 [-32.14288977   0.50103708   0.           0.        ]]",[-1.84101367  0.74022806],[-2.33122793  0.46444731]
13,-0.185155874636,[-0.19995275 -0.31919527],"[-1.49548394 -0.54830992  0.57790884 -0.88647625  1.43450392  0.87073837
  0.12760247 -0.91354117 -1.35722339 -0.89387572  0.        ]",-1.4108,"[[ -3.50561613   3.15881078   0.16596266   0.09850087]
 [-35.46610499  -3.82139238   0.           0.        ]]",[-1.75721025  0.95252365],[-0.93979879  0.38057691]
14,-0.199595317279,[-0.19995275 -0.31919527],"[-0.82773302 -0.54654569  1.37733472 -0.63822396  1.43449923  0.87073673
  0.04258392 -0.78378594 -1.43667057 -0.98125407  0.        ]",-1.38342,"[[ -4.24522688   3.08909302   0.16596266   0.09850087]
 [-38.4848859   -2.88787478   0.           0.        ]]",[-1.85992026  0.88251221],[-0.58994645  0.71484523]
15,-0.207123036222,[-0.19995275 -0.31919527],"[ 0.2251395  -0.54184364  1.46208207 -0.48181969  1.43449455  0.8707351
 -0.00173917 -0.60262385 -1.52783366 -0.931101    0.        ]",-1.19837,"[[ -5.03071496   3.04505935   0.16596266   0.09850087]
 [-40.05867937  -1.58450632   0.           0.        ]]",[-1.93297362  0.77462769],[-1.48781275  0.22523225]
16,-0.201112796859,[-0.19995275 -0.31919527],"[ 1.05314455 -0.53822735  0.65428778 -0.39915585  1.43448986  0.87073346
 -0.09090941 -0.49517838 -1.53318051 -0.80786885  0.        ]",-1.03854,"[[ -5.86365595   3.02171585   0.16596266   0.09850087]
 [-43.22487402  -0.81149269   0.           0.        ]]",[-1.8080101   0.75680637],[-1.48571229  0.63309   ]
17,-0.18624458876,[-0.19995275 -0.31919527],"[ 1.01935627 -0.53624721 -0.63485327 -0.36015604  1.43448517  0.87073183
 -0.17831525 -0.43141823 -1.44251115 -0.7315053   0.        ]",-0.881575,"[[ -6.75929226   3.01068069   0.16596266   0.09850087]
 [-46.3284198   -0.35277348   0.           0.        ]]",[-1.68823981  0.80993509],[-2.60712841  0.705112  ]
18,-0.175815293482,[-0.19995275 -0.31919527],"[-0.01736566 -0.53535655 -1.42744654 -0.3436665   1.43448049  0.87073019
 -0.26399141 -0.40248268 -1.33227799 -0.78426225  0.        ]",-1.10609,"[[ -7.71638331   3.00601023   0.16596266   0.09850087]
 [-49.37055007  -0.14460009   0.           0.        ]]",[-1.68917346  0.8498044 ],[-2.27929029 -0.01612415]
19,-0.182315589613,[-0.19995275 -0.31919527],"[-1.26941118 -0.53466459 -0.90146989 -0.33124494  1.4344758   0.87072856
 -0.34797182 -0.41118974 -1.30937679 -0.93432884  0.        ]",-1.28259,"[[ -8.73371289   3.00249004   0.16596266   0.09850087]
 [-52.35247024  -0.20724669   0.           0.        ]]",[-1.72920132  0.90685433],[-2.01989036  1.56241478]
20,-0.200518079048,[-0.19995275 -0.31919527],"[-1.48473663 -0.53444039  0.60740703 -0.32729652  1.43447112  0.87072692
 -0.43028949 -0.37858802 -1.41342388 -1.03630983  0.        ]",-1.38504,"[[ -9.81008847e+00   3.00137080e+00   1.65962659e-01   9.85008709e-02]
 [ -5.52753528e+01   2.73028207e-02   0.00000000e+00   0.00000000e+00]]",[-1.84976602  0.87842619],[-1.77250222  0.62812673]
21,-0.210708405508,[-0.19995275 -0.31919527],"[-0.27718756 -0.53454014  1.53494474 -0.32906753  1.43446643  0.87072529
 -0.51097791 -0.37947551 -1.54103253 -0.96649793  0.        ]",-1.22987,"[[ -1.09443414e+01   3.00187300e+00   1.65962659e-01   9.85008709e-02]
 [ -5.81403883e+01   2.09144424e-02   0.00000000e+00   0.00000000e+00]]",[-1.90098     0.79601264],[-1.78381383  0.40242021]
22,-0.200925657415,[-0.19995275 -0.31919527],"[ 1.04659349 -0.53455594  0.66990893 -0.32935917  1.43446175  0.87072365
 -0.59006887 -0.38305489 -1.53857416 -0.79103124  0.        ]",-0.934324,"[[ -1.21353259e+01   3.00195579e+00   1.65962659e-01   9.85008709e-02]
 [ -6.09487058e+01  -4.84072543e-03   0.00000000e+00   0.00000000e+00]]",[-1.78456259  0.78132391],[-2.18651358  0.01819967]
23,-0.180342422843,[-0.19995275 -0.31919527],"[ 0.73892178 -0.53444811 -1.03660951 -0.32747003  1.43445706  0.87072201
 -0.66759389 -0.38718479 -1.39432983 -0.73055424  0.        ]",-0.767241,"[[ -1.33819190e+01   3.00142032e+00   1.65962659e-01   9.85008709e-02]
 [ -6.37014263e+01  -3.45566112e-02   0.00000000e+00   0.00000000e+00]]",[-1.65565181  0.84094179],[-3.20033243  1.39132971]
24,-0.178153395314,[-0.19995275 -0.31919527],"[-0.92262143 -0.53453339 -1.22511569 -0.32898604  1.43445237  0.87072038
 -0.74358399 -0.37582716 -1.30105797 -0.88375087  0.        ]",-1.29117,"[[ -1.46830196e+01   3.00185023e+00   1.65962659e-01   9.85008709e-02]
 [ -6.63996517e+01   4.71522075e-02   0.00000000e+00   0.00000000e+00]]",[-1.70172811  0.88863385],[-0.79163886  1.60523815]
25,-0.199346815046,[-0.19995275 -0.31919527],"[-1.5152745  -0.5347148   0.51799561 -0.33221248  1.43444769  0.87071874
 -0.794836   -0.37690456 -1.40460369 -1.03328258  0.        ]",-1.42187,"[[ -1.60292719e+01   3.00276496e+00   1.65962659e-01   9.85008709e-02]
 [ -6.82195058e+01   3.93975984e-02   0.00000000e+00   0.00000000e+00]]",[-1.82438993  0.88991666],[-0.96492296 -0.23770028]
26,-0.211141017497,[-0.19995275 -0.31919527],"[-0.01450867 -0.53293505  1.52239197 -0.30156275  1.434443    0.87071711
 -0.86439557 -0.50825981 -1.55864501 -0.93795788  0.        ]",-1.1507,"[[-17.41844351   2.99407173   0.16596266   0.09850087]
 [-70.68941377  -0.90563656   0.           0.        ]]",[-1.83022356  0.85524845],[-1.99159715  0.99391136]
