timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.0576847133253,[-0.20012607 -0.33022821],"[ 1.17232316  2.33016907 -0.02858494 -0.86509656  1.44029357 -0.42695586
  1.13813779 -0.38313936  0.10673407  0.33483874  0.        ]",-0.496211,"[[ -5.09874122e-02  -1.02646944e-02   1.67044779e-01  -5.07035508e-02]
 [  4.98176053e-03   1.27912995e-04   0.00000000e+00   0.00000000e+00]]",[-1.33302999  1.61315632],[-1.43323862  1.20932791]
1,-0.0548949829659,[-0.20012607 -0.33022821],"[ 1.16845657  2.32960454 -0.08739885 -0.72268992  1.440289   -0.42695534
  1.02751262  0.16749118  0.10467845  0.3000973   0.        ]",-0.539028,"[[-0.09059471  0.02948113  0.16704478 -0.05070355]
 [-3.95252996  3.96124725  0.          0.        ]]",[-1.48016596  1.41402161],[-1.81066836  1.91249795]
2,-0.0467993083241,[-0.20012607 -0.33022821],"[ 1.14421975  2.31456603 -0.26096811 -0.30111622  1.44028444 -0.42695482
  0.91907629  0.7072133   0.09174748  0.19733333  0.        ]",-0.4376,"[[-0.20856667  0.14766209  0.16704478 -0.05070355]
 [-7.83175185  7.84389646  0.          0.        ]]",[-1.54774475  1.29354405],[-1.68433962  0.62870696]
3,-0.0347638065277,[-0.20012607 -0.33022821],"[ 1.06342517  2.25355343 -0.53704563  0.32595808  1.44027988 -0.42695429
  0.81279862  1.03186361  0.04780327  0.0195363   0.        ]",-0.485327,"[[ -0.40334809   0.32797298   0.16704478  -0.05070355]
 [-11.63376038  10.17937341   0.           0.        ]]",[-1.46123099  1.32260776],[-1.52471489  1.29053529]
4,-0.0309019755039,[-0.20012607 -0.33022821],"[ 0.87300251  2.1034112  -0.88119364  1.10317197  1.44027531 -0.42695377
  0.70859978  1.55440364 -0.05598155 -0.21246716  0.        ]",-0.456301,"[[ -0.67342321   0.56927727   0.16704478  -0.05070355]
 [-15.3614089   13.93844834   0.           0.        ]]",[-1.60188174  1.22898507],[-1.83986727  1.05619881]
5,-0.0491788521744,[-0.20012607 -0.33022821],"[ 0.51985572  1.80286109 -1.21919105  1.94487615  1.44027075 -0.42695325
  0.60644541  2.06650046 -0.24727363 -0.4401469   0.        ]",-0.454528,"[[ -1.01731688   0.8850104    0.16704478  -0.05070355]
 [-19.01592346  17.6224439    0.           0.        ]]",[-1.83971477  1.07478356],[-2.83099908  1.17031145]
6,-0.0796441652524,[-0.20012607 -0.33022821],"[-0.01649469  1.31321349 -1.42746461  2.59796149  1.44026618 -0.42695273
  0.50628449  2.56830432 -0.53697362 -0.59023068  0.        ]",-0.732425,"[[ -1.43358479   1.27368186   0.16704478  -0.05070355]
 [-22.59912748  21.23247015   0.           0.        ]]",[-2.09867334  0.81745476],[-1.16817195  1.38751716]
7,-0.112923038638,[-0.20012607 -0.33022821],"[-0.67812272  0.65885361 -1.35118313  2.7074257   1.44026162 -0.42695221
  0.40807231  3.05998804 -0.89411445 -0.57090799  0.        ]",-0.602098,"[[ -1.92081737   1.73382448   0.16704478  -0.05070355]
 [-26.11261957  24.76980497   0.           0.        ]]",[-2.14150119  0.60900909],[-3.13027692  0.93415009]
8,-0.142603653011,[-0.20012607 -0.33022821],"[-1.29139285 -0.0237109  -0.87012895  1.93390041  1.44025705 -0.42695169
  0.31178156  3.50555667 -1.22638967 -0.31338013  0.        ]",-0.735413,"[[ -2.47763142   2.26138533   0.16704478  -0.05070355]
 [-29.55737481  27.97553256   0.           0.        ]]",[-2.07944894  0.51409972],[-1.85297279  0.48693998]
9,-0.161864019675,[-0.20012607 -0.33022821],"[-1.58335508 -0.47849032 -0.01065007  0.25431127  1.44025249 -0.42695117
  0.2174075   3.69620117 -1.39237261  0.14768921  0.        ]",-0.677541,"[[ -3.1026552    2.83465855   0.16704478  -0.05070355]
 [-32.93356204  29.34743046   0.           0.        ]]",[-2.02892637  0.38652396],[-2.9281603   0.44419229]
10,-0.161091640875,[-0.20012607 -0.33022821],"[-1.30069361 -0.53455309  0.95174602 -1.27347389  1.44024793 -0.42695065
  0.12492026  0.37441999 -1.31338953  0.50638251  0.        ]",-0.855254,"[[ -3.79452281   3.26614624   0.16704478  -0.05070355]
 [-36.24224992   5.45023728   0.           0.        ]]",[-2.10109854  0.3933627 ],[-2.01733727  1.76702945]
11,-0.160514300184,[-0.20012607 -0.33022821],"[-0.42554674 -0.53921006  1.51692185 -1.16815868  1.44024336 -0.42695013
  0.03428775 -1.04970428 -1.34602779  0.37264226  0.        ]",-0.573843,"[[ -4.55190015   3.23657702   0.16704478  -0.05070355]
 [-39.4845855   -4.79504973   0.           0.        ]]",[-2.26806784  0.56936705],[-2.84077097  0.4000039 ]
12,-0.178533796682,[-0.20012607 -0.33022821],"[ 0.64168743 -0.54568663  1.22240782 -0.81946261  1.4402388  -0.42694961
 -0.05453825 -0.98535733 -1.48375244  0.37042251  0.        ]",-0.645212,"[[ -5.37347541   3.13912182   0.16704478  -0.05070355]
 [-42.66229376  -4.33214667   0.           0.        ]]",[-2.18561482  0.6010288 ],[-2.82568005 -0.37119501]
13,-0.187227896221,[-0.20012607 -0.33022821],"[ 1.17367442 -0.53806886  0.08482771 -0.45987783  1.44023423 -0.42694909
 -0.14160273 -1.17781679 -1.5090992   0.53707838  0.        ]",-1.06533,"[[ -6.25797242   3.03858836   0.16704478  -0.05070355]
 [-45.77698508  -5.71673726   0.           0.        ]]",[-1.81938553  0.7996847 ],[-1.59670253  0.25148551]
14,-0.169118459904,[-0.20012607 -0.33022821],"[ 0.62938759 -0.51522033 -1.13801917 -0.09457876  1.44022967 -0.42694857
 -0.22693359 -1.02389595 -1.33972749  0.61361716  0.        ]",-1.20063,"[[ -7.20414088   2.93536554   0.16704478  -0.05070355]
 [-48.82965706  -4.60943278   0.           0.        ]]",[-1.4523356   0.92909908],[-0.8184399   0.85290744]
15,-0.14567947175,[-0.20012607 -0.33022821],"[-0.67752032 -0.49600446 -1.35141785  0.10547239  1.44022511 -0.42694805
 -0.29047968 -0.54214631 -1.2236114   0.40404696  0.        ]",-0.953097,"[[ -8.20354265e+00   2.87795122e+00   1.67044779e-01  -5.07035508e-02]
 [ -5.11029920e+01  -1.14368846e+00   0.00000000e+00   0.00000000e+00]]",[-1.48583078  0.89288139],[-1.92948591  1.33271298]
16,-0.157984724111,[-0.20012607 -0.33022821],"[-1.56460776 -0.50219052 -0.20398654  0.04635839  1.44022054 -0.42694753
 -0.37287197  0.01094966 -1.35581079  0.21551206  0.        ]",-1.05462,"[[ -9.25517541e+00   2.89500050e+00   1.67044779e-01  -5.07035508e-02]
 [ -5.40505397e+01   2.83533011e+00   0.00000000e+00   0.00000000e+00]]",[-1.59571278  0.72631717],[-0.14737104  0.53551991]
17,-0.179429064593,[-0.20012607 -0.33022821],"[-1.05542542 -0.52515325  1.21949812 -0.2249132   1.44021598 -0.42694701
 -0.35927951  0.29753142 -1.50679886  0.27984765  0.        ]",-0.946202,"[[ -1.03313075e+01   2.97239106e+00   1.67044779e-01  -5.07035508e-02]
 [ -5.35642936e+01   4.89702343e+00   0.00000000e+00   0.00000000e+00]]",[-1.99291563  0.50581926],[-1.59388431  1.25655866]
18,-0.186622961312,[-0.20012607 -0.33022821],"[ 0.3774805  -0.53839615  1.39670513 -0.46793678  1.44021141 -0.42694649
 -0.4403229  -0.24479964 -1.53828211  0.40316203  0.        ]",-0.965257,"[[ -1.14316831e+01   3.04084888e+00   1.67044779e-01  -5.07035508e-02]
 [ -5.64635835e+01   9.95454366e-01   0.00000000e+00   0.00000000e+00]]",[-2.15839887  0.50984931],[-1.3601451   1.05652387]
19,-0.186847587329,[-0.20012607 -0.33022821],"[ 1.17374734 -0.53803295  0.01291606 -0.45910957  1.44020685 -0.42694597
 -0.51975315 -0.4768193  -1.50512285  0.54042417  0.        ]",-1.14611,"[[ -1.25894657e+01   3.03837272e+00   1.67044779e-01  -5.07035508e-02]
 [ -5.93051674e+01  -6.73713767e-01   0.00000000e+00   0.00000000e+00]]",[-1.85499334  0.61888278],[-0.67391656  0.68463381]
20,-0.170445371674,[-0.20012607 -0.33022821],"[ 0.26340246 -0.53575255 -1.35292    -0.40786781  1.44020229 -0.42694545
 -0.56151871 -0.47407901 -1.37147555  0.55475511  0.        ]",-1.10803,"[[ -1.37905605e+01   3.02398486e+00   1.67044779e-01  -5.07035508e-02]
 [ -6.07993263e+01  -6.54004322e-01   0.00000000e+00   0.00000000e+00]]",[-1.51792741  0.74449635],[-1.55885728 -0.53210261]
21,-0.155937670263,[-0.20012607 -0.33022821],"[-1.28299719 -0.52916681 -0.88158463 -0.28674929  1.44019772 -0.42694493
 -0.63854657 -0.76546797 -1.31092311  0.37272428  0.        ]",-0.834412,"[[ -1.50341957e+01   2.98987342e+00   1.67044779e-01  -5.07035508e-02]
 [ -6.35549712e+01  -2.75028025e+00   0.00000000e+00   0.00000000e+00]]",[-1.40545797  0.95109582],[-3.77158206  1.55013835]
22,-0.17360604661,[-0.20012607 -0.33022821],"[-1.32412286 -0.52580316  0.91767635 -0.23452116  1.44019316 -0.42694441
 -0.71404363 -0.20793646 -1.46545029  0.26491358  0.        ]",-0.717926,"[[ -1.63323933e+01   2.97511141e+00   1.67044779e-01  -5.07035508e-02]
 [ -6.62558575e+01   1.26062637e+00   0.00000000e+00   0.00000000e+00]]",[-1.83249354  0.64424258],[-3.39665319  0.53771838]
23,-0.190940289047,[-0.20012607 -0.33022821],"[ 0.33871709 -0.53351919  1.41542578 -0.36321545  1.4401886  -0.42694389
 -0.7880573  -0.24776177 -1.56739447  0.42031523  0.        ]",-0.895204,"[[ -1.76840764e+01   3.01142743e+00   1.67044779e-01  -5.07035508e-02]
 [ -6.89036831e+01   9.74119485e-01   0.00000000e+00   0.00000000e+00]]",[-2.10577941  0.53144234],[-1.37472894 -0.15059838]
24,-0.184936762462,[-0.20012607 -0.33022821],"[ 1.13503139 -0.53424151 -0.30460872 -0.37719228  1.44018403 -0.42694337
 -0.86060283 -0.41744645 -1.47894497  0.57675612  0.        ]",-0.823195,"[[ -1.90881900e+01   3.01536040e+00   1.67044779e-01  -5.07035508e-02]
 [ -7.14989942e+01  -2.46601369e-01   0.00000000e+00   0.00000000e+00]]",[-1.72905135  0.64922941],[-3.72865097 -0.03026142]
25,-0.162172456465,[-0.20012607 -0.33022821],"[-0.37482748 -0.53304491 -1.43014322 -0.35430004  1.44017947 -0.42694285
 -0.93170946 -0.43623817 -1.32304266  0.50268083  0.        ]",-1.10312,"[[ -2.05436931e+01   3.00891798e+00   1.67044779e-01  -5.07035508e-02]
 [ -7.40428385e+01  -3.81793403e-01   0.00000000e+00   0.00000000e+00]]",[-1.48226905  0.75451046],[-1.25765422  1.67492097]
26,-0.162814799595,[-0.20012607 -0.33022821],"[-1.58203949 -0.53225164  0.13422115 -0.33972883  1.4401749  -0.42694233
 -1.00140784 -0.39578463 -1.37808038  0.30235644  0.        ]",-0.833468,"[[ -2.20495676e+01   3.00481447e+00   1.67044779e-01  -5.07035508e-02]
 [ -7.65363127e+01  -9.07731278e-02   0.00000000e+00   0.00000000e+00]]",[-1.5703001   0.78313172],[-2.05737746 -0.1207196 ]
27,-0.18800132096,[-0.20012607 -0.33022821],"[-0.14602272 -0.53091965  1.53467957 -0.31620305  1.44017034 -0.42694181
 -1.06972663 -0.46249901 -1.55608266  0.36699037  0.        ]",-0.935112,"[[ -2.36048167e+01   2.99818420e+00   1.67044779e-01  -5.07035508e-02]
 [ -7.89804442e+01  -5.70721583e-01   0.00000000e+00   0.00000000e+00]]",[-2.06305766  0.58940279],[-0.72949078  0.03323084]
28,-0.187430421158,[-0.20012607 -0.33022821],"[ 1.17120855 -0.52878799 -0.04936814 -0.28068721  1.44016578 -0.42694129
 -1.10675291 -0.44321155 -1.49355204  0.59246899  0.        ]",-1.13924,"[[ -2.51977165e+01   2.98816258e+00   1.67044779e-01  -5.07035508e-02]
 [ -8.03051191e+01  -4.31971378e-01   0.00000000e+00   0.00000000e+00]]",[-1.74615288  0.65712142],[-0.40935513  0.08250992]
