timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.153547068991,[-0.18231471 -0.36544949],"[ 1.18019682  2.37561276  0.1032636  -0.89608124  0.61486491 -0.51146471
  1.19691931 -0.38676695  0.81592777  0.58784455  0.        ]",-0.914015,"[[ 0.03838816 -0.01376574  0.07176361 -0.06051344]
 [ 0.00316053 -0.00048412  0.          0.        ]]",[-2.04443312  1.62133563],[-1.73851334  0.44956208]
1,-0.150977781247,[-0.18231471 -0.36544949],"[ 1.18120953  2.37572474  0.04437607 -0.83033784  0.61486418 -0.51146415
  1.08990096 -0.13895513  0.81671472  0.53131487  0.        ]",-0.822417,"[[ -1.24669979e-03   4.10025103e-03   7.17636068e-02  -6.05134423e-02]
 [ -3.95347028e+00   1.78114039e+00   0.00000000e+00   0.00000000e+00]]",[-2.11753082  1.52896583],[-2.61986952  1.03619091]
2,-0.144372643808,[-0.18231471 -0.36544949],"[ 1.17141423  2.37117338 -0.13055072 -0.55460936  0.61486345 -0.51146359
  0.98497708  0.40709965  0.81080866  0.38453911  0.        ]",-0.665016,"[[-0.11923737  0.0791122   0.07176361 -0.06051344]
 [-7.83267895  5.70696188  0.          0.        ]]",[-2.23361635  1.35497355],[-3.70038568  0.93161987]
3,-0.134490403436,[-0.18231471 -0.36544949],"[ 1.11374541  2.33768562 -0.41283608 -0.0095756   0.61486272 -0.51146304
  0.88213069  0.90466895  0.77759205  0.17182722  0.        ]",-0.991915,"[[ -0.3140415    0.22914336   0.07176361  -0.06051344]
 [-11.63509      9.28420544   0.           0.        ]]",[-2.16791224  1.34651375],[-0.60949378  1.54812761]
4,-0.121912434794,[-0.18231471 -0.36544949],"[ 0.96413823  2.22915231 -0.75402051  0.7641735   0.61486199 -0.51146248
  0.82309464  1.42993223  0.69478791 -0.06264104  0.        ]",-0.727652,"[[ -0.56864212   0.45271743   0.07176361  -0.06051344]
 [-13.81774037  13.06056873   0.           0.        ]]",[-2.07352519  1.36007488],[-1.51158101  0.1947516 ]
5,-0.106117795909,[-0.18231471 -0.36544949],"[ 0.67862395  2.01551861 -1.10101612  1.57844945  0.61486125 -0.51146192
  0.72346206  1.50131891  0.53629249 -0.31584074  0.        ]",-0.615778,"[[ -0.88195445   0.7190796    0.07176361  -0.06051344]
 [-17.50134243  13.57382808   0.           0.        ]]",[-1.93765986  1.54862833],[-3.2729444   2.03900083]
6,-0.0891514960364,[-0.18231471 -0.36544949],"[ 0.21285571  1.67288773 -1.37236266  2.30469784  0.61486052 -0.51146137
  0.62574991  2.01466565  0.27370201 -0.55283478  0.        ]",-0.668803,"[[ -1.2682261    1.02758817   0.07176361  -0.06051344]
 [-21.1139482   17.26456205   0.           0.        ]]",[-2.16184998  1.36982715],[-2.01882171  1.07828745]
7,-0.0745937456674,[-0.18231471 -0.36544949],"[-0.41144227  1.15506709 -1.42199432  2.78640798  0.61485979 -0.51146081
  0.5299418   2.51768291 -0.07833822 -0.65426285  0.        ]",-0.563737,"[[ -1.72604317   1.40916735   0.07176361  -0.06051344]
 [-24.65616165  20.88109388   0.           0.        ]]",[-2.40412593  1.00252604],[-2.56642119 -0.06731201]
8,-0.0723778669711,[-0.18231471 -0.36544949],"[-1.06892967  0.56226377 -1.10631041  2.72072721  0.61485906 -0.51146025
  0.4360194   2.42275642 -0.46607346 -0.57190059  0.        ]",-0.555567,"[[ -2.25400503   1.81994456   0.07176361  -0.06051344]
 [-28.12865908  20.19872484   0.           0.        ]]",[-2.34362793  0.75941992],[-2.01013509  0.08631   ]
9,-0.0850664667027,[-0.18231471 -0.36544949],"[-1.51958364  0.0376899  -0.37993209  2.07837768  0.61485833 -0.51145969
  0.34393102  2.41421353 -0.78743831 -0.30001804  0.        ]",-0.506497,"[[ -2.85073779   2.22330448   0.07176361  -0.06051344]
 [-31.53335085  20.13740796   0.           0.        ]]",[-2.14486313  0.52586299],[-2.20416962  0.48667924]
10,-0.0950890328418,[-0.18231471 -0.36544949],"[-1.48251695 -0.35550145  0.58820476  0.91950761  0.6148576  -0.51145914
  0.25366377  2.62635422 -0.90385456  0.10384696  0.        ]",-0.590365,"[[ -3.51489048   2.64135554   0.07176361  -0.06051344]
 [-34.87071262  21.66273128   0.           0.        ]]",[-2.18728113  0.35266906],[-2.62908238  1.54400698]
11,-0.0863776097468,[-0.18231471 -0.36544949],"[-0.81948659 -0.53302374  1.37303311 -0.729253    0.61485686 -0.51145858
  0.16520985  2.43097614 -0.72728543  0.43669902  0.        ]",-0.651892,"[[ -4.24511785   3.11001499   0.07176361  -0.06051344]
 [-38.14103244  20.25814931   0.           0.        ]]",[-2.71422195  0.21425658],[-2.99858844  1.5237738 ]
