timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.2233493175,[-0.19001645 -0.29513958],"[ 1.15881638  2.23406911 -0.06756605 -0.76091493 -0.10828274 -0.17865962
  1.04659287 -0.37322465  1.3939827   0.04015224  0.        ]",-1.23474,"[[-0.08143439  0.00595365 -0.01395839 -0.02041316]
 [ 0.0040634  -0.0008385   0.          0.        ]]",[-0.61188841  1.86310887],[ 0.20557702  2.26363529]
1,-0.223875122415,[-0.19001645 -0.29513958],"[ 1.15968932  2.23261351 -0.05532509 -0.62747017 -0.1082826  -0.17865938
  1.07071748  0.17502799  1.39641792  0.09334819  0.        ]",-1.0599,"[[-0.07320992  0.04566171 -0.01395839 -0.02041316]
 [ 0.81568774  3.95845066  0.          0.        ]]",[-0.92862976  1.60908127],[-0.86783472  2.88117859]
2,-0.224078554879,[-0.19001645 -0.29513958],"[ 1.15760778  2.21527444 -0.08256241 -0.23274689 -0.10828246 -0.17865914
  0.96813478  0.71265407  1.39352851  0.17338582  0.        ]",-0.95365,"[[-0.09151791  0.1637857  -0.01395839 -0.02041316]
 [-2.63499253  7.84100207  0.          0.        ]]",[-1.26297259  1.38098359],[-1.51528281  2.54304811]
3,-0.221626878611,[-0.19001645 -0.29513958],"[ 1.14024032  2.14466205 -0.21838419  0.3995977  -0.10828232 -0.1786589
  0.85203902  1.2396513   1.37414735  0.19222122  0.        ]",-0.837875,"[[ -0.18340032   0.35879091  -0.01395839  -0.02041316]
 [ -6.54025396  11.64681278   0.           0.        ]]",[-1.55757213  1.18893826],[-2.1695448   0.77612282]
4,-0.214413044399,[-0.19001645 -0.29513958],"[ 1.07849147  1.97256963 -0.46167612  1.17319844 -0.10828217 -0.17865866
  0.7382449   1.63342914  1.3252868   0.1362459   0.        ]",-0.915385,"[[ -3.52610843e-01   6.20260279e-01  -1.39583873e-02  -2.04131565e-02]
 [ -1.03681042e+01   1.44905907e+01   0.00000000e+00   0.00000000e+00]]",[-1.74445713  1.09401059],[-1.67760045  0.41330674]
5,-0.200833966871,[-0.19001645 -0.29513958],"[  9.24250859e-01   1.67668387e+00  -7.86102962e-01   1.90120007e+00
  -1.08282030e-01  -1.78658419e-01   6.26701695e-01   1.82041234e+00
   1.23013567e+00  -1.42022464e-04   0.00000000e+00]",-0.811116,"[[ -5.97618070e-01   9.23622152e-01  -1.39583873e-02  -2.04131565e-02]
 [ -1.41202457e+01   1.58409927e+01   0.00000000e+00   0.00000000e+00]]",[-1.88489485  1.02875495],[-2.06222778  1.5672027 ]
6,-0.178874596125,[-0.19001645 -0.29513958],"[ 0.62290174  1.23682163 -1.13104297  2.43696549 -0.10828189 -0.17865818
  0.51732069  2.32525817  1.06177804 -0.17136411  0.        ]",-0.68165,"[[ -9.16938221e-01   1.27702476e+00  -1.39583873e-02  -2.04131565e-02]
 [ -1.77996599e+01   1.94869662e+01   0.00000000e+00   0.00000000e+00]]",[-2.04539275  0.84123403],[-2.23411534  1.0796688 ]
7,-0.145454137732,[-0.19001645 -0.29513958],"[ 0.14063607  0.64588999 -1.3881255   2.55180494 -0.10828174 -0.17865794
  0.41007593  2.81995736  0.79719701 -0.29210732  0.        ]",-0.422228,"[[ -1.30912551e+00   1.70261301e+00  -1.39583873e-02  -2.04131565e-02]
 [ -2.14072177e+01   2.30597818e+01   0.00000000e+00   0.00000000e+00]]",[-2.05711222  0.685013  ],[-2.79950445 -0.70443163]
8,-0.104445893957,[-0.19001645 -0.29513958],"[-0.49300267  0.08427426 -1.40859801  2.06667529 -0.1082816  -0.1786577
  0.30494863  2.37023963  0.47280744 -0.33541215  0.        ]",-0.306355,"[[ -1.77274909e+00   2.13122530e+00  -1.39583873e-02  -2.04131565e-02]
 [ -2.49435494e+01   1.98121654e+01   0.00000000e+00   0.00000000e+00]]",[-1.87116265  0.64426327],[-2.64271071  1.06776318]
9,-0.0591633443944,[-0.19001645 -0.29513958],"[-1.14206434 -0.3449786  -1.05292192  1.05682084 -0.10828146 -0.17865746
  0.20187585  2.86388131  0.15464244 -0.22022373  0.        ]",-0.339191,"[[ -2.30640800e+00   2.56323964e+00  -1.39583873e-02  -2.04131565e-02]
 [ -2.84107711e+01   2.33774082e+01   0.00000000e+00   0.00000000e+00]]",[-1.69327569  0.53771234],[-1.03766462  1.24976112]
