timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.187547212839,[-0.18917657 -0.33624515],"[ 1.17226795  2.33417362  0.13615725 -0.96027756  1.28898346 -1.45304876
  1.1436725  -0.38371782  0.23683001  1.5610146   0.        ]",-0.844319,"[[ 0.0598636  -0.03628832  0.14945427 -0.16900097]
 [-0.0046148  -0.00129063  0.          0.        ]]",[-2.86615515  1.01293874],[-4.63641068  0.639325  ]
1,-0.182355191727,[-0.18917657 -0.33624515],"[ 1.174458    2.33502069  0.07697891 -0.86907366  1.28897999 -1.45304418
  1.03346808 -0.03159357  0.23819268  1.51189366  0.        ]",-0.954807,"[[ 0.02007184 -0.01089943  0.14945427 -0.16900097]
 [-3.96138303  2.53173285  0.          0.        ]]",[-2.90600657  0.88307881],[-3.0725308   0.46964413]
2,-0.166008987115,[-0.18917657 -0.33624515],"[ 1.1681059   2.33267793 -0.09863364 -0.62195256  1.28897651 -1.4530396
  0.92545151  0.22015601  0.23418099  1.35967414  0.        ]",-0.949094,"[[-0.09806725  0.0579054   0.14945427 -0.16900097]
 [-7.83961302  4.34270616  0.          0.        ]]",[-2.79992318  0.90526879],[-2.92129172  1.35483763]
3,-0.139667727882,[-0.18917657 -0.33624515],"[ 1.11594358  2.31086807 -0.38282259 -0.17373765  1.28897304 -1.45303502
  0.81954817  0.75883677  0.20211455  1.1238481   0.        ]",-0.862363,"[[ -0.29300968   0.18363917   0.14945427  -0.16900097]
 [-11.64198058   8.21773466   0.           0.        ]]",[-2.66427135  0.87478608],[-2.87672389  1.18863183]
4,-0.105550150988,[-0.18917657 -0.33624515],"[ 0.9616644   2.22907615 -0.74764848  0.52326248  1.28896956 -1.45303044
  0.71573521  1.28681864  0.11181841  0.84203437  0.        ]",-0.833833,"[[ -0.56324615   0.38610184   0.14945427  -0.16900097]
 [-15.36930296  12.01581494   0.           0.        ]]",[-2.44670963  0.90567899],[-1.7326335   0.66253967]
5,-0.0649638451831,[-0.18917657 -0.33624515],"[ 0.64492024  2.04115603 -1.1255779   1.34574563  1.28896609 -1.45302586
  0.61397699  1.61852226 -0.07139023  0.54192121  0.        ]",-0.609086,"[[ -0.90728832   0.65036048   0.14945427  -0.16900097]
 [-19.02285753  14.40198033   0.           0.        ]]",[-2.21020031  1.0009836 ],[-2.86927725  1.4024739 ]
6,-0.0406909794167,[-0.18917657 -0.33624515],"[ 0.13281087  1.70293487 -1.39616254  2.1448092   1.28896261 -1.45302128
  0.51419575  2.12927883 -0.36719551  0.29637824  0.        ]",-0.440306,"[[ -1.32368882   0.97526676   0.14945427  -0.16900097]
 [-22.60543437  18.07621919   0.           0.        ]]",[-2.29341817  0.87876284],[-2.68440243  0.40911918]
7,-0.0781814896155,[-0.18917657 -0.33624515],"[-0.53274498  1.21142181 -1.39862531  2.67569557  1.28895914 -1.4530167
  0.41637399  2.30450576 -0.75904105  0.19385092  0.        ]",-0.479332,"[[ -1.81103446   1.34944155   0.14945427  -0.16900097]
 [-26.11766011  19.33683341   0.           0.        ]]",[-2.34133172  0.74531209],[-1.8260081   0.29731035]
8,-0.136244798297,[-0.18917657 -0.33624515],"[-1.19125743  0.64703864 -0.99296841  2.70950547  1.28895566 -1.45301212
  0.32045433  2.41453983 -1.17884861  0.29980092  0.        ]",-0.552833,"[[ -2.36793973   1.74412317   0.14945427  -0.16900097]
 [-29.56159391  20.12849552   0.           0.        ]]",[-2.21610117  0.6216926 ],[-3.26461857  0.28754754]
9,-0.189230257299,[-0.18917657 -0.33624515],"[-1.56866108  0.10238257 -0.17317499  2.16921175  1.28895219 -1.45300754
  0.22640821  2.51689997 -1.49685599  0.63117457  0.        ]",-1.09333,"[[ -2.99304985   2.15408321   0.14945427  -0.16900097]
 [-32.93826052  20.8649723    0.           0.        ]]",[-2.07570195  0.51380932],[-1.79939227  1.028807  ]
10,-0.220952231335,[-0.18917657 -0.33624515],"[-1.38514274 -0.34345188  0.81678073  1.001025    1.28894871 -1.45300296
  0.13421868  3.00938703 -1.55709045  1.08565585  0.        ]",-1.41258,"[[ -3.68502642   2.60692956   0.14945427  -0.16900097]
 [-36.24826774  24.40798786   0.           0.        ]]",[-2.22503662  0.36526346],[-1.66922566  1.13805   ]
11,-0.217259674424,[-0.18917657 -0.33624515],"[-0.57226166 -0.54427905  1.48173093 -0.7880702   1.28894524 -1.45299838
  0.04388824  2.73324333 -1.29913804  1.39706906  0.        ]",-1.27242,"[[ -4.442534     3.12994656   0.14945427  -0.16900097]
 [-39.49152545  22.42165055   0.           0.        ]]",[-2.68398976  0.27039948],[-3.24772029  0.49861376]
12,-0.20936800118,[-0.18917657 -0.33624515],"[ 0.51858057 -0.53423536  1.31462423 -1.25563987  1.28894176 -1.4529938
 -0.04463894 -0.7047117  -1.25516184  1.35083462  0.        ]",-1.1301,"[[ -5.26425841   3.26035122   0.14945427  -0.16900097]
 [-42.67003795  -2.31027437   0.           0.        ]]",[-2.57224941  0.44533533],[-2.13627874  0.26895498]
13,-0.228116363809,[-0.18917657 -0.33624515],"[ 1.16231972 -0.54358802  0.24637351 -0.94872483  1.28893829 -1.45298922
 -0.13139218 -1.04444854 -1.3783405   1.43918531  0.        ]",-1.31457,"[[ -6.14891193   3.17466437   0.14945427  -0.16900097]
 [-45.78485865  -4.75428363   0.           0.        ]]",[-2.4514277   0.55865782],[-1.27304542 -0.48408478]
14,-0.235703886458,[-0.18917657 -0.33624515],"[ 0.74440584 -0.53973504 -1.03308856 -0.54167313  1.28893481 -1.45298464
 -0.21642207 -1.29785857 -1.31137467  1.60070219  0.        ]",-1.43649,"[[ -7.09524081   3.0612898    0.14945427  -0.16900097]
 [-48.83780412  -6.5772861    0.           0.        ]]",[-2.41155005  0.70070893],[-3.1006309   2.43827267]
15,-0.215599056955,[-0.18917657 -0.33624515],"[-0.54317453 -0.52341785 -1.39581951 -0.2190637   1.28893134 -1.45298006
 -0.29975559 -0.72955986 -1.16080775  1.51656531  0.        ]",-1.34847,"[[ -8.10201691   2.97076439   0.14945427  -0.16900097]
 [-51.82984327  -2.48907304   0.           0.        ]]",[-2.29223466  0.67533004],[-2.82142825  2.09666906]
16,-0.204288085434,[-0.18917657 -0.33624515],"[-1.53863872 -0.52100683 -0.33085027 -0.18516181  1.28892786 -1.45297549
 -0.38144551 -0.17261939 -1.21412747  1.33488455  0.        ]",-1.02528,"[[ -9.16804125   2.96118214   0.14945427  -0.16900097]
 [-54.76287152   1.51743614   0.           0.        ]]",[-2.10614872  0.57513601],[-3.89079574  0.06141716]
17,-0.217762046131,[-0.18917657 -0.33624515],"[-1.09672649 -0.52864475  1.18227738 -0.30023654  1.28892439 -1.45297091
 -0.46152733 -0.14331837 -1.35884748  1.33318536  0.        ]",-1.24108,"[[-10.29214741   2.99364538   0.14945427  -0.16900097]
 [-57.638164     1.72822013   0.           0.        ]]",[-2.29910636  0.49519914],[-2.74973536 -0.31796035]
18,-0.236318316365,[-0.18917657 -0.33624515],"[ 0.42945499 -0.53165504  1.36902482 -0.35337808  1.28892091 -1.45296633
 -0.54002414 -0.38708723 -1.43553788  1.47340799  0.        ]",-1.25106,"[[ -1.14731888e+01   3.00858200e+00   1.49454267e-01  -1.69000974e-01]
 [ -6.04565509e+01  -2.54006226e-02   0.00000000e+00   0.00000000e+00]]",[-2.47619677  0.48146892],[-3.74638714  0.45386283]
19,-0.242099457574,[-0.18917657 -0.33624515],"[ 1.16052693 -0.53127327 -0.16600001 -0.34632249  1.28891744 -1.45296175
 -0.61696324 -0.40080321 -1.35968595  1.62596536  0.        ]",-1.41318,"[[-12.71003652   3.00660079   0.14945427  -0.16900097]
 [-63.21901322  -0.1240736    0.           0.        ]]",[-2.41253495  0.51766336],[-2.75593866  0.54501185]
20,-0.225400523734,[-0.18917657 -0.33624515],"[-0.01812057 -0.53086599 -1.42771269 -0.33890848  1.28891396 -1.45295717
 -0.69237887 -0.39484945 -1.20878813  1.58165063  0.        ]",-1.26354,"[[-14.0015847    3.00451835   0.14945427  -0.16900097]
 [-65.92678138  -0.08124697   0.           0.        ]]",[-2.31354642  0.58611298],[-3.46815404  0.91888527]
21,-0.208310369444,[-0.18917657 -0.33624515],"[-1.49483746 -0.53070353 -0.4789309  -0.33598982  1.28891049 -1.45295259
 -0.76630147 -0.38572781 -1.20847365  1.38810507  0.        ]",-1.24761,"[[ -1.53467504e+01   3.00369846e+00   1.49454267e-01  -1.69000974e-01]
 [ -6.85809488e+01  -1.56313763e-02   0.00000000e+00   0.00000000e+00]]",[-2.09306288  0.59457374],[-2.95642023  1.09613068]
22,-0.220286930645,[-0.18917657 -0.33624515],"[-0.9069247  -0.53069579  1.32814924 -0.33586277  1.28890701 -1.45294801
 -0.83876058 -0.38279937 -1.37196702  1.34897205  0.        ]",-1.38819,"[[ -1.67444724e+01   3.00366287e+00   1.49454267e-01  -1.69000974e-01]
 [ -7.11825781e+01   5.43186416e-03   0.00000000e+00   0.00000000e+00]]",[-2.29298615  0.51847494],[-2.33881624  0.61475749]
23,-0.241462656357,[-0.18917657 -0.33624515],"[ 0.88858155 -0.53063955  0.95483203 -0.33486444  1.28890354 -1.45294343
 -0.90978505 -0.3866287  -1.43003537  1.543037    0.        ]",-1.50868,"[[ -1.81937102e+01   3.00338247e+00   1.49454267e-01  -1.69000974e-01]
 [ -7.37327053e+01  -2.21185945e-02   0.00000000e+00   0.00000000e+00]]",[-2.41290164  0.4899711 ],[-0.60912381 -1.20926013]
24,-0.235015753929,[-0.18917657 -0.33624515],"[ 0.72796429 -0.52151503 -1.04964108 -0.19222796  1.28890006 -1.45293885
 -0.93629873 -0.93749519 -1.24473459  1.65552248  0.        ]",-1.14232,"[[-19.67791697   2.96318178   0.14945427  -0.16900097]
 [-74.68471779  -3.98491872   0.           0.        ]]",[-2.35022831  0.67585218],[-4.33773032  0.15617031]
25,-0.19897643205,[-0.18917657 -0.33624515],"[-1.17079199 -0.49919387 -1.01509964  0.06313336  1.28889659 -1.45293427
 -1.00537613 -0.84132699 -1.13197995  1.35718542  0.        ]",-1.3,"[[-21.19649647   2.890428     0.14945427  -0.16900097]
 [-77.16494972  -3.29312076   0.           0.        ]]",[-2.06381679  0.78146249],[-1.40033127  1.06198868]
26,-0.219591000156,[-0.18917657 -0.33624515],"[-1.19183472 -0.48959644  1.08654159  0.15176329  1.28889311 -1.4529297
 -1.07309015 -0.28284462 -1.43363305  1.25913389  0.        ]",-1.173,"[[-22.76418821   2.86487701   0.14945427  -0.16900097]
 [-79.59624138   0.72444924   0.           0.        ]]",[-2.13675857  0.58427066],[-3.02062641 -0.24381823]
27,-0.255079874682,[-0.18917657 -0.33624515],"[ 0.80210839 -0.49138348  1.06466835  0.13591513  1.28888964 -1.45292512
 -1.13947604 -0.4201126  -1.49062476  1.63987041  0.        ]",-1.68257,"[[-24.38002896   2.86945892   0.14945427  -0.16900097]
 [-81.97985919  -0.26302245   0.           0.        ]]",[-2.38943243  0.53622973],[-1.64061519  1.47231888]
28,-0.232343813615,[-0.18917657 -0.33624515],"[ 0.64162723 -0.50388552 -1.12835145  0.01616666  1.28888616 -1.45292054
 -1.20454966  0.12994566 -1.19005109  1.67376563  0.        ]",-1.40505,"[[-26.043068     2.90389904   0.14945427  -0.16900097]
 [-84.31637425   3.69394302   0.           0.        ]]",[-2.33314753  0.51462442],[-1.57430896 -0.22055199]
29,-0.205386241018,[-0.18917657 -0.33624515],"[-1.4001832  -0.52277978 -0.69501057 -0.21003315  1.28888269 -1.45291596
 -1.26834485 -0.00251989 -1.18649514  1.37654806  0.        ]",-1.29864,"[[-27.75237854   2.96821419   0.14945427  -0.16900097]
 [-86.60700234   2.741024     0.           0.        ]]",[-2.03886437  0.54653025],[-1.66322525  0.40521404]
30,-0.223090410605,[-0.18917657 -0.33624515],"[-0.66203448 -0.53472422  1.45133242 -0.41479406  1.28887922 -1.45291138
 -1.33087301 -0.20571066 -1.38528832  1.3680109   0.        ]",-1.48753,"[[-29.5070445    3.02580721   0.14945427  -0.16900097]
 [-88.85215412   1.27932813   0.           0.        ]]",[-2.30608916  0.47374299],[-1.33957593  0.69243281]
31,-0.240991726282,[-0.18917657 -0.33624515],"[ 1.16644187 -0.53525917  0.21015894 -0.42645406  1.28887574 -1.4529068
 -1.39215497 -0.44196972 -1.38774302  1.58376551  0.        ]",-1.1993,"[[-31.30616564   3.02907354   0.14945427  -0.16900097]
 [-91.05257849  -0.42025193   0.           0.        ]]",[-2.33103943  0.51034981],[-3.15257972 -0.34052595]
32,-0.220485869246,[-0.18917657 -0.33624515],"[-0.42720126 -0.53137663 -1.42185025 -0.3483828   1.28887227 -1.45290222
 -1.4522193  -0.62887838 -1.19163611  1.54264194  0.        ]",-1.31159,"[[-33.14885659   3.00717969   0.14945427  -0.16900097]
 [-93.20930244  -1.76482159   0.           0.        ]]",[-2.17271972  0.63210833],[-2.67055246  1.13642326]
