timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.277439107106,[-0.17052311 -0.35766378],"[ 1.17694611  2.34613751  0.13431717 -0.53868044 -0.5682491  -0.11430343
  1.18013325 -0.38398077  1.81008295  0.30818789  0.        ]",-1.82887,"[[ 0.05799629  0.07952838 -0.06660499 -0.01271295]
 [ 0.00194894  0.0009534   0.          0.        ]]",[-1.33202422  1.75706661],[-0.81964784  2.14551335]
1,-0.277175656551,[-0.17052311 -0.35766378],"[ 1.17881533  2.34042044  0.08603562 -0.3961352  -0.56824845 -0.11430333
  1.09212548  0.16659253  1.81024962  0.28632075  0.        ]",-1.6481,"[[ 0.02548718  0.11928773 -0.06660499 -0.01271295]
 [-3.24205507  3.96177538  0.          0.        ]]",[-1.77224171  1.45372438],[-1.67922625  1.50912674]
2,-0.275812510693,[-0.17052311 -0.35766378],"[ 1.17502101  2.3101087  -0.06829648  0.02273225 -0.56824779 -0.11430323
  0.98650377  0.70629599  1.80645487  0.20776368  0.        ]",-1.38639,"[[-0.07841642  0.23747906 -0.06660499 -0.01271295]
 [-7.13534686  7.8444021   0.          0.        ]]",[-2.07783842  1.27526605],[-3.06950301  1.5914235 ]
3,-0.271681416348,[-0.17052311 -0.35766378],"[ 1.13309268  2.21752988 -0.33316327  0.68548776 -0.56824713 -0.11430313
  0.88296876  1.23529052  1.78210167  0.06279402  0.        ]",-1.63127,"[[ -0.25941397   0.43255032  -0.06660499  -0.01271295]
 [-10.95173232  11.65000019   0.           0.        ]]",[-2.20167232  1.26030898],[-1.46322778  1.11224312]
4,-0.262168496075,[-0.17052311 -0.35766378],"[ 0.99962267  2.00794519 -0.68528794  1.50450358 -0.56824647 -0.11430302
  0.78147316  1.75375554  1.70859122 -0.13465659  0.        ]",-1.28885,"[[ -5.15984586e-01   7.02974286e-01  -6.66049854e-02  -1.27129508e-02]
 [ -1.46929521e+01   1.53798762e+01   0.00000000e+00   0.00000000e+00]]",[-2.3140502   1.24821234],[-3.33663099  1.10029149]
5,-0.243996978265,[-0.17052311 -0.35766378],"[ 0.71358976  1.62780139 -1.06534637  2.29561772 -0.56824581 -0.11430292
  0.68196753  2.26185031  1.55324907 -0.34909394  0.        ]",-1.3489,"[[ -8.46643082e-01   1.04724835e+00  -6.66049854e-02  -1.27129508e-02]
 [ -1.83608258e+01   1.90351977e+01   0.00000000e+00   0.00000000e+00]]",[-2.58765626  1.11593437],[-2.47449428  0.32699734]
6,-0.215256848254,[-0.17052311 -0.35766378],"[ 0.2346532   1.09768818 -1.3625052   2.74611531 -0.56824515 -0.11430282
  0.58442137  2.3893191   1.29880845 -0.53983007  0.        ]",-1.08673,"[[ -1.24993369e+00   1.43715589e+00  -6.66049854e-02  -1.27129508e-02]
 [ -2.19564762e+01   1.99523126e+01   0.00000000e+00   0.00000000e+00]]",[-2.78802252  0.97784972],[-3.22293275  0.90930859]
7,-0.174928048291,[-0.17052311 -0.35766378],"[-0.41166081  0.48126295 -1.42085708  2.61989275 -0.56824449 -0.11430272
  0.48876148  2.83460889  0.95842447 -0.616595    0.        ]",-0.821778,"[[ -1.72444028e+00   1.86834655e+00  -6.66049854e-02  -1.27129508e-02]
 [ -2.54826002e+01   2.31559139e+01   0.00000000e+00   0.00000000e+00]]",[-2.72737169  0.70412087],[-3.13597652  1.2025998 ]
8,-0.123808111698,[-0.17052311 -0.35766378],"[-1.08723347 -0.12764944 -1.09072861  1.6963088  -0.56824384 -0.11430262
  0.39497672  3.32089581  0.6010808  -0.46378745  0.        ]",-0.538769,"[[ -2.26877723e+00   2.36656823e+00  -6.66049854e-02  -1.27129508e-02]
 [ -2.89396067e+01   2.66545628e+01   0.00000000e+00   0.00000000e+00]]",[-2.37255573  0.46460298],[-2.47851048  0.31823827]
9,-0.0805799166491,[-0.17052311 -0.35766378],"[-1.53387221 -0.50089951 -0.33403428  0.01264941 -0.56824318 -0.11430252
  0.30306197  3.42238729  0.36545935 -0.08149452  0.        ]",-0.518956,"[[ -2.88156499e+00   2.90698585e+00  -6.66049854e-02  -1.27129508e-02]
 [ -3.23276843e+01   2.73849834e+01   0.00000000e+00   0.00000000e+00]]",[-2.16054916  0.24329813],[-1.87911363  1.58343579]
10,-0.0783995323238,[-0.17052311 -0.35766378],"[-1.46042176 -0.53999762  0.65410269 -0.91986307 -0.56824252 -0.11430242
  0.2129748  -0.14842006  0.34667563  0.1208919   0.        ]",-0.274515,"[[ -3.56143923e+00   3.16793935e+00  -6.66049854e-02  -1.27129508e-02]
 [ -3.56483958e+01   1.69576745e+00   0.00000000e+00   0.00000000e+00]]",[-2.18754196  0.3459664 ],[-1.61373357 -0.44692805]
11,-0.0702588335612,[-0.17052311 -0.35766378],"[-0.74456768 -0.54046998  1.41423696 -0.80222447 -0.56824186 -0.11430231
  0.12470231 -0.8342129   0.29337734  0.03923577  0.        ]",-0.213377,"[[ -4.30705457e+00   3.13528789e+00  -6.66049854e-02  -1.27129508e-02]
 [ -3.89022165e+01  -3.23798971e+00   0.00000000e+00   0.00000000e+00]]",[-2.31822038  0.44246507],[-1.80293983  0.31099398]
12,-0.056556441138,[-0.17052311 -0.35766378],"[ 0.34278583 -0.53739043  1.41460051 -0.58880491 -0.5682412  -0.11430221
  0.03818558 -0.72621996  0.18988863  0.06762616  0.        ]",-0.268576,"[[ -5.11709639e+00   3.07600999e+00  -6.66049854e-02  -1.27129508e-02]
 [ -4.20913179e+01  -2.46107139e+00   0.00000000e+00   0.00000000e+00]]",[-2.32205319  0.37624246],[-1.27465125  0.54756967]
